	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
LeChatelierE_2013__MH0430__bin.81	1.0	0.8794304914307816	0.9384887234402572	0.8455689042519762	0.9150006043172424	0.8709062341366723	0.9119021489521139	0.8910449853755227	0.889412845367304	0.7940506176122217	0.8602020836858517	0.8694568396625493	0.8994846382556987	0.9200739684304673	0.938193816625976	0.8612371582585995	0.7030022480601417	0.7790509802025671	0.8797568227416664	0.8682791462206	0.9229456839662549	0.9093171215161111	0.8577703111025163	0.9375894993835964	0.8907931059488989	0.9078063284101622	0.8123527278880321	0.8538548188256907	0.6680296840629457	0.8882709275061036	0.8765152650535425	0.8909062341366724	0.8525374072373033	0.8822446759650946	0.9389484879982596	0.941997147622616	0.8322313809857623
NielsenHB_2014__MH0181__bin.46	0.7253690431614714	1.0	0.8918947478814835	0.7971906503350189	0.870164676252079	0.7979335417257332	0.8694564770519134	0.8082056202146211	0.7443743821699687	0.7265513689658019	0.7831167862749719	0.8147624442283161	0.8101240584758803	0.8513734717990373	0.8776458278254496	0.8071855900603285	0.6355681085458829	0.7206158142954954	0.8045856695732342	0.8368206960050946	0.8626847209611411	0.8234311054965588	0.8271407773203991	0.884263662243213	0.8410890317250114	0.9974000795129057	0.7307965765586862	0.8249009378455512	0.6294889999836508	0.7963225480496808	0.7757153868637822	0.8220119157705514	0.8021285054564435	0.7390569067565633	0.8750602627275479	0.8999517100657995	0.7602701843750361
LeChatelierE_2013__MH0224__bin.21	0.7033224193470666	0.8103665599422043	1.0	0.7619456339284517	0.8414187046908644	0.7715269230783166	0.8328442751570886	0.7667411696889966	0.720902427368611	0.6924665234575827	0.7512129234543944	0.7925832959852062	0.8063112236043545	0.8253321386763437	0.8896874604855607	0.7771383810610395	0.6107775644576744	0.6869528891871103	0.7625264169311832	0.7980146858753792	0.836886568333305	0.7960288645166947	0.7934995780899522	0.8617736453499136	0.8045721353865685	0.834327572482842	0.7040017506821392	0.7913253555076742	0.6038733842330639	0.7581808702469904	0.7572417626093859	0.8017073498578114	0.7482800236371073	0.7252088445679036	0.8477667389958288	0.9089275731349999	0.7298467754587117
ZellerG_2014__CCIS21278152ST-4-0__bin.12	0.758267594325144	0.8667187491871138	0.9117422383460303	1.0	0.8875559482458133	0.8428003863702183	0.8881451281455444	0.8339284382700741	0.7825262854873588	0.7476701598372667	0.8109994121207181	0.8403756011022303	0.8509119065497383	0.8653578693451303	0.8981239020617394	0.843234359202912	0.6708101462067914	0.7550112806924143	0.8355446727558705	0.8440186317846732	0.8842224646188582	0.8461850276337946	0.8632786148939823	0.9026517864420124	0.8561833108181927	0.8935019396547986	0.767916878378355	0.847326970132611	0.659564136935987	0.8134801239575548	0.8122419357356034	0.8527063256851222	0.8220498951701989	0.7712334539728674	0.8941661218522879	0.9202977027619921	0.783778346966699
XieH_2016__YSZC12003_37270__bin.104	0.7040964185308874	0.8118105780774105	0.8639677146580527	0.7616106361868594	1.0	0.7740546891014278	0.8347519057629915	0.7723441433525134	0.7301597340209246	0.69834090455058	0.7509455806127235	0.7930734429774061	0.7885173199267419	0.8159775687110752	0.852978258063244	0.7763366568317106	0.6131700118041793	0.6980328723887484	0.7829109857736015	0.7983869977689989	0.8331001390980982	0.7991135518898406	0.7950131527500985	0.8550504067847432	0.820451847467533	0.8346030979553435	0.704339719296392	0.7923759063790559	0.6053806671128421	0.7709405137068732	0.7574157440892608	0.800827445814427	0.7569652284516064	0.7260846322084827	0.8400442554419946	0.8820192177843187	0.7315488549053192
CosteaPI_2017__SID713B044-11-90-0__bin.13	0.7623502427009847	0.8468224579875496	0.9011743596037224	0.8226865115806669	0.8805297525592576	1.0	0.8768759072192435	0.8386501847235918	0.7786918268803508	0.7698068971938096	0.8433810553578306	0.8239645533836368	0.8426315811746982	0.8729529113538356	0.884892868780655	0.9178337614632309	0.6709148155514835	0.744340856288008	0.8197702910295854	0.8436104257741251	0.8709634827062324	0.8442697599228096	0.8487691441775039	0.8979250864370988	0.860895729562969	0.8680963525025497	0.7793316941671357	0.8409142654010385	0.6555169509815953	0.8142725953135646	0.8394144706494737	0.8402159975285549	0.8192222565478483	0.7855593972043894	0.8831548165671459	0.9024777929656917	0.7799944138570202
LeChatelierE_2013__MH0415__bin.106	0.7427862596922883	0.8586298284233616	0.9052197575008172	0.8067260247539764	0.8836133874670689	0.8159632825206053	1.0	0.8290093290120856	0.7610040206506287	0.7403896211294838	0.794089131641851	0.8284962136576107	0.8318745840536507	0.8625547867795021	0.88672043285986	0.8180870208987198	0.6552227109660194	0.729399580214146	0.8099126168095487	0.8356372987213465	0.8808379177676529	0.8247961124522031	0.8355868929152277	0.898157431509142	0.8466222202970005	0.8813313433541126	0.7435013920665987	0.8207577410322952	0.6342267237407408	0.7955887043738851	0.7933732116768201	0.842347965456271	0.8008352399592028	0.7572676902720732	0.8821354734798514	0.907037516883976	0.7715939654798987
SchirmerM_2016__G88820__bin.19	0.7855825796821494	0.863886291234857	0.9020188105197743	0.819874738612543	0.8848961738758315	0.8446755385668508	0.8972965738529853	1.0	0.7923890962749783	0.7750942614530969	0.825577311440864	0.8391183112303048	0.8384452891437574	0.8934647381607359	0.8985369122138803	0.8439991066153937	0.6765871003105535	0.7607647304032933	0.8447143257801984	0.853998961696135	0.8944203528016729	0.8553181531830663	0.8445515047307613	0.9128191313880623	0.8630572678286917	0.8892156202501648	0.8165074970142371	0.8292446211512216	0.656413913271791	0.8425720781506939	0.8297066578464828	0.8642895077604263	0.8403552397262901	0.7851819205552624	0.9028278009695951	0.9091675923029119	0.8023970497848801
LeChatelierE_2013__MH0443__bin.25	0.8452025939002455	0.8576129777708353	0.9141311513820581	0.8292450077986994	0.9017051471415871	0.8453565004858394	0.887827826770098	0.8540901249399879	1.0	0.7779261202446885	0.8274063983791569	0.8449692071973152	0.8540832336003344	0.881735423093798	0.9099049224839144	0.8402876904593997	0.687676217297722	0.7346622899002823	0.8336283592409419	0.8465698356874916	0.8783154809351088	0.8918137776256578	0.8403570632785778	0.9181451270188754	0.8680336021721503	0.886518472235941	0.785501080791769	0.8447496031736916	0.6331808815861107	0.8595875762928727	0.8429119125994363	0.8577815858810233	0.8212009767325402	0.8681103257536255	0.9039590746309113	0.9213643014823272	0.7970064020545381
KarlssonFH_2013__S384__bin.11	0.8018475475471077	0.8895132978606548	0.9330759538103349	0.8419381185810734	0.9164322081766819	0.8880599237332529	0.9178850941031675	0.8877811610101267	0.8266554771016683	1.0	0.8615408499675591	0.8674207418017641	0.8819720583087646	0.9049721798707927	0.9277970373039202	0.8869165571876112	0.7165481070741777	0.7861445650788909	0.8801417930740889	0.8975012412508293	0.9034826788755952	0.8921246845611831	0.8925586951756473	0.9340933645196079	0.8881297364642634	0.9091965823983065	0.8061139353534111	0.872069390925419	0.6900929876285006	0.8742941225003503	0.8704026729976562	0.8770861435398569	0.8614842186612848	0.8165531355436142	0.9208836241302091	0.9381805825896813	0.8207785144729602
