	XieH_2016__YSZC12003_36695__bin.8	XieH_2016__YSZC12003_37199__bin.80	LiuW_2016__SRR3992987__bin.97	FengQ_2015__SID31137__bin.52	XieH_2016__YSZC12003_37296R1__bin.49	CosteaPI_2017__SID713A062-11-90-0__bin.58	QinJ_2012__T2D-084__bin.22	LiJ_2014__O2.UC47-1__bin.24	VincentC_2016__MM034.2__bin.23	BackhedF_2015__SID42_4M__bin.11	IjazUZ_2017__S33_a_WGS__bin.8	VincentC_2016__MM058.1__bin.1	YuJ_2015__SZAXPI003424-12__bin.38	XieH_2016__YSZC12003_37652__bin.56	LeChatelierE_2013__MH0101__bin.17	ZellerG_2014__CCIS58234805ST-4-0__bin.18	VatanenT_2016__G69211__bin.2	ZeeviD_2015__PNP_Main_319__bin.19	ZellerG_2014__CCIS44093303ST-4-0__bin.45	QinJ_2012__DLM022__bin.52	HMP_2012__SRS012273__bin.44	NielsenHB_2014__MH0101__bin.36	FengQ_2015__SID31873__bin.55	CosteaPI_2017__SID713B026-11-0-0__bin.28	VatanenT_2016__G78521__bin.10	FengQ_2015__SID530227__bin.21	IjazUZ_2017__S34_a_WGS__bin.12	LiJ_2014__MH0336__bin.3	ZeeviD_2015__PNP_Main_448__bin.40	CosteaPI_2017__SID713A089-11-90-0__bin.48	ZeeviD_2015__PNP_Main_381__bin.25	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	XieH_2016__YSZC12003_37880__bin.55	ZellerG_2014__CCMD45988061ST-21-0__bin.51	LiuW_2016__SRR3992973__bin.26	IjazUZ_2017__S32_a_WGS__bin.1	KarlssonFH_2013__S58__bin.29
XieH_2016__YSZC12003_36695__bin.8	1.0	0.9961169558327886	0.9861324325349737	0.9818950486724655	0.9781229773908564	0.9825607299819371	0.9827707574182254	0.9832090720246346	0.9829054890550953	0.9779530670052826	0.978977218806559	0.9978383950461757	0.978143462833749	0.9826096903319015	0.9983094982992617	0.9825930897248277	0.9828853947034063	0.982647300447142	0.9827508260805646	0.9824753177621609	0.9825822915925595	0.9981539748414423	0.9846856600877196	0.9826234129557847	0.9828511512156071	0.9973911956967847	0.9785692338433261	0.9825814595935147	0.9823900946035602	0.9824314927775928	0.98264339601039	0.9982030364367871	0.9826182339860352	0.9964843625402698	0.9834118746390417	0.9784390432975361	0.9824184654881225
XieH_2016__YSZC12003_37199__bin.80	0.9961169558327886	1.0	0.985619621091151	0.9821031096214947	0.9784417105611188	0.98270187866952	0.9849370270095619	0.9831677403650404	0.9848198538045297	0.9781733998890659	0.978949752446652	0.9964273940602622	0.9784291371173052	0.9849827623748004	0.9960092898161934	0.984776566649433	0.9850565528331009	0.9849326807532425	0.9827382680095359	0.9825738867001408	0.9849107394459714	0.995874100780084	0.9839067486201837	0.9849050694017826	0.9827845051524143	0.9972479663154322	0.9784640327462596	0.9848207947476431	0.9846635812375838	0.9839018310727682	0.9849307517114462	0.9967899720160938	0.9844527342048612	0.99639436116537	0.9846596180467162	0.9785155006423133	0.9843141103023704
LiuW_2016__SRR3992987__bin.97	0.9861324325349737	0.985619621091151	1.0	0.9820098196390141	0.977943115448637	0.9825791589247251	0.9828643982890616	0.9828755459924087	0.9827920899625108	0.9771270094848398	0.9781982973656262	0.985767909763928	0.9774140925669796	0.9831668209026057	0.9855046738833487	0.9830136050197434	0.9831595167992075	0.9829400455249705	0.9822106072472778	0.9824304328087365	0.982861073018656	0.9854979673725959	0.983425814806053	0.9831833986899358	0.9825176630040978	0.9855803442550304	0.9777934087442515	0.9828478619796444	0.98299924526371	0.9827332582823565	0.9829214169993058	0.9861243194614882	0.9829499892839376	0.9850459963052917	0.9832758276977811	0.9780017433358631	0.9825947336917569
FengQ_2015__SID31137__bin.52	0.9818950486724655	0.9821031096214947	0.9820098196390141	1.0	0.9776947236707112	0.9989786213856908	0.9811605991786954	0.9829524278587765	0.9818832041780508	0.9772785381730665	0.9780407578427732	0.9815492783956689	0.9775846727402574	0.9814416278595466	0.9812618439541583	0.9813200145676225	0.9813877158745868	0.980989351435575	0.9981949644070502	0.9987653067435321	0.9814059489397422	0.9812233937264352	0.9839510868159611	0.9814916985148763	0.9986222612199058	0.9826664591553085	0.9783514304577704	0.9812664375089566	0.9813059751570519	0.9817196375549608	0.9810746618494003	0.9817049187334179	0.9813959657118315	0.982303224255607	0.982111130208827	0.9780854100317103	0.981418714318609
XieH_2016__YSZC12003_37296R1__bin.49	0.9781229773908564	0.9784417105611188	0.977943115448637	0.9776947236707112	1.0	0.9782524051440425	0.9773980231957059	0.9775285980849766	0.9776325886277228	0.9995171102290279	0.9998079814656836	0.9781208535298643	0.9998353905753212	0.9780796580155078	0.9778619699249408	0.978936150016576	0.9788080474495381	0.9774147120300647	0.9778911941144551	0.978105095946247	0.9775840575609074	0.9777983854357666	0.977863992563458	0.9783679738492591	0.9782607294297535	0.9781993262814599	0.9997591755897502	0.9772745722261101	0.9788033679839615	0.9775939429287783	0.9773429010025666	0.9782540374782493	0.9775288564734229	0.9781092681189516	0.978196408909721	0.9997925025314462	0.9772982814891662
CosteaPI_2017__SID713A062-11-90-0__bin.58	0.9825607299819371	0.98270187866952	0.9825791589247251	0.9989786213856908	0.9782524051440425	1.0	0.9818050006778453	0.9835068044574872	0.9825632788529591	0.9779121425949341	0.978653864746844	0.9821119121570345	0.9782382154617193	0.9821253326918157	0.9819053635879293	0.981924257230358	0.9821942632387304	0.9816909180079724	0.9983424246222843	0.9990923014316481	0.9820055648991749	0.9817894843555803	0.9845172891578373	0.982182813687688	0.9987973882389389	0.9832257378002306	0.9787758673224156	0.9819577177384161	0.9820268556336365	0.9825471499335323	0.9818428770818812	0.9821906928267917	0.9821965943611018	0.9827213445104925	0.9828610356867385	0.9783765141305879	0.9821997408362243
QinJ_2012__T2D-084__bin.22	0.9827707574182254	0.9849370270095619	0.9828643982890616	0.9811605991786954	0.9773980231957059	0.9818050006778453	1.0	0.9829471863704224	0.999286079196513	0.9772776501253119	0.9781678945910416	0.9824356517043099	0.9776947845541011	0.999679612745206	0.9822870848238433	0.9992297821134246	0.9995440235452955	0.999760491027128	0.9825053879253396	0.9816488131902862	0.9995779640540501	0.9820766172996093	0.9864912748615936	0.9997317873672289	0.9820317491942268	0.9825680431452719	0.9779036121108965	0.9997693932811617	0.9990803368994057	0.9932153927682156	0.9998296675180925	0.9823329589743266	0.9962283973706293	0.9823353203503622	0.9931475607268017	0.9778831910073196	0.996623535218614
LiJ_2014__O2.UC47-1__bin.24	0.9832090720246346	0.9831677403650404	0.9828755459924087	0.9829524278587765	0.9775285980849766	0.9835068044574872	0.9829471863704224	1.0	0.9834513993728952	0.9775078711850844	0.9781684758225337	0.9829245026910844	0.9778723771112842	0.9831040344344593	0.982746895661426	0.9829268646706479	0.9831030504214349	0.9828386787849855	0.9834424340563486	0.9834761764538743	0.9832012417272714	0.9825364788772213	0.9850255921914057	0.9830235919373687	0.9836768831742259	0.9829361963888926	0.9779522953226042	0.9828259194490425	0.9828632623941954	0.983211768771633	0.9829477667501475	0.9829462530839076	0.9833623543034018	0.9825363945307242	0.983702494581936	0.9776188320252414	0.9831336515929547
VincentC_2016__MM034.2__bin.23	0.9829054890550953	0.9848198538045297	0.9827920899625108	0.9818832041780508	0.9776325886277228	0.9825632788529591	0.999286079196513	0.9834513993728952	1.0	0.9773146989145264	0.9781641919076854	0.9824549685483333	0.9776990099335743	0.9993119123597826	0.9821229580853489	0.9986498152621077	0.9991115703990685	0.9992657433953651	0.9829507659642117	0.9823224282141095	0.9996333192062751	0.9819249481910146	0.9863757748691722	0.999237924121082	0.9830154970932	0.9827578886959679	0.9777409878879902	0.999167880783448	0.9986241961884846	0.9933026476728253	0.9992233464448385	0.9824343603660609	0.996107034533613	0.982425491771776	0.9928358860316916	0.9778360258669307	0.9966306700207206
BackhedF_2015__SID42_4M__bin.11	0.9779530670052826	0.9781733998890659	0.9771270094848398	0.9772785381730665	0.9995171102290279	0.9779121425949341	0.9772776501253119	0.9775078711850844	0.9773146989145264	1.0	0.9997247708276186	0.9778465155801163	0.9996618408844206	0.9770143393949176	0.9776532924854447	0.9779892514748422	0.9778870357485746	0.9768272585100434	0.9775210277009422	0.9778558928887174	0.9771971721392089	0.9775716259626648	0.9775647973111264	0.9774177554076576	0.977831450090118	0.978007870386878	0.9994165382171034	0.9770498208703844	0.9778870924034517	0.9772194874468023	0.9771775012368493	0.9779443833438513	0.9772498370756562	0.9778551708874187	0.9779441385537773	0.9993904439740139	0.9769471300538389
