	NielsenHB_2014__V1_UC55_0__bin.91	FengQ_2015__SID530394__bin.80	ZellerG_2014__CCMD12232071ST-21-0__bin.13	LouisS_2016__AS61_18__bin.24	NielsenHB_2014__V1_CD31_0__bin.12	QinJ_2012__T2D-026__bin.19	XieH_2016__YSZC12003_35583__bin.19	HMP_2012__SRS015217__bin.13	ZeeviD_2015__PNP_Main_228__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	XieH_2016__YSZC12003_37348__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.93	ZellerG_2014__CCIS78318719ST-4-0__bin.1	ZeeviD_2015__PNP_Main_18__bin.14	Obregon-TitoAJ_2015__NO19__bin.42	LiuW_2016__SRR3993056__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.27	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.128	ZeeviD_2015__PNP_Main_268__bin.27	LiuW_2016__SRR3992993__bin.68	FengQ_2015__SID31537__bin.39	ZeeviD_2015__PNP_DietIntervention_45__bin.18	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.53	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.20	LiSS_2016__FAT_008-22-42-0__bin.16	LouisS_2016__AS56_12__bin.15	KarlssonFH_2013__S456__bin.1	LiJ_2014__O2.UC29-1__bin.66	LiuW_2016__SRR3993019__bin.10	FengQ_2015__SID31881__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.54	LiSS_2016__FAT_008-22-2-0__bin.9	ZellerG_2014__CCIS00146684ST-4-0__bin.96	HMP_2012__SRS049995__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.30	YuJ_2015__SZAXPI003409-8__bin.96	FengQ_2015__SID530743__bin.43	FengQ_2015__SID31750__bin.98	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.25	CosteaPI_2017__SID713A009-11-0-0__bin.31	ZeeviD_2015__PNP_Main_723__bin.51	FengQ_2015__SID31328__bin.32	LiJ_2014__MH0373__bin.11	LiJ_2014__O2.CD3-0-PT__bin.71	LiSS_2016__FAT_008-22-84-0__bin.42	YuJ_2015__SZAXPI017466-84__bin.45	ZeeviD_2015__PNP_Main_15__bin.30
NielsenHB_2014__V1_UC55_0__bin.91	2590423.0	1185405.0	2239110.0	2323688.0	1682767.0	2054494.0	1466663.0	1958712.0	2299673.0	2255152.0	2155359.0	2274864.0	2410426.0	2227163.0	2389961.0	2344168.0	1504176.0	1707470.0	2423043.0	2294059.0	2185541.0	1519415.0	1054508.0	2240382.0	2395430.0	2357784.0	1941457.0	2442675.0	1673009.0	876750.0	2233661.0	1997691.0	1417200.0	2301079.0	2314678.0	2409800.0	2205627.0	2079486.0	2167214.0	2053322.0	2304921.0	2298396.0	2310633.0	2306700.0	2130015.0	2357239.0	2397563.0	2265947.0
FengQ_2015__SID530394__bin.80	1185405.0	1456681.0	1175993.0	1170323.0	910566.0	1092091.0	803546.0	1010378.0	1180304.0	1153998.0	1098078.0	1133262.0	1186667.0	1132938.0	1250606.0	1217058.0	833178.0	895118.0	1207392.0	1199756.0	1116983.0	768751.0	600980.0	1157085.0	1258673.0	1238015.0	1044271.0	1186541.0	869636.0	530299.0	1193487.0	1035238.0	787584.0	1150352.0	1180928.0	1195417.0	1113669.0	1106180.0	1169051.0	1042502.0	1212731.0	1148962.0	1183753.0	1129348.0	1125903.0	1226212.0	1160251.0	1196715.0
ZellerG_2014__CCMD12232071ST-21-0__bin.13	2239110.0	1175993.0	2601315.0	2224337.0	1718095.0	2131420.0	1444465.0	1954990.0	2360320.0	2340183.0	2105051.0	2183313.0	2325600.0	2270336.0	2436481.0	2345478.0	1489044.0	1703225.0	2348525.0	2358842.0	2091212.0	1467197.0	1070467.0	2197225.0	2444229.0	2396011.0	1976209.0	2291883.0	1740630.0	850474.0	2255365.0	1964617.0	1420441.0	2204385.0	2253577.0	2296918.0	2144420.0	2135906.0	2206176.0	2014247.0	2353976.0	2192789.0	2254220.0	2161705.0	2200910.0	2387687.0	2241990.0	2362086.0
LouisS_2016__AS61_18__bin.24	2323688.0	1170323.0	2224337.0	2839799.0	1663276.0	2062002.0	1574711.0	1981317.0	2285737.0	2268221.0	2165478.0	2272951.0	2441635.0	2254866.0	2397650.0	2419952.0	1535957.0	1742810.0	2404094.0	2320037.0	2182154.0	1491756.0	1064166.0	2272065.0	2462208.0	2372750.0	1988887.0	2356329.0	1700705.0	898798.0	2246229.0	2127666.0	1442941.0	2265018.0	2464031.0	2399258.0	2221974.0	2090565.0	2202608.0	2066739.0	2323877.0	2317091.0	2329860.0	2227978.0	2131898.0	2403871.0	2320403.0	2263183.0
NielsenHB_2014__V1_CD31_0__bin.12	1682767.0	910566.0	1718095.0	1663276.0	1886115.0	1667872.0	1091043.0	1516178.0	1688586.0	1671157.0	1550199.0	1646372.0	1699389.0	1635061.0	1801946.0	1747935.0	1122239.0	1318053.0	1722683.0	1737529.0	1554995.0	1155898.0	797501.0	1649686.0	1816700.0	1770770.0	1559324.0	1687428.0	1474978.0	532497.0	1710632.0	1508650.0	1058870.0	1639175.0	1696688.0	1699333.0	1613662.0	1613188.0	1636113.0	1515580.0	1756594.0	1648694.0	1672398.0	1662599.0	1683656.0	1761708.0	1686973.0	1679789.0
QinJ_2012__T2D-026__bin.19	2054494.0	1092091.0	2131420.0	2062002.0	1667872.0	2494659.0	1300804.0	1832109.0	2102262.0	2065948.0	1923702.0	2032774.0	2114518.0	2050260.0	2261340.0	2212244.0	1382124.0	1605504.0	2143052.0	2180691.0	1913126.0	1360476.0	955299.0	2011168.0	2295982.0	2218056.0	1904701.0	2083899.0	1759603.0	725309.0	2111662.0	1828313.0	1295027.0	2015765.0	2087007.0	2105794.0	1969021.0	1971875.0	2040247.0	1843580.0	2197351.0	2016495.0	2048992.0	2017311.0	2049138.0	2205973.0	2043513.0	2088187.0
XieH_2016__YSZC12003_35583__bin.19	1466663.0	803546.0	1444465.0	1574711.0	1091043.0	1300804.0	1694494.0	1298470.0	1467308.0	1449679.0	1397409.0	1426768.0	1522426.0	1408538.0	1521061.0	1507499.0	1056987.0	1144194.0	1512863.0	1480225.0	1425636.0	983469.0	752335.0	1474702.0	1532966.0	1515860.0	1270862.0	1492579.0	1036183.0	640866.0	1433060.0	1413403.0	956099.0	1466658.0	1559760.0	1523063.0	1387585.0	1364354.0	1424756.0	1364390.0	1503661.0	1459787.0	1498909.0	1415838.0	1382224.0	1514735.0	1477182.0	1456982.0
HMP_2012__SRS015217__bin.13	1958712.0	1010378.0	1954990.0	1981317.0	1516178.0	1832109.0	1298470.0	2226569.0	1955063.0	1937680.0	1849131.0	1927972.0	2032717.0	1887223.0	2053375.0	1995644.0	1338552.0	1615853.0	2018423.0	1981760.0	1842604.0	1310291.0	902251.0	1951103.0	2071625.0	2009171.0	1731752.0	1998143.0	1536623.0	734319.0	1931253.0	1761513.0	1239207.0	1926152.0	2008780.0	2025450.0	1885733.0	1838379.0	1883072.0	1784086.0	1995771.0	1942180.0	1999569.0	1912976.0	1880851.0	2031114.0	1967606.0	1940329.0
ZeeviD_2015__PNP_Main_228__bin.8	2299673.0	1180304.0	2360320.0	2285737.0	1688586.0	2102262.0	1467308.0	1955063.0	2568452.0	2446002.0	2156731.0	2226839.0	2383620.0	2365615.0	2439806.0	2378400.0	1498564.0	1713888.0	2408335.0	2406921.0	2174296.0	1466407.0	1086935.0	2241547.0	2478421.0	2434364.0	1981326.0	2347621.0	1706654.0	904895.0	2285335.0	1996477.0	1430384.0	2271511.0	2289125.0	2372217.0	2188901.0	2139762.0	2233324.0	2060282.0	2381609.0	2257480.0	2294847.0	2171846.0	2192553.0	2453577.0	2271225.0	2455942.0
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	2255152.0	1153998.0	2340183.0	2268221.0	1671157.0	2065948.0	1449679.0	1937680.0	2446002.0	2566426.0	2136871.0	2187381.0	2374330.0	2356684.0	2409922.0	2344744.0	1472008.0	1695687.0	2361510.0	2371398.0	2129904.0	1440435.0	1078809.0	2190056.0	2455504.0	2403469.0	1957376.0	2295080.0	1690080.0	887582.0	2264032.0	1961275.0	1399810.0	2264216.0	2258340.0	2329522.0	2177323.0	2108715.0	2224802.0	2002029.0	2362554.0	2225831.0	2260361.0	2133892.0	2154893.0	2430774.0	2221905.0	2372651.0
