	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
HeQ_2017__SZAXPI029578-96__bin.24	0.0	30024.0	11465.0	11349.0	30509.0	31573.0	15709.0	29800.0	33267.0	31390.0	24412.0	28728.0	23463.0	31190.0	31348.0	24723.0	31314.0	32167.0	26858.0	21968.0	32019.0	25859.0	32779.0	10108.0	34139.0	21678.0
VincentC_2016__MM048.2__bin.15	30024.0	0.0	9476.0	10649.0	28939.0	28688.0	13458.0	27910.0	29753.0	26826.0	22812.0	26522.0	22057.0	28379.0	28565.0	23265.0	29089.0	29370.0	24659.0	23395.0	28093.0	24157.0	29820.0	8219.0	30101.0	19777.0
VincentC_2016__MM029.2__bin.3	11465.0	9476.0	0.0	142.0	9084.0	10225.0	8845.0	8069.0	10543.0	10421.0	5406.0	8767.0	8034.0	9713.0	10162.0	7111.0	10140.0	280.0	7885.0	5198.0	9650.0	7563.0	9619.0	5573.0	10127.0	7326.0
VincentC_2016__MM029.3__bin.32	11349.0	10649.0	142.0	0.0	8876.0	10486.0	10550.0	8770.0	10350.0	10776.0	4989.0	8750.0	7720.0	9110.0	10967.0	6475.0	10884.0	204.0	7624.0	4584.0	9130.0	8357.0	9789.0	7868.0	10576.0	6830.0
VincentC_2016__MM020.3__bin.15	30509.0	28939.0	9084.0	8876.0	0.0	29015.0	12773.0	28833.0	29990.0	28771.0	23548.0	26933.0	23999.0	527.0	29139.0	24653.0	29902.0	29385.0	26571.0	24300.0	28829.0	25160.0	30998.0	8247.0	30598.0	12906.0
VincentC_2016__MM060.1__bin.5	31573.0	28688.0	10225.0	10486.0	29015.0	0.0	13980.0	28328.0	29902.0	27115.0	21671.0	26386.0	22329.0	28657.0	303.0	25076.0	28559.0	28950.0	24979.0	23931.0	28819.0	23012.0	29782.0	12746.0	31844.0	19269.0
VincentC_2016__MM061__bin.15	15709.0	13458.0	8845.0	10550.0	12773.0	13980.0	0.0	12470.0	15044.0	15205.0	4766.0	13443.0	10954.0	12957.0	14481.0	10779.0	14252.0	15942.0	10903.0	8560.0	13207.0	11194.0	14106.0	8616.0	14876.0	6723.0
VincentC_2016__MM001.4__bin.3	29800.0	27910.0	8069.0	8770.0	28833.0	28328.0	12470.0	0.0	28039.0	26300.0	22420.0	24707.0	20838.0	28129.0	28827.0	22492.0	27928.0	26968.0	25174.0	24702.0	27787.0	23290.0	26812.0	6931.0	29147.0	18899.0
VincentC_2016__MM017__bin.15	33267.0	29753.0	10543.0	10350.0	29990.0	29902.0	15044.0	28039.0	0.0	30227.0	23506.0	27178.0	22994.0	29750.0	30154.0	24841.0	30534.0	29507.0	26074.0	24548.0	29809.0	25526.0	30562.0	9733.0	33402.0	20777.0
VincentC_2016__MM058.1__bin.41	31390.0	26826.0	10421.0	10776.0	28771.0	27115.0	15205.0	26300.0	30227.0	0.0	22276.0	27522.0	22199.0	28975.0	26996.0	23166.0	29471.0	29808.0	24868.0	24248.0	28656.0	24175.0	28283.0	9440.0	29438.0	20572.0
VincentC_2016__MM034.1__bin.12	24412.0	22812.0	5406.0	4989.0	23548.0	21671.0	4766.0	22420.0	23506.0	22276.0	0.0	21456.0	17391.0	23014.0	21801.0	18485.0	22286.0	22644.0	20828.0	21609.0	23299.0	18730.0	22353.0	4326.0	24459.0	5641.0
VincentC_2016__MM094.1__bin.6	28728.0	26522.0	8767.0	8750.0	26933.0	26386.0	13443.0	24707.0	27178.0	27522.0	21456.0	0.0	19702.0	27038.0	26065.0	21193.0	26693.0	26082.0	22545.0	22575.0	24846.0	22857.0	25810.0	7787.0	27132.0	19715.0
OhJ_2014__MET0251__bin.82	23463.0	22057.0	8034.0	7720.0	23999.0	22329.0	10954.0	20838.0	22994.0	22199.0	17391.0	19702.0	0.0	23508.0	22525.0	17816.0	21810.0	22418.0	19670.0	18708.0	22778.0	17846.0	21772.0	7219.0	22040.0	15915.0
VincentC_2016__MM020.1__bin.11	31190.0	28379.0	9713.0	9110.0	527.0	28657.0	12957.0	28129.0	29750.0	28975.0	23014.0	27038.0	23508.0	0.0	28781.0	24361.0	30365.0	29385.0	25444.0	23843.0	28547.0	24439.0	31193.0	8224.0	30057.0	12835.0
VincentC_2016__MM060.2__bin.6	31348.0	28565.0	10162.0	10967.0	29139.0	303.0	14481.0	28827.0	30154.0	26996.0	21801.0	26065.0	22525.0	28781.0	0.0	25071.0	28892.0	28960.0	24383.0	23819.0	28700.0	23361.0	30042.0	13198.0	31860.0	19490.0
VincentC_2016__MM016.1__bin.15	24723.0	23265.0	7111.0	6475.0	24653.0	25076.0	10779.0	22492.0	24841.0	23166.0	18485.0	21193.0	17816.0	24361.0	25071.0	0.0	23192.0	23617.0	20302.0	19854.0	23573.0	19290.0	26103.0	7485.0	26398.0	16839.0
VincentC_2016__MM052.1__bin.13	31314.0	29089.0	10140.0	10884.0	29902.0	28559.0	14252.0	27928.0	30534.0	29471.0	22286.0	26693.0	21810.0	30365.0	28892.0	23192.0	0.0	29548.0	23834.0	23873.0	29703.0	321.0	28807.0	8854.0	29400.0	20390.0
VincentC_2016__MM029.1__bin.1	32167.0	29370.0	280.0	204.0	29385.0	28950.0	15942.0	26968.0	29507.0	29808.0	22644.0	26082.0	22418.0	29385.0	28960.0	23617.0	29548.0	0.0	24596.0	24764.0	28113.0	24049.0	29140.0	8625.0	29743.0	20710.0
VincentC_2016__MM056.1__bin.5	26858.0	24659.0	7885.0	7624.0	26571.0	24979.0	10903.0	25174.0	26074.0	24868.0	20828.0	22545.0	19670.0	25444.0	24383.0	20302.0	23834.0	24596.0	0.0	21828.0	24272.0	20303.0	25110.0	6708.0	24453.0	17559.0
DavidLA_2015__LD-Run1-06__bin.19	21968.0	23395.0	5198.0	4584.0	24300.0	23931.0	8560.0	24702.0	24548.0	24248.0	21609.0	22575.0	18708.0	23843.0	23819.0	19854.0	23873.0	24764.0	21828.0	0.0	25137.0	21167.0	24982.0	4667.0	26573.0	17431.0
OhJ_2014__MET0131__bin.6	32019.0	28093.0	9650.0	9130.0	28829.0	28819.0	13207.0	27787.0	29809.0	28656.0	23299.0	24846.0	22778.0	28547.0	28700.0	23573.0	29703.0	28113.0	24272.0	25137.0	0.0	23605.0	28981.0	7004.0	30585.0	20888.0
VincentC_2016__MM052.2__bin.2	25859.0	24157.0	7563.0	8357.0	25160.0	23012.0	11194.0	23290.0	25526.0	24175.0	18730.0	22857.0	17846.0	24439.0	23361.0	19290.0	321.0	24049.0	20303.0	21167.0	23605.0	0.0	23971.0	7034.0	24058.0	16764.0
VincentC_2016__MM021.1__bin.15	32779.0	29820.0	9619.0	9789.0	30998.0	29782.0	14106.0	26812.0	30562.0	28283.0	22353.0	25810.0	21772.0	31193.0	30042.0	26103.0	28807.0	29140.0	25110.0	24982.0	28981.0	23971.0	0.0	13059.0	32578.0	20564.0
VincentC_2016__MM075.2__bin.2	10108.0	8219.0	5573.0	7868.0	8247.0	12746.0	8616.0	6931.0	9733.0	9440.0	4326.0	7787.0	7219.0	8224.0	13198.0	7485.0	8854.0	8625.0	6708.0	4667.0	7004.0	7034.0	13059.0	0.0	13364.0	6185.0
OhJ_2014__MET0119__bin.18	34139.0	30101.0	10127.0	10576.0	30598.0	31844.0	14876.0	29147.0	33402.0	29438.0	24459.0	27132.0	22040.0	30057.0	31860.0	26398.0	29400.0	29743.0	24453.0	26573.0	30585.0	24058.0	32578.0	13364.0	0.0	21092.0
VincentC_2016__MM020.2__bin.4	21678.0	19777.0	7326.0	6830.0	12906.0	19269.0	6723.0	18899.0	20777.0	20572.0	5641.0	19715.0	15915.0	12835.0	19490.0	16839.0	20390.0	20710.0	17559.0	17431.0	20888.0	16764.0	20564.0	6185.0	21092.0	0.0
