	BritoIL_2016__WL.37.ST__bin.67	ZeeviD_2015__PNP_Main_172__bin.30	ZeeviD_2015__PNP_Main_309__bin.11	ZeeviD_2015__PNP_Main_666__bin.1	CM_madagascar__A43_02_1FE__bin.3	QinJ_2012__T2D-024__bin.67	BritoIL_2016__W1.3.ST__bin.39	ZeeviD_2015__PNP_Main_82__bin.22	ZeeviD_2015__PNP_Main_680__bin.1	LiuW_2016__SRR3992974__bin.25	ZeeviD_2015__PNP_Main_480__bin.32	ZeeviD_2015__PNP_Main_72__bin.48	ZeeviD_2015__PNP_Main_626__bin.26	LiJ_2017__H3M517925__bin.71	ZeeviD_2015__PNP_Main_670__bin.20	ZeeviD_2015__PNP_Validation_94__bin.6	ZeeviD_2015__PNP_Main_609__bin.36	ZeeviD_2015__PNP_Main_85__bin.7	ZeeviD_2015__PNP_Main_610__bin.35	LiJ_2014__MH0329__bin.66	LeChatelierE_2013__MH0157__bin.21	BritoIL_2016__W2.39.ST__bin.67	NielsenHB_2014__MH0157__bin.34	CosteaPI_2017__SID713A062-11-0-0__bin.40	ZeeviD_2015__PNP_Main_632__bin.19	ZeeviD_2015__PNP_Main_630__bin.15	CosteaPI_2017__SID713B040-11-90-0__bin.65	ZeeviD_2015__PNP_Main_287__bin.58	ZeeviD_2015__PNP_Main_372__bin.36	LiJ_2014__MH0262__bin.24	LiJ_2014__MH0374__bin.32	ZeeviD_2015__PNP_Main_16__bin.42	CosteaPI_2017__SID713B032-11-90-0__bin.23	ZeeviD_2015__PNP_Main_751__bin.17	CosteaPI_2017__SID713B049-11-0-0__bin.41	ZeeviD_2015__PNP_Validation_73__bin.3	BritoIL_2016__M1.15.ST__bin.85	LiJ_2014__MH0389__bin.39	ZeeviD_2015__PNP_Main_225__bin.2	BritoIL_2016__W2.46.ST__bin.69	CosteaPI_2017__SID713A013-11-0-0__bin.81	BritoIL_2016__M2.57.ST__bin.84	ZeeviD_2015__PNP_Main_73__bin.31
BritoIL_2016__WL.37.ST__bin.67	1.0	0.5000186438697714	0.5311700644083555	0.8213998066009243	0.7679695831479304	0.8674209562067928	0.4231667482853854	0.9131947638070285	0.40114585223614574	0.7568273851102598	0.8582121274644089	0.8084932770205605	0.8834913504873507	0.870434427024165	0.8296708486938105	0.8558698359588045	0.7545559403097866	0.8284415962135543	0.8406583026123791	0.8406241221844649	0.8741109981430706	0.899631970010714	0.8642707636777643	0.8822254317298777	0.9311686971912388	0.8854228553956602	0.7649871854468439	0.9143046955207481	0.8745025194082684	0.6979463155984558	0.8321573194589797	0.710961601085819	0.8626232670523047	0.5688020940794527	0.6686120509002503	0.8803983324922876	0.8171744842484159	0.8698222866333397	0.6752648050969854	0.8615002846297451	0.866031987908829	0.9038995518013707	0.8916921673374316
ZeeviD_2015__PNP_Main_172__bin.30	0.6900554902784806	1.0	0.8204207655428527	0.7953360721116324	0.786668610684666	0.8826016106760894	0.769577261850648	0.9120277537157903	0.3262305205108193	0.7702736777104042	0.897482782575881	0.8522269012067206	0.9177474549087884	0.8880082677941971	0.881505527586473	0.8750559619887304	0.7144900812199285	0.8744032865339588	0.8738338036141582	0.8103210202663876	0.9071957254474815	0.8945161539319193	0.8973215434359375	0.9417900975153735	0.9291534087497964	0.9174601404838889	0.8267837079856257	0.9103810561163667	0.865974253196909	0.6849387205502715	0.8731159463794094	0.6900451984184842	0.869362848100723	0.9369280513220751	0.42560529001603814	0.948391468048063	0.8455998010240401	0.888248411194113	0.6996063363551378	0.8118673722308464	0.9132181788553736	0.8801264183469557	0.9211497722925975
ZeeviD_2015__PNP_Main_309__bin.11	0.6817962452587119	0.7630620246247851	1.0	0.7457560734356242	0.756657346952613	0.8792157081719667	0.7291999537338019	0.909253638477523	0.3266569082214236	0.7571359627955951	0.8418190592805607	0.8077759120623158	0.8862625287668064	0.874136796384855	0.8285278973209478	0.8615914774472226	0.7149459762367234	0.8305947200695588	0.8303641867718558	0.7818588641648353	0.879742185599247	0.8957391224578519	0.868114213693997	0.8868320816199551	0.9110883325422877	0.8889196443884286	0.7569237764385397	0.9658204472665053	0.8610434623070081	0.6816390997235994	0.8504469075433845	0.7113419989390682	0.8602537461660876	0.8015339637767576	0.4262401135914934	0.8936730974023125	0.8022893791155977	0.8767843396896177	0.6596562740554317	0.807057190604771	0.8850691799316377	0.877952162346494	0.8983938450002592
ZeeviD_2015__PNP_Main_666__bin.1	0.8170406869535815	0.5732472106883073	0.5779162053615859	1.0	0.8227086350747639	0.9350364995088685	0.5187393405300017	0.9445729195836293	0.41915184154224566	0.8032797323101478	0.9243515302347232	0.873095822260466	0.9282298928164986	0.9049294272769927	0.8875522116990059	0.9012426956165354	0.812040356235701	0.8962411285701304	0.9366931797318774	0.8673734756841996	0.9152620429216174	0.9245363613491558	0.9147508210766814	0.9256737835918187	0.9361887576938269	0.9427035908543834	0.8344302658168145	0.9264044537498771	0.9141870552694485	0.7524505576768893	0.9206771618595123	0.7469179875291542	0.9143162516002727	0.6315357734749424	0.6331077651940139	0.9286193363017581	0.8901843551279507	0.9378460560810982	0.7402578857669533	0.8869593921714441	0.9333445839229075	0.9178305154315436	0.9281371681771511
CM_madagascar__A43_02_1FE__bin.3	0.7674368488875778	0.569629710133677	0.5890835131736248	0.8265242435063422	1.0	0.9016019500380381	0.4916319147945163	0.9198459842568585	0.4234849167041873	0.7940219534537099	0.9108342001894145	0.8807762890279309	0.9106180813240385	0.9049586237948113	0.8756329084444721	0.8819450697883836	0.7957639460323868	0.9086885373162136	0.8916337778881833	0.8352987936468506	0.897129904205934	0.9151957024639413	0.8947215451256811	0.9328317471160863	0.9210725209209893	0.9098150879535468	0.8115157819559379	0.9230026859600367	0.8812476517256905	0.7488860252449192	0.8928957133319878	0.7519688242326383	0.898699250104799	0.6535527643652285	0.6305808194506979	0.9499423993541275	0.8612044900557375	0.9151460199661537	0.7314990141129345	0.8620677234547967	0.9232958126969834	0.9074644847769722	0.9098113617662128
QinJ_2012__T2D-024__bin.67	0.7688342563408801	0.5668520393380786	0.6071237748162707	0.8331866289311364	0.799685145545823	1.0	0.502441278762968	0.9361968049654024	0.4005845408445987	0.7721353808053356	0.8850874883361738	0.8492989586007155	0.9208539848698003	0.903921469262031	0.8786807840735203	0.8637136300691513	0.7717277665714465	0.8657902593418022	0.8672119516900016	0.8532737482111794	0.9038300314744289	0.9096043828445084	0.9005090771283246	0.9182342371719945	0.9235040282201249	0.9209162286649752	0.8086702852528476	0.932106891875367	0.8942428345273493	0.7292934723334593	0.8765050053926261	0.7368976811156732	0.8948845515307016	0.6436509676431414	0.6157255368114212	0.9235216547815904	0.8511607641555059	0.9097922158901248	0.7035686075346941	0.8503108333948427	0.9136094681074912	0.8993203858894969	0.9289263991909408
BritoIL_2016__W1.3.ST__bin.39	0.6638772786258388	0.8748441267343491	0.8912548151311382	0.8181564689720798	0.7718229884183361	0.8893214504037836	1.0	0.904006442599152	0.3128979704057726	0.7834105021775946	0.8432229375249226	0.8115832238929951	0.9048868401527582	0.872613396277371	0.8625039364397815	0.8863984915270267	0.7070733069896546	0.8366428676586007	0.8855093192469725	0.7574080628036421	0.8765746977837966	0.8871482431535197	0.8773020251093672	0.8846562208423152	0.9356919798025296	0.896924263386089	0.7790670125858826	0.8918934202226245	0.8717905219304788	0.7167518302616916	0.8905060384742506	0.6798170567032573	0.8611779777765428	0.9143362455675444	0.3588170888772543	0.9010922584488429	0.8266094554502263	0.9159936938965928	0.6885869083031336	0.8052361717623453	0.9151113464037759	0.882173948227164	0.9300488557269228
ZeeviD_2015__PNP_Main_82__bin.22	0.7682931356397009	0.5559987012369098	0.5959743572717401	0.7989322326960994	0.7744261835658367	0.8886441362990166	0.4847957402243765	1.0	0.3850717535236269	0.7530248265570909	0.8576055807076167	0.8220563853499105	0.8941659708384813	0.8795731858752717	0.8566696765483854	0.8468390229160577	0.7573200515113283	0.8419827783177671	0.8489016720267658	0.8215246453890511	0.8843912623151132	0.888271343189781	0.8755629149806885	0.8937942234322167	0.9197856936330806	0.8945445153140585	0.7764056992903337	0.9188215554936267	0.9011146670821593	0.7067650185167854	0.8510636629197387	0.7143019226817681	0.8726799118890677	0.6250234629604164	0.5837736178551691	0.8908850777663158	0.82605044784844	0.8826140901155449	0.6870723401629937	0.830290773396689	0.8902477218053644	0.8797619352615748	0.903584617500153
ZeeviD_2015__PNP_Main_680__bin.1	0.8019498146967873	0.4725759941955306	0.5087632330596337	0.8424171043003018	0.8471965978255603	0.9035168474972574	0.3987230664296177	0.9150040315717415	1.0	0.7716788607734902	0.922546611554025	0.9038025983448814	0.9053468953170406	0.9026210807097057	0.8668003483675552	0.8682601624804167	0.8322605252597537	0.9250562494331573	0.8827477304549526	0.845013709828711	0.9014991980340342	0.9117514414887867	0.8945653915966888	0.9326410708450895	0.9079459856354292	0.9006978532656974	0.8116355260362506	0.9193002334460185	0.8796728028555206	0.7637809558241614	0.881870599592246	0.7813422090031396	0.9067011058557803	0.5584838805462066	0.7118364213060802	0.9380044900154927	0.8627103840615632	0.8999971424915237	0.7304648917811845	0.8765519066414709	0.9067893159000469	0.9061718455901812	0.905108355479024
LiuW_2016__SRR3992974__bin.25	0.8181142119328266	0.6033430832089407	0.6376317879086315	0.8729609570553136	0.8589165680258719	0.9416895186374	0.53979669023745	0.9675264650677229	0.4172619823373636	1.0	0.9257822629295577	0.8920289728503809	0.9621629138378816	0.950300490539217	0.9179720617023364	0.932773555220259	0.8223948417470236	0.9124855733638951	0.919645484311747	0.8803902547821192	0.9424325155888285	0.9645202161005961	0.9420690785628585	0.9546543451885909	0.9841317079659215	0.96200504378039	0.8283838271195231	0.9568766181680893	0.9354795151844124	0.7699309268114414	0.9205665049450277	0.7704495467449881	0.9470026858063398	0.6786242598581453	0.6307036436409269	0.9597129049031081	0.8899262780420888	0.9601905458004549	0.7566328936708214	0.9061365099028192	0.9579212476974485	0.9591909260321678	0.9658873036197253
