	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
WenC_2017__RA050__bin.36	0.0	173831.0	173721.0	166872.0	152903.0	153191.0	149685.0	189741.0	146744.0	159155.0	97044.0	156435.0	159658.0	177545.0	165748.0	166387.0	158252.0	169990.0	160747.0	164290.0	157008.0	171378.0	155331.0	164695.0	138131.0	125151.0	159347.0	163450.0
XieH_2016__YSZC12003_37322__bin.23	173831.0	0.0	148531.0	143331.0	48515.0	67684.0	45125.0	165511.0	55897.0	49895.0	28585.0	52996.0	52727.0	22566.0	50980.0	47478.0	50389.0	38535.0	54691.0	52513.0	51664.0	146243.0	49788.0	50982.0	47973.0	42815.0	32183.0	54160.0
CosteaPI_2017__alien-11-895-0__bin.9	173721.0	148531.0	0.0	5091.0	133408.0	142371.0	127999.0	2224.0	131056.0	135370.0	83137.0	136917.0	136609.0	148444.0	140159.0	140771.0	135553.0	141490.0	138273.0	138166.0	136045.0	34523.0	133802.0	138238.0	123687.0	115702.0	135185.0	137345.0
CosteaPI_2017__alien-11-881-0__bin.18	166872.0	143331.0	5091.0	0.0	129800.0	137534.0	122404.0	5119.0	127196.0	129438.0	81025.0	129992.0	131989.0	143687.0	133734.0	133984.0	129129.0	136971.0	133371.0	133786.0	131092.0	36202.0	128482.0	133373.0	118371.0	109570.0	130280.0	133023.0
HeQ_2017__SZAXPI029486-84__bin.10	152903.0	48515.0	133408.0	129800.0	0.0	51552.0	36250.0	145516.0	35984.0	40006.0	28832.0	35497.0	36853.0	50870.0	41225.0	48129.0	39029.0	47191.0	33830.0	28283.0	29807.0	130554.0	35485.0	33952.0	33488.0	30259.0	44949.0	37820.0
YuJ_2015__SZAXPI015232-18__bin.18	153191.0	67684.0	142371.0	137534.0	51552.0	0.0	50044.0	156811.0	55582.0	54235.0	36479.0	50131.0	50755.0	67742.0	56531.0	64143.0	51619.0	60178.0	56300.0	56605.0	54834.0	137868.0	51422.0	55496.0	43720.0	45967.0	54882.0	53634.0
CosteaPI_2017__daisy-11-389-0__bin.17	149685.0	45125.0	127999.0	122404.0	36250.0	50044.0	0.0	136403.0	40788.0	2257.0	26319.0	29824.0	30343.0	46704.0	1267.0	47511.0	28613.0	44641.0	39554.0	38438.0	39269.0	129347.0	34779.0	37655.0	27937.0	32886.0	41159.0	30421.0
CosteaPI_2017__alien-11-918-0__bin.21	189741.0	165511.0	2224.0	5119.0	145516.0	156811.0	136403.0	0.0	143144.0	148185.0	89346.0	147873.0	149374.0	164284.0	152551.0	153013.0	147404.0	157642.0	150852.0	152991.0	149046.0	39888.0	146660.0	153334.0	131607.0	122407.0	147916.0	151339.0
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	146744.0	55897.0	131056.0	127196.0	35984.0	55582.0	40788.0	143144.0	0.0	43601.0	36176.0	42772.0	43802.0	58211.0	44714.0	55056.0	45203.0	53977.0	32949.0	38478.0	40705.0	130834.0	39561.0	40423.0	39553.0	36348.0	50432.0	45647.0
CosteaPI_2017__daisy-11-392-0__bin.21	159155.0	49895.0	135370.0	129438.0	40006.0	54235.0	2257.0	148185.0	43601.0	0.0	28739.0	33247.0	32331.0	51324.0	1653.0	51119.0	30350.0	49428.0	43223.0	42131.0	41752.0	136462.0	37858.0	40574.0	29212.0	33866.0	44739.0	31425.0
