	FengQ_2015__SID530052__bin.15	LiJ_2014__V1.FI23__bin.28	VincentC_2016__MM058.2__bin.3	GeversD_2014__SKBSTL021__bin.40	ZellerG_2014__CCIS44743950ST-4-0__bin.36	LiJ_2014__V1.CD4-0-PT__bin.9	HeQ_2017__SZAXPI029574-89__bin.31	HeQ_2017__SZAXPI029550-158__bin.18	LiJ_2014__V1.FI24__bin.86	LiJ_2014__V1.CD12-3__bin.28	YuJ_2015__SZAXPI017455-21__bin.57	NielsenHB_2014__V1_CD20_4__bin.1	QinJ_2012__T2D-068__bin.53	YuJ_2015__SZAXPI003437-3__bin.1	QinJ_2012__NLM027__bin.42	QinJ_2012__NOM002__bin.26	LoombaR_2017__SID0011_vkb__bin.5	QinJ_2012__CON-065__bin.27	HeQ_2017__SZAXPI029501-104__bin.40	NielsenHB_2014__V1_CD17_4__bin.53	FengQ_2015__SID530348__bin.24	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.19	QinJ_2012__DLF012__bin.21	LoombaR_2017__SID5395_kej__bin.17	QinJ_2012__CON-069__bin.17	HeQ_2017__RSZAXPI003094-125__bin.8	FengQ_2015__SID530251__bin.1	XieH_2016__YSZC12003_36389__bin.13	HeQ_2017__RSZAXPI003077-109__bin.4	LiJ_2014__V1.UC38-4__bin.13	NielsenHB_2014__V1_CD21_0__bin.16	LiJ_2014__V1.CD48-0__bin.54	LiJ_2014__V1.FI21__bin.4	HMP_2012__SRS018313__bin.4
FengQ_2015__SID530052__bin.15	1.0	0.9792308897390614	0.9772167286800675	0.9762368856501803	0.9775822040351099	0.9788700988028629	0.9783811226964112	0.9735512964842499	0.9714742554340892	0.9771506557163501	0.9900705040305655	0.9803539971633719	0.977982937724114	0.9726028083938518	0.9744385331702522	0.9738736346415989	0.9781045551132146	0.9736166233492554	0.9800831825946087	0.9740546416761627	0.9795852076422589	0.9744047447923064	0.9811407884609903	0.9776118560338743	0.9737573017584159	0.9786260803833634	0.9788075426766137	0.9761071589196443	0.9773582099656727	0.9781583750088881	0.9779600146298687	0.9781156103222727	0.9789969142526669	0.9735797316369964
LiJ_2014__V1.FI23__bin.28	0.9792308897390614	1.0	0.9869463569310257	0.985065564300223	0.9848703384820993	0.9849911020036608	0.9859101255039918	0.9759270120954494	0.9781279919627562	0.9859340681195828	0.9789495708762962	0.9867259799192483	0.9871101431431254	0.9751060933375535	0.9759283895404363	0.9763940385899158	0.9866637988624174	0.9753881578590087	0.9873558120936502	0.975953425413481	0.9770866126909147	0.9762044050864997	0.9862908597133032	0.9847871393680571	0.9758900474077705	0.9844886338457799	0.987585001038312	0.9847281896173382	0.9852616242875647	0.9856519905120219	0.9856727123538196	0.982573327693126	0.9851948610923432	0.975164997327508
VincentC_2016__MM058.2__bin.3	0.9772167286800675	0.9869463569310257	1.0	0.9845300899923822	0.9830433238186498	0.9855629696094067	0.9842497924667283	0.9755777036530965	0.9764174068761399	0.9852371376722743	0.9766609523396191	0.9862449901359402	0.9872137866648635	0.9745366803785048	0.9752417217764724	0.9741754727160538	0.9878399565283233	0.9757936053472707	0.9865089893914014	0.9752373848738743	0.9771133777141423	0.975098095458229	0.9854525316286981	0.9844695400201411	0.9749008288830756	0.9842835864691059	0.9850208806422283	0.9838865083346409	0.9846291220425544	0.9847482154140643	0.9855894651801295	0.9833647094929413	0.9841487266955989	0.9746821010994124
GeversD_2014__SKBSTL021__bin.40	0.9762368856501803	0.985065564300223	0.9845300899923822	1.0	0.9855233898230353	0.9844499101078705	0.9838733322769425	0.9745118703906828	0.975234945961161	0.9852723185932729	0.9767603971394848	0.9868003764862979	0.9862536933875986	0.972170177639475	0.9743241922442415	0.9734609286399523	0.9859946713379101	0.9745649623819209	0.9869785799561619	0.9741284618790643	0.9769213443438258	0.9742055110506823	0.9853850954428903	0.9858011625773597	0.9737640021273912	0.9850633709042023	0.9849835975483566	0.9840972376903174	0.9861386690705984	0.9856494825607304	0.9855766249090256	0.9861856409614289	0.98455741912202	0.9730020903362251
ZellerG_2014__CCIS44743950ST-4-0__bin.36	0.9775822040351099	0.9848703384820993	0.9830433238186498	0.9855233898230353	1.0	0.9837251443594348	0.9853940290520112	0.9746227809899013	0.975960791326321	0.9828611192974391	0.9778262054811615	0.98505803447356	0.9852956673433024	0.9733853644801633	0.9740176980733142	0.9734970774145314	0.984031984169741	0.9744750538274165	0.9854689468983916	0.974178656370522	0.9761313279122444	0.9744592772047254	0.9830578490391206	0.9832107265239398	0.9738550432550226	0.9832593273107743	0.9835023107974216	0.9827504969804717	0.9853373740533894	0.9846751810638896	0.9841086906789355	0.9846596296753372	0.9840290547113131	0.9732261502060321
LiJ_2014__V1.CD4-0-PT__bin.9	0.9788700988028629	0.9849911020036608	0.9855629696094067	0.9844499101078705	0.9837251443594348	1.0	0.9840640825206758	0.9759340787865587	0.9773214431556742	0.9852169084407891	0.977918556983346	0.9864255790124471	0.9851719289275214	0.9761289449111119	0.9753518184616737	0.9747289483753693	0.9845127473181359	0.9768645179798022	0.9863329633091844	0.9756000717133155	0.9774245494914029	0.9755727454018608	0.9859908450288177	0.9884129260907031	0.9750842205306794	0.984091927695363	0.9842645710760782	0.987779773166878	0.9856858699432016	0.9858901847665534	0.9860147497019549	0.9844028678287841	0.9861445594382626	0.9745668288475698
HeQ_2017__SZAXPI029574-89__bin.31	0.9783811226964112	0.9859101255039918	0.9842497924667283	0.9838733322769425	0.9853940290520112	0.9840640825206758	1.0	0.9749492944898395	0.9764239559877983	0.9836374429308893	0.9783251339691741	0.9857881733233644	0.9854242901240877	0.9736769334298789	0.9746334643520704	0.9739646147422446	0.9848064942215423	0.9746859494554481	0.986396799221664	0.9746420259864849	0.9783094022600761	0.9749236273433066	0.9849991587414773	0.9827961226856238	0.9745279542763278	0.9848780826400388	0.9850927779536465	0.9818439718188909	0.9853745208315845	0.9835209707159739	0.9841836756081509	0.9834859891166446	0.9832111675942287	0.9741408430068901
HeQ_2017__SZAXPI029550-158__bin.18	0.9735512964842499	0.9759270120954494	0.9755777036530965	0.9745118703906828	0.9746227809899013	0.9759340787865587	0.9749492944898395	1.0	0.9755168647170964	0.9739312077970007	0.9711519815664699	0.9759690538642927	0.9764234647333245	0.9981904485324308	0.9980304130002093	0.9971607352236336	0.9760647199440582	0.9986748481382814	0.9772871031919314	0.9986470825955589	0.9733155031195735	0.9973465105572791	0.9757952671422043	0.9764990766465173	0.9984329515005548	0.9754159854004697	0.976053097735408	0.9747280527620468	0.97652881825484	0.9755562744013939	0.9750286861007628	0.9738558464417083	0.9747261655703945	0.9981236027279495
LiJ_2014__V1.FI24__bin.86	0.9714742554340892	0.9781279919627562	0.9764174068761399	0.975234945961161	0.975960791326321	0.9773214431556742	0.9764239559877983	0.9755168647170964	1.0	0.9758039450414171	0.9712606919954938	0.9770520382462462	0.977663851357204	0.9725177616497198	0.9736285900236489	0.9740235287953914	0.9763778766055824	0.9737592323225963	0.9779297960372253	0.9741536228721637	0.9675080477272836	0.9744850851669692	0.9763140658560593	0.9745924912000495	0.9737197091906158	0.975158208895632	0.977951798533871	0.9761755331374279	0.975584213402283	0.9773560177099408	0.9772321256096529	0.975132488560793	0.976609480474051	0.9730404615119642
LiJ_2014__V1.CD12-3__bin.28	0.9771506557163501	0.9859340681195828	0.9852371376722743	0.9852723185932729	0.9828611192974391	0.9852169084407891	0.9836374429308893	0.9739312077970007	0.9758039450414171	1.0	0.9777501747075135	0.9860866488469624	0.9847745404134388	0.972482289521899	0.9737892728203751	0.9740752871482103	0.9837878244267269	0.9743406103940444	0.9862895772774223	0.9739565774391478	0.9754032164015487	0.9738993513873196	0.985190142736155	0.9846718575928989	0.9734245234378216	0.9843150689358732	0.9864990874746342	0.9844759532449102	0.9872149904291475	0.985531630704109	0.9849968879202767	0.9848516786456673	0.9858108363224467	0.9727282149205732
