	HMP_2012__SRS022536__bin.11	HMP_2012__SRS063603__bin.51	HMP_2012__SRS014578__bin.3	HMP_2012__SRS043755__bin.17	HMP_2012__SRS064449__bin.29	HMP_2012__SRS013533__bin.32	HMP_2012__SRS013252__bin.10	HMP_2012__SRS075410__bin.24	HMP_2012__SRS024649__bin.34	HMP_2012__SRS011098__bin.20	HMP_2012__SRS047113__bin.58	HMP_2012__SRS065099__bin.2	HMP_2012__SRS018394__bin.36	HMP_2012__SRS024561__bin.37	HMP_2012__SRS016043__bin.29	HMP_2012__SRS055401__bin.30	HMP_2012__SRS018665__bin.15	HMP_2012__SRS011126__bin.26	HMP_2012__SRS047634__bin.13	HMP_2012__SRS019906__bin.5	HMP_2012__SRS018157__bin.6	HMP_2012__SRS014690__bin.19	HMP_2012__SRS054430__bin.12	HMP_2012__SRS023841__bin.32	HMP_2012__SRS014476__bin.2	HMP_2012__SRS063932__bin.48
HMP_2012__SRS022536__bin.11	0.0	17128.0	16319.0	15544.0	12437.0	13597.0	14833.0	15788.0	13910.0	13853.0	14959.0	3103.0	15776.0	13165.0	14329.0	13619.0	15692.0	1719.0	10202.0	14807.0	17854.0	16911.0	15328.0	14030.0	14665.0	14911.0
HMP_2012__SRS063603__bin.51	17128.0	0.0	18128.0	17506.0	13439.0	12972.0	17140.0	17383.0	9859.0	11009.0	11203.0	14466.0	13284.0	15313.0	8750.0	15679.0	16558.0	17503.0	8184.0	16862.0	16906.0	2094.0	13047.0	16033.0	11053.0	16558.0
HMP_2012__SRS014578__bin.3	16319.0	18128.0	0.0	15549.0	12174.0	13157.0	15239.0	15173.0	14581.0	14396.0	16472.0	14147.0	15514.0	13767.0	15571.0	14047.0	15566.0	16513.0	10609.0	12128.0	18249.0	18041.0	17153.0	13774.0	16537.0	14451.0
HMP_2012__SRS043755__bin.17	15544.0	17506.0	15549.0	0.0	12243.0	12930.0	14434.0	15249.0	14458.0	14059.0	15149.0	13045.0	15293.0	13462.0	15203.0	13931.0	15675.0	15782.0	10698.0	14688.0	18057.0	17268.0	15533.0	14002.0	15127.0	14773.0
HMP_2012__SRS064449__bin.29	12437.0	13439.0	12174.0	12243.0	0.0	11281.0	12273.0	12437.0	11524.0	11936.0	12923.0	11439.0	12913.0	11300.0	12328.0	11447.0	13041.0	12277.0	9546.0	12303.0	14916.0	13494.0	13490.0	11372.0	12800.0	12367.0
HMP_2012__SRS013533__bin.32	13597.0	12972.0	13157.0	12930.0	11281.0	0.0	12323.0	13005.0	11474.0	9175.0	11636.0	11273.0	11946.0	11765.0	11176.0	11808.0	12445.0	13488.0	7451.0	12307.0	13684.0	12721.0	12566.0	12095.0	11488.0	13080.0
HMP_2012__SRS013252__bin.10	14833.0	17140.0	15239.0	14434.0	12273.0	12323.0	0.0	15364.0	14026.0	13678.0	15378.0	13121.0	15108.0	64.0	14559.0	13875.0	15120.0	15255.0	10658.0	14376.0	17038.0	16672.0	15670.0	14151.0	14994.0	14808.0
HMP_2012__SRS075410__bin.24	15788.0	17383.0	15173.0	15249.0	12437.0	13005.0	15364.0	0.0	14957.0	14256.0	16418.0	13630.0	15692.0	13996.0	15421.0	14497.0	15586.0	15925.0	11096.0	14310.0	18285.0	17073.0	16618.0	121.0	15928.0	15038.0
HMP_2012__SRS024649__bin.34	13910.0	9859.0	14581.0	14458.0	11524.0	11474.0	14026.0	14957.0	0.0	10066.0	9560.0	11955.0	11819.0	12754.0	5481.0	13283.0	14083.0	14465.0	7590.0	14234.0	13907.0	9529.0	12102.0	14110.0	10324.0	13971.0
HMP_2012__SRS011098__bin.20	13853.0	11009.0	14396.0	14059.0	11936.0	9175.0	13678.0	14256.0	10066.0	0.0	9966.0	11385.0	10978.0	13225.0	9529.0	13244.0	14048.0	14670.0	3658.0	13224.0	12473.0	10743.0	10719.0	13776.0	10037.0	13863.0
HMP_2012__SRS047113__bin.58	14959.0	11203.0	16472.0	15149.0	12923.0	11636.0	15378.0	16418.0	9560.0	9966.0	0.0	12757.0	13507.0	13514.0	9650.0	13430.0	14622.0	15711.0	7726.0	14888.0	14668.0	10702.0	12493.0	14919.0	10011.0	14912.0
HMP_2012__SRS065099__bin.2	3103.0	14466.0	14147.0	13045.0	11439.0	11273.0	13121.0	13630.0	11955.0	11385.0	12757.0	0.0	13198.0	11798.0	12333.0	11940.0	13404.0	3642.0	8943.0	12760.0	15523.0	13986.0	12869.0	12080.0	12199.0	13266.0
HMP_2012__SRS018394__bin.36	15776.0	13284.0	15514.0	15293.0	12913.0	11946.0	15108.0	15692.0	11819.0	10978.0	13507.0	13198.0	0.0	13875.0	12010.0	13733.0	14917.0	16269.0	8010.0	15299.0	14272.0	13045.0	12661.0	14301.0	12208.0	15133.0
HMP_2012__SRS024561__bin.37	13165.0	15313.0	13767.0	13462.0	11300.0	11765.0	64.0	13996.0	12754.0	13225.0	13514.0	11798.0	13875.0	0.0	13298.0	12769.0	13703.0	13585.0	10348.0	13425.0	16021.0	15762.0	14591.0	13207.0	14454.0	13484.0
HMP_2012__SRS016043__bin.29	14329.0	8750.0	15571.0	15203.0	12328.0	11176.0	14559.0	15421.0	5481.0	9529.0	9650.0	12333.0	12010.0	13298.0	0.0	14258.0	14081.0	14690.0	7847.0	14850.0	15102.0	8395.0	11923.0	14215.0	9988.0	14894.0
HMP_2012__SRS055401__bin.30	13619.0	15679.0	14047.0	13931.0	11447.0	11808.0	13875.0	14497.0	13283.0	13244.0	13430.0	11940.0	13733.0	12769.0	14258.0	0.0	14616.0	13619.0	10358.0	14026.0	17432.0	15253.0	14914.0	13566.0	13774.0	6247.0
HMP_2012__SRS018665__bin.15	15692.0	16558.0	15566.0	15675.0	13041.0	12445.0	15120.0	15586.0	14083.0	14048.0	14622.0	13404.0	14917.0	13703.0	14081.0	14616.0	0.0	16059.0	10299.0	15234.0	17931.0	16335.0	15712.0	14049.0	14955.0	15916.0
HMP_2012__SRS011126__bin.26	1719.0	17503.0	16513.0	15782.0	12277.0	13488.0	15255.0	15925.0	14465.0	14670.0	15711.0	3642.0	16269.0	13585.0	14690.0	13619.0	16059.0	0.0	10820.0	15250.0	18349.0	17390.0	16044.0	14208.0	15298.0	15116.0
HMP_2012__SRS047634__bin.13	10202.0	8184.0	10609.0	10698.0	9546.0	7451.0	10658.0	11096.0	7590.0	3658.0	7726.0	8943.0	8010.0	10348.0	7847.0	10358.0	10299.0	10820.0	0.0	10456.0	7044.0	7794.0	8299.0	10812.0	7963.0	10799.0
HMP_2012__SRS019906__bin.5	14807.0	16862.0	12128.0	14688.0	12303.0	12307.0	14376.0	14310.0	14234.0	13224.0	14888.0	12760.0	15299.0	13425.0	14850.0	14026.0	15234.0	15250.0	10456.0	0.0	16591.0	16437.0	15651.0	12855.0	14970.0	14533.0
HMP_2012__SRS018157__bin.6	17854.0	16906.0	18249.0	18057.0	14916.0	13684.0	17038.0	18285.0	13907.0	12473.0	14668.0	15523.0	14272.0	16021.0	15102.0	17432.0	17931.0	18349.0	7044.0	16591.0	0.0	16587.0	15618.0	16213.0	15109.0	17462.0
HMP_2012__SRS014690__bin.19	16911.0	2094.0	18041.0	17268.0	13494.0	12721.0	16672.0	17073.0	9529.0	10743.0	10702.0	13986.0	13045.0	15762.0	8395.0	15253.0	16335.0	17390.0	7794.0	16437.0	16587.0	0.0	13092.0	15523.0	10832.0	16295.0
HMP_2012__SRS054430__bin.12	15328.0	13047.0	17153.0	15533.0	13490.0	12566.0	15670.0	16618.0	12102.0	10719.0	12493.0	12869.0	12661.0	14591.0	11923.0	14914.0	15712.0	16044.0	8299.0	15651.0	15618.0	13092.0	0.0	15404.0	12485.0	16050.0
HMP_2012__SRS023841__bin.32	14030.0	16033.0	13774.0	14002.0	11372.0	12095.0	14151.0	121.0	14110.0	13776.0	14919.0	12080.0	14301.0	13207.0	14215.0	13566.0	14049.0	14208.0	10812.0	12855.0	16213.0	15523.0	15404.0	0.0	14346.0	14022.0
HMP_2012__SRS014476__bin.2	14665.0	11053.0	16537.0	15127.0	12800.0	11488.0	14994.0	15928.0	10324.0	10037.0	10011.0	12199.0	12208.0	14454.0	9988.0	13774.0	14955.0	15298.0	7963.0	14970.0	15109.0	10832.0	12485.0	14346.0	0.0	14762.0
HMP_2012__SRS063932__bin.48	14911.0	16558.0	14451.0	14773.0	12367.0	13080.0	14808.0	15038.0	13971.0	13863.0	14912.0	13266.0	15133.0	13484.0	14894.0	6247.0	15916.0	15116.0	10799.0	14533.0	17462.0	16295.0	16050.0	14022.0	14762.0	0.0
