	ZeeviD_2015__PNP_Main_25__bin.48	BritoIL_2016__W1.31.ST__bin.11	BritoIL_2016__W2.4.ST__bin.23	BritoIL_2016__W1.15.ST__bin.6	BritoIL_2016__M1.63.ST__bin.48	BritoIL_2016__W1.2.ST__bin.4	LiSS_2016__FAT_DON_19-22-0-0__bin.12	Obregon-TitoAJ_2015__SM40__bin.4	Obregon-TitoAJ_2015__SM24__bin.27	BritoIL_2016__M1.15.ST__bin.93	BritoIL_2016__M2.3.ST__bin.58	BritoIL_2016__W2.65.ST__bin.32	BritoIL_2016__W2.46.ST__bin.68	SchirmerM_2016__G89062__bin.1	BritoIL_2016__W2.40.ST__bin.21	ZeeviD_2015__PNP_Main_37__bin.8	CosteaPI_2017__SID713A049-11-0-0__bin.49	BritoIL_2016__W3.19.ST__bin.44	BritoIL_2016__M1.20.ST__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	Obregon-TitoAJ_2015__SM29__bin.35	BritoIL_2016__W1.1.ST__bin.12	CM_madagascar__A56_01_1FE__bin.9	ZeeviD_2015__PNP_Main_455__bin.55	CM_madagascar__A32_01_1FE__bin.54	SmitsSA_2017__TZ_12739__bin.2	Obregon-TitoAJ_2015__SM42__bin.6	Obregon-TitoAJ_2015__HCO64__bin.33	BritoIL_2016__M1.59.ST__bin.3	ZeeviD_2015__PNP_Validation_30__bin.18	BritoIL_2016__M1.52.ST__bin.60	BritoIL_2016__W1.26.ST__bin.71	RampelliS_2015__H10__bin.28	Obregon-TitoAJ_2015__SM01__bin.19
ZeeviD_2015__PNP_Main_25__bin.48	0.0	22220.0	29171.0	21517.0	25554.0	34287.0	28078.0	60156.0	22748.0	33837.0	35503.0	36509.0	36334.0	22096.0	33846.0	34321.0	31056.0	30414.0	19972.0	19061.0	35752.0	31205.0	39297.0	35505.0	25542.0	32243.0	58620.0	34517.0	18625.0	33745.0	29659.0	36627.0	19509.0	32369.0
BritoIL_2016__W1.31.ST__bin.11	22220.0	0.0	20466.0	14292.0	16706.0	5745.0	19579.0	40829.0	13913.0	22683.0	19032.0	22769.0	22814.0	16180.0	18512.0	22912.0	21418.0	2163.0	284.0	14102.0	23629.0	5485.0	23424.0	23470.0	16923.0	18543.0	37170.0	22951.0	13698.0	21900.0	20482.0	22940.0	13599.0	23607.0
BritoIL_2016__W2.4.ST__bin.23	29171.0	20466.0	0.0	160.0	169.0	28594.0	24342.0	57501.0	18180.0	28485.0	29934.0	443.0	34.0	20778.0	30551.0	29592.0	27697.0	30847.0	17282.0	20207.0	32103.0	27334.0	33067.0	30068.0	22658.0	26269.0	51174.0	30749.0	102.0	29232.0	26307.0	200.0	18634.0	30739.0
BritoIL_2016__W1.15.ST__bin.6	21517.0	14292.0	160.0	0.0	203.0	21446.0	18160.0	37829.0	14642.0	20486.0	21831.0	182.0	176.0	14594.0	21403.0	22151.0	20599.0	19268.0	13505.0	13498.0	23660.0	19668.0	23856.0	22390.0	16675.0	19885.0	36616.0	22418.0	154.0	21941.0	18953.0	291.0	12920.0	23032.0
BritoIL_2016__M1.63.ST__bin.48	25554.0	16706.0	169.0	203.0	0.0	25386.0	21264.0	46737.0	17387.0	24608.0	25656.0	208.0	204.0	17528.0	24932.0	25879.0	23662.0	22108.0	15122.0	15211.0	27275.0	23412.0	28255.0	26245.0	19779.0	23126.0	44438.0	26531.0	169.0	25359.0	22080.0	280.0	15256.0	26693.0
BritoIL_2016__W1.2.ST__bin.4	34287.0	5745.0	28594.0	21446.0	25386.0	0.0	29167.0	63781.0	24958.0	35113.0	29621.0	35828.0	35996.0	23409.0	28220.0	36650.0	32232.0	7739.0	5557.0	19373.0	38187.0	1114.0	37421.0	37553.0	24341.0	29014.0	61636.0	36512.0	19040.0	35431.0	30060.0	36134.0	17850.0	37440.0
LiSS_2016__FAT_DON_19-22-0-0__bin.12	28078.0	19579.0	24342.0	18160.0	21264.0	29167.0	0.0	51438.0	19779.0	20658.0	30717.0	29983.0	29958.0	14469.0	29814.0	29692.0	26920.0	26041.0	17269.0	16974.0	30792.0	26798.0	33099.0	21067.0	21844.0	26507.0	49245.0	29340.0	16081.0	28065.0	19793.0	30148.0	17579.0	30992.0
Obregon-TitoAJ_2015__SM40__bin.4	60156.0	40829.0	57501.0	37829.0	46737.0	63781.0	51438.0	0.0	42757.0	63027.0	64837.0	65449.0	66454.0	42896.0	67340.0	65931.0	56310.0	57969.0	37810.0	38747.0	55062.0	58349.0	68007.0	64082.0	47700.0	55369.0	1174.0	64252.0	34062.0	64452.0	57456.0	66486.0	31190.0	67040.0
Obregon-TitoAJ_2015__SM24__bin.27	22748.0	13913.0	18180.0	14642.0	17387.0	24958.0	19779.0	42757.0	0.0	24732.0	25581.0	26484.0	26647.0	15146.0	23883.0	25492.0	21981.0	18871.0	13581.0	10044.0	5068.0	22537.0	29641.0	26731.0	17906.0	23698.0	41733.0	24955.0	11142.0	25569.0	21531.0	26854.0	10534.0	24550.0
BritoIL_2016__M1.15.ST__bin.93	33837.0	22683.0	28485.0	20486.0	24608.0	35113.0	20658.0	63027.0	24732.0	0.0	36886.0	35140.0	34865.0	15764.0	35067.0	36010.0	31650.0	30309.0	20551.0	20486.0	37530.0	32082.0	38910.0	25551.0	26470.0	32743.0	60307.0	35564.0	18355.0	34765.0	24556.0	35012.0	19739.0	36939.0
BritoIL_2016__M2.3.ST__bin.58	35503.0	19032.0	29934.0	21831.0	25656.0	29621.0	30717.0	64837.0	25581.0	36886.0	0.0	37441.0	37548.0	23941.0	2156.0	37142.0	32450.0	25951.0	17709.0	20039.0	39418.0	26792.0	38956.0	37846.0	25936.0	32384.0	62436.0	38011.0	18748.0	35120.0	30827.0	37746.0	19314.0	38665.0
BritoIL_2016__W2.65.ST__bin.32	36509.0	22769.0	443.0	182.0	208.0	35828.0	29983.0	65449.0	26484.0	35140.0	37441.0	0.0	29.0	23984.0	36234.0	37300.0	33554.0	31217.0	20660.0	20510.0	40325.0	32843.0	40557.0	37519.0	26818.0	33275.0	63598.0	38420.0	110.0	37031.0	31166.0	233.0	19930.0	38582.0
BritoIL_2016__W2.46.ST__bin.68	36334.0	22814.0	34.0	176.0	204.0	35996.0	29958.0	66454.0	26647.0	34865.0	37548.0	29.0	0.0	24368.0	36343.0	37544.0	33637.0	31208.0	20891.0	20752.0	40345.0	32884.0	40754.0	37942.0	26967.0	33447.0	63946.0	38465.0	135.0	37216.0	31068.0	298.0	20059.0	38665.0
SchirmerM_2016__G89062__bin.1	22096.0	16180.0	20778.0	14594.0	17528.0	23409.0	14469.0	42896.0	15146.0	15764.0	23941.0	23984.0	24368.0	0.0	23453.0	24099.0	22007.0	21145.0	14195.0	14329.0	24828.0	21889.0	26524.0	16440.0	18575.0	21165.0	40377.0	24436.0	13194.0	23016.0	17064.0	24378.0	14383.0	24150.0
