	LoombaR_2017__SID5639_uuc__bin.25	QinJ_2012__DLM023__bin.11	HeQ_2017__SZAXPI029486-84__bin.31	ZellerG_2014__CCIS12656533ST-4-0__bin.24	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	YuJ_2015__SZAXPI015254-45__bin.34	XieH_2016__YSZC12003_36694__bin.65	YuJ_2015__SZAXPI017589-133__bin.23	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	FengQ_2015__SID532749__bin.5	LiJ_2014__V1.CD46-0__bin.5	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.26	VincentC_2016__MM098.1__bin.15	VogtmannE_2016__MMRS41266697ST-27-0-0__bin.40	CosteaPI_2017__SID713A037-11-0-0__bin.65	HeQ_2017__RSZAXPI003105-143__bin.24	LiJ_2014__MH0382__bin.18	LoombaR_2017__SID5450_zsn__bin.39	XieH_2016__YSZC12003_37179__bin.9	LeChatelierE_2013__MH0203__bin.97	VogtmannE_2016__MMRS85438660ST-27-0-0__bin.15	XieH_2016__YSZC12003_37283__bin.52	FengQ_2015__SID531128__bin.57	NielsenHB_2014__V1_UC35_4__bin.19	GeversD_2014__SKBSTL068__bin.18	XieH_2016__YSZC12003_36697__bin.49	QinN_2014__LV-22__bin.2	ZellerG_2014__CCIS41288781ST-4-0__bin.26	LiSS_2016__FAT_024-22-84-0__bin.30	NielsenHB_2014__O2_UC48_0__bin.20	NielsenHB_2014__V1_UC55_4__bin.39	ZellerG_2014__CCMD26709089ST-21-0__bin.20	WenC_2017__N019__bin.26	ZellerG_2014__CCIS82146115ST-4-0__bin.24	LeChatelierE_2013__MH0166__bin.17	LeChatelierE_2013__MH0251__bin.60	GeversD_2014__SKBSTL059__bin.9	Obregon-TitoAJ_2015__NO21__bin.46	HeQ_2017__RSZAXPI003080-114__bin.32	XieH_2016__YSZC12003_37284__bin.11	NielsenHB_2014__V1_UC55_0__bin.53	HMP_2012__SRS015264__bin.41	HeQ_2017__RSZAXPI003101-139__bin.39	LiJ_2014__V1.FI10__bin.12
LoombaR_2017__SID5639_uuc__bin.25	1.0	0.6217805981112622	0.8342364183155515	0.7406102493832123	0.47822673087628337	0.8114160921509014	0.7837347532354597	0.39169568067354216	0.6812746838653574	0.4309296450134886	0.7732374196693556	0.8230691823485041	0.5535958977433305	0.7133847076145711	0.8462670748940179	0.5684189809248689	0.5660032972209138	0.568124174459549	0.3971928330736621	0.8300201917724292	0.7663041151029846	0.8199881253932125	0.6902967498822421	0.7932698483805407	0.7942975536004269	0.5027887209352118	0.8153564523088781	0.8617246507613913	0.6670144504576911	0.8171981692353807	0.8284563999354391	0.7495923765353817	0.6579829144007194	0.7408297072687087	0.4241013343698224	0.512423457371644	0.6564784132494919	0.5352425483136741	0.6920507660027208	0.4662290135676852	0.8260510097533178	0.8419252673845232	0.8053177980756879	0.8109080039131852
QinJ_2012__DLM023__bin.11	0.8114685872328489	1.0	0.8696207748717207	0.7858062879806812	0.5145039250845926	0.8368240587346767	0.8172510275505528	0.4068777777718072	0.7142885545726201	0.46491443482167183	0.7884350118942771	0.8520966652498497	0.5785943849984336	0.7640779396221022	0.8663955907079016	0.5693062629938328	0.6120047566361576	0.604453354927702	0.4089712995149327	0.8729958801254608	0.7987032631749204	0.8449364554892882	0.7359266278663006	0.8292866281672173	0.8257234498616052	0.5456826756239592	0.8451508587684224	0.8979257691784808	0.712310026066925	0.8328240135971443	0.8447086184207345	0.7913501441982955	0.7023539760523897	0.762664704975177	0.45946676453630053	0.5650402288257954	0.6691241545444628	0.5599230297601423	0.7509816069928784	0.5165797142256845	0.8421766177909584	0.8682134510921402	0.841204011436991	0.8467817208039424
HeQ_2017__SZAXPI029486-84__bin.31	0.7887719167112417	0.6300248140889835	1.0	0.7728693324488399	0.4916915235788347	0.824809183782315	0.8122047633396167	0.4152980766161275	0.7159686098270643	0.4530058371893665	0.800700120138498	0.8397708258879387	0.5690087834244688	0.7308983291950565	0.8848955620387261	0.590922185601911	0.5778969300448242	0.5746840232926981	0.4265843215756441	0.8497828864539366	0.7968503158404517	0.8456757537464447	0.7123290284353732	0.8208028802095377	0.7954476618930495	0.5228788703399616	0.8239161257319845	0.8781256058507371	0.6859849838556594	0.836470715559843	0.8430942943167405	0.7637495513298156	0.6800999103827536	0.739088068604299	0.42916344519527766	0.5258301663641792	0.6984749496048978	0.5325413379987246	0.7187275908221351	0.47475845777361486	0.8427781813538511	0.8781836118008239	0.8217107317236488	0.8340356335612306
ZellerG_2014__CCIS12656533ST-4-0__bin.24	0.8217764741894071	0.6681053348135761	0.9070010005345321	1.0	0.5379111214667197	0.8535587505653706	0.8591329614451556	0.44735954825180574	0.7637792793410177	0.4956871936148536	0.852196835752434	0.8791203519688602	0.6031016570496567	0.7998615698797988	0.9048674405961176	0.5938145036389304	0.6234248434094928	0.6200435849289346	0.46354262322793455	0.894001818323031	0.8540023665611308	0.8910477286952391	0.773440148389779	0.8477355482152565	0.8354020184299374	0.5897680495972735	0.8645934129192308	0.903881982611715	0.7558348524097349	0.8857768762306802	0.8911601175056993	0.8101154498065176	0.7447800879922151	0.7632698747732807	0.47445987125541955	0.5769228309188014	0.7252271761626075	0.5670161684552933	0.8030806412558308	0.5170872109757267	0.8943641123339866	0.8885313158171261	0.8735210135095005	0.8701022920921223
VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	0.8239532588886358	0.6792394070246454	0.8959817314670373	0.8352476559568173	1.0	0.8907051957347885	0.8695195997267381	0.7029412536702712	0.741686689551991	0.3513053360546013	0.8446578800074062	0.9065667260436552	0.746439686245466	0.8328456191203835	0.9002140267317048	0.7949053550665881	0.6103081857244099	0.6306573961949069	0.6913935999126016	0.9169800452173148	0.8445982901981148	0.8816929464819666	0.7572850315364877	0.8940656353373244	0.8623071045950127	0.5269995041276584	0.9005389330728407	0.9147638718336707	0.7317976188195968	0.8673701101773009	0.878499216464948	0.8214256578111954	0.7171165342566916	0.7767113093654607	0.4760480889760981	0.611086400257655	0.8139740940398131	0.584234097146996	0.8363231101340274	0.5134300532690331	0.8801123977307632	0.9083416510775469	0.9020045586204107	0.8661251088046071
YuJ_2015__SZAXPI015254-45__bin.34	0.7703221897567697	0.6087351828869062	0.8281709354936432	0.7302948275693583	0.4907881287195473	1.0	0.7807593007006675	0.4247694247100096	0.6696488845022525	0.41684885323118115	0.7708780330496134	0.8837024948451593	0.5363414800988948	0.7532763287762262	0.8379845794529517	0.573333984813986	0.5637318114745288	0.5799939412299302	0.4049713185642669	0.8355931242731919	0.7631294524630855	0.818634822292365	0.6868241295404129	0.801687074298111	0.7819890355806159	0.49473062903714415	0.8552266664060745	0.8560944386354087	0.6557907183551417	0.8235584524728577	0.8312398002560318	0.8159419921626877	0.640902561296186	0.7394959494190422	0.4243500014658314	0.5329587319580577	0.6579980651024616	0.5160836892046398	0.7055887267787865	0.4669916252162101	0.831699485004544	0.8365496281674175	0.819922408654269	0.8030301668116211
XieH_2016__YSZC12003_36694__bin.65	0.8312147568036591	0.6641483051606105	0.9110608341291915	0.8211841058943283	0.5352476723606003	0.8722330010598341	1.0	0.45297493734664174	0.7445847803977413	0.4704615453141314	0.8407130888858904	0.8880885911280486	0.5943782939683779	0.7885724816057426	0.9069450794569911	0.618590721931754	0.6263414412608663	0.6159946305231353	0.46534272555099804	0.9017258221793107	0.8479996122238569	0.8890016991407352	0.7712631676856707	0.8521712625563268	0.8431947688648945	0.5648680054550671	0.8675299052699564	0.9251308198626975	0.7385729401248308	0.8961336360432686	0.8955030631258513	0.8112250712997182	0.7260999108726229	0.7735313087750509	0.46119552956989607	0.5693003566405137	0.7275152064580449	0.5720584581269452	0.7815003705270916	0.5179715464888136	0.9048817435603178	0.9028441720695499	0.8768094582444134	0.8716600705420701
YuJ_2015__SZAXPI017589-133__bin.23	0.7891424845666467	0.6281105195660578	0.8849205230003002	0.8122680434605883	0.8219718524835214	0.9014281140035801	0.8604718682445379	1.0	0.7385471329051867	0.30319384557190093	0.8135836735777341	0.8856994490280431	0.7765137626855445	0.8075853624950851	0.8783407133601989	0.8510841090795068	0.6137621878281817	0.6072470813085957	0.7859131352311809	0.883696970400811	0.8513105700013106	0.8930731161852367	0.719539346963018	0.8516224722232821	0.8439219713547671	0.4619296793213804	0.8768765978767422	0.890967776186929	0.7083971377993972	0.8670093719981484	0.8787297616104773	0.8007293203020143	0.6859542797796112	0.7762176214801089	0.4766006971346472	0.5915947328341792	0.8525755989601047	0.5572589435473568	0.8472541820613088	0.47769567302029187	0.8866774615804484	0.877936733620571	0.8583408129034613	0.8454964139539745
VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	0.8020206837984667	0.6443212619676365	0.891445927028924	0.8103398634264376	0.5067748746524586	0.8303891687315565	0.8264818735628172	0.4315537472419663	1.0	0.4743221732335982	0.8339639487674644	0.8569898946421439	0.6082424006235386	0.7627184614728385	0.8898410325612778	0.5824351547019385	0.6050011051523365	0.6213287614926148	0.43597290244025394	0.8656032968439176	0.8286349817552922	0.8639557473738091	0.7455561242889217	0.8260068519444864	0.8132845127441515	0.5395649383635215	0.8311889500277257	0.8734159483176479	0.7273923639790137	0.8586388982600637	0.8635156253029475	0.7793723316387664	0.7038938200656887	0.7470088179523272	0.47036398289146625	0.5596084270773956	0.707639220111446	0.5459122935594825	0.7574990402624445	0.5045602075359756	0.862338250291799	0.8745996246359784	0.8501180768022708	0.8679163612956262
FengQ_2015__SID532749__bin.5	0.7784579362092382	0.6435277264146593	0.8655063973735141	0.806998061672436	0.36833653412750716	0.7931924983896856	0.8013251436638408	0.2718582506854063	0.7278449754473549	1.0	0.8222748497907707	0.8077656572388279	0.4253587691099313	0.7670622659837644	0.8788441141337253	0.3172103553997224	0.6133475348430372	0.6107011152449537	0.2622781819885783	0.8280466924217789	0.8229583966178192	0.8416454809298617	0.7286400913974256	0.7723231220313316	0.7886449409353062	0.7951077683348977	0.7688540660994988	0.8321345850893074	0.757574427761968	0.8392861658750217	0.8413271370321721	0.7752611089375793	0.7188339092779396	0.703357784326472	0.4418003388726164	0.5369933460175029	0.5880533270656279	0.5254898256397745	0.8084871375677039	0.5255188336117603	0.8401311160333755	0.8195689266604089	0.8113864471779706	0.8098683633107171
