	OhJ_2014__MET0249__bin.5	OhJ_2014__MET0026__bin.1	OhJ_2014__MET0238__bin.3	FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	OhJ_2014__MET0067__bin.3	OhJ_2014__MET0254__bin.2	OhJ_2014__MET0232__bin.3	OhJ_2014__MET0204__bin.7	OhJ_2014__MET0258__bin.6	OhJ_2014__MET0297__bin.3	OhJ_2014__MET0202__bin.4	HMP_2012__SRS024596__bin.6	OhJ_2014__MET0188__bin.12	OhJ_2014__MET0266__bin.3	HMP_2012__SRS017849__bin.5	OhJ_2014__MET0197__bin.1	OhJ_2014__MET0276__bin.31	OhJ_2014__MET0314__bin.3	OhJ_2014__MET0259__bin.28	HMP_2012__SRS020263__bin.4	OhJ_2014__MET0212__bin.8	HMP_2012__SRS019016__bin.5	OhJ_2014__MET0076__bin.2	OhJ_2014__MET0296__bin.3	OhJ_2014__MET0014__bin.2	OhJ_2014__MET0288__bin.6	HMP_2012__SRS058182__bin.3	OhJ_2014__MET0250__bin.9	OhJ_2014__MET0199__bin.9	OhJ_2014__MET0306__bin.4	HMP_2012__SRS024598__bin.3	HMP_2012__SRS015381__bin.1	OhJ_2014__MET0190__bin.9	OhJ_2014__MET0292__bin.1	OhJ_2014__MET0207__bin.1	OhJ_2014__MET0317__bin.3	OhJ_2014__MET0246__bin.3	OhJ_2014__MET0311__bin.3	HMP_2012__SRS020261__bin.4	OhJ_2014__MET0211__bin.5	OhJ_2014__MET0262__bin.1	OhJ_2014__MET0243__bin.10	HMP_2012__SRS024482__bin.7	OhJ_2014__MET0216__bin.2	HMP_2012__SRS017851__bin.9	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.4	HMP_2012__SRS013261__bin.1
OhJ_2014__MET0249__bin.5	1.0	0.9861664371680647	0.9841813082981683	0.9634357696671353	0.989698243775638	0.9851381838194568	0.9874336222824506	0.9697960752047986	0.9811326775154959	0.9861602030342934	0.9857940981940666	0.9730039858948699	0.9965456739392754	0.9657397760600315	0.9736685497968781	0.9970165290495447	0.9825250720027923	0.9868564064115569	0.9876504549101236	0.9635516319395679	0.974862264188689	0.9637975772920994	0.9711145954217366	0.9842883681667178	0.9628991432323741	0.9748470919297475	0.9708740669072047	0.9893999789690726	0.9887313610599919	0.9700078954832214	0.9725518914341945	0.9637950041971407	0.9963008876239913	0.9842657881555119	0.977697279015604	0.9639408107124633	0.9984033225516977	0.9604266129502687	0.9632747448187245	0.959802750270617	0.9687949071051077	0.9953044542963583	0.9715740320592655	0.9623269168470757	0.961825040861353	0.9739768861353205	0.9723661467032662
OhJ_2014__MET0026__bin.1	0.9861664371680647	1.0	0.9823733494941391	0.9632086679582669	0.9875800183971916	0.984234894868358	0.9869451723955462	0.9702021098139878	0.9803693371560472	0.9839778407665807	0.9835033705442643	0.972376344482978	0.9879953849658253	0.9647461370361486	0.9738583056296092	0.9883932392242687	0.9819644172355974	0.986364023038546	0.9872702928451806	0.963492351867037	0.973606657815959	0.9635749491872715	0.9714630308408038	0.9826484205231094	0.962997081028487	0.9748363952706899	0.9703511158528725	0.9862694460879744	0.9869622766379881	0.9703242543515307	0.9721871022304992	0.964302529544691	0.9870822035323534	0.9828477023080175	0.9768418922261617	0.9638467833865898	0.9857977894383099	0.9612159386855045	0.9631833453870996	0.9597266327323303	0.9689383952529603	0.9872771221423237	0.9718411939444965	0.9623179967329064	0.9618393398918901	0.9741341331227373	0.9724206347040983
OhJ_2014__MET0238__bin.3	0.9841813082981683	0.9823733494941391	1.0	0.9640850306407711	0.9874164936109339	0.983626935320833	0.9842910060383678	0.9718366637665675	0.9801226647765491	0.9997707902670852	0.9911334378568848	0.9742571424174002	0.9861511532839825	0.9656605754972275	0.974905022742089	0.9860087951143253	0.9816565209523279	0.9838008322160646	0.9851169264410107	0.964218411624545	0.9761900613325899	0.9645136173255103	0.9730634412161426	0.9991469940567802	0.9634365341370378	0.9767004153686397	0.9720525806750527	0.9897611886554224	0.9844381942763668	0.971678330375499	0.9739551548982303	0.9646109448293372	0.9852359794479365	0.9994069343365316	0.9797421088852929	0.9645125256403796	0.9850251774367688	0.9611840102182517	0.9638927259844068	0.9599185875947819	0.9701751131333846	0.9913728482270242	0.9734284369505932	0.9644737031069138	0.9628605550132288	0.9758776681257523	0.9738972142970315
FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	0.9634357696671353	0.9632086679582669	0.9640850306407711	1.0	0.965835739736318	0.9681534987623912	0.9638622360443719	0.970787211566262	0.9673095438376017	0.9656854110573092	0.9698934413164169	0.9727144923159806	0.9651445298719055	0.9790205292294589	0.9817239270224519	0.9651259153477958	0.9675011444266423	0.9671199206671227	0.9671473192598348	0.9786436151014221	0.9705137583034499	0.9846390892941305	0.9728221734373882	0.9650554197731178	0.9788007172570788	0.9748216151956387	0.9806358064060592	0.9673000427337408	0.9648414479305581	0.9700077520137567	0.9717079223126318	0.978336417519569	0.9642908071772099	0.9647643424280399	0.971095184569825	0.9788465074877625	0.9654273530322113	0.9641205627761376	0.9789162225132814	0.9666715643801919	0.9692342862971939	0.9650275037005336	0.9737973712211533	0.9655953589254617	0.9864625724306678	0.9742092630233194	0.971794576500215
OhJ_2014__MET0067__bin.3	0.989698243775638	0.9875800183971916	0.9874164936109339	0.965835739736318	1.0	0.9872765553584695	0.9897352242507544	0.9736065457445564	0.9851477264653206	0.9889848088064226	0.9887619834919885	0.975862313250736	0.9916633361423034	0.9676145840568288	0.9756104974789789	0.9917998648104274	0.9847378773201435	0.9893416628036172	0.9897809793349619	0.9658716069462765	0.9765048030830789	0.9657679591555681	0.9742252556898706	0.9878264621970901	0.9655737401223907	0.9773222473375167	0.9723685724721434	0.989966099230189	0.9905781845559284	0.9727474919553284	0.975200861538224	0.9661328402728692	0.9906994400683307	0.9874526315789474	0.9799683245755968	0.9657883938576141	0.9894586159478101	0.9641732362039717	0.965240411753134	0.9618148821784047	0.9711774258158301	0.9909265359070774	0.9740062471296896	0.9651819939479738	0.9642872828907966	0.9763076512929886	0.9749576145961332
OhJ_2014__MET0254__bin.2	0.9851381838194568	0.984234894868358	0.983626935320833	0.9681534987623912	0.9872765553584695	1.0	0.9920801985393317	0.975562934318183	0.9866523177744225	0.9846843541264463	0.986279855275353	0.9774552913355204	0.9857239527972753	0.9702511861022104	0.9775933097576055	0.9864744762118637	0.9821339973456047	0.9844335290777424	0.9861285057589274	0.9684426686611425	0.9800259572310426	0.9683480488246279	0.9757110741862965	0.9835462456103027	0.9682442766631967	0.9786238646261043	0.9746446957451381	0.9891455141100511	0.9854190803617366	0.9743939455133482	0.976707800752403	0.9686614611073705	0.9850140956215299	0.9840006027250006	0.980156505390459	0.9684301568469985	0.9854325397675101	0.9677535039229147	0.9682378043814643	0.9646959612557976	0.9797428651486486	0.9864907145781405	0.97583786215825	0.9703180735190694	0.9669790107662253	0.9771688095403139	0.9765910876026838
OhJ_2014__MET0232__bin.3	0.9874336222824506	0.9869451723955462	0.9842910060383678	0.9638622360443719	0.9897352242507544	0.9920801985393317	1.0	0.9704780775209011	0.9844052629907825	0.9861951679360098	0.9861435842768763	0.9728033518207241	0.9892088780410949	0.9651821831276611	0.9739429881685486	0.9901035378577389	0.982995563327828	0.9870623006397392	0.9885707281857724	0.9637723392480202	0.9744392969463536	0.9641211210302747	0.9715995076471389	0.9842875121517441	0.9631661657301087	0.9751970383819568	0.9708488070765632	0.9921551299116146	0.9886987481577462	0.9699567600131647	0.9724209158548207	0.9641949131195571	0.9887052928780451	0.9847318240325528	0.9776689114450926	0.9639424418185768	0.9878242295580609	0.9608933960915145	0.963402419543122	0.9598485681949638	0.9693041215053115	0.9890977641669627	0.9718576849358243	0.9620583729158801	0.9623018422809745	0.9743983112577859	0.9725880430240756
OhJ_2014__MET0204__bin.7	0.9697960752047986	0.9702021098139878	0.9718366637665675	0.970787211566262	0.9736065457445564	0.975562934318183	0.9704780775209011	1.0	0.9756600716485722	0.9732152989565807	0.9760858652231875	0.9788334426560371	0.9716838219635124	0.9710864424239966	0.9798424692650657	0.9715399129323272	0.9740627040223502	0.9728172214438039	0.9750029239655764	0.970043641839334	0.97914103422241	0.9705946414418729	0.9799602834808163	0.9718260233056565	0.9698092195302279	0.9812110641616354	0.9778736900526286	0.9740834345783767	0.9698251724373421	0.9765937546328117	0.9786648879642169	0.9705566033234905	0.9711939827405199	0.9726570821874891	0.9793009139323401	0.9707024337903969	0.9705827244824181	0.973635801150347	0.969868455068743	0.9671226868737661	0.9782769968711388	0.9724694066640399	0.9787903824774541	0.9727872374771084	0.968844662633032	0.9833044515251458	0.9787447272825546
OhJ_2014__MET0258__bin.6	0.9811326775154959	0.9803693371560472	0.9801226647765491	0.9673095438376017	0.9851477264653206	0.9866523177744225	0.9844052629907825	0.9756600716485722	1.0	0.9813241387481336	0.98397791576702	0.974320961012804	0.9830604383119323	0.9681851696930623	0.9755617840761166	0.9829517265508272	0.9791779376872968	0.9815808360920092	0.9834589074851657	0.9671335391424812	0.9792920983821307	0.9673188872486855	0.9742460416411226	0.980419088431917	0.9665979582952031	0.97772206702924	0.9738347029382408	0.9846674345477203	0.9811764655845822	0.973762273606997	0.974171490470871	0.9671162823186019	0.9820303707043774	0.9806150010388531	0.9791969174994543	0.9671055300260188	0.9817893534500407	0.9684238974959065	0.9668788805626667	0.9642212704703046	0.9825776949962984	0.9830009508359799	0.9737015469270363	0.9712125660172248	0.9661857193547586	0.976033215615157	0.9743577473795484
OhJ_2014__MET0297__bin.3	0.9861602030342934	0.9839778407665807	0.9997707902670852	0.9656854110573092	0.9889848088064226	0.9846843541264463	0.9861951679360098	0.9732152989565807	0.9813241387481336	1.0	0.9917759572194825	0.9757844379028325	0.9877967516624662	0.9677199624918172	0.9760035880001329	0.987406751059225	0.982770740457198	0.9858676972479284	0.9866860945462482	0.9660737184928269	0.9776316172921004	0.9666478300675927	0.9744152010144702	0.9991203478624362	0.9656348856193098	0.9773176641216472	0.9729643894341533	0.99096176840298	0.9855138181424081	0.973498230258809	0.975323960848768	0.9674567796579729	0.9865663788567535	0.9991642468896225	0.9806608512624814	0.9665409761921678	0.9866928654633419	0.9635318642256806	0.9657949482516512	0.9622241252145298	0.9714070051368302	0.9923353516017246	0.9748092609919665	0.9654911722111468	0.9651886785856623	0.9767218413918501	0.9752471923535397
OhJ_2014__MET0202__bin.4	0.9857940981940666	0.9835033705442643	0.9911334378568848	0.9698934413164169	0.9887619834919885	0.986279855275353	0.9861435842768763	0.9760858652231875	0.98397791576702	0.9917759572194825	1.0	0.977811336943037	0.9871187788643297	0.9711660089350432	0.9778317994165366	0.986887517964218	0.9827801142223579	0.9856182657665682	0.9871600207040921	0.9695874440050578	0.9803538865432914	0.9692395540802996	0.9767417598243668	0.9910072190965012	0.9681601981673859	0.9795920930585987	0.9758686523251486	0.9894366197183099	0.9850394927259185	0.9756438231141076	0.9773566650693034	0.969009295781695	0.9858123580518192	0.9917945103764205	0.981295161329726	0.9696628380881808	0.9863957726197023	0.9670496061457824	0.969343111680108	0.9645150453290676	0.9760718077738291	0.989572722265362	0.9767288305177191	0.9695908047262422	0.9681797346681982	0.9790865496678642	0.9770582586982332
HMP_2012__SRS024596__bin.6	0.9730039858948699	0.972376344482978	0.9742571424174002	0.9727144923159806	0.975862313250736	0.9774552913355204	0.9728033518207241	0.9788334426560371	0.974320961012804	0.9757844379028325	0.977811336943037	1.0	0.9737953447112464	0.9740839153063907	0.9836202686160866	0.9740226256543915	0.9769822880205301	0.9750937126623627	0.9758716761861796	0.9725764026871038	0.9762665067121973	0.9723707856556376	0.9821050978615393	0.9742749627924827	0.9719037699971887	0.983596617839929	0.9799113900782838	0.9757310678399511	0.9722177451737879	0.9788289727206841	0.9990657772879966	0.9729396597386244	0.9734226482685789	0.9745971784250305	0.9771770420878954	0.9726837854797044	0.9728645522458045	0.9670633229415206	0.972327408077664	0.9665556920503404	0.9737893186359912	0.9750755559071335	0.9818587057364148	0.9684544883895266	0.9716863419455587	0.9822812583916573	0.9989669600164783
