	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
HeQ_2017__SZAXPI029578-96__bin.27	1533807.0	1099541.0	1133219.0	1319192.0	1217239.0	1309398.0	1270203.0	1289198.0	859339.0	1280565.0	1294149.0	1271828.0	1286639.0	1325250.0	1314437.0	1258393.0	1265566.0	1194218.0	703020.0	1281534.0	1323629.0	1079760.0	1245515.0	1269912.0	1205829.0	942592.0	1296218.0
VincentC_2016__MM009.1__bin.28	1099541.0	1139745.0	953955.0	1088066.0	1029108.0	1066270.0	1074856.0	1060076.0	730513.0	1091125.0	1093598.0	1050724.0	1078434.0	1070480.0	1062813.0	1079096.0	1033648.0	986784.0	583800.0	1053417.0	1089824.0	910738.0	1054649.0	1060216.0	997265.0	784281.0	1075357.0
VincentC_2016__MM009.2__bin.4	1133219.0	953955.0	1192083.0	1099574.0	1043075.0	1089100.0	1083890.0	1059916.0	746982.0	1109892.0	1102668.0	1065922.0	1094350.0	1082673.0	1102016.0	1078426.0	1068860.0	1000182.0	603931.0	1096304.0	1125390.0	945966.0	1064246.0	1069024.0	1026368.0	816811.0	1106254.0
VincentC_2016__MM060.1__bin.3	1319192.0	1088066.0	1099574.0	1403648.0	1189369.0	1286954.0	1258213.0	1257832.0	868843.0	1281583.0	1288063.0	1225144.0	1270838.0	1291992.0	1272851.0	1249847.0	1223712.0	1203669.0	697076.0	1238041.0	1275003.0	1089089.0	1241349.0	1264621.0	1198896.0	920698.0	1283774.0
VincentC_2016__MM041.2__bin.1	1217239.0	1029108.0	1043075.0	1189369.0	1271808.0	1191915.0	1181335.0	1170287.0	816905.0	1205157.0	1193898.0	1156112.0	1191036.0	1193907.0	1194843.0	1176144.0	1150931.0	1098677.0	685705.0	1171115.0	1210100.0	1009930.0	1160208.0	1171485.0	1107625.0	884299.0	1196610.0
VincentC_2016__MM058.1__bin.40	1309398.0	1066270.0	1089100.0	1286954.0	1191915.0	1358662.0	1241500.0	1238824.0	859932.0	1258488.0	1261921.0	1223093.0	1252256.0	1274167.0	1249376.0	1238321.0	1211714.0	1174295.0	691623.0	1228901.0	1265284.0	1072221.0	1214048.0	1243800.0	1181396.0	910232.0	1255326.0
VincentC_2016__MM038__bin.31	1270203.0	1074856.0	1083890.0	1258213.0	1181335.0	1241500.0	1317053.0	1216016.0	860402.0	1271096.0	1262645.0	1199699.0	1254104.0	1253051.0	1244095.0	1245205.0	1209496.0	1146964.0	685861.0	1220811.0	1262113.0	1046553.0	1224640.0	1245181.0	1168432.0	918361.0	1262141.0
VincentC_2016__MM083.2__bin.12	1289198.0	1060076.0	1059916.0	1257832.0	1170287.0	1238824.0	1216016.0	1379943.0	830048.0	1231155.0	1235564.0	1198537.0	1217172.0	1327502.0	1224137.0	1216818.0	1187412.0	1154882.0	682980.0	1202834.0	1222212.0	1027189.0	1210496.0	1213989.0	1144701.0	893276.0	1212431.0
VincentC_2016__MM064.2__bin.4	859339.0	730513.0	746982.0	868843.0	816905.0	859932.0	860402.0	830048.0	897910.0	874477.0	874939.0	825918.0	861041.0	858852.0	844654.0	860340.0	830614.0	792957.0	489573.0	835616.0	866629.0	738900.0	844858.0	861376.0	823141.0	654115.0	876130.0
VincentC_2016__MM061__bin.28	1280565.0	1091125.0	1109892.0	1281583.0	1205157.0	1258488.0	1271096.0	1231155.0	874477.0	1334869.0	1281568.0	1224410.0	1275962.0	1264695.0	1261567.0	1264314.0	1220340.0	1164131.0	694104.0	1247483.0	1285097.0	1070614.0	1243166.0	1254419.0	1188548.0	927943.0	1279485.0
