	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
ZeeviD_2015__PNP_Main_484__bin.5	1.0	0.8781038919172037	0.7524598766267305	0.8290157787422892	0.9023032186940034	0.617914655252541	0.9213804252295159	0.46958906559396474	0.8995724409106044	0.9248489012766768	0.9339454150346906	0.614141452171386	0.740801420333882	0.5738910112584286	0.938268068018839	0.9419918559052921	0.8911195012359681	0.8873715940282914	0.891527764868385	0.9107255680100148	0.6996367983189421	0.7765615495663816	0.8884181372589391	0.47091798136576535	0.9182025575892916	0.6176381654726623
Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	0.6295932307907744	1.0	0.7191006781103678	0.8478505415561404	0.9094912253100466	0.5760787362185678	0.9047680307467396	0.4341348873169277	0.9114647766015016	0.9047072931134913	0.9167227997686909	0.5915600840710074	0.7092548546873214	0.536595056715874	0.9348559358171932	0.9581530360591737	0.910085526179818	0.867101840561182	0.8765887214432949	0.8966798025858205	0.6698559547977035	0.7430620962160033	0.8648022462801362	0.4546232938102868	0.9040910592094912	0.5829277479455707
VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	0.6315744514861166	0.8418151877920943	1.0	0.8235704815960537	0.8771842419065347	0.5861231604077531	0.8822093129473225	0.4599167014361225	0.8768336670378152	0.8881641480413481	0.8922900686089832	0.5821695646699535	0.7403726462724263	0.5820209406763133	0.9094089850857551	0.9023091033430524	0.8645171324950809	0.8971349145412036	0.9065056326518519	0.9283247212065701	0.7233174257929288	0.7308770050043328	0.8521931914410356	0.4695377596290819	0.9374510244439561	0.6123649237499661
ZeeviD_2015__PNP_Validation_26__bin.30	0.6395542454917391	0.9122623334717525	0.7569621344660998	1.0	0.9273441027840369	0.564948229031226	0.9142142680472258	0.4572156000462909	0.91970700558895	0.9262549042299479	0.9292678997301965	0.5892890937187282	0.7599746761336174	0.5681137123290468	0.9430807527269675	0.9440288093017557	0.9276145870916357	0.9191669446392144	0.9502612941947987	0.9763199157686452	0.7024994837652686	0.7490677141126095	0.8757301601348791	0.4750489572058426	0.9631937116936811	0.5868261434882945
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	0.6169022502441371	0.8672577975053775	0.7145184747826898	0.8218454833431739	1.0	0.5296632597409493	0.8990338284717742	0.4309277048539441	0.8912109843189179	0.9102182834950457	0.8976019865599918	0.5748628086303065	0.7019974999074934	0.5314667370253404	0.9178939214288817	0.9141470002911948	0.9743519306538047	0.8573668266361208	0.8751345368313178	0.8906261814706786	0.6670215435899334	0.7323485264094393	0.8455062687325947	0.4371377158421242	0.8961890481790672	0.5783346230635947
XieH_2016__YSZC12003_37265R1__bin.8	0.7130878713921542	0.9272188485443023	0.8058648816534906	0.8451010010149321	0.8940268362972291	1.0	0.9122012484682672	0.5017403199581807	0.9443464210915781	0.9187436566746209	0.9441909565819532	0.6385524828496849	0.7559634896011894	0.5892193169744842	0.9594719637747327	0.946590812658477	0.897835377340878	0.9034701172093781	0.8802733188278383	0.9305820414730432	0.7202195511895751	0.7715140138696067	0.9017314944620012	0.5039711338386496	0.935282636515151	0.6609739953360647
NielsenHB_2014__MH0132__bin.1	0.6454803255265161	0.8840302513652555	0.7363333304484829	0.8301898767303436	0.9212048453946867	0.5537581563992781	1.0	0.4472952261083904	0.9214640698067851	0.9883489135859556	0.9370472072793842	0.5978267185774885	0.7245338803009641	0.5466935699570034	0.9572040689578148	0.9618070537888594	0.9082320853882742	0.885464434122175	0.8913960986107796	0.9116065360818539	0.6906261732583437	0.7833448521287517	0.8923448022620524	0.4520016534313853	0.9245933082186503	0.6033260676316079
ZeeviD_2015__PNP_Main_612__bin.5	0.6559597933459499	0.8458040961021864	0.7654154405450512	0.827876766868297	0.8804400971967593	0.6073285436181551	0.891886272888859	1.0	0.8776921604091665	0.9009214298803613	0.8990683804018856	0.6035862875982095	0.7706064443390777	0.57295303772743	0.9122985784521983	0.9202506670567246	0.8671548418005232	0.9025041231378085	0.9141442321677884	0.9430822088349783	0.7414663168196904	0.7523865715955044	0.8624536018597879	0.5197947593624195	0.9465376736052619	0.5994249383480988
XieH_2016__YSZC12003_35992__bin.77	0.6241281424930155	0.8819894003677423	0.7247924051614536	0.8271276302658888	0.9043869906554263	0.5677464251240264	0.9125822165353447	0.4359338553560387	1.0	0.9185313978902773	0.9153327333541489	0.5799415122332491	0.7081533905966528	0.5392449649706031	0.9490674813322802	0.9286322719415858	0.902043806643443	0.8614754181997768	0.8696873781930015	0.8995573622955938	0.6787319623604895	0.7479822128620027	0.8617080631896444	0.44729101235263263	0.9126560915233554	0.5940989802394611
LeChatelierE_2013__MH0132__bin.16	0.6357021463632	0.8673149575001405	0.727335733322227	0.8252752553812736	0.9150916655310997	0.5472209204198674	0.9697262548891721	0.44331310069642266	0.9099955642123727	1.0	0.9229022100897388	0.5882270880651433	0.7190694793145516	0.5383129531064059	0.9439865559647191	0.9527529986045667	0.9023504013437565	0.876000528897923	0.8823780350471702	0.903048724518988	0.6852454866770694	0.7677944026587229	0.8817403653034876	0.44996031243795664	0.9227687725403315	0.5947311577082223
