	BritoIL_2016__M2.31.ST__bin.51	BritoIL_2016__W2.65.ST__bin.29	BritoIL_2016__W2.4.ST__bin.28	BritoIL_2016__M1.7.ST__bin.4	BritoIL_2016__WL.26.ST__bin.2	BritoIL_2016__M1.63.ST__bin.17	BritoIL_2016__M1.22.ST__bin.19	BritoIL_2016__M2.51.ST__bin.51	BritoIL_2016__M2.58.ST__bin.42	BritoIL_2016__M1.62.ST__bin.5	BritoIL_2016__W1.20.ST__bin.32	BritoIL_2016__M1.25.ST__bin.54	BritoIL_2016__M2.11.ST__bin.81	BritoIL_2016__WL.20.ST__bin.78	BritoIL_2016__WL.15.ST__bin.42	BritoIL_2016__W3.23.ST__bin.68	BritoIL_2016__W3.1.ST__bin.28	BritoIL_2016__M1.15.ST__bin.10	BritoIL_2016__W1.8.ST__bin.52	BritoIL_2016__M1.37.ST__bin.8	BritoIL_2016__W2.13.ST__bin.17	BritoIL_2016__WL.13.ST__bin.55	BritoIL_2016__WL.17.ST__bin.1	BritoIL_2016__M2.32.ST__bin.1	BritoIL_2016__W1.37.ST__bin.26	BritoIL_2016__M2.5.ST__bin.36	BritoIL_2016__W2.46.ST__bin.8	BritoIL_2016__M1.64.ST__bin.18	BritoIL_2016__W2.53.ST__bin.13	BritoIL_2016__W1.14.ST__bin.49	BritoIL_2016__WL.9.ST__bin.11	BritoIL_2016__M1.52.ST__bin.64	BritoIL_2016__W1.6.ST__bin.25	BritoIL_2016__W1.2.ST__bin.40	BritoIL_2016__M1.6.ST__bin.26	BritoIL_2016__WL.1.ST__bin.13	BritoIL_2016__M2.57.ST__bin.48	BritoIL_2016__W1.18.ST__bin.39	BritoIL_2016__M1.48.ST__bin.68	BritoIL_2016__W3.17.ST__bin.69	BritoIL_2016__W2.36.ST__bin.37
BritoIL_2016__M2.31.ST__bin.51	0.0	73525.0	72516.0	42731.0	47434.0	6100.0	73274.0	74038.0	54554.0	60310.0	77237.0	44119.0	52324.0	62321.0	61112.0	61968.0	48613.0	33144.0	76669.0	57769.0	40363.0	72725.0	81693.0	62474.0	72585.0	67957.0	36801.0	16992.0	46566.0	82535.0	58722.0	81525.0	85477.0	36322.0	44193.0	57918.0	79273.0	61900.0	48894.0	74326.0	44205.0
BritoIL_2016__W2.65.ST__bin.29	73525.0	0.0	4440.0	42981.0	45870.0	70669.0	71283.0	70602.0	54472.0	60713.0	76283.0	47320.0	49996.0	58983.0	57766.0	55146.0	49017.0	33617.0	71019.0	58963.0	37478.0	69190.0	72861.0	65696.0	68643.0	65391.0	35271.0	48583.0	42674.0	77731.0	53577.0	75946.0	81413.0	36142.0	43522.0	54636.0	78279.0	62536.0	47933.0	66795.0	37475.0
BritoIL_2016__W2.4.ST__bin.28	72516.0	4440.0	0.0	42180.0	45068.0	69646.0	71441.0	70194.0	53945.0	59674.0	76086.0	47379.0	50145.0	58335.0	57870.0	53582.0	48100.0	33268.0	70454.0	57815.0	37377.0	67683.0	71936.0	63880.0	68171.0	65116.0	35658.0	48764.0	41929.0	77501.0	53392.0	74756.0	80322.0	36508.0	42003.0	54369.0	77478.0	61972.0	47736.0	65714.0	38592.0
BritoIL_2016__M1.7.ST__bin.4	42731.0	42981.0	42180.0	0.0	29992.0	42039.0	43816.0	40739.0	32172.0	33420.0	43444.0	25033.0	30483.0	35923.0	34645.0	33426.0	25728.0	18683.0	43642.0	36191.0	23982.0	40843.0	48062.0	37106.0	42878.0	36662.0	20387.0	28414.0	25289.0	45641.0	33139.0	47196.0	49839.0	19589.0	13351.0	34161.0	46675.0	37358.0	28744.0	42018.0	25275.0
BritoIL_2016__WL.26.ST__bin.2	47434.0	45870.0	45068.0	29992.0	0.0	45557.0	50117.0	47877.0	37079.0	39196.0	52689.0	30715.0	35029.0	42173.0	41710.0	38656.0	34549.0	23686.0	51698.0	40421.0	27839.0	46662.0	50547.0	43593.0	46662.0	47051.0	24536.0	34072.0	27703.0	53450.0	37262.0	52367.0	55328.0	23149.0	28270.0	39994.0	51783.0	41930.0	33227.0	41955.0	30616.0
BritoIL_2016__M1.63.ST__bin.17	6100.0	70669.0	69646.0	42039.0	45557.0	0.0	71053.0	70663.0	53409.0	58318.0	77554.0	42115.0	52084.0	61067.0	60009.0	60643.0	47100.0	32376.0	74975.0	56701.0	39272.0	72342.0	80704.0	61733.0	70500.0	66093.0	35906.0	15833.0	45948.0	80979.0	58053.0	79037.0	82601.0	35803.0	42694.0	55042.0	76876.0	61011.0	48622.0	70838.0	42552.0
BritoIL_2016__M1.22.ST__bin.19	73274.0	71283.0	71441.0	43816.0	50117.0	71053.0	0.0	70381.0	53380.0	57982.0	77294.0	44696.0	50228.0	62436.0	57138.0	57948.0	47189.0	32795.0	74688.0	58340.0	39927.0	70167.0	80071.0	64649.0	66830.0	65199.0	35716.0	49721.0	45867.0	77324.0	57614.0	78686.0	81579.0	35670.0	41105.0	56627.0	75995.0	60093.0	43379.0	73686.0	43411.0
BritoIL_2016__M2.51.ST__bin.51	74038.0	70602.0	70194.0	40739.0	47877.0	70663.0	70381.0	0.0	55651.0	53251.0	74029.0	39696.0	46653.0	65264.0	55465.0	56218.0	47471.0	30926.0	74908.0	57570.0	40991.0	67238.0	80867.0	60389.0	64797.0	64620.0	36486.0	50304.0	43903.0	77835.0	56033.0	77476.0	80805.0	35288.0	39327.0	53515.0	75308.0	56457.0	50491.0	69783.0	42753.0
BritoIL_2016__M2.58.ST__bin.42	54554.0	54472.0	53945.0	32172.0	37079.0	53409.0	53380.0	55651.0	0.0	46401.0	56586.0	34234.0	36347.0	49296.0	42898.0	44941.0	36057.0	26575.0	57039.0	43113.0	32414.0	53364.0	60400.0	47120.0	53761.0	48305.0	27042.0	37008.0	32729.0	59284.0	43121.0	57201.0	62103.0	28754.0	30685.0	42809.0	54867.0	46624.0	36698.0	52699.0	34598.0
BritoIL_2016__M1.62.ST__bin.5	60310.0	60713.0	59674.0	33420.0	39196.0	58318.0	57982.0	53251.0	46401.0	0.0	58984.0	35897.0	39024.0	52510.0	46053.0	47178.0	38274.0	25738.0	61506.0	47295.0	32658.0	53068.0	65905.0	47241.0	55237.0	51043.0	29541.0	40039.0	36677.0	62631.0	45141.0	64020.0	66202.0	30311.0	32846.0	47531.0	62845.0	47097.0	39212.0	59215.0	34016.0
