	VincentC_2016__MM021.4__bin.22	VincentC_2016__MM020.1__bin.1	VincentC_2016__MM037.2__bin.3	VincentC_2016__MM041.1__bin.4	VincentC_2016__MM030.2__bin.13	VincentC_2016__MM040.1__bin.8	VincentC_2016__MM009.2__bin.8	VincentC_2016__MM028.2__bin.3	VincentC_2016__MM008.2__bin.11	VincentC_2016__MM016.1__bin.8	VincentC_2016__MM022.1__bin.2	VincentC_2016__MM046.1__bin.4	VincentC_2016__MM022.3__bin.2	VincentC_2016__MM024.2__bin.12	VincentC_2016__MM036__bin.9	VincentC_2016__MM018__bin.5	VincentC_2016__MM012.1__bin.4	VincentC_2016__MM038__bin.14	VincentC_2016__MM005.3__bin.4	VincentC_2016__MM043.1__bin.9	VincentC_2016__MM009.1__bin.18	VincentC_2016__MM024.3__bin.2	VincentC_2016__MM007__bin.6	VincentC_2016__MM019.1__bin.3	VincentC_2016__MM043.2__bin.13	VincentC_2016__MM027.3__bin.18	VincentC_2016__MM026.2__bin.2	VincentC_2016__MM045.2__bin.12	VincentC_2016__MM013.3__bin.8	VincentC_2016__MM040.2__bin.4	VincentC_2016__MM031__bin.2	VincentC_2016__MM029.1__bin.4	VincentC_2016__MM013.2__bin.5	VincentC_2016__MM032.1__bin.13	VincentC_2016__MM005.2__bin.17	VincentC_2016__MM021.3__bin.1	VincentC_2016__MM024.1__bin.1	VincentC_2016__MM014__bin.12	VincentC_2016__MM045.1__bin.8	VincentC_2016__MM042.2__bin.17	VincentC_2016__MM006.2__bin.2	VincentC_2016__MM021.1__bin.8	VincentC_2016__MM025__bin.4	VincentC_2016__MM012.2__bin.24	VincentC_2016__MM033.2__bin.6	VincentC_2016__MM008.1__bin.31	VincentC_2016__MM028.1__bin.4	VincentC_2016__MM033.3__bin.17	VincentC_2016__MM023.2__bin.32
VincentC_2016__MM021.4__bin.22	1.0	0.9758360543876571	0.8309298582495387	0.8461760214892009	0.9576599031137513	0.9796505448499561	0.9787499176555376	0.9757872868015837	0.958358184154664	0.8657027202677497	0.8899246757103009	0.9774750778954033	0.8666652901622209	0.7186074887741146	0.9799010686590586	0.9814169933406681	0.9702273887022415	0.9722754306738285	0.9715832455811748	0.9806862661235375	0.9687496128581248	0.8547949057536903	0.9716567902472694	0.9752781768001975	0.980315789784174	0.9742857170949071	0.9822832079239462	0.9324142216506451	0.9793174307741167	0.9640059818950337	0.9778772138370159	0.9769830758778411	0.9702966072115067	0.9812988106018373	0.9732104704793874	0.9665114166295501	0.9710627302572391	0.9743315350285968	0.8946348772797127	0.964127114286248	0.958653346036503	0.9631558920781187	0.9795524197473328	0.8886494426631822	0.7669796247845524	0.49278682173972466	0.9775104737240049	0.9828094259091567	0.7595398148994807
VincentC_2016__MM020.1__bin.1	0.9499367629321096	1.0	0.8312107232915511	0.8502074945353104	0.967023309564159	0.9897205068996073	0.9883108572312406	0.9852034640934627	0.9655904975370372	0.8705375370908806	0.8915415851437779	0.9881914083728672	0.8668355796035715	0.7174894759621615	0.9883064544688325	0.9907088313479746	0.97917569950802	0.9805708009179951	0.981892395338202	0.9893347866277769	0.9788885628292381	0.8576933391756076	0.9830734842102584	0.9858828294754606	0.9882809950166472	0.9831320600927298	0.9907145740815502	0.9385738074304464	0.9897262496331829	0.9726416172456586	0.9878022424608915	0.9853495209507364	0.9795972161524719	0.9911010600511908	0.98264009924975	0.974206129296115	0.9807530369967954	0.9846596272238497	0.8997073694394307	0.9705288655631813	0.9703728546343764	0.9706150065668159	0.9891096714716118	0.8918503527856948	0.769014621573957	0.49097098713570253	0.9881938968907501	0.9912725763606497	0.7623884641499329
VincentC_2016__MM037.2__bin.3	0.9458294609873453	0.9719451890689716	1.0	0.8456225478872659	0.9505620049888351	0.9752355639836905	0.9725931914756458	0.9693760106151523	0.9578733523503573	0.8662352918002961	0.8908197644539231	0.9728873107027167	0.8718987656841204	0.7196018601586185	0.9746457586843514	0.9743558923228167	0.9639549500668819	0.9700479633698453	0.9666893187715218	0.9728976071140143	0.9612270725780603	0.8558757590245807	0.9664482484461373	0.9690747286671788	0.9736127600291522	0.9690870395937305	0.9757174807994313	0.9354932070545637	0.9744554989103711	0.962108758754188	0.9727776315388927	0.9705222697946269	0.9632995611042767	0.9758238024378322	0.9683685291531694	0.9613107868786115	0.9665581514449895	0.9686827935327793	0.8964534682789951	0.9624839062614716	0.9539848902402556	0.9604626759567156	0.9731241281625651	0.890231973669838	0.7661463397600846	0.49125364627260953	0.9725155207208561	0.9775119662206082	0.7661727522934138
VincentC_2016__MM041.1__bin.4	0.9528062645101507	0.9834470526887994	0.8365116075669224	1.0	0.9626797542643374	0.9859783647219421	0.9858758456989063	0.9823226647860441	0.9660161616922059	0.8765376469559267	0.8969936241138913	0.9829873777604575	0.8736241581760028	0.7280914301403714	0.9858297896367217	0.9864623962216316	0.9742260976233522	0.9806642037006489	0.9778339701100585	0.9864617319515039	0.9756668995302503	0.862898631271402	0.978926473046686	0.9816462163727087	0.9860388133035592	0.981131185600395	0.9881618206315659	0.9427215368553673	0.9873423327174072	0.9713991853834002	0.9849221752189601	0.9809750821203945	0.9753938845077814	0.989131433594576	0.9789869216283031	0.9737166024354358	0.9775277415812065	0.9806901102356277	0.9061745015483029	0.9698549787599627	0.9661727080189584	0.9710978281688176	0.9840079180999218	0.8961506653218887	0.7776964661936325	0.501236760266018	0.9842025492473265	0.98840494349829	0.7771187726059428
VincentC_2016__MM030.2__bin.13	0.9488373407005766	0.9842367363320559	0.8273941429637438	0.8470682671456933	1.0	0.9867978015169611	0.9879406853796202	0.9838310963385244	0.9632513935350882	0.8667016714627783	0.8891061697414386	0.9860171101365188	0.8642023679867826	0.7143474203283696	0.9886200641776244	0.989756908251715	0.9781718144499019	0.9799141960359503	0.9807482713540621	0.9870925821654785	0.9753635075974695	0.8542197664744975	0.9815303265577296	0.9841833523943865	0.9880597276639852	0.9822262660663247	0.9898570518428175	0.937397981151963	0.9887018935711321	0.9701398698133316	0.9869049590560784	0.9853946222501915	0.9776911641789882	0.9895125890625274	0.9821257328114437	0.9735077338518459	0.9793823049781496	0.9838603211219199	0.8976092178863467	0.9688668382486172	0.9686838911045604	0.9685243237872202	0.9867728630351301	0.8906961927900512	0.7663312960412109	0.48829333109926104	0.9865846554300621	0.9911127433693837	0.76023188891465
VincentC_2016__MM040.1__bin.8	0.9487003851274973	0.9845836646831383	0.8296959122859937	0.8479717583324954	0.964507484696971	1.0	0.9884078984652791	0.9846221317294479	0.9655045810062675	0.8702257063463771	0.890695507048991	0.9876433183121422	0.865293926319991	0.7154727790422392	0.9886512691840112	0.9892393198721524	0.979565809879861	0.9799398162113082	0.9829722382184197	0.9892930213922482	0.9778028004009712	0.8570633114261601	0.9818665962833978	0.9848306535893944	0.9874825946136995	0.9829493865077406	0.9918387019618955	0.9387827426927846	0.9895337260780676	0.9707989415087612	0.9886971630362915	0.9856708348186946	0.9791148694557942	0.9907115413326508	0.9817197740422848	0.9729363381809429	0.9803667623391621	0.9855238221466592	0.8980013893840093	0.9693032970448169	0.9690568794313276	0.9690526899510364	0.9868067552703662	0.8905629671270525	0.7672435200165751	0.4910958309339037	0.9873266316883149	0.9915067808642821	0.7609572048396875
VincentC_2016__MM009.2__bin.8	0.9501342272782893	0.9855733594120305	0.8294610120486713	0.849946444623588	0.9679738658162457	0.9908126424667505	1.0	0.9871018495169327	0.9665520855862829	0.8700506614198751	0.8918416196382822	0.989742680303896	0.8667985873063354	0.7171098308047166	0.9903686224862331	0.9952140907430996	0.981539191635473	0.9824405941926538	0.9856724335177436	0.9901479487555891	0.9803852360111276	0.8571139503022143	0.9859207869118334	0.9887189145448614	0.9920618543121956	0.9854147263063512	0.9929300412732417	0.9381061726985744	0.9936285232632299	0.9733557468612694	0.9921893716582773	0.9891780151696009	0.9818177063180072	0.9929770012539841	0.9852919813160363	0.9759070482540527	0.9834387801247799	0.9867089891902324	0.8992280809994764	0.9696556439883685	0.9725810980732472	0.9705182950167252	0.9894752374867399	0.8922587235322763	0.7693986239962065	0.49179164352869514	0.9895027262559551	0.9932507435807519	0.7627547411922834
VincentC_2016__MM028.2__bin.3	0.9510024956505307	0.9863580558993522	0.8299851012231408	0.850230687647354	0.9677575826801624	0.9909191054294485	0.9910036225454103	1.0	0.966584692091306	0.8704521263241495	0.8916287425654643	0.9867639680345152	0.8674219673208151	0.7180231120773617	0.9899280895413807	0.9915176245975855	0.9823717610875532	0.9817099978190367	0.9859140056551724	0.9902356858477719	0.9808489198099304	0.8576785428865911	0.9853220025458624	0.9877835395921484	0.9897297330447358	0.9839731783686778	0.9923037679301816	0.9386702793741057	0.9919047551514237	0.9736022957991735	0.9916774596876354	0.9877894807046084	0.9825689676914638	0.99112800260949	0.9852752402413395	0.9746214840592287	0.9832619697125919	0.9873603790659728	0.9010074593541665	0.9700508520896809	0.9713119011214905	0.9707789258392013	0.9893284204805096	0.8923481921194785	0.7697640688417782	0.49176427658906546	0.9881896433761004	0.9933172067265659	0.7628338569817079
VincentC_2016__MM008.2__bin.11	0.9444439492072696	0.9775151125930329	0.829292908543862	0.8454517654710048	0.9580926642153719	0.9825276448927245	0.9812063951742023	0.9773761662673979	1.0	0.8667266377353415	0.8880511198453723	0.98044131833514	0.8640639842984839	0.7153673860998638	0.9816637359391939	0.9825324896042181	0.9712237702475027	0.9750865556155439	0.9731849094600938	0.9810058241183691	0.9691298859399884	0.8571071723821988	0.9744094587372045	0.9772325690187289	0.9823813346056192	0.9774705412472924	0.9839244721105462	0.933126315581406	0.9826233763918372	0.9665278882910299	0.9813887501148197	0.9781100431644415	0.9707040295984742	0.9837804872849578	0.9749801657511453	0.9686277800407964	0.9731860721908521	0.9757444674363687	0.8936341653705449	0.96428032973494	0.960098762350623	0.9639760818531448	0.9806223167565393	0.8870046621627644	0.7671282836970033	0.49002958374626426	0.9798134437255753	0.9850217023696065	0.7600908557814655
VincentC_2016__MM016.1__bin.8	0.9452680737766518	0.9764631868249845	0.8309475447147489	0.8499881905825263	0.9551583535524875	0.9812060635990809	0.9786277456895627	0.97522448629034	0.9603289459558113	1.0	0.8907171537156722	0.9791739849268889	0.8679082300903957	0.7169490906748546	0.9801560990273334	0.979923990294806	0.9704715178322204	0.9737880316921822	0.9722839413394028	0.9787754707663238	0.9676600176067678	0.8578702252377987	0.9738275395615485	0.9746580636849677	0.9785916732870977	0.9761104073175445	0.9819193524144891	0.933950786936637	0.9808288063899685	0.9653032873123912	0.9790530994352952	0.9762068151074657	0.9690314130504799	0.9820687952247009	0.9725368775900199	0.9660666051145513	0.971346058875314	0.9746007343310502	0.8960535073969896	0.9640160608077641	0.9616483799626392	0.9627923904408133	0.977579713567947	0.8904103235780387	0.7656154853670581	0.492069439374745	0.9771193610031563	0.983107594529019	0.7622225323685398
