	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
HeQ_2017__RSZAXPI003069-101__bin.8	1.0	0.9896858325334654	0.9902409133032078	0.9908531848345714	0.9902551767049722	0.9901616745084177	0.9903615594281353	0.9903544490381142	0.9903766274847038	0.9901182200588101	0.9911390005821589	0.990694786198869	0.9900052160571324	0.9911499085117905	0.991222452823049	0.9918107854941672	0.9905478663381158	0.9895751652705658	0.9916077600971569	0.9910368534356695	0.9914955610540367	0.9907741823304602	0.9902983885972677	0.9914203646813127	0.9891570124417904	0.9913491419348667	0.9905207505496716	0.9914307675365494
HeQ_2017__RSZAXPI003094-125__bin.41	0.9896858325334654	1.0	0.997586276315862	0.9904635257618564	0.9875010904939975	0.990408292668913	0.997731907017599	0.9909727250784456	0.9905256611731753	0.9906948185489617	0.9903198950146048	0.9909395101288845	0.9895011517131231	0.9988006892481555	0.9910685941445988	0.9957962502160578	0.9904109580141588	0.9888304237674409	0.9915588045837733	0.9903887383071238	0.9921761224893856	0.9899588036578173	0.9908991162447384	0.9907173941906265	0.9877568985086371	0.9899640209406515	0.9910084876601701	0.9989452440158332
QinJ_2012__NOM014__bin.26	0.9902409133032078	0.997586276315862	1.0	0.9903977183752752	0.9900621141540533	0.9904362009705463	0.9967175952178908	0.9906907950528273	0.9905637720846445	0.9908846404898499	0.9901989470216834	0.9911397733080786	0.9895205577966915	0.9978228050607812	0.9910660482853109	0.9984618082745108	0.990416407352174	0.9907800965862086	0.9917727691663175	0.9920577913067281	0.9918281888463125	0.990280350972532	0.9911029727525826	0.9908861907976364	0.9886611351558514	0.9904685375314551	0.991353735864475	0.9980666244148158
QinJ_2012__T2D-045__bin.2	0.9908531848345714	0.9904635257618564	0.9903977183752752	1.0	0.9965243149923068	0.9921327308137279	0.9909770510632605	0.9912545454406352	0.9915833987807335	0.9914135710940986	0.9924265083137578	0.9920685922172463	0.9907769716005299	0.9918458157374264	0.9922895403260502	0.9915179331271312	0.9917709835327829	0.9908641819960818	0.9918006313429348	0.992014139519823	0.9917382123954719	0.9919532580812286	0.9921713110736	0.9917863974576694	0.9892774749778129	0.9918669855011255	0.9917752288359654	0.9920465226730762
QinJ_2012__T2D-014__bin.31	0.9902551767049722	0.9875010904939975	0.9900621141540533	0.9965243149923068	1.0	0.991519288447616	0.9894004717772928	0.9898508064722011	0.990905472396782	0.9909254773381617	0.9914800054967706	0.9910330925887425	0.9899165588063834	0.9904014145796529	0.9909331587454222	0.9909554888263924	0.9911254816864905	0.989410638240887	0.9910911003837108	0.9904498152385727	0.9909038036136123	0.990935675617	0.9915390703233518	0.9903919971680583	0.9880740203692828	0.9904961701582147	0.9909560922037034	0.9907162151100924
QinJ_2012__CON-007__bin.24	0.9901616745084177	0.990408292668913	0.9904362009705463	0.9921327308137279	0.991519288447616	1.0	0.990694057657372	0.9915961152328809	0.9913688482039366	0.99155659777396	0.9983993494129872	0.991977735194817	0.9906288539711818	0.9918077339067529	0.9917897321070223	0.9933491323293326	0.9918907114610059	0.9919811817645177	0.992552755508417	0.9919812032118378	0.9919058902713941	0.9986672864304924	0.991475699541423	0.9915144582538152	0.9890620117811121	0.9911285043582299	0.9913941523161596	0.9920790960577137
HeQ_2017__SZAXPI029485-81__bin.16	0.9903615594281353	0.997731907017599	0.9967175952178908	0.9909770510632605	0.9894004717772928	0.990694057657372	1.0	0.9903421207926526	0.9909118414690355	0.9913390883215658	0.9908134707228136	0.9911884016749263	0.9901884003617993	0.9982633912676244	0.9910285808371451	0.9987134502923977	0.9903733609435562	0.9907503052598734	0.9914616705816384	0.9916936149353442	0.9918754494179711	0.9901174022886016	0.9906673585907861	0.9906951377746083	0.9889012840200688	0.9900999067358208	0.9915432827180835	0.9984978778095
QinJ_2012__NOF002__bin.17	0.9903544490381142	0.9909727250784456	0.9906907950528273	0.9912545454406352	0.9898508064722011	0.9915961152328809	0.9903421207926526	1.0	0.9918188660759867	0.9977721698037387	0.9914919313754808	0.9916848288922256	0.9912511654481767	0.9913772486728346	0.9919714385835869	0.9910372291530873	0.991181120117638	0.9905803688258676	0.9949963222399963	0.9916749615419419	0.9915500663923354	0.9911161048895931	0.9912674544824877	0.9911515391860407	0.9889539248326641	0.9901871792589956	0.9979231880183236	0.9918797896444305
QinJ_2012__T2D-054__bin.13	0.9903766274847038	0.9905256611731753	0.9905637720846445	0.9915833987807335	0.990905472396782	0.9913688482039366	0.9909118414690355	0.9918188660759867	1.0	0.9914835744437489	0.9910954452602795	0.992028674510274	0.9906784224916457	0.9915812443151673	0.9918281601837361	0.9934709704788195	0.9920833355956252	0.9915305302303837	0.9931378768146654	0.9919411766360213	0.9919853929266573	0.9911755511201041	0.9919849216732078	0.9919090862193201	0.9895092673546758	0.9911457398950387	0.9914309897014294	0.9919374103057601
HeQ_2017__SZAXPI029550-158__bin.15	0.9901182200588101	0.9906948185489617	0.9908846404898499	0.9914135710940986	0.9909254773381617	0.99155659777396	0.9913390883215658	0.9977721698037387	0.9914835744437489	1.0	0.991703711173567	0.9920349396911142	0.9907515192086086	0.9917174169084485	0.9920875220079814	0.9920085327062245	0.9915502261156048	0.9908167934480213	0.9967056700242949	0.9922725742005223	0.9920709041603281	0.9915154933019732	0.9912248400882219	0.9920712987603723	0.9898610695955335	0.9906018164659487	0.9996321004847221	0.9921462057419158
