	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
ChengpingW_2017__AS15raw__bin.20	1.0	0.8463511796967715	0.7670826930760775	0.6361789910804627	0.8520757256193682	0.6456655660536762	0.8816526290470388	0.8120888852665624	0.8763549765134091	0.5442443440353203	0.7573262658208976	0.755758836544062	0.902591774624145	0.7823966858362836	0.8941577726402585	0.8228630979240756	0.7380156762806305	0.7176346229920108	0.8658849067593275	0.8520836770678238	0.8805667593673032	0.7845679282302263	0.8424062673316728	0.6529963045643302	0.338935460080747	0.8026629400878238	0.7587704476466695	0.6072983363581969	0.8928646683351456	0.7534708072509259	0.6682700431167292	0.7063813355650399	0.8169844926876492	0.7970015087873444	0.7509198831932222	0.86256865578776
LiJ_2017__H3M515128__bin.7	0.6709213873383453	1.0	0.7320774816150762	0.6399785372979451	0.85467450008017	0.5951987840953814	0.8268994471620816	0.7307329110917022	0.8219545162481086	0.5103265616302198	0.6892793251697851	0.719461052956696	0.8447507580690975	0.7501257703309661	0.9214287036851002	0.7549072096635737	0.7364996334242977	0.7136301158584076	0.8194316244720502	0.8058838847333137	0.8344819109368776	0.7855876852625537	0.8024162873858957	0.5635688754576287	0.34383737196934866	0.8003184737213875	0.7077818447129384	0.5535580692550338	0.8594047251824704	0.7263343966195457	0.6355173838825665	0.6557678845016678	0.7821732719235316	0.7622627550025469	0.7246896319154477	0.818090599549236
ZellerG_2014__CCMD40701343ST-21-0__bin.43	0.614695997811275	0.740038334545973	1.0	0.5592164396501704	0.7378101838632509	0.5740496708350408	0.7780674307292046	0.6777042760182888	0.7686518513562648	0.48109616252318255	0.6619399605981718	0.624770265518303	0.7878051859560001	0.7308433799233867	0.7924606071322327	0.7061991174213507	0.6477482934436617	0.6218957719297616	0.7709305784709272	0.7748090341454634	0.8132893358199416	0.6800797753609943	0.7495447125526323	0.5270816881058967	0.29990071886234093	0.6965286646906017	0.6544522592332852	0.5395453935423853	0.8293379943298642	0.6581096919178464	0.5937223099013123	0.6271768275514914	0.73196561917699	0.7037626874165439	0.6412812802288763	0.7658068274997203
BackhedF_2015__SID172_12M__bin.11	0.6134928192517951	0.7785285396820985	0.672964088830698	1.0	0.7650977345670344	0.5580563025101348	0.7604581761613632	0.677246131424921	0.7333914496211819	0.500456958882327	0.6485816063386691	0.638138406543402	0.7853524909410957	0.691148991599337	0.8407549813789854	0.670276969320255	0.6740419079459087	0.6572597515313034	0.7553834644624011	0.744933555255123	0.7764428710340785	0.7249927035144379	0.7415970605107493	0.5380090586647024	0.26634688331038553	0.7304373913614404	0.6632996600724329	0.5230494660985392	0.7837034133175119	0.6621997957463286	0.6083514926764372	0.6119678657504166	0.7183537403294609	0.7220530225661488	0.6688354042253002	0.7446182128906016
LiJ_2017__nHM511615__bin.25	0.6830390062262244	0.8642652007478321	0.7380635482029441	0.6359955365910694	1.0	0.6081215398521784	0.8333073724727501	0.7374922764779863	0.8267819674136091	0.5189617196155349	0.6954456417425142	0.751946566573274	0.857273695327324	0.7482010318744923	0.9151111729037136	0.7547901771539912	0.7410067528779706	0.7213106264109993	0.8188152366216249	0.8234961590541588	0.8471899924667027	0.7902827237311613	0.8044334510269944	0.5736125845504063	0.3452166350820596	0.8223532172278661	0.7118276751272514	0.5563298221767365	0.8690875467942852	0.7207923387442141	0.6383240465160193	0.6566246605335295	0.7835509597086115	0.7620768794700319	0.725362114167499	0.8266134542060378
GeversD_2014__SKBSTL036__bin.19	0.6240065704316169	0.7256422140625488	0.6923294533525771	0.5592801342904006	0.7331698730340938	1.0	0.7614894899510339	0.6761070192670222	0.7365886107715695	0.49300666889203215	0.656764590752886	0.6295078660265939	0.7864566498003175	0.7020731921106791	0.7826666442529135	0.6845265855128707	0.641873533600217	0.6252154722137504	0.76909495666541	0.7822310169520017	0.7935116987783704	0.6667268636035071	0.7489941428060258	0.5454116245728379	0.3006913842333656	0.6978667710507167	0.6773096772179409	0.5346246857071499	0.8027271133567557	0.6603744857844773	0.6280516124694112	0.6141245067973709	0.7508110976895424	0.7032100496864876	0.6449430970843709	0.7743522625482996
QinJ_2012__T2D-048__bin.10	0.6563184176782957	0.776513041117013	0.72279663167677	0.5870326510710431	0.7738468095118655	0.5865424669615911	1.0	0.7398269224650822	0.8519821565585154	0.48248174480386347	0.6998848714755762	0.6543029286003376	0.8827860658970221	0.7324430850005142	0.8406727767653472	0.7832324478943541	0.6618650820956647	0.6382063922967475	0.8396291470500535	0.7977977600250974	0.8178168790551175	0.7025647912407614	0.8090346295650939	0.5435716331010786	0.3390768112950257	0.7256940822014705	0.7259489779383855	0.565429774929654	0.8374586488084271	0.7057400744191966	0.6062515676642746	0.6828031575995555	0.7563729483482831	0.756977447091562	0.6574985590436934	0.8035490069424868
LiJ_2017__H1M513912__bin.21	0.7223071642605158	0.8198907584977768	0.7522122133537724	0.6246471000876531	0.8182924042368764	0.6222318877863368	0.8839575357585353	1.0	0.8652966613579735	0.5334131626418285	0.7571098254142747	0.715603447247016	0.9025012741305743	0.7599020831206099	0.8665913459902127	0.8007436590731578	0.7104300129910486	0.685591870671216	0.8649430431586592	0.8447598424100494	0.8622966529595412	0.7626992030771855	0.8565459369931933	0.6019876878983453	0.33414311900976296	0.77902796545327	0.7691257718269728	0.6121011683987329	0.862902666148616	0.7593044683637689	0.6628436119093305	0.7016960854907359	0.81466030330717	0.8093732692046729	0.7145244697163584	0.8472369378962458
ZeeviD_2015__PNP_Main_481__bin.1	0.631101790149525	0.7466999262753294	0.6907658060683277	0.5476776728771947	0.7427506459855843	0.5488615622472425	0.8242003020564173	0.7005933762320251	1.0	0.4622934098733797	0.6816973137020521	0.6301369274706712	0.8510443135374243	0.7136562426185857	0.8152423966959895	0.7393557322720798	0.6467729351723941	0.6252277949165767	0.8216088440973738	0.7482513653379524	0.7969397103980417	0.6877699360814264	0.7917267319929282	0.5237357650545061	0.3518245066531147	0.7015779226821465	0.699583061935881	0.5386675160512208	0.8348442118975872	0.69757066473885	0.5833704342597829	0.651738971719789	0.7357564652241445	0.7589146010636394	0.6302936818673099	0.7753444659971799
CosteaPI_2017__SID713A009-11-90-0__bin.91	0.6328277499188115	0.7485464091596736	0.6980801390547008	0.6034317572182588	0.7527653186111635	0.5931476959241672	0.7536251648327518	0.697327773610811	0.7464314648243151	1.0	0.6657758089662082	0.65359580986766	0.7676022887627113	0.7040649692408506	0.8065970083361167	0.690635072711324	0.6644947074384788	0.6772265567666084	0.764236869142731	0.7537840745847255	0.7814898453779221	0.714737926037045	0.7440848011778969	0.5733983919488808	0.24578946942634158	0.7259846915012753	0.6733069755024726	0.5441474405128567	0.7923904765096715	0.6826161976999113	0.6180589664972015	0.6364768956777703	0.7332720037999656	0.7192030011406831	0.6784423608326178	0.7614082755575998
YuJ_2015__SZAXPI015226-14__bin.24	0.6581781791984908	0.7556743482144246	0.7178948850532019	0.5845140135410386	0.7539739441255077	0.5905934872407067	0.8170901624475453	0.7397772760018866	0.8226833128035201	0.4976189159913136	1.0	0.6494718683972752	0.8470124370932549	0.7369807008238991	0.80419827480465	0.7484974077151787	0.6727903384914129	0.6373841850758336	0.8223520428171857	0.7754326377383459	0.8070255151313073	0.7002844516466753	0.8201644515775708	0.5565184604194993	0.301729514384978	0.7178253485893168	0.7356020648442643	0.5724876605169367	0.8087976152016212	0.7187854700751339	0.6254109561825258	0.6637134544851451	0.7585659421629382	0.7754192487297717	0.6645841719459672	0.7875280953228306
LiJ_2017__H1M513820__bin.13	0.6843060405342165	0.8217758918607582	0.7059424385327046	0.599172486410598	0.849350228589942	0.5897755498758055	0.7958457827855574	0.7284859966161489	0.7922873393570683	0.5089613557003492	0.6766545771986032	1.0	0.8151845818783974	0.7184266892256741	0.8604066921055473	0.7284985960617733	0.7136757982648764	0.6871310162352856	0.7802364195975378	0.7784270492098347	0.8076433636919975	0.7532601065553116	0.764008783613521	0.593482936750783	0.3363561503293855	0.777703481046834	0.704086270204111	0.5383504625796465	0.8253847330717449	0.6953467547427913	0.6165610713128622	0.6342839915043738	0.7613291515173333	0.7226997012131466	0.7311467295439	0.798568163000828
QinN_2014__LD-85__bin.36	0.6070430396839456	0.7166971379295362	0.6611937604657925	0.5477250166282851	0.7192507077466084	0.54729485375465	0.7975657527516051	0.6824291668477116	0.7948056245383353	0.4439895851785995	0.6554769727496667	0.6055038788190742	1.0	0.6718348602388456	0.7855175156840659	0.7151452760629569	0.6274849676960048	0.594282878046987	0.8071155690884357	0.7515169341118825	0.7816874951953448	0.6577013192329932	0.7515824445417445	0.49959457065600676	0.3096574406144611	0.6677912623792988	0.6893869761254592	0.5253495282246339	0.7946619026769032	0.6678276941999873	0.5704100083893459	0.6155941562022668	0.7019549515523632	0.719769109158425	0.6011450955750378	0.7444123948407194
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	0.6210950475659955	0.7511801747992145	0.7239976897530923	0.5689480091873343	0.7409383168809773	0.5766760533597602	0.7810662326011503	0.6782196107454885	0.7866848351384768	0.4806757472204842	0.6731730468038034	0.6298634129637359	0.7929859388968098	1.0	0.8044977224973706	0.6985960200316081	0.6462544885304289	0.6171878267030773	0.7805332504337631	0.7588376017932819	0.8162032102016968	0.6706162315359749	0.7606874562587729	0.5342757636320743	0.3119468485407493	0.6952273044673453	0.6769315376318549	0.5306687644045236	0.8151404019419329	0.6761062240166262	0.6054637970580646	0.6357861822301931	0.742367624351328	0.7160183431079606	0.6453502730399393	0.7846633690942932
QinJ_2012__CON-086__bin.7	0.5553830392307267	0.7219700157024153	0.6142397786907081	0.5415240448829172	0.7090632908891727	0.5030066714429338	0.7014364916476548	0.605165900169433	0.7031465640047054	0.4308672381930153	0.5747528497861947	0.5902215963618056	0.7254478830755003	0.629465904892196	1.0	0.6282608286319205	0.6184257518376333	0.5930762442242615	0.6966103217374582	0.6862369116957528	0.710556671767045	0.6505278845201101	0.6823339956519713	0.46461091686733264	0.31075533649069076	0.6698294773876885	0.5883994741373163	0.4650662159154644	0.7398560143769549	0.6101510388998247	0.5347288223435461	0.5505701424453232	0.6517169095597057	0.6518530362581642	0.6122735041574205	0.6844228150816035
WenC_2017__N253__bin.35	0.7006785995695488	0.8108934781486369	0.7504128048641151	0.5918551124750434	0.8017707233966203	0.6031148888198647	0.8959109678718904	0.7665957711516472	0.8742292969156642	0.5057644570568685	0.7333665664876082	0.6850982310539283	0.9054353134143173	0.7493527575195654	0.8612967193121583	1.0	0.6967579054987894	0.6679178469655563	0.8844666882766804	0.8221253251023443	0.8392786261447877	0.7465560098548434	0.8129623689540274	0.5812639488265847	0.3355022339281165	0.7599908933258065	0.7440368634108896	0.5820273521836975	0.8703327236826849	0.7311377164422018	0.6369094520676636	0.7092491140881774	0.7788119175558228	0.7813911545079307	0.690393389705565	0.8275216220036207
ZeeviD_2015__PNP_Main_397__bin.2	0.6284073160524326	0.791092283429115	0.688277736802039	0.595158148720351	0.7871010630982652	0.5655142821960344	0.757056043385479	0.6801091068967458	0.7647300023231339	0.48660389550213334	0.6591662022514511	0.6711343621981671	0.7944212624730925	0.6931834002133559	0.8477830996869905	0.696732844248043	1.0	0.671220686302015	0.7528896359027025	0.7594786193390536	0.7750402316871242	0.72547580872779	0.7410953936357978	0.5401265325173167	0.2708283347868789	0.7408359981668823	0.6704238809709092	0.5277233667923867	0.8036097016444319	0.6758060195828769	0.5987803758229882	0.619391525088789	0.732047865869269	0.7114316387150065	0.6765660102226357	0.7636069426583677
QinJ_2012__CON-076__bin.12	0.6467320400481007	0.8112844100384492	0.6993915752088731	0.6142255404052732	0.810916264894315	0.5830008307898326	0.772618421141026	0.6946536099049854	0.7824199497047449	0.5248840589121804	0.6609396658478199	0.6839012636514893	0.7963172049632414	0.7006599292820945	0.8605043409328583	0.7068915248240449	0.7104126405456789	1.0	0.799223849714374	0.7699074934555706	0.7901980235711422	0.7931548292178259	0.7645174365095182	0.5614500081735387	0.2792761603625916	0.7651287724240476	0.6822271437624703	0.5491605887635115	0.8574212373170191	0.6920980914227108	0.615775153785692	0.6368207845253637	0.7410990162642225	0.7387056249622114	0.7036333059389157	0.7708484581122932
QinJ_2012__CON-016__bin.25	0.6205116607874526	0.7407667254884852	0.6894247154917439	0.5613414223721159	0.7319954485801743	0.5702800832646288	0.8082769599507108	0.6968814939198658	0.8175899199227897	0.4710057106429504	0.6780896145360525	0.6175169120147868	0.8599978987967941	0.7046121410370328	0.8037134314963238	0.744354797064726	0.633644180824562	0.6355317023485397	1.0	0.766159232028035	0.7799107166705544	0.6876458154894289	0.7764764959053247	0.5234350042647302	0.3034749983528704	0.6882850798546253	0.7089847805222024	0.5509351244606764	0.8258953707644284	0.6953618610249954	0.5958353440186046	0.678713565047375	0.7313483492199728	0.7552333314932966	0.6312099903309039	0.7634771707833036
