	RaymondF_2016__P7C0__bin.13	CosteaPI_2017__SID713A073-11-90-0__bin.30	CosteaPI_2017__SID713A058-11-90-0__bin.32	XieH_2016__YSZC12003_37322__bin.16	LiuW_2016__SRR3992983__bin.32	BritoIL_2016__M2.37.ST__bin.52	RaymondF_2016__P7C7__bin.83	YuJ_2015__SZAXPI003412-1__bin.62	BritoIL_2016__M1.48.ST__bin.71	QinJ_2012__T2D-099__bin.10	RaymondF_2016__P7C90__bin.37	BritoIL_2016__M1.59.ST__bin.76	XieH_2016__YSZC12003_36666__bin.31	ZellerG_2014__CCIS07539127ST-4-0__bin.34	CosteaPI_2017__SID713B016-11-90-0__bin.11	LiJ_2014__MH0245__bin.25	BritoIL_2016__W2.59.ST__bin.17	NielsenHB_2014__V1_UC9_0__bin.13	ZellerG_2014__CCIS41222843ST-4-0__bin.49	LiSS_2016__FAT_008-22-42-0__bin.15	BritoIL_2016__M2.50.ST__bin.12	XieH_2016__YSZC12003_36474__bin.114	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	CM_madagascar__A73_01_1FE__bin.1	BritoIL_2016__M1.1.ST__bin.41	CosteaPI_2017__SID713A073-11-0-0__bin.1	YuJ_2015__SZAXPI015249-37__bin.28	LeChatelierE_2013__MH0200__bin.5	LiJ_2014__V1.FI14__bin.38	BritoIL_2016__W1.18.ST__bin.80	CosteaPI_2017__SID713A045-11-90-0__bin.3	BritoIL_2016__M2.40.ST__bin.87	KarlssonFH_2013__S144__bin.41	BritoIL_2016__M1.22.ST__bin.28
RaymondF_2016__P7C0__bin.13	1.0	0.7207901116166373	0.8093289745632104	0.7094284531937481	0.45209291281038083	0.755640484459778	0.9847370040909578	0.8098246386551134	0.5812877583649079	0.6762489294231968	0.9597555338590447	0.660317939697276	0.8345392571724323	0.8211471050335265	0.7089817791574402	0.8114683991087268	0.8121865356883909	0.6978362533327647	0.846310126647939	0.6730761028814222	0.49308663862514307	0.8141109803428843	0.7223791184787032	0.7591268473573611	0.8506633253527572	0.8831881114391203	0.7404403110926165	0.807689824938359	0.8009545568244301	0.7501178643102258	0.5477134323816198	0.47977402328237984	0.8238467452736123	0.6807369948693003
CosteaPI_2017__SID713A073-11-90-0__bin.30	0.7984697216474244	1.0	0.7741939191100277	0.7022776042920323	0.4406452094843036	0.7365524427438515	0.8297622794813858	0.7567280084737376	0.5766463995872948	0.6396356650370854	0.8157281304209861	0.6650077158769572	0.7967771449148316	0.7987621396570537	0.6957441687188068	0.7858204080955096	0.7925568762605738	0.689339065066838	0.8022513632872381	0.6677895177720556	0.49366927778497827	0.7699557733722118	0.7240480612622114	0.7483206714632584	0.8405402454651266	0.915328386063281	0.7161234055078017	0.7870577576646399	0.7758213721810872	0.7284458238175108	0.549852482137282	0.4831307370274624	0.8098816856302087	0.6726501690980564
CosteaPI_2017__SID713A058-11-90-0__bin.32	0.8785327329728417	0.7586351871559393	1.0	0.7613592071437643	0.480954695806298	0.797728064725818	0.8959197884348648	0.8302035882738259	0.6213793651419287	0.6969412020848701	0.8779158556857505	0.7039308096420548	0.8791746357076853	0.8808544688880505	0.7486512847752058	0.8846827367579407	0.8480855219651483	0.731609580492163	0.8825105278930513	0.7299203627688906	0.5194263166357289	0.8486523483567353	0.7731680903018257	0.7844176547026257	0.8899818753194655	0.9052455215397157	0.789561635488087	0.8388548855617556	0.8481143012300634	0.7776732965334124	0.5727511663422743	0.5188669978784677	0.859086708797008	0.7159392707459398
XieH_2016__YSZC12003_37322__bin.16	0.8237682536708115	0.7361318949016878	0.8144289328211375	1.0	0.4653866231210933	0.7607855603592509	0.8500327930291389	0.7883464282368058	0.6184604676687503	0.6720395925633441	0.8283693164326539	0.673638420045241	0.8268594986012769	0.8170055279677692	0.7550441032779645	0.8301849794541634	0.8050106410033329	0.7200070940022218	0.8569293678307076	0.7251991005340579	0.5358896280333552	0.8140180160886616	0.7519441581560948	0.755924161100775	0.839908447216608	0.872435785894982	0.7499223675228547	0.8286082370735233	0.8029299567667412	0.778715985597837	0.5717732328572767	0.5144182248932554	0.83632062213061	0.7053479407316192
LiuW_2016__SRR3992983__bin.32	0.7965542313535294	0.700853216673572	0.7806546676090436	0.7061632261785804	1.0	0.7539147230143063	0.8178927721316404	0.7846079793326997	0.6139768305265125	0.6500593047533166	0.7988553370216016	0.6824646811760214	0.8142349686822159	0.7885572290869505	0.6992477232661484	0.767966090679405	0.8021729505333366	0.695443688918135	0.7950116984718871	0.6917026150959031	0.5319118471399673	0.8070980884371979	0.7335500394011032	0.724414670208704	0.8005857359882366	0.8034727807430154	0.7490992582843866	0.7861251249055592	0.7967085861909288	0.7946562761489281	0.5874785731113873	0.5171262785048703	0.7668358476923952	0.7299227007222182
BritoIL_2016__M2.37.ST__bin.52	0.8819887601295398	0.7760717500373362	0.8577680098271503	0.7647397164065244	0.4994389482904068	1.0	0.9165317855302477	0.8589600765290677	0.6513581622260164	0.7213766083145979	0.9011748449707836	0.7334425836902133	0.9097386198666123	0.8732063499751765	0.7874461652721101	0.8740237094801594	0.8550044601592741	0.75524354622353	0.8740075641072215	0.7334244201456581	0.5561199708845108	0.8616778809736199	0.8072276107404402	0.8078862074115335	0.9010564455692388	0.9087638429754846	0.814322156698917	0.8656429154776272	0.8641010323620546	0.8146262278892481	0.6099883349680524	0.5444112118851472	0.8957163634700174	0.7507033328086087
RaymondF_2016__P7C7__bin.83	0.8310576776687091	0.6321424628056643	0.6965417913692895	0.6178031811997815	0.39175958258487437	0.6626902885415618	1.0	0.7139503018399321	0.5061737222450022	0.5916549077747799	0.8587006801430621	0.5727424265196939	0.7324989505766599	0.7235471141222954	0.617893652922261	0.7093780750049492	0.6965938369300707	0.6101670759782498	0.7366684323244763	0.5865320680911585	0.4275956264218288	0.7216759059697231	0.6268406253055244	0.6630769821940949	0.7436522656113578	0.808000521428422	0.6512514525332326	0.70626555590739	0.7057713662835238	0.6597630905529525	0.48370463220083165	0.4196686497484546	0.7206914179788715	0.5935027683860672
YuJ_2015__SZAXPI003412-1__bin.62	0.8590186123970156	0.7246057306912582	0.8112661125254023	0.720165386468291	0.4723638551211603	0.7806147153117595	0.8973640385306697	1.0	0.6136588729852466	0.6855963621335173	0.87842150439816	0.6563639431577248	0.8512848447499639	0.8288581413035769	0.715785567383431	0.8081096348683486	0.8078748706962958	0.7141012567219586	0.856215503728104	0.694856096898912	0.5053610599602368	0.8402980037708995	0.7441094979225816	0.7699934706214647	0.8448893551566194	0.8794174180342902	0.7658753157700388	0.8187388273040513	0.8106467997486067	0.7574091328153849	0.5622057805786448	0.4972806483403885	0.830781495692322	0.7045841372783496
BritoIL_2016__M1.48.ST__bin.71	0.8811109451210722	0.7890406387296695	0.867687592768775	0.8073371091699013	0.5282065125754927	0.8458852379816659	0.9091344318379379	0.8769096498745902	1.0	0.7172193698144493	0.8912870081343855	0.7517042372015128	0.8967157560365772	0.8676578892881386	0.8297431435193557	0.8642280109064192	0.8552802741805989	0.7824429715012576	0.8992842334798414	0.7611621748888522	0.5787662047775428	0.8715630233600402	0.8222823280889218	0.8081609439416694	0.8951371034039315	0.9020842233457127	0.829797308689928	0.880340401888093	0.8740056978264915	0.8298916609225377	0.6346035065832523	0.5804261051660469	0.8734273535858653	0.778395435448658
QinJ_2012__T2D-099__bin.10	0.8987798955465575	0.7674141415069914	0.8533162972189156	0.7692104404417747	0.49035667066525107	0.8214118833026163	0.9317605567990489	0.8590207911069031	0.6288677878023259	1.0	0.9083159831538566	0.6982623776103786	0.8904303610522558	0.86774490563494	0.7645147848041536	0.8538601659795536	0.8573922488743448	0.7461105723490994	0.8844209942533754	0.73034374037697	0.5353445753304195	0.8632982040074701	0.7847880673661891	0.8157640743277093	0.8956760135492262	0.9074051944828727	0.809806030355537	0.8498156208300204	0.8569694100632573	0.8200828518945783	0.6166575511198334	0.534492003597194	0.8925322989102709	0.7403976523253837
