	ZellerG_2014__CCMD72895164ST-21-0__bin.5	RampelliS_2015__H14__bin.32	LeChatelierE_2013__MH0189__bin.65	NielsenHB_2014__MH0096__bin.53	CosteaPI_2017__SID713A056-11-90-0__bin.38	XieH_2016__YSZC12003_37315__bin.45	LeChatelierE_2013__MH0096__bin.48	BritoIL_2016__M1.27.ST__bin.20	LiuW_2016__SRR3992998__bin.96	BritoIL_2016__M1.29.ST__bin.46	LiuW_2016__SRR3993048__bin.88	XieH_2016__YSZC12003_36244__bin.60	RampelliS_2015__H17__bin.38	ZeeviD_2015__PNP_Validation_57__bin.29	RampelliS_2015__H21__bin.15	BritoIL_2016__W2.35.ST__bin.80	BritoIL_2016__M2.38.ST__bin.58	XieH_2016__YSZC12003_35520__bin.11	LiuW_2016__SRR3993043__bin.1	BritoIL_2016__M2.39.ST__bin.80	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	CosteaPI_2017__SID713A084-11-90-0__bin.49	LiuW_2016__SRR3992961__bin.125	CosteaPI_2017__SID713A056-11-0-0__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.64	CosteaPI_2017__SID713A084-11-0-0__bin.5	LiuW_2016__SRR3992980__bin.94	LiuW_2016__SRR3992981__bin.61
ZellerG_2014__CCMD72895164ST-21-0__bin.5	0.0	35184.0	39846.0	32261.0	35527.0	39557.0	36487.0	40630.0	28853.0	42808.0	26288.0	43897.0	50043.0	36288.0	34930.0	42385.0	31220.0	41626.0	20933.0	41822.0	41334.0	31777.0	34881.0	26619.0	36400.0	31516.0	29667.0	34088.0
RampelliS_2015__H14__bin.32	35184.0	0.0	38024.0	29615.0	31964.0	34244.0	33991.0	37697.0	36322.0	40250.0	33700.0	41053.0	43170.0	30760.0	30159.0	39767.0	28047.0	38875.0	22609.0	36217.0	39076.0	36826.0	39177.0	24212.0	33175.0	36772.0	35414.0	38501.0
LeChatelierE_2013__MH0189__bin.65	39846.0	38024.0	0.0	10173.0	40321.0	43016.0	11467.0	44306.0	40571.0	46769.0	36471.0	14969.0	51319.0	39823.0	36622.0	45403.0	32942.0	14326.0	24394.0	43732.0	14336.0	42832.0	44157.0	29517.0	40718.0	43020.0	37997.0	43968.0
NielsenHB_2014__MH0096__bin.53	32261.0	29615.0	10173.0	0.0	31787.0	33964.0	757.0	35732.0	32060.0	37694.0	29129.0	11833.0	40005.0	31841.0	29251.0	37159.0	26604.0	10830.0	18818.0	35344.0	11317.0	33860.0	34540.0	24397.0	31606.0	33792.0	30904.0	34554.0
CosteaPI_2017__SID713A056-11-90-0__bin.38	35527.0	31964.0	40321.0	31787.0	0.0	35684.0	36041.0	38974.0	35708.0	41383.0	32965.0	44039.0	49775.0	29846.0	30627.0	39538.0	26853.0	41985.0	20043.0	37528.0	41633.0	37203.0	39254.0	1209.0	33438.0	37117.0	33765.0	40092.0
XieH_2016__YSZC12003_37315__bin.45	39557.0	34244.0	43016.0	33964.0	35684.0	0.0	37764.0	40284.0	39634.0	43883.0	36880.0	47945.0	52585.0	35272.0	32797.0	43053.0	28878.0	44162.0	22810.0	40604.0	43952.0	44499.0	43135.0	25407.0	36500.0	44337.0	37032.0	45798.0
LeChatelierE_2013__MH0096__bin.48	36487.0	33991.0	11467.0	757.0	36041.0	37764.0	0.0	39820.0	36102.0	41985.0	33221.0	13355.0	45851.0	35824.0	33417.0	41441.0	29854.0	12097.0	22234.0	39545.0	12591.0	38115.0	39702.0	27427.0	35476.0	38152.0	35297.0	39022.0
BritoIL_2016__M1.27.ST__bin.20	40630.0	37697.0	44306.0	35732.0	38974.0	40284.0	39820.0	0.0	41424.0	46253.0	37180.0	50170.0	54674.0	38339.0	37261.0	44657.0	31164.0	45834.0	23887.0	42224.0	46325.0	43874.0	44165.0	27870.0	39002.0	43792.0	38335.0	44949.0
LiuW_2016__SRR3992998__bin.96	28853.0	36322.0	40571.0	32060.0	35708.0	39634.0	36102.0	41424.0	0.0	41755.0	22902.0	42722.0	49516.0	37144.0	36371.0	41988.0	31706.0	42006.0	21170.0	41215.0	41811.0	28397.0	30641.0	26342.0	36011.0	28346.0	27252.0	29306.0
BritoIL_2016__M1.29.ST__bin.46	42808.0	40250.0	46769.0	37694.0	41383.0	43883.0	41985.0	46253.0	41755.0	0.0	39018.0	51857.0	58123.0	41677.0	39205.0	43950.0	30418.0	47444.0	25849.0	42788.0	47811.0	46954.0	46104.0	29540.0	43489.0	47027.0	39813.0	47603.0
LiuW_2016__SRR3993048__bin.88	26288.0	33700.0	36471.0	29129.0	32965.0	36880.0	33221.0	37180.0	22902.0	39018.0	0.0	38597.0	45615.0	34477.0	33447.0	38385.0	29176.0	37705.0	20386.0	37877.0	37247.0	26916.0	29076.0	25055.0	32979.0	26959.0	23580.0	27756.0
XieH_2016__YSZC12003_36244__bin.60	43897.0	41053.0	14969.0	11833.0	44039.0	47945.0	13355.0	50170.0	42722.0	51857.0	38597.0	0.0	56577.0	44418.0	39794.0	50929.0	35043.0	14573.0	25371.0	48763.0	15942.0	47161.0	46362.0	31507.0	44609.0	47231.0	39727.0	47087.0
RampelliS_2015__H17__bin.38	50043.0	43170.0	51319.0	40005.0	49775.0	52585.0	45851.0	54674.0	49516.0	58123.0	45615.0	56577.0	0.0	49840.0	43145.0	56705.0	40469.0	52541.0	30746.0	53540.0	52748.0	54464.0	53125.0	36729.0	51213.0	54149.0	45976.0	54242.0
ZeeviD_2015__PNP_Validation_57__bin.29	36288.0	30760.0	39823.0	31841.0	29846.0	35272.0	35824.0	38339.0	37144.0	41677.0	34477.0	44418.0	49840.0	0.0	29759.0	39644.0	26925.0	41247.0	20946.0	37300.0	40941.0	40112.0	41193.0	21500.0	32342.0	39823.0	35203.0	41411.0
RampelliS_2015__H21__bin.15	34930.0	30159.0	36622.0	29251.0	30627.0	32797.0	33417.0	37261.0	36371.0	39205.0	33447.0	39794.0	43145.0	29759.0	0.0	38369.0	27216.0	38120.0	22629.0	34573.0	38615.0	36865.0	38489.0	23112.0	32190.0	36788.0	34773.0	37867.0
BritoIL_2016__W2.35.ST__bin.80	42385.0	39767.0	45403.0	37159.0	39538.0	43053.0	41441.0	44657.0	41988.0	43950.0	38385.0	50929.0	56705.0	39644.0	38369.0	0.0	32127.0	46858.0	24865.0	45079.0	46362.0	46536.0	46003.0	28983.0	42925.0	46392.0	39446.0	46366.0
BritoIL_2016__M2.38.ST__bin.58	31220.0	28047.0	32942.0	26604.0	26853.0	28878.0	29854.0	31164.0	31706.0	30418.0	29176.0	35043.0	40469.0	26925.0	27216.0	32127.0	0.0	33208.0	18444.0	164.0	33635.0	32516.0	33450.0	20522.0	27868.0	32710.0	30051.0	33838.0
XieH_2016__YSZC12003_35520__bin.11	41626.0	38875.0	14326.0	10830.0	41985.0	44162.0	12097.0	45834.0	42006.0	47444.0	37705.0	14573.0	52541.0	41247.0	38120.0	46858.0	33208.0	0.0	24910.0	44949.0	14390.0	44558.0	45084.0	30110.0	41655.0	44336.0	38415.0	45743.0
LiuW_2016__SRR3993043__bin.1	20933.0	22609.0	24394.0	18818.0	20043.0	22810.0	22234.0	23887.0	21170.0	25849.0	20386.0	25371.0	30746.0	20946.0	22629.0	24865.0	18444.0	24910.0	0.0	23049.0	25018.0	21200.0	23749.0	15233.0	21214.0	21276.0	21920.0	22962.0
BritoIL_2016__M2.39.ST__bin.80	41822.0	36217.0	43732.0	35344.0	37528.0	40604.0	39545.0	42224.0	41215.0	42788.0	37877.0	48763.0	53540.0	37300.0	34573.0	45079.0	164.0	44949.0	23049.0	0.0	45112.0	45878.0	43954.0	26985.0	38629.0	45711.0	38113.0	46643.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.63	41334.0	39076.0	14336.0	11317.0	41633.0	43952.0	12591.0	46325.0	41811.0	47811.0	37247.0	15942.0	52748.0	40941.0	38615.0	46362.0	33635.0	14390.0	25018.0	45112.0	0.0	43454.0	44054.0	29840.0	40745.0	43235.0	38578.0	44203.0
CosteaPI_2017__SID713A084-11-90-0__bin.49	31777.0	36826.0	42832.0	33860.0	37203.0	44499.0	38115.0	43874.0	28397.0	46954.0	26916.0	47161.0	54464.0	40112.0	36865.0	46536.0	32516.0	44558.0	21200.0	45878.0	43454.0	0.0	34408.0	26876.0	39518.0	156.0	29605.0	35323.0
LiuW_2016__SRR3992961__bin.125	34881.0	39177.0	44157.0	34540.0	39254.0	43135.0	39702.0	44165.0	30641.0	46104.0	29076.0	46362.0	53125.0	41193.0	38489.0	46003.0	33450.0	45084.0	23749.0	43954.0	44054.0	34408.0	0.0	29441.0	40634.0	34573.0	5997.0	35252.0
CosteaPI_2017__SID713A056-11-0-0__bin.33	26619.0	24212.0	29517.0	24397.0	1209.0	25407.0	27427.0	27870.0	26342.0	29540.0	25055.0	31507.0	36729.0	21500.0	23112.0	28983.0	20522.0	30110.0	15233.0	26985.0	29840.0	26876.0	29441.0	0.0	24402.0	26698.0	26331.0	28993.0
CosteaPI_2017__SID713A087-11-0-0__bin.64	36400.0	33175.0	40718.0	31606.0	33438.0	36500.0	35476.0	39002.0	36011.0	43489.0	32979.0	44609.0	51213.0	32342.0	32190.0	42925.0	27868.0	41655.0	21214.0	38629.0	40745.0	39518.0	40634.0	24402.0	0.0	39509.0	34460.0	40910.0
CosteaPI_2017__SID713A084-11-0-0__bin.5	31516.0	36772.0	43020.0	33792.0	37117.0	44337.0	38152.0	43792.0	28346.0	47027.0	26959.0	47231.0	54149.0	39823.0	36788.0	46392.0	32710.0	44336.0	21276.0	45711.0	43235.0	156.0	34573.0	26698.0	39509.0	0.0	29679.0	34987.0
LiuW_2016__SRR3992980__bin.94	29667.0	35414.0	37997.0	30904.0	33765.0	37032.0	35297.0	38335.0	27252.0	39813.0	23580.0	39727.0	45976.0	35203.0	34773.0	39446.0	30051.0	38415.0	21920.0	38113.0	38578.0	29605.0	5997.0	26331.0	34460.0	29679.0	0.0	30248.0
LiuW_2016__SRR3992981__bin.61	34088.0	38501.0	43968.0	34554.0	40092.0	45798.0	39022.0	44949.0	29306.0	47603.0	27756.0	47087.0	54242.0	41411.0	37867.0	46366.0	33838.0	45743.0	22962.0	46643.0	44203.0	35323.0	35252.0	28993.0	40910.0	34987.0	30248.0	0.0
