	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
LeChatelierE_2013__MH0437__bin.78	1.0	0.9268594912589336	0.9142328352819031	0.7641606420902519	0.8968708654218454	0.7619557456688852	0.9098052405072787	0.9617296611338686	0.8647428288414185	0.9321994350429758	0.9017269781284194	0.57539658571662	0.929763113507025	0.894997847873591	0.9427731468029955	0.512338964042005	0.8774000024159765	0.8325543928492183	0.8883100435320814	0.9406318287098112	0.8027234412660226	0.6823747522829389	0.9214273588990268	0.9200814056914047	0.6638410338344789	0.9418334591124592	0.7952078470915777	0.9441044769951356	0.7193995916999764	0.6674319378102226	0.928435598014576	0.668103324955829
LiJ_2014__MH0373__bin.33	0.7623253642009751	1.0	0.9074064874548785	0.7281702963442114	0.8722045329876481	0.7377752979731084	0.8575005346860936	0.9147378312504543	0.8248729172734721	0.9122168320750998	0.8813692356525026	0.5657339684375714	0.8786981583266966	0.8706268821865601	0.9043698887800634	0.45663290518355293	0.8297125454352449	0.7925982711206235	0.8543687645012359	0.89709920374913	0.7596302325374659	0.6627602770850536	0.9266415908911452	0.8838416032320663	0.6350596155384747	0.9176635708036815	0.7455192259523296	0.9107819385390755	0.6947750318066324	0.6287688833087474	0.8863631253278057	0.6253897717818564
LiJ_2014__V1.UC58-4__bin.26	0.7458298841703648	0.9000328837492038	1.0	0.7198133406362227	0.8535713618851414	0.723353789722428	0.8443737668594048	0.9114664699865768	0.8129801597921996	0.9057683490283215	0.8648472721010952	0.5628546413804121	0.8688016207435255	0.8578343198458095	0.8960017717805565	0.44389223258872906	0.8147166707123015	0.7775025363017919	0.8377207723635428	0.8868871641345143	0.767094881545889	0.6504581940701368	0.8946189945664014	0.8701543150325415	0.624029825664262	0.918907325918411	0.7313931921303067	0.8990494832998271	0.6778440293692337	0.6137668801517009	0.8784903973228271	0.6090858732658231
FengQ_2015__SID31878__bin.55	0.8039415825994592	0.9314216265315706	0.9282752097945598	1.0	0.8989594885467488	0.7851781297281534	0.8892660635142746	0.9588537785762733	0.8815692485923398	0.9456453833156971	0.9176834774326204	0.634934723892567	0.928631054544579	0.9195944707612	0.9479643941208026	0.470525085048233	0.8760549927292623	0.8439507061377869	0.8987133402986153	0.9388649355131723	0.8489974141056323	0.6425479286758695	0.9293293664224359	0.9312263132477255	0.7132814370776852	0.9524873681802554	0.7861567027907058	0.9488232374648337	0.6836105399609641	0.6346691780922707	0.9280250482597721	0.6607207595278769
HMP_2012__SRS052697__bin.46	0.7572303391353546	0.8953440684862533	0.8833950466849247	0.7214369530745918	1.0	0.7337799812551734	0.8549074192367441	0.9191358269893297	0.8252748113976276	0.9054277331105998	0.8770157935363629	0.5584278179239621	0.8717514603465323	0.8706054063687321	0.9014694183413726	0.4573308268658671	0.8243826607132696	0.7966594271125773	0.8462237118836403	0.8928377799511947	0.7549876161755186	0.656380273056083	0.8834642930376818	0.8780416057853448	0.633254675202398	0.918456783297565	0.7462700908361846	0.9072968478416072	0.6622785592893714	0.6083114947871989	0.887899817168157	0.6208445478427883
BritoIL_2016__M2.37.ST__bin.66	0.7872665941883801	0.9268078788933813	0.9161358343816409	0.7711172932972913	0.8979659001704662	1.0	0.8778640145306922	0.9385447630058563	0.8783547209969158	0.9365241296857705	0.9293008253984938	0.6158366151107374	0.9096370939929515	0.9223133492522803	0.9390709422286745	0.4672944468713357	0.8677996052013571	0.8269369603132113	0.8810000689748045	0.9251294919841424	0.8019772777286925	0.6479453719548446	0.910154076575171	0.9114370079386714	0.688141917302494	0.9485612184234988	0.7744688118925701	0.9310823460630167	0.6798360370361856	0.6348349038786831	0.9235700044997849	0.649125169563061
XieH_2016__YSZC12003_37228__bin.61	0.8000893461683185	0.9168493566572681	0.9102104555144981	0.7433304874510008	0.8904530991323134	0.7471799766179177	1.0	0.9627463379532796	0.8573279233613393	0.9342897510775495	0.8943271892467022	0.5855355374664044	0.9408643542894268	0.8967951115680923	0.9346967849357217	0.4852072825513866	0.8734968960872752	0.8160201369937305	0.8851303486792925	0.9437599976293632	0.7928085839415079	0.6663418223375486	0.9075826270345403	0.9146017246382403	0.6561273971247084	0.9597757735460422	0.7786373199727824	0.9457509970372632	0.6927727448339408	0.6234808216045521	0.9299543931980616	0.6507369940661396
CosteaPI_2017__SID713A078-11-90-0__bin.45	0.7269528818959696	0.8406658865311281	0.8445220308193585	0.6889152671884125	0.8228768739472375	0.6866195541693599	0.8275134741582105	1.0	0.7837416229542468	0.8636763606917416	0.822861014929103	0.5368152688704295	0.8424699699880096	0.8181946189870893	0.8659586175741949	0.4368087810902834	0.7932786597687947	0.7480891084588638	0.8067713201671444	0.8731494808574443	0.7433501454944769	0.6345106651896955	0.8369207553698396	0.8372922408552336	0.6168725535662366	0.8776904463833028	0.7127816477519842	0.8665199307008965	0.6269502387262806	0.5736365449446976	0.8550370404188704	0.5885416191096363
ChengpingW_2017__AS67raw__bin.73	0.804831633673502	0.9334233164846688	0.9275024172370004	0.7798923752593279	0.9097426781684149	0.791217589201075	0.9073502940330639	0.9650231427513069	1.0	0.9456006286591405	0.9250786711528061	0.6191316172232723	0.9305581361771322	0.9250875471760636	0.9629615384160203	0.4847326482621338	0.8689827958999873	0.8390463363918136	0.894090698756055	0.9467166406500563	0.8114460462050267	0.6794796993513402	0.9237289238827749	0.9310090381586157	0.6913339242792373	0.9584329913500195	0.793027706210731	0.9531866698699248	0.6920522904282148	0.6498065618664739	0.935456517545531	0.6526303207321417
CM_madagascar__A79_02_1FE__bin.52	0.6420598505356842	0.7639031328302145	0.7647171904982523	0.6190919512949166	0.7386222413341612	0.6243003439273225	0.7317423811821746	0.7869813830835402	0.699771678500207	1.0	0.7454482396823993	0.4816602747740213	0.7542062565520914	0.7400182692231903	0.7706183422650509	0.3862215375399256	0.7061264955408557	0.6744947281117453	0.7232103211477207	0.7740786347302662	0.6571731223468683	0.6078400891215796	0.7612941196047333	0.7499213967985945	0.5334166512671537	0.796626587062132	0.6322775835930815	0.7739468265763774	0.5716642246396295	0.5196148924822059	0.7592053325813116	0.5256193888480667
BritoIL_2016__M1.48.ST__bin.85	0.768989659822193	0.913854081553537	0.9040696523832942	0.7438725324082784	0.8858389283214385	0.767025291713815	0.8672649955892535	0.9283648140085525	0.847629447412353	0.9229884203671844	1.0	0.5857346644552389	0.8924791756919342	0.8988423620347231	0.9251859318061181	0.46778094720171076	0.8483961094342262	0.8175295590500548	0.868427459079279	0.9096737674172978	0.7721267931026443	0.6597408638990565	0.9019854594468865	0.9006993757722873	0.6549435332275332	0.9391750738332396	0.7653824445240867	0.9245564448136182	0.6825092078060724	0.624066138967522	0.9023449339309755	0.6384223461918206
LiuW_2016__SRR3992978__bin.70	0.7811613930087169	0.9338116294666555	0.9366703580402173	0.8193373308348231	0.897929924897955	0.8091833202854931	0.9039339454165829	0.9641510948533392	0.9031053284387389	0.9493965337916045	0.9324573585934918	1.0	0.9356078293946694	0.933718410056648	0.9490132984393517	0.4048544870904064	0.8819859532159401	0.8161022720504904	0.9016751010092727	0.9515742427865007	0.9129684599031381	0.5961562529940262	0.918405395677554	0.9349725563783223	0.7838362721903195	0.9600969136607004	0.7501245083323479	0.9537269206435247	0.6348431712898027	0.6249351564057702	0.9372046433623896	0.6182570214499588
XieH_2016__YSZC12003_36244__bin.10	0.7902602353828687	0.9080527225634782	0.9051810926351934	0.7502416892144195	0.877591505509001	0.7482968273190682	0.9093577632629152	0.9473249907998683	0.849812782049557	0.9307247650251255	0.8895092560619546	0.5857579260282397	1.0	0.8810808006627338	0.9287458585897888	0.4808104978230408	0.8592922950721339	0.8099136619658183	0.8744658925046351	0.9263243731346429	0.796070503540362	0.6636469700089218	0.8966299688141206	0.9103228989520227	0.6575119277477591	0.934650694913908	0.7655239049411597	0.9335061499029731	0.6761883300720827	0.6174923008002628	0.9119927025798736	0.635070631612679
LiuW_2016__SRR3993055__bin.86	0.7902453017559086	0.934642522526366	0.92845398199238	0.7717852176739418	0.9104648871618659	0.7881817064181968	0.9004158066013719	0.9557477810455737	0.877616334064424	0.9486711535082524	0.9306320967666784	0.6072707492097317	0.9152881763734053	1.0	0.9413110342284	0.4799071718919902	0.8821712885176863	0.8376917147994478	0.8929978662334389	0.9407928899148233	0.7985513291271766	0.6793989076866681	0.9236250790829689	0.9200985540798391	0.6777591465382852	0.9618897278872232	0.7875417448608	0.9497287741873189	0.6946114675497387	0.6418297960487426	0.9309105361811248	0.6548210156639012
BritoIL_2016__WL.17.ST__bin.10	0.7701160170408305	0.8981907490704978	0.8971702312083192	0.7360395493517764	0.8721714386912858	0.7424296011463039	0.8682197234682235	0.935821111787994	0.8451617326056236	0.913948271949054	0.8862016117430705	0.571015319193578	0.8925817959348593	0.8708476218817726	1.0	0.4628315968949251	0.8390926375738577	0.7951589540964314	0.8578873047058597	0.9105444683517415	0.7863342011630268	0.6615261649873565	0.894279542953415	0.8928201764431238	0.6458828985615631	0.9262775818972077	0.752985339339068	0.9183133877921135	0.6702989831695052	0.6120468887708239	0.9055685998339127	0.6219357847574621
HMP_2012__SRS051031__bin.19	0.8583950982877668	0.9301876703019044	0.9116422056852874	0.7493294445734544	0.9075325903785149	0.7577542624742483	0.9244152479723554	0.9682064053755216	0.8725976646136343	0.9395062070317243	0.919024174082367	0.49963782550432795	0.9477765681623053	0.9106408997266647	0.9493008967014426	1.0	0.892222196183533	0.8965768118844365	0.8980084663614459	0.954238187252736	0.7514609480023947	0.748659421756461	0.9358588968164863	0.9383632269321478	0.6224053925651968	0.947768046409466	0.8519910010290016	0.9476402201168759	0.7964419551457539	0.7072745943113038	0.9354253526407846	0.7446211761297181
CosteaPI_2017__SID713B046-11-0-0__bin.66	0.7952944946070984	0.9143901376405853	0.9052196693951975	0.754782612704611	0.8850363407105859	0.7613033095057525	0.9003298671541293	0.9512679484844783	0.8462982727501147	0.9292791100271778	0.9017446537777972	0.5888687700404093	0.9163754492163638	0.9056144265590315	0.9310892301025101	0.48269580531614004	1.0	0.8182941419189463	0.881795297952334	0.936459656394144	0.8008251289155877	0.6687975869675965	0.9079316799251287	0.9101884230690322	0.6637959848874279	0.942035817441236	0.7817759346812322	0.9401478985087975	0.6960231529398747	0.6302220321753021	0.9237208139028287	0.6554576762691586
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	0.8097902513051319	0.9373171856892494	0.9269979555717164	0.7802561162788685	0.9177714371230083	0.7784670869308716	0.9025489184813595	0.9626313634840125	0.8768550434796589	0.9525149683565047	0.9324336859446484	0.584697213121445	0.9268316061439215	0.9227928399248521	0.9468145630575644	0.5204962283823044	0.8780899870012455	1.0	0.8954663906131924	0.9416682435850342	0.7973505297827316	0.6886334487266539	0.9329055246562009	0.9343482503626913	0.6734090748869257	0.9602554731435342	0.8129187336665269	0.9484038494123351	0.721756155238028	0.661629803880827	0.9313248958924677	0.6767082354716346
XieH_2016__YSZC12003_37100__bin.121	0.7919491770403381	0.9260866706494914	0.9154804159520066	0.7615774933370818	0.8935520183738965	0.7601802927262813	0.8973253102465535	0.9515463298118965	0.8564386291676538	0.9361181742640748	0.9078641138800686	0.5921194484656868	0.9172290422742458	0.9016608832575123	0.9362978548294394	0.4778409084468004	0.8673016513607543	0.8207711867192822	1.0	0.9385900573730814	0.7965545543071756	0.6735748270362003	0.9131054583214774	0.9185939343922206	0.6619188297297083	0.9470905918802522	0.7782044640134403	0.9384710260837232	0.6958557839570763	0.6357268447299179	0.9320518386933313	0.6474837352245326
LeChatelierE_2013__MH0200__bin.81	0.7667636338382778	0.8891107058287584	0.8861908071389814	0.7274533186768308	0.862017943331991	0.7298813849461965	0.8748092141098377	0.9416232750234644	0.8291703787316943	0.9161366122852379	0.8695249956077137	0.5713615673128899	0.8883970564684774	0.8685522143083327	0.9086445896619831	0.46426803778558284	0.8421715463802119	0.7891868387924659	0.8581931559108773	1.0	0.7759394958018035	0.6632580451397472	0.8820985955567165	0.8936792019150888	0.636360149861183	0.9163195594342425	0.759292341770151	0.9115893650179138	0.6695150449412521	0.610311689078988	0.9067726205339257	0.622784227571742
CosteaPI_2017__SID713B055-11-0-0__bin.109	0.781783439174931	0.8994899045939546	0.9157704805968079	0.7859357817252345	0.8708879053270853	0.755945540287506	0.8780086836343463	0.957768831053033	0.8491063732823444	0.9292522811258508	0.8817870305239902	0.6549419439848618	0.9121667475752202	0.880812412693066	0.9375160991509555	0.43681454768816197	0.8604544171116637	0.7983804254138721	0.870168397118995	0.9270572238128735	1.0	0.6335480299592815	0.9019988953505652	0.9114812952633821	0.7138264461991143	0.9391705965106948	0.7494495328769432	0.9319860407977254	0.6450038142603802	0.6003094752172147	0.9285340113139879	0.6144562945203444
XieH_2016__YSZC12003_37314__bin.3	0.7054345597089089	0.8330360288356881	0.8242713520278051	0.6313925944232074	0.803694901173093	0.6483060873588844	0.7833228608536079	0.867799622464915	0.754731019397311	0.9123394292805275	0.7997637776644355	0.4539629353089951	0.8071849974497978	0.7954606401270369	0.8372050835782754	0.46194283340607106	0.7627779588917926	0.7319172262213365	0.7810644859370811	0.8411519815333813	0.6725008018676945	1.0	0.8410349877222225	0.8183276720597747	0.5203326042033641	0.8643811684658299	0.7012661622349236	0.8478725529889948	0.6558548172530378	0.589695474311314	0.8207510213954076	0.5739315441605628
LiJ_2014__O2.UC31-1__bin.45	0.7667343668411282	0.937495403918216	0.9125128227375242	0.7350445482666621	0.8707124178061864	0.7330045492612676	0.8587760958249325	0.9213293640821565	0.8258673566829278	0.9197496345619003	0.8801119671653272	0.5629175160049456	0.8778074454673243	0.8704415465689556	0.9109785911203965	0.4647981136357745	0.8335020106369865	0.7981078162752349	0.8522598438152214	0.9004490008184333	0.770671522597909	0.6769617135145173	1.0	0.8835084385384169	0.6348137257650922	0.9221827142885107	0.7517613243487319	0.9097337473289822	0.7161824931475397	0.6341317862635483	0.8966859009933886	0.627319797883501
FengQ_2015__SID530373__bin.58	0.7421758447010628	0.8668192222026769	0.8603870677899431	0.7139963208199843	0.8388756089442948	0.7115659285570322	0.8389238167671936	0.8935202018984651	0.806893821244367	0.8782731957837643	0.8519517244810094	0.5555279756663322	0.8639293170746467	0.8405721140309895	0.8816487690850412	0.4517744838044793	0.8099934816869251	0.7748710056100572	0.831134663424776	0.8843422529772178	0.754931942349598	0.6385192813341874	0.8564606944695883	1.0	0.6225860830169482	0.8899666699318064	0.735085704790678	0.8871357424594504	0.6517502773231939	0.5939244809068814	0.8676700389919232	0.6070046992370342
CosteaPI_2017__SID713A078-11-0-0__bin.19	0.8043570034219402	0.935562447711799	0.9268450512828809	0.8214967483094445	0.9087931998761262	0.8069947168695025	0.9040300625378439	0.988842102343898	0.9000249596716416	0.9383927512183247	0.9305574172594588	0.6995787670230353	0.9373258022916676	0.9300797939132297	0.9580531147975416	0.45011994508872244	0.8873378969473704	0.838887630633837	0.8996151280261676	0.9459014524371886	0.8880897685375636	0.6098626139555379	0.9243729652860271	0.9351980673202402	1.0	0.955511696379461	0.787742644215288	0.9541835953328495	0.6663562114916177	0.6375539829935275	0.937297298962941	0.6392934564060846
XieH_2016__YSZC12003_35562__bin.33	0.7175490544167503	0.8500304917478528	0.8581559734036396	0.6897582118224668	0.8287778161514716	0.6994404921692638	0.8314903465402886	0.8846380200853188	0.7845509769226633	0.8811819657417099	0.8390321497820531	0.5387894267502966	0.8377780888576517	0.8299708451421245	0.8639123503930505	0.43097264074036573	0.7917982768650705	0.7521498014282441	0.8093498016219963	0.8564117194875448	0.7346854651481017	0.6370140271727731	0.8443269122249385	0.8405637606908815	0.60079835581908	1.0	0.7083671390506047	0.87368617864047	0.6360699697213795	0.5806510363561417	0.8487488211391367	0.5899700313830079
ZellerG_2014__CCIS63910149ST-4-0__bin.6	0.8162132884360002	0.9303693262463415	0.9202184829530438	0.7669945868694877	0.9072374109639549	0.7693693164576787	0.9087996815421713	0.9678905758017731	0.8745674226777214	0.9422455844973685	0.9212045275828203	0.5671303229932425	0.9244511007351285	0.9154964320324201	0.9461512609429092	0.5219491185309175	0.8852683888187367	0.857847734087713	0.8959504302117287	0.9560710917948166	0.7898504618617385	0.6962610571103214	0.9272976438688711	0.9353635019919928	0.6673022771692493	0.954341761371979	1.0	0.9461290733072955	0.7192852971022295	0.6571005328295435	0.9388880731669913	0.6741093132600489
