	BritoIL_2016__W1.39.SA__bin.2	HMP_2012__SRS015154__bin.11	HMP_2012__SRS015803__bin.39	HMP_2012__SRS015044__bin.27	HMP_2012__SRS015799__bin.2	HMP_2012__SRS015440__bin.17	CM_periimplantitis__SP_403SPT_T016__bin.15	BritoIL_2016__W2.4.SA__bin.1	CM_periimplantitis__SP_186SPI_T016_R__bin.5	HMP_2012__SRS024447__bin.56	BritoIL_2016__W1.36.SA__bin.11	BritoIL_2016__WL.33.SA__bin.17	HMP_2012__SRS019591__bin.5	BritoIL_2016__W1.40.SA__bin.2	HMP_2012__SRS018573__bin.7	HMP_2012__SRS047100__bin.26	CM_periimplantitis__SP_164SPT_T016__bin.15	HMP_2012__SRS017691__bin.35	HMP_2012__SRS015947__bin.14	CM_periimplantitis__SP_164SPI_T016__bin.12	BritoIL_2016__M1.48.SA__bin.1	BritoIL_2016__W1.42.SA__bin.4	HMP_2012__SRS016360__bin.7	HMP_2012__SRS015470__bin.40	HMP_2012__SRS013881__bin.8	BritoIL_2016__WL.32.SA__bin.2	BritoIL_2016__WL.25.SA__bin.1	HMP_2012__SRS015158__bin.23	HMP_2012__SRS015650__bin.2	BritoIL_2016__W2.46.SA__bin.5	CM_periimplantitis__SP_162SPI_T016__bin.14	HMP_2012__SRS051244__bin.43	HMP_2012__SRS019387__bin.24	BritoIL_2016__W1.38.SA__bin.1	BritoIL_2016__M1.62.SA__bin.1	CM_periimplantitis__SP_162SPT_T016__bin.1	HMP_2012__SRS024470__bin.7	HMP_2012__SRS047265__bin.8	HMP_2012__SRS043018__bin.16	BritoIL_2016__W3.16.SA__bin.7	OhJ_2014__MET0313__bin.2
BritoIL_2016__W1.39.SA__bin.2	1.0	0.967991957186476	0.9555024505060259	0.9682299566512027	0.955388872149554	0.966962705622374	0.9678050289290783	0.9968423549996663	0.9664441807200683	0.9851613923532908	0.9696250010611268	0.9682508071373501	0.9679843281190454	0.9851998037304189	0.9550641372505332	0.9554434038063383	0.9678323678389681	0.9548234824316854	0.9637011991076408	0.9677979442853536	0.9839036284498816	0.9733425193517743	0.9680434582648787	0.9670512775361426	0.9560613295061702	0.968041240330397	0.9673957405140033	0.9676227284793223	0.9676403644503248	0.9682042641369591	0.9677546892734383	0.9549191750753527	0.9675798731556944	0.9690800957292114	0.9705983908988015	0.9681058848015338	0.9849528100055576	0.9674282494352832	0.9677299049186509	0.972445663059633	0.9676605596301306
HMP_2012__SRS015154__bin.11	0.967991957186476	1.0	0.954910169878843	0.97007555942033	0.9547834067854455	0.9692079908708778	0.9703276789757627	0.9680613385637016	0.9666867528428419	0.967693512255919	0.9759780267069712	0.969889901397981	0.9979428238870622	0.9679124568637457	0.9538366959146035	0.9540481293944162	0.9698062888006399	0.9536217632309614	0.9639481616335761	0.9694454954037277	0.9674332221988553	0.9747834543455045	0.9977253065577482	0.9685912874771241	0.9557509697576044	0.9697236496107764	0.9753666847238065	0.996974670547053	0.9701841878639093	0.9703299437407662	0.9939841611225447	0.9547044669235065	0.9979079469707692	0.9710328507931891	0.9719710357524354	0.9944253059255584	0.9672360311892353	0.9704995002400356	0.9960279229979742	0.9745046683431515	0.9879794369498187
HMP_2012__SRS015803__bin.39	0.9555024505060259	0.954910169878843	1.0	0.9546348282391679	0.998031975826338	0.9538280791846956	0.954671838280351	0.9560158230598049	0.9541320808434245	0.9562528803490671	0.9556636981602896	0.9534873324449875	0.9554413019641785	0.9550278047400935	0.9719257840146993	0.9597888866998862	0.9539065585944289	0.9529766848853386	0.953122678015789	0.9543231034816458	0.9554351830146345	0.9586015051582011	0.9552638955592297	0.9535412669844346	0.9976620447357408	0.9538666274991501	0.9527784394413552	0.955783950166558	0.9543819264856479	0.9554352598845249	0.9556732539335442	0.9537533457714003	0.9549918653308959	0.9567958639614214	0.9562148994144073	0.9553273929602758	0.9556011682563084	0.9551983516739039	0.9538242697165492	0.9577707487489378	0.955134249515514
HMP_2012__SRS015044__bin.27	0.9682299566512027	0.97007555942033	0.9546348282391679	1.0	0.9542700944758477	0.9686713447215861	0.969030027231873	0.967836005800389	0.9676657104938844	0.9676584328208997	0.9700861785219195	0.969593666960252	0.9695838217742692	0.9678807196129813	0.9535917494228557	0.953674065259252	0.9687828252148272	0.9540039799441493	0.964517162533352	0.9684391021114109	0.9678979294697405	0.9742173330208161	0.9702662030382494	0.9688543145905222	0.9551735476871357	0.9693904391153063	0.9676236225948588	0.9697843757489621	0.9989027774903847	0.9697231067058635	0.9694026595422601	0.9544442751575896	0.9692839004830597	0.9702240797425634	0.9707730057912967	0.9696650275176723	0.9672234791000619	0.9955668624205031	0.9700382669217178	0.9739628747149858	0.9691455004280382
HMP_2012__SRS015799__bin.2	0.955388872149554	0.9547834067854455	0.998031975826338	0.9542700944758477	1.0	0.9537548786627186	0.9542560398194481	0.9560683717167603	0.9539085199154914	0.9559773358181489	0.9551390272195065	0.9535163818407527	0.9551929720872113	0.9549398660503576	0.9728239422004725	0.95925905239582	0.9533710736563976	0.9525139183672688	0.9527892606211676	0.9539133637871611	0.9553762751189367	0.9579203771428962	0.9548820771471194	0.9530748622277506	0.999344345962313	0.9537421317170803	0.9522399470501292	0.955471810984581	0.9543375960946083	0.9548049694863372	0.9550633371837799	0.9531235678539348	0.9547560100007192	0.9561227944102293	0.9557653217995505	0.954500972331737	0.9557204162907678	0.9549946896602687	0.9534659231425859	0.9571882258628133	0.9549670938275453
HMP_2012__SRS015440__bin.17	0.966962705622374	0.9692079908708778	0.9538280791846956	0.9686713447215861	0.9537548786627186	1.0	0.9679354202908019	0.9676144976801875	0.9731842968169713	0.9670619281013255	0.9693106084056121	0.9695147732184132	0.9689670202308167	0.9672232647892598	0.9538762049955241	0.9538258022113822	0.9678914078480688	0.9535137175411793	0.9633325070236325	0.9682370632719541	0.9668915260285436	0.97360246427995	0.9693622608110624	0.9972568121602724	0.9544626414166418	0.9684495978060107	0.9677082839725382	0.9682469058847174	0.968383939858587	0.96921095150562	0.9685359660497929	0.9540847030687956	0.9682773252336209	0.9690425474117662	0.9708825077254207	0.9687925813025624	0.9663279868681405	0.9682656477939281	0.9681725695191147	0.9727783525848366	0.9675235428519019
CM_periimplantitis__SP_403SPT_T016__bin.15	0.9678050289290783	0.9703276789757627	0.954671838280351	0.969030027231873	0.9542560398194481	0.9679354202908019	1.0	0.9679153195722457	0.9667104130294406	0.9666143022831597	0.9716739364650997	0.968626031731207	0.969898401711778	0.9680306005340442	0.9530798333065198	0.9539289299285743	0.9968159353002846	0.9538859532213735	0.9629326738664175	0.9969553639375948	0.9681993959996915	0.9773942114177913	0.9699656264261071	0.9677314655808595	0.9549732070762681	0.9691064920775043	0.9690254333756139	0.9692312515584512	0.9690178737532019	0.9709190357239814	0.9693069491026621	0.9551032965138039	0.9691670141955991	0.9733393205480847	0.972155279691626	0.9694848484651949	0.9666047193008684	0.9696265441334994	0.9683038745852817	0.9783071932744524	0.9695616883116883
BritoIL_2016__W2.4.SA__bin.1	0.9968423549996663	0.9680613385637016	0.9560158230598049	0.967836005800389	0.9560683717167603	0.9676144976801875	0.9679153195722457	1.0	0.9671297706546137	0.9850939851198794	0.9702886524365838	0.9688266099585581	0.9676857365226561	0.984664804047181	0.9555430530159772	0.955467661021641	0.9679643995607116	0.9543212721825305	0.9635953588395867	0.9683100609636541	0.9837921554438136	0.97427820489684	0.9680143968848067	0.967453781801344	0.9565402575438203	0.969073338613927	0.9676731977772481	0.9679139138113526	0.967627096630416	0.9681960390233348	0.9673502733823369	0.9546647464681254	0.9672709990030834	0.9697645921747825	0.971946504481677	0.9676084520692222	0.9846406524246267	0.9674155458052379	0.9672218457596911	0.9738518446266854	0.9674642227060672
CM_periimplantitis__SP_186SPI_T016_R__bin.5	0.9664441807200683	0.9666867528428419	0.9541320808434245	0.9676657104938844	0.9539085199154914	0.9731842968169713	0.9667104130294406	0.9671297706546137	1.0	0.9663350025417321	0.9695902693281367	0.9682580658803503	0.9671696587738656	0.9662958830819358	0.953661659354183	0.9537569866619566	0.9676806755428308	0.9532823844462623	0.9626135153082338	0.9671975351064732	0.9658714709645804	0.9726723945244166	0.9676124301652028	0.9726807872539831	0.9548034456932148	0.9678989068298064	0.9666169957050125	0.9664177688081056	0.967725804936707	0.9681126978104988	0.9666700294915133	0.954293099394623	0.966779642450741	0.9687104961927039	0.9697647110430255	0.9672391673453027	0.9659951708146376	0.9677865583565111	0.9672868523517433	0.973001806901879	0.9675087800436473
HMP_2012__SRS024447__bin.56	0.9851613923532908	0.967693512255919	0.9562528803490671	0.9676584328208997	0.9559773358181489	0.9670619281013255	0.9666143022831597	0.9850939851198794	0.9663350025417321	1.0	0.9686203477658399	0.9673275298834061	0.967621406401856	0.9823777508664968	0.9564151927472426	0.95584523322744	0.9667788029721565	0.9537856017902697	0.9623102065878154	0.9669856462421949	0.9818909472523368	0.9724432108773746	0.9674935997761217	0.9671709779153612	0.9567842745929408	0.9671843061357194	0.965465673083264	0.967016928934905	0.9672312306472604	0.967473034688686	0.9676583888282881	0.9548546550416627	0.967041530186959	0.9685085072735226	0.9699369759827394	0.96730147395515	0.9987809814468055	0.9674800434691985	0.9667210950906486	0.9719681312170116	0.9674975741639708
BritoIL_2016__W1.36.SA__bin.11	0.9696250010611268	0.9759780267069712	0.9556636981602896	0.9700861785219195	0.9551390272195065	0.9693106084056121	0.9716739364650997	0.9702886524365838	0.9695902693281367	0.9686203477658399	1.0	0.9709101056373267	0.9757164270653425	0.9697471602001646	0.954732129053881	0.953772171575884	0.9717583449826555	0.9537564647426862	0.9642474836829663	0.971765090732372	0.9696006802770825	0.9778580145533716	0.9760167192819277	0.9689059954128917	0.9562425262138416	0.9708155570306023	0.9904083742857159	0.9746791264268928	0.9701627833468798	0.9716250287523811	0.9764222923829009	0.9538871339080152	0.9753021520181829	0.9738520904390533	0.9732800113999265	0.976834161504088	0.9679473486707272	0.9699827874354896	0.9745739162241658	0.9776616277699198	0.9813582711563366
BritoIL_2016__WL.33.SA__bin.17	0.9682508071373501	0.969889901397981	0.9534873324449875	0.969593666960252	0.9535163818407527	0.9695147732184132	0.968626031731207	0.9688266099585581	0.9682580658803503	0.9673275298834061	0.9709101056373267	1.0	0.9694955205331109	0.9687447514763385	0.9531154812997927	0.9527958069975742	0.9689066003258587	0.9520709660010793	0.9642748585954222	0.9690646111909517	0.9676979624586106	0.9746225867867746	0.970100259340359	0.9692039116215796	0.9544519133008755	0.9742974085333219	0.9694453359325164	0.9685058897552785	0.969311206611197	0.9699951229605107	0.969496702168275	0.9534637802666683	0.9692405402846593	0.9716678199949575	0.9718081599201385	0.9692661922647653	0.9670805255374392	0.969996053980039	0.9690582979614197	0.9740825488721521	0.9690332985696076
HMP_2012__SRS019591__bin.5	0.9679843281190454	0.9979428238870622	0.9554413019641785	0.9695838217742692	0.9551929720872113	0.9689670202308167	0.969898401711778	0.9676857365226561	0.9671696587738656	0.967621406401856	0.9757164270653425	0.9694955205331109	1.0	0.9678385998325492	0.9537439719599804	0.954243316249595	0.9690972003207872	0.9538622032000915	0.9639576868603421	0.969599926254763	0.9673475710195942	0.9745394493562376	0.9981798382731228	0.9687192811351958	0.9568978860884156	0.9690638887509366	0.974584829270607	0.9976062395287896	0.969999559553828	0.9703388065892293	0.9944300793899565	0.9545458060977228	0.9982739760902538	0.970872108098764	0.9713870948125541	0.9946667580284135	0.966895408995361	0.9702532962563608	0.9965578537619535	0.9743279869009213	0.9881555803280452
BritoIL_2016__W1.40.SA__bin.2	0.9851998037304189	0.9679124568637457	0.9550278047400935	0.9678807196129813	0.9549398660503576	0.9672232647892598	0.9680306005340442	0.984664804047181	0.9662958830819358	0.9823777508664968	0.9697471602001646	0.9687447514763385	0.9678385998325492	1.0	0.9544619489492014	0.9542505382310199	0.9684719352848641	0.9532029172640679	0.962584557109771	0.9682391022393917	0.9813053635961602	0.9738569304352873	0.9681757880977796	0.9675180771138505	0.9554024567003334	0.968326945962515	0.9678228291295957	0.9676036121866641	0.9676283539040773	0.9682544874623417	0.9673384094314456	0.9539283721542029	0.9676032599193161	0.9702727542217864	0.9710538928490708	0.9675568646241438	0.9822366345606349	0.967188753104991	0.9668300908595275	0.9740379741764453	0.9679134927092993
