	NielsenHB_2014__MH0144__bin.34	WenC_2017__N035__bin.73	XieH_2016__YSZC12003_35365__bin.50	ZeeviD_2015__PNP_Main_287__bin.55	ZeeviD_2015__PNP_Main_699__bin.32	ZeeviD_2015__PNP_Main_474__bin.23	ZeeviD_2015__PNP_Main_432__bin.52	BritoIL_2016__WL.10.ST__bin.22	BritoIL_2016__W1.55.ST__bin.61	ZeeviD_2015__PNP_Main_405__bin.13	ZeeviD_2015__PNP_Main_566__bin.19	XieH_2016__YSZC12003_36033__bin.58	ZeeviD_2015__PNP_Main_323__bin.18	ZeeviD_2015__PNP_Main_86__bin.59	LeChatelierE_2013__MH0421__bin.43	ZeeviD_2015__PNP_Validation_54__bin.2	BackhedF_2015__SID272_M__bin.42	ZeeviD_2015__PNP_Main_538__bin.6	ZeeviD_2015__PNP_Main_529__bin.29	ZeeviD_2015__PNP_Main_680__bin.22	XieH_2016__YSZC12003_35742__bin.40	BritoIL_2016__WL.2.ST__bin.2	LeChatelierE_2013__MH0077__bin.34	NielsenHB_2014__MH0077__bin.17	ZeeviD_2015__PNP_Main_67__bin.35	ZeeviD_2015__PNP_Main_77__bin.12	LiJ_2014__MH0252__bin.34	XieH_2016__YSZC12003_37337__bin.27	CM_madagascar__A90_03_1FE__bin.27	BritoIL_2016__WL.7.ST__bin.64	NielsenHB_2014__O2_UC40_2__bin.7
NielsenHB_2014__MH0144__bin.34	1.0	0.9840373307356287	0.9863312722654093	0.9837960355617736	0.9768481692776009	0.9830811530327478	0.9847807205475327	0.9833406866538388	0.9838532584124524	0.984372266876467	0.9824604746933603	0.9844201940087813	0.9845204039218562	0.9846552265680637	0.9840455521605179	0.9834515096065873	0.9851215062108334	0.9843093806593042	0.9828541771220702	0.9839605604922459	0.9789790458143295	0.9835668202764977	0.9837454050579915	0.9847050373671239	0.9838737737033592	0.9832359610887794	0.9830556610332797	0.9840761717146844	0.9801397375617587	0.9841178505354178	0.9832084966559295
WenC_2017__N035__bin.73	0.9840373307356287	1.0	0.9849854686788753	0.9837857146352325	0.976901688430638	0.9838516462098668	0.984215048006861	0.9840442617585483	0.9837967927412116	0.9832988405054187	0.982894176016583	0.9837081176034056	0.9843991313501894	0.9842358097196159	0.9839385723695798	0.9841822897369397	0.9845728706931439	0.9841533084610193	0.9842461655972657	0.9839450529107525	0.9791798663116967	0.9841033840670549	0.9835774901255329	0.9837892287951648	0.9846138512337537	0.984627852204523	0.983961262458131	0.9846179323466243	0.9790881796513522	0.9853861135833043	0.9836451636739821
XieH_2016__YSZC12003_35365__bin.50	0.9863312722654093	0.9849854686788753	1.0	0.9840824749714827	0.9779701851398797	0.9848422277625799	0.983865280554402	0.9846055481445254	0.9844689280823715	0.9841944452489212	0.983146108269226	0.985646299786004	0.9843054720384846	0.9851017987807802	0.9847373692872936	0.9851524659387941	0.9859745733844261	0.983951375665224	0.9845369509120871	0.9858577743353643	0.9793742988061228	0.9845374311948901	0.9852194700576549	0.9857786321898282	0.9856776974089788	0.9852850074800916	0.9842045664137395	0.9855329447217471	0.9800776228792194	0.9850696641015454	0.985251400806753
ZeeviD_2015__PNP_Main_287__bin.55	0.9837960355617736	0.9837857146352325	0.9840824749714827	1.0	0.9773539030257598	0.9847268612753655	0.9847987715069633	0.9838200869139646	0.9844009181216699	0.9845977849498695	0.9819180352332257	0.98440314497293	0.9839993453864392	0.9858400666761216	0.9846576087951879	0.9850240707095888	0.9841617007973914	0.9840576327981189	0.9875279008479485	0.9859965816358313	0.9786618957968785	0.9835802140502791	0.984235691168658	0.9849836244765791	0.9864052976756043	0.9856943583823533	0.9831173627997168	0.9846344124138985	0.9788992323673293	0.9867581046319484	0.9845802704614132
ZeeviD_2015__PNP_Main_699__bin.32	0.9768481692776009	0.976901688430638	0.9779701851398797	0.9773539030257598	1.0	0.9759631802486997	0.9769347345484681	0.9768938875785076	0.9779906345668536	0.9774694542277879	0.976344880234004	0.9769451843317226	0.9772534509142868	0.9771597752571808	0.9772854853799912	0.9763747451020482	0.9771605612727714	0.976595517690079	0.9768633528157769	0.9769387824706531	0.9744053295346359	0.9762789917336712	0.9769504227825145	0.9777782855016633	0.976977300308305	0.9787160637670502	0.9773622079781027	0.975965440947962	0.9781740053629203	0.9785882674817442	0.9767912424947723
ZeeviD_2015__PNP_Main_474__bin.23	0.9830811530327478	0.9838516462098668	0.9848422277625799	0.9847268612753655	0.9759631802486997	1.0	0.9839846671431915	0.9826716348482145	0.9831040163770639	0.9837250497193974	0.9821519481093949	0.9865540350736386	0.9837928242430678	0.984375099440587	0.9852080205589601	0.997227994147823	0.9846756183823105	0.9840321034027384	0.9845629969580447	0.9844139720962802	0.9791971631298994	0.9825980269218245	0.9835594443588476	0.984560810220454	0.9845973805462485	0.9846118408085432	0.9840052030634192	0.985114093949218	0.9792684606573777	0.9845384683480805	0.9848523434635718
ZeeviD_2015__PNP_Main_432__bin.52	0.9847807205475327	0.984215048006861	0.983865280554402	0.9847987715069633	0.9769347345484681	0.9839846671431915	1.0	0.9824501290274223	0.9839414023785926	0.9830904076606043	0.9819559933378846	0.9836579512167948	0.9976640086826818	0.9838945816154901	0.9836311200352943	0.9840613654208806	0.9848204428422922	0.9950890703881153	0.9825774699012009	0.9830914124066998	0.9785291102543178	0.9825915492957746	0.9832807528985796	0.9840003147426417	0.9835975601021977	0.9833670529880847	0.9829618421025245	0.9831456230294114	0.9787826884106919	0.9840132948521939	0.9836143588132118
BritoIL_2016__WL.10.ST__bin.22	0.9833406866538388	0.9840442617585483	0.9846055481445254	0.9838200869139646	0.9768938875785076	0.9826716348482145	0.9824501290274223	1.0	0.9862291879345563	0.9846937187697591	0.9815858358036326	0.9848597064215728	0.9829109070705137	0.9853675845776022	0.9854382588095943	0.9835298996194242	0.9832667269439421	0.9835801105532649	0.9835977209790091	0.9861213909911244	0.9787688940748402	0.9988855105478223	0.9837086473262093	0.9846474712718302	0.9852799775038326	0.9860563772346951	0.9829165637716483	0.9837213708708431	0.9790346121948643	0.984837145498268	0.9834615688176666
BritoIL_2016__W1.55.ST__bin.61	0.9838532584124524	0.9837967927412116	0.9844689280823715	0.9844009181216699	0.9779906345668536	0.9831040163770639	0.9839414023785926	0.9862291879345563	1.0	0.984980119891452	0.9819922587186912	0.9848105405204031	0.9840624542987602	0.9854623961233057	0.9845274868382394	0.9841106269761702	0.9838391167300393	0.9838036108093875	0.9836389212026225	0.9850002815298917	0.9810415636334676	0.9859743452021276	0.9836863383356016	0.9848032480980992	0.9851608293275661	0.9850019382861888	0.9831937229896414	0.9839915410632261	0.9808686848320138	0.985737731656099	0.9839838896772636
ZeeviD_2015__PNP_Main_405__bin.13	0.984372266876467	0.9832988405054187	0.9841944452489212	0.9845977849498695	0.9774694542277879	0.9837250497193974	0.9830904076606043	0.9846937187697591	0.984980119891452	1.0	0.981485310012774	0.9841888104567225	0.983218892874217	0.9919065323373764	0.9839472315475909	0.9845302408569229	0.9839777671890156	0.983665345059735	0.9861299081275874	0.9854812029271288	0.9787659158925649	0.9846237405233645	0.9843382131944096	0.9849250039505552	0.9925491139846037	0.9846802857607213	0.9832576197285551	0.9841069673566953	0.9789598971365027	0.9888476869019347	0.9833377506576195
