	RaymondF_2016__P21E7__bin.23	RaymondF_2016__P9E90__bin.19	RaymondF_2016__P15E0__bin.36	RaymondF_2016__P22E90__bin.66	XieH_2016__YSZC12003_37308R1__bin.80	QinJ_2012__T2D-077__bin.18	RaymondF_2016__P6C0__bin.76	RaymondF_2016__P20E0__bin.15	RaymondF_2016__P38C0__bin.54	RaymondF_2016__P12E90__bin.22	HMP_2012__SRS021484__bin.49	QinJ_2012__DLM013__bin.12	XieH_2016__YSZC12003_37270__bin.39	HMP_2012__SRS054956__bin.1	RaymondF_2016__P2E0__bin.65	RaymondF_2016__P18E0__bin.7	RaymondF_2016__P6C7__bin.5	RaymondF_2016__P18E90__bin.11	RaymondF_2016__P38C7__bin.19	RaymondF_2016__P22E0__bin.67	XieH_2016__YSZC12003_37209__bin.63	XieH_2016__YSZC12003_35653__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	XieH_2016__YSZC12003_37205__bin.52	RaymondF_2016__P15E90__bin.56	HeQ_2017__SZAXPI029486-84__bin.35
RaymondF_2016__P21E7__bin.23	1906519.0	1661361.0	1481768.0	1520781.0	1639953.0	1529830.0	1530041.0	1721427.0	1568473.0	1556848.0	1428031.0	971892.0	1671068.0	1292269.0	1725580.0	1120692.0	1688536.0	1328326.0	1631184.0	1495481.0	1549077.0	1319373.0	1387517.0	1485684.0	1440227.0	1685156.0
RaymondF_2016__P9E90__bin.19	1661361.0	1908714.0	1496632.0	1506899.0	1690934.0	1624150.0	1551174.0	1733298.0	1624969.0	1554844.0	1433736.0	1018927.0	1794726.0	1309408.0	1743904.0	1178343.0	1687878.0	1395960.0	1723747.0	1504912.0	1639831.0	1354870.0	1461422.0	1525301.0	1453846.0	1720147.0
RaymondF_2016__P15E0__bin.36	1481768.0	1496632.0	1680260.0	1369491.0	1499786.0	1376948.0	1398099.0	1589308.0	1390759.0	1413611.0	1276936.0	870753.0	1493725.0	1143408.0	1576074.0	1033014.0	1498762.0	1207170.0	1462563.0	1341105.0	1404857.0	1186816.0	1254658.0	1335968.0	1318685.0	1529313.0
RaymondF_2016__P22E90__bin.66	1520781.0	1506899.0	1369491.0	1849887.0	1510919.0	1406883.0	1416105.0	1579703.0	1445966.0	1413341.0	1308306.0	892569.0	1515730.0	1186117.0	1565050.0	1052085.0	1551633.0	1234368.0	1496771.0	1411368.0	1426818.0	1218027.0	1284436.0	1371263.0	1319606.0	1536457.0
XieH_2016__YSZC12003_37308R1__bin.80	1639953.0	1690934.0	1499786.0	1510919.0	1927583.0	1578584.0	1558412.0	1742715.0	1579528.0	1548023.0	1414627.0	974610.0	1719136.0	1285290.0	1748050.0	1140261.0	1698404.0	1337043.0	1668075.0	1519601.0	1544508.0	1328487.0	1404769.0	1502436.0	1442562.0	1713134.0
QinJ_2012__T2D-077__bin.18	1529830.0	1624150.0	1376948.0	1406883.0	1578584.0	1956971.0	1433650.0	1610466.0	1517911.0	1425485.0	1344174.0	1003161.0	1631616.0	1234530.0	1610355.0	1097491.0	1572112.0	1314465.0	1614737.0	1411810.0	1484148.0	1277501.0	1375434.0	1405418.0	1341906.0	1563782.0
RaymondF_2016__P6C0__bin.76	1530041.0	1551174.0	1398099.0	1416105.0	1558412.0	1433650.0	1781627.0	1604472.0	1457378.0	1466691.0	1335227.0	888401.0	1556630.0	1182935.0	1610172.0	1062156.0	1621076.0	1237607.0	1521300.0	1400786.0	1436198.0	1241124.0	1308864.0	1377749.0	1368869.0	1578674.0
RaymondF_2016__P20E0__bin.15	1721427.0	1733298.0	1589308.0	1579703.0	1742715.0	1610466.0	1604472.0	2122323.0	1609271.0	1660407.0	1475284.0	1012818.0	1736096.0	1348263.0	1842300.0	1154979.0	1755965.0	1377297.0	1689989.0	1536360.0	1620070.0	1344642.0	1458869.0	1541442.0	1538495.0	1780372.0
RaymondF_2016__P38C0__bin.54	1568473.0	1624969.0	1390759.0	1445966.0	1579528.0	1517911.0	1457378.0	1609271.0	1874066.0	1452910.0	1348972.0	934545.0	1641734.0	1215736.0	1599257.0	1125234.0	1596267.0	1333430.0	1657081.0	1445255.0	1515520.0	1307001.0	1356050.0	1424938.0	1381646.0	1574628.0
RaymondF_2016__P12E90__bin.22	1556848.0	1554844.0	1413611.0	1413341.0	1548023.0	1425485.0	1466691.0	1660407.0	1452910.0	1857681.0	1335048.0	923144.0	1562898.0	1197077.0	1643840.0	1067068.0	1571109.0	1243330.0	1515293.0	1390263.0	1452057.0	1212402.0	1320634.0	1405764.0	1385815.0	1592727.0
