	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
BritoIL_2016__W1.42.ST__bin.51	1.0	0.9658073226416632	0.849536154152359	0.899681249155819	0.9268283249723466	0.903204942452888	0.8794435158866682	0.9375838602708638	0.9705567518711811	0.577302583625239	0.7329115453019506	0.9380485688937972	0.6937790331323562	0.6440843663331991	0.9682635546461045	0.835553839260798	0.9312005131430428	0.9562376571069181	0.8869752466793565	0.9578495593598326	0.9469601451366547	0.8644276556967267	0.585358524785154	0.9083018618690807	0.7288570964457823	0.9216278725210829	0.5876035255973528	0.9398139856469893	0.8586244505757686	0.9247261283464525	0.7953193547868855	0.8486126870809217
BritoIL_2016__W2.54.ST__bin.43	0.9079141374704384	1.0	0.8186199929745585	0.8500538095120898	0.9011510313303367	0.867929530794479	0.8285065119577937	0.9084997773785258	0.9057102967465941	0.5663680481130873	0.7021481294202668	0.8920576712675105	0.6637929105688146	0.6156311598466933	0.930243406936393	0.7965541775646777	0.89637473794432	0.9084136374111472	0.8349698062633825	0.9320383624904072	0.9012293403915901	0.8367496593555835	0.5825813798951553	0.9058590839629754	0.6969719004714205	0.8653626716366818	0.5640775080714268	0.8970627389824745	0.8297035218940948	0.8763153125538374	0.7589121305210685	0.8152376008788514
BritoIL_2016__W2.17.ST__bin.72	0.9561820492935202	0.9801369963929284	1.0	0.8989839121658637	0.9422192129806359	0.9270093719569937	0.9055524525542166	0.9469929238175221	0.9444674379076038	0.6221609212029644	0.7770962336707345	0.9442397356510744	0.7162628969888386	0.6636100987290195	0.9747846539394499	0.8608243625341386	0.9479191362315812	0.9691771510161548	0.9048043836702657	0.9773469740379245	0.9576500591356154	0.9011403864777006	0.6223913023095706	0.9426940391567515	0.7616379293024677	0.9388190825206372	0.6295217315015357	0.9579366960938348	0.8954290781139288	0.940686241024178	0.8157125272405568	0.8761842191620824
BritoIL_2016__WL.10.ST__bin.14	0.9793174425729197	0.9842987956926289	0.8694167846534685	1.0	0.9592903433901699	0.9253593685838605	0.8966804796503531	0.9526515617652812	0.9741741679501644	0.5641694916571565	0.7489581970494016	0.9474882088761482	0.7119112048384736	0.6495610631895428	0.9911979470944158	0.8493016001730617	0.946236231814596	0.966657771778766	0.895867633705062	0.9718496228524351	0.9575558402495404	0.8896181113734959	0.5701463381775929	0.9266391961439365	0.720218425630749	0.9353725943322292	0.5915491224502221	0.950921592426737	0.8905119180703102	0.9398390370722519	0.7997529725549529	0.8663901479185314
BritoIL_2016__W2.63.ST__bin.35	0.9549836488105383	0.9877338489853924	0.8625611100416045	0.9080544475603192	1.0	0.9151755223858635	0.8767008731670053	0.9447811687268634	0.959551191423565	0.5799099243811133	0.7362185897145072	0.9372818155399448	0.6949445580028865	0.6449535704695188	0.9739147334823558	0.839801259783431	0.9325873626825024	0.963069118875048	0.8858384107649315	0.9732789560743412	0.9573796161302307	0.8848703369681572	0.5828772943471602	0.9321974355547327	0.7174536532370696	0.914956035103251	0.5871959212151012	0.9391027016554736	0.8765984866413173	0.9160019717069857	0.7879758980892344	0.8555307729753524
CM_madagascar__A27_02_1FE__bin.38	0.901306464991809	0.9213324363496882	0.8218860050957063	0.848324063644671	0.8863269172876972	1.0	0.8770089355959013	0.9661974523843595	0.8938214412737959	0.5463627926750558	0.7132587522704157	0.9496046404059465	0.6989068160267148	0.6471155107908201	0.9213514368858596	0.853658464174786	0.9470763815616422	0.9143123320011186	0.8664767008894032	0.9107247932652599	0.9007613871103926	0.8700784900273905	0.5489213336238832	0.880152336798754	0.6827112340076347	0.8727421276919158	0.5942387999261354	0.903268270351504	0.8312063618545236	0.8876474545516081	0.7545742306415709	0.8250941268748927
QinN_2014__LD-50__bin.19	0.9309972101824248	0.9330009152415752	0.8517170070529663	0.8720538890208175	0.9007312484134448	0.930375501005002	1.0	0.9480586233330541	0.9143055470694318	0.5770242239815969	0.7462670678696036	0.954212095424485	0.7276220915254173	0.667881949584236	0.9443699415265826	0.8662588288057326	0.9489190637954243	0.9306935994189822	0.8988377754779507	0.9286388726340249	0.9177177037199877	0.8991476852198879	0.5783974012934322	0.8997977398005366	0.7163198344124533	0.9154828261500833	0.6252737693528241	0.9185372008221426	0.8662185153433668	0.9068412575532626	0.791200830961243	0.8458142343056226
CM_madagascar__A32_01_1FE__bin.61	0.8713948455962824	0.8982048677222928	0.7819750160235229	0.8133999233525357	0.8521959277301788	0.8998799410931609	0.8323378195510759	1.0	0.8658481351605587	0.5255035312581742	0.6761312828385443	0.9160118543653938	0.6615478031874507	0.621121519411551	0.91146498963932	0.816576977335909	0.9063358032692964	0.882312408649329	0.8326248327829943	0.8778285872921159	0.867758791646643	0.8248328935966187	0.5353482510165744	0.8397857852687556	0.6581749829534048	0.8518608024536036	0.5632654031816993	0.8617558463046908	0.7915012008655744	0.8517347157158823	0.7281614175688597	0.7810199642864846
BritoIL_2016__W1.34.ST__bin.16	0.97217586588343	0.9650702338266708	0.8405279695605737	0.896449210405859	0.9328147648382668	0.897198395064083	0.8651169610161733	0.9331699868400977	1.0	0.5590318174015868	0.7218254119621605	0.9358538201861458	0.6914050579798596	0.6383255931492219	0.9771841385032042	0.8309506837427525	0.9212885260909368	0.9462142632361916	0.8766288955218188	0.9480690465746109	0.9257097287915776	0.8582807255111382	0.5733080466127556	0.8979529438129387	0.7044099977113213	0.9234317783033262	0.5763590221620385	0.9252937137625877	0.8524785674778761	0.9182184782194079	0.805510589906927	0.8392620441714983
BritoIL_2016__W2.65.ST__bin.35	0.9390642149622623	0.9800229581120921	0.8991575573033317	0.8430756901467886	0.9154944027503277	0.8906082738248485	0.8866360945657413	0.919734684751826	0.9078297615337413	1.0	0.812563275150844	0.9132508570576837	0.7467909940707675	0.6990532198461845	0.9730609977293536	0.861321194828424	0.9187280896179391	0.9425563257729005	0.8799325581260296	0.9620349094935472	0.9359340912478489	0.8924230487056541	0.9692330325807744	0.9378901765993732	0.9742660082502086	0.9248044398588444	0.7915951242080322	0.9222956950636187	0.8823329003683751	0.93248553503435	0.9359273160882938	0.8851020048665004
