	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
WenC_2017__RA050__bin.36	1.0	0.734567819227588	0.6816942727437344	0.6395567498018605	0.6898486132052379	0.6956846073561407	0.6594455004809036	0.7356007836407263	0.6826877457407963	0.7106507621206345	0.41452392369967234	0.7102209062461042	0.7200899385153229	0.7469195330549522	0.7354855851781618	0.7072515885285625	0.7121932931928264	0.7222448595188417	0.729724206145192	0.7317795796621027	0.7028360114397715	0.6369625095430006	0.7075979118686263	0.7381396995194605	0.6199961236536293	0.5587028980693792	0.6678573540933217	0.7272062188970976
XieH_2016__YSZC12003_37322__bin.23	0.7250305632365309	1.0	0.6830751340094188	0.6402474445613605	0.7293721055636048	0.7542171518404583	0.6905161100499251	0.7399723305262697	0.6994634234489269	0.745359830692423	0.44845240272125075	0.7483200548359968	0.7577758873217982	0.8962491732747804	0.7738460604410231	0.7785565530345352	0.7500234410953117	0.8041684195097453	0.7604576923256549	0.7906670671112271	0.7436819512188112	0.6320541979678636	0.7431640916189373	0.7755492670750865	0.6523367628583838	0.6028593466023704	0.7391826979209813	0.7658520182513626
CosteaPI_2017__alien-11-895-0__bin.9	0.7986566735207502	0.8108014928313563	1.0	0.8704083538515203	0.7336067006840723	0.7820205247254457	0.7257570550012494	0.9825024711373713	0.7290558848036351	0.7688486589335773	0.45502529984128437	0.7686444009869199	0.7731741087914497	0.8064368118021009	0.797417906641752	0.7724922539757807	0.7670429589855161	0.7737308076418911	0.7708912384001528	0.7812527451159323	0.7470024400082897	0.7763422390935212	0.7580754381311634	0.7848257666922237	0.6766078597093311	0.6335360845755826	0.7341520992514522	0.768463383245049
CosteaPI_2017__alien-11-881-0__bin.18	0.6705634118864658	0.6801178983907751	0.7789567362440429	1.0	0.6245220180797377	0.6537172682560471	0.6049264766492952	0.8661110627722874	0.617626294081191	0.6474298501903533	0.38517042488299463	0.6404789817706663	0.6541235051854837	0.6738699782322645	0.6663375174401388	0.6446249263468977	0.6414534542923349	0.6520053106558102	0.6522859938513016	0.6575743247575172	0.6271603637928982	0.6572299106393242	0.6354291647967174	0.6595801315223065	0.5673342003791799	0.5279891329236237	0.6209908670153168	0.6486888221304293
HeQ_2017__SZAXPI029486-84__bin.10	0.6926718086479795	0.7419906809887822	0.6287333925509674	0.5980819626388016	1.0	0.6856630891833284	0.6704224363810923	0.6755844573993932	0.7300832585803592	0.719449667051563	0.4115051177082959	0.7293510479456348	0.7368069147582198	0.7507594835164895	0.7441348685575012	0.7257141155116639	0.7307378077427209	0.7423274576795228	0.7857466163810156	0.798717361395743	0.7662066244687727	0.5783168438231445	0.7433873083611803	0.7715172073153818	0.6477286577594136	0.5929102567780649	0.6572278435930838	0.7445944417410131
YuJ_2015__SZAXPI015232-18__bin.18	0.6842117321218549	0.7515365572561891	0.6564864919528411	0.6132072955751052	0.6716069420403031	1.0	0.6575346388752611	0.7094146897719583	0.671775726628391	0.7090175179787804	0.40798116628897463	0.7059149601315768	0.7188156154560862	0.7479675597095616	0.7385517781178925	0.7033527635478269	0.704615336701985	0.728349528360733	0.7111671499012977	0.7354048315349035	0.6855068808805006	0.5972112418769061	0.6975392710546244	0.7190619013449608	0.6108167473688487	0.5744790185364139	0.659473424302797	0.7206314369260227
CosteaPI_2017__daisy-11-389-0__bin.17	0.724348163134678	0.7684539602763968	0.6804390669736854	0.6337387759002118	0.7334040044241729	0.7343599232146537	1.0	0.7176955120792193	0.7232757030111043	0.8915807782362359	0.4323733432590034	0.7793236884552316	0.7880826791793012	0.7778964069487421	0.8908725347659988	0.7554095268441866	0.7753081098974777	0.7598281025331848	0.7703488064108528	0.7852477063046462	0.7515472711037264	0.6421275529898249	0.7615180518127175	0.7847685475131819	0.6881829686935597	0.6507498125443653	0.6919930506982785	0.7875793325639874
CosteaPI_2017__alien-11-918-0__bin.21	0.7248781282129041	0.7387778693782643	0.8263917719529273	0.814021043562876	0.6630232309155407	0.7107958237112472	0.643864661387155	1.0	0.6565800722254991	0.6976268738969758	0.40154572682535095	0.6893148620364563	0.7033808470257331	0.7314299640952794	0.7206711013895437	0.6949589026257736	0.6914677823235291	0.7078819837425376	0.6991060314586398	0.7099221021253564	0.6707889874495776	0.7088462696553732	0.6859444343917046	0.7151452427635068	0.5995466044923133	0.5578133072890654	0.662110414234058	0.7026310461327507
Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	0.672491447924394	0.698080089950518	0.6129922709529886	0.5802693997932659	0.7162478501044606	0.6728385146547852	0.6486345541501185	0.6563410131408499	1.0	0.6963682406692652	0.4050620112875566	0.6939869971879706	0.7115931044150975	0.7075769184848529	0.7139867175267623	0.6800742106114219	0.6971541603727957	0.6949853518478615	0.7541075239979793	0.7475901629528494	0.7161883324626787	0.5793077954844754	0.709458715731194	0.73888176390212	0.6212435314900314	0.5665590090527767	0.6354931664066654	0.7073981862895017
CosteaPI_2017__daisy-11-392-0__bin.21	0.6497012568492302	0.6903972432872845	0.5999676890535605	0.5645331292852144	0.6550646743024986	0.6590772546077622	0.7420782859958002	0.6472288538415503	0.6462964617517093	1.0	0.37384547015338715	0.715112787997099	0.7144805449668713	0.6979958062321527	0.8380474538325324	0.6701519895606693	0.7060377711969043	0.690211729871836	0.6916816949171154	0.7053037037628609	0.6685307853273695	0.5665977355383974	0.6804289336372759	0.7056397908473504	0.6060318979919129	0.5703760531629871	0.6178059270122007	0.7149301030373122
