	SchirmerM_2016__G89065__bin.23	LiJ_2014__MH0376__bin.44	ZeeviD_2015__PNP_Validation_18__bin.30	BritoIL_2016__M1.15.ST__bin.2	LeChatelierE_2013__MH0448__bin.33	NielsenHB_2014__MH0124__bin.51	ZeeviD_2015__PNP_Main_325__bin.27	RampelliS_2015__H10__bin.85	XieH_2016__YSZC12003_37315__bin.117	XieH_2016__YSZC12003_37331__bin.75	XieH_2016__YSZC12003_37101__bin.58	ZeeviD_2015__PNP_Main_560__bin.12	ZeeviD_2015__PNP_Main_764__bin.41	LeChatelierE_2013__MH0189__bin.26	ZeeviD_2015__PNP_Main_172__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.90	BritoIL_2016__M1.61.ST__bin.27	LeChatelierE_2013__MH0173__bin.42	ZeeviD_2015__PNP_Main_666__bin.39	CosteaPI_2017__SID713B072-11-0-0__bin.104	LiJ_2014__MH0374__bin.43	ZeeviD_2015__PNP_Main_225__bin.42	LiJ_2014__MH0357__bin.46	ZeeviD_2015__PNP_Main_362__bin.42	LiJ_2014__MH0390__bin.72	ZeeviD_2015__PNP_Main_80__bin.76	RampelliS_2015__H20__bin.22	LeChatelierE_2013__MH0143__bin.51	ZeeviD_2015__PNP_Main_386__bin.19	CosteaPI_2017__SID713B063-11-0-0__bin.25	LeChatelierE_2013__MH0124__bin.33	ZeeviD_2015__PNP_Main_25__bin.13	CosteaPI_2017__SID713B014-11-0-0__bin.111	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	LeChatelierE_2013__MH0407__bin.21	ZeeviD_2015__PNP_Main_19__bin.5	NielsenHB_2014__MH0126__bin.31	LeChatelierE_2013__MH0126__bin.1	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	NielsenHB_2014__MH0143__bin.37	LeChatelierE_2013__MH0318__bin.89
SchirmerM_2016__G89065__bin.23	2637803.0	1624851.0	2345955.0	2372472.0	2334791.0	2337918.0	2311175.0	1161947.0	1758482.0	2187192.0	2349147.0	2505056.0	2217744.0	2418374.0	2465004.0	1701241.0	2473762.0	1710796.0	1474460.0	2374415.0	2377361.0	2108122.0	2329990.0	2343161.0	2418774.0	2364474.0	1315783.0	2361588.0	2389831.0	1370694.0	2310312.0	2003995.0	2253252.0	2379825.0	2272775.0	1561310.0	2024709.0	2218426.0	2027645.0	2389175.0	2355316.0	2225004.0
LiJ_2014__MH0376__bin.44	1624851.0	1757720.0	1556085.0	1622513.0	1605052.0	1602546.0	1530093.0	851092.0	1273296.0	1561074.0	1573845.0	1662345.0	1548273.0	1662258.0	1622221.0	1218562.0	1651549.0	1251970.0	1060374.0	1623727.0	1633300.0	1503346.0	1612318.0	1562546.0	1645452.0	1589652.0	946465.0	1621880.0	1597126.0	991295.0	1580834.0	1424609.0	1585760.0	1608375.0	1549994.0	1135969.0	1446435.0	1531523.0	1452234.0	1604792.0	1611830.0	1484794.0
ZeeviD_2015__PNP_Validation_18__bin.30	2345955.0	1556085.0	2541802.0	2280186.0	2256554.0	2279670.0	2258701.0	1134588.0	1710967.0	2109758.0	2306205.0	2368389.0	2170484.0	2266215.0	2388785.0	1631620.0	2335997.0	1621152.0	1398588.0	2356472.0	2265623.0	2064375.0	2216495.0	2289821.0	2318874.0	2311543.0	1271574.0	2324641.0	2309153.0	1336775.0	2253884.0	1904400.0	2141236.0	2274374.0	2237860.0	1489748.0	1929909.0	2122910.0	1943260.0	2271516.0	2305055.0	2205343.0
BritoIL_2016__M1.15.ST__bin.2	2372472.0	1622513.0	2280186.0	2697906.0	2335303.0	2321518.0	2234554.0	1141579.0	1738493.0	2242089.0	2304549.0	2493243.0	2251789.0	2470347.0	2397924.0	1691639.0	2545295.0	1701239.0	1447547.0	2394250.0	2418250.0	2114286.0	2339291.0	2429619.0	2450745.0	2303521.0	1300298.0	2368988.0	2307446.0	1351903.0	2283054.0	1994029.0	2255871.0	2415992.0	2230839.0	1567672.0	2001335.0	2191071.0	2042956.0	2413411.0	2340346.0	2224857.0
LeChatelierE_2013__MH0448__bin.33	2334791.0	1605052.0	2256554.0	2335303.0	2442319.0	2286556.0	2192411.0	1148425.0	1738323.0	2172279.0	2241547.0	2382357.0	2202971.0	2337875.0	2339023.0	1663685.0	2388865.0	1673672.0	1437071.0	2313183.0	2337419.0	2065194.0	2291081.0	2264423.0	2360569.0	2247314.0	1287921.0	2303901.0	2278703.0	1344265.0	2243265.0	1974450.0	2203387.0	2299025.0	2193591.0	1542335.0	1973429.0	2142969.0	2010950.0	2293193.0	2295611.0	2154546.0
NielsenHB_2014__MH0124__bin.51	2337918.0	1602546.0	2279670.0	2321518.0	2286556.0	2468557.0	2239120.0	1157766.0	1729742.0	2159653.0	2344688.0	2397966.0	2199605.0	2329006.0	2408673.0	1662150.0	2390654.0	1647683.0	1404478.0	2357560.0	2322374.0	2108950.0	2288469.0	2273861.0	2330479.0	2287668.0	1303311.0	2353966.0	2318326.0	1359854.0	2418759.0	1956565.0	2198197.0	2285981.0	2261102.0	1533190.0	1962091.0	2126899.0	1999148.0	2280446.0	2364008.0	2203837.0
ZeeviD_2015__PNP_Main_325__bin.27	2311175.0	1530093.0	2258701.0	2234554.0	2192411.0	2239120.0	2561882.0	1098440.0	1677818.0	2067691.0	2327258.0	2494916.0	2115435.0	2250600.0	2346463.0	1591030.0	2293210.0	1580321.0	1383860.0	2297774.0	2263759.0	2005979.0	2185254.0	2205025.0	2250012.0	2241336.0	1223633.0	2284840.0	2263019.0	1281021.0	2209611.0	1882811.0	2099911.0	2237952.0	2191510.0	1464679.0	1893022.0	2065659.0	1909935.0	2246084.0	2301737.0	2159620.0
RampelliS_2015__H10__bin.85	1161947.0	851092.0	1134588.0	1141579.0	1148425.0	1157766.0	1098440.0	1265279.0	910751.0	1087707.0	1152705.0	1177858.0	1110543.0	1157222.0	1171321.0	890573.0	1174056.0	823597.0	717158.0	1169245.0	1169351.0	1071814.0	1145703.0	1114742.0	1165574.0	1144357.0	780768.0	1164248.0	1153512.0	818760.0	1146063.0	993994.0	1130548.0	1144066.0	1117731.0	764694.0	990199.0	1064078.0	1038315.0	1137170.0	1165201.0	1073764.0
XieH_2016__YSZC12003_37315__bin.117	1758482.0	1273296.0	1710967.0	1738493.0	1738323.0	1729742.0	1677818.0	910751.0	1853493.0	1665683.0	1711659.0	1782224.0	1670493.0	1755460.0	1769715.0	1300318.0	1779328.0	1316540.0	1104087.0	1764773.0	1748778.0	1597857.0	1726055.0	1698603.0	1770973.0	1713172.0	1020550.0	1748540.0	1726159.0	1046234.0	1700365.0	1516755.0	1685400.0	1732662.0	1670412.0	1191458.0	1509534.0	1617597.0	1550075.0	1727084.0	1746065.0	1626122.0
XieH_2016__YSZC12003_37331__bin.75	2187192.0	1561074.0	2109758.0	2242089.0	2172279.0	2159653.0	2067691.0	1087707.0	1665683.0	2364193.0	2135322.0	2267332.0	2107945.0	2238350.0	2200971.0	1619141.0	2275984.0	1640588.0	1377910.0	2186777.0	2227492.0	1992241.0	2183385.0	2165474.0	2240840.0	2135835.0	1237590.0	2189100.0	2133605.0	1275383.0	2126548.0	1904674.0	2129697.0	2214923.0	2071533.0	1501549.0	1887658.0	2053987.0	1942838.0	2210064.0	2183280.0	2023620.0
