	Obregon-TitoAJ_2015__SM29__bin.49	FengQ_2015__SID531128__bin.35	ZellerG_2014__CCMD86114146ST-21-0__bin.41	XieH_2016__YSZC12003_36157__bin.8	CM_madagascar__A09_02_1FE__bin.24	FengQ_2015__SID31276__bin.37	CM_madagascar__A28_02_1FE__bin.14	CM_madagascar__V30_01_1FE__bin.2	CM_madagascar__A04_01_1FE__bin.22	FengQ_2015__SID31275__bin.63	CM_madagascar__A36_01_1FE__bin.33	FengQ_2015__SID31685__bin.11	CM_madagascar__A83_02_1FE__bin.4	CM_madagascar__V53_02_1FE__bin.13	FengQ_2015__SID31333__bin.34	ZellerG_2014__CCIS33816588ST-4-0__bin.48	ZellerG_2014__CCIS63468405ST-4-0__bin.56	FengQ_2015__SID530323__bin.3	CM_madagascar__A68_01_1FE__bin.11	CM_madagascar__V40_01_1FE__bin.52	FengQ_2015__SID31549__bin.70	CM_madagascar__A70_03_1FE__bin.14	FengQ_2015__SID31477__bin.73	FengQ_2015__SID31750__bin.100	FengQ_2015__SID31416__bin.1	XieH_2016__YSZC12003_36244__bin.35	LiSS_2016__FAT_010-22-14-0__bin.14	FengQ_2015__SID530026__bin.44	ZellerG_2014__CCIS77252613ST-4-0__bin.65	FengQ_2015__SID530168__bin.24	ZellerG_2014__CCIS41806458ST-4-0__bin.8	XieH_2016__YSZC12003_36533__bin.2	LiSS_2016__FAT_010-22-2-0__bin.88	XieH_2016__YSZC12003_35707__bin.64	CM_madagascar__A92_01_1FE__bin.31	XieH_2016__YSZC12003_35577__bin.32	LiSS_2016__FAT_010-22-0-0__bin.53	FengQ_2015__SID31871__bin.57	BritoIL_2016__M2.44.ST__bin.3	FengQ_2015__SID530054__bin.41	ZellerG_2014__CCIS16383318ST-4-0__bin.46	CM_madagascar__A62_01_1FE__bin.5	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.62	FengQ_2015__SID31360__bin.3	CM_madagascar__A13_01_1FE__bin.9	SchirmerM_2016__G89058__bin.17
Obregon-TitoAJ_2015__SM29__bin.49	1.0	0.6307149377038506	0.8348352625856826	0.7237736989901221	0.4520944645670665	0.5298858727565537	0.8644752065394968	0.5553845617176645	0.8164545554967704	0.7596920948134023	0.432708530764356	0.8554793286085546	0.7469974011779001	0.9037075365840896	0.8212987133795734	0.8162626961471154	0.8915570258312452	0.8342393358178151	0.7509142388707042	0.5173685036714902	0.8081237899779652	0.8222574287358795	0.8337678269312387	0.8832030046336939	0.6957622339405003	0.7867971697838966	0.8255231074237941	0.5622868471694932	0.851746792169813	0.6690920401625572	0.47468735646885774	0.8221295225027762	0.7384207068563555	0.8327951581676851	0.5359149074714682	0.9022697542456148	0.7240975343166609	0.6768309486572752	0.7688536694554101	0.8667042633473061	0.8913581897779664	0.8180841971849001	0.6188434950959587	0.9091028540531741	0.7923512072604229	0.8554799100005233
FengQ_2015__SID531128__bin.35	0.8738297167960962	1.0	0.9075541715365537	0.7673151168007681	0.4666456701031758	0.5860369093810337	0.9050780806348587	0.5782244156739615	0.8727624362350208	0.8525437121870553	0.48095286808492815	0.9184017695108955	0.8018958124743752	0.9372632348830784	0.8950939730465343	0.8831315703200956	0.9569648312931494	0.9027308688952559	0.7934171745982393	0.5943093405978221	0.8579485820472939	0.8876149541713755	0.9111466781798718	0.938906444199753	0.7762867174719064	0.8455560451173727	0.9071916988931696	0.6366469508398491	0.9261353247311862	0.7327827508129456	0.4989790353878014	0.8742590455048157	0.8058242104338958	0.8849552104636992	0.5855439465860313	0.9518201362413842	0.7974889506255876	0.7600890232812152	0.8197608808246333	0.9225645664464712	0.9281039539321435	0.8760649647636316	0.6686057610596444	0.9413487043213988	0.8577045171340818	0.9039866352308911
ZellerG_2014__CCMD86114146ST-21-0__bin.41	0.8291340351314818	0.6505831668915724	1.0	0.7361489562816824	0.46956728606676035	0.5442827471638497	0.8689541798679667	0.5684443743839633	0.8292506742840117	0.7775656715961144	0.43963202079641445	0.8828250002742752	0.7529247844918431	0.8871643232013174	0.8438236392916886	0.8287667950274766	0.9154071659168848	0.8504818871521973	0.7402399879434381	0.5387452745264133	0.8046403905217407	0.8283891613356222	0.8638896154776691	0.9036075566003036	0.7102071384316191	0.8121203092438838	0.8550331237870539	0.5759398834878802	0.8835658321193045	0.6695537744025564	0.4653676991541352	0.8336818072370552	0.7668366018280012	0.8509692309380156	0.5395992809946895	0.9123335510212566	0.7409201905260137	0.702765906953137	0.7862333464408024	0.8696545922046937	0.8824260019851753	0.8334519934612784	0.6296268066798434	0.9129167467839063	0.807162567839814	0.870002777397642
XieH_2016__YSZC12003_36157__bin.8	0.8491684970191402	0.6497871788925117	0.8696266080953875	1.0	0.46919346257213407	0.5607413268577509	0.8843092181552775	0.5649063450703264	0.8314177159929605	0.7782192603102277	0.4457026507141785	0.8683960655379872	0.7695481644179479	0.8936910819770535	0.859885267595258	0.8421031090981024	0.9114179888405343	0.866927463472531	0.7736135932661219	0.547092809102195	0.8166819006561984	0.8391638586103873	0.8711204485614111	0.9105182739662487	0.6974147692391646	0.8290398493881393	0.8550047066206464	0.592923698176014	0.8863426146982988	0.7002598873139521	0.478665366093232	0.8519133436105919	0.7663817683251252	0.8709976671532449	0.562061226995539	0.9426399366993629	0.7527271114991609	0.6957579023478534	0.7979270405587918	0.8968076833876755	0.8994290664520266	0.8400117324456692	0.6433943602406516	0.9378173558341633	0.8079541888923752	0.904301441999427
CM_madagascar__A09_02_1FE__bin.24	0.7778146765186305	0.5794827218867438	0.8134311861266958	0.6880307041980209	1.0	0.49146021987870764	0.8362762857683002	0.838892984426842	0.7851476344183898	0.7006570754391422	0.4393843156122685	0.8673145729909886	0.7110178417637509	0.8629073962748054	0.8051439734409087	0.8233298290643601	0.8548902556982715	0.7995614829159385	0.7050082371993323	0.4362054668596515	0.6845067633058026	0.764824208063553	0.844205402842559	0.8539540057195271	0.6131127010911913	0.8038916390676311	0.8256104379869426	0.4879372792535607	0.8514063254889055	0.6207017273612054	0.44878582581549276	0.8268487686212219	0.7157611082158937	0.8395341556195505	0.30789420775347015	0.9025899915277379	0.6606914046050295	0.6801506002102561	0.7472745222974534	0.8811792748663894	0.8669344715038916	0.79840017284615	0.6032090568181705	0.9045605176582148	0.7279903734297057	0.8359221912250571
FengQ_2015__SID31276__bin.37	0.8655282148585625	0.6909238192646027	0.8951575912456589	0.780675188911016	0.46659525227229776	1.0	0.8841064036489716	0.5857309861549141	0.847942420245221	0.8324952588249483	0.4638706791679843	0.9058716497199929	0.786477608453489	0.9259199114157619	0.896032227644778	0.8940104025701585	0.940491486777416	0.9015592459323709	0.7649858643183487	0.5593978778908822	0.8500639595672972	0.8563592523900555	0.8994158644418044	0.9127642783679911	0.7611454413020211	0.8439263102214701	0.8904567767227061	0.6205834897897359	0.8913390103978218	0.706541919394801	0.49631104767385653	0.8548806325491994	0.8070462835550314	0.8619593944591167	0.5545479668264943	0.9216502423056213	0.7983616474313135	0.7602508620534107	0.7990454022710157	0.9094623122879292	0.9051119221203238	0.8413736254865818	0.6694377730864598	0.9329720828596907	0.8384372783138606	0.8855242452818541
CM_madagascar__A28_02_1FE__bin.14	0.8426693053461028	0.636791102844458	0.8528596178335286	0.7347129727704831	0.47381354352092553	0.5276066735467286	1.0	0.5850217538037278	0.8324727588651638	0.7506334587499482	0.4435112345064009	0.8699656960338766	0.7580694795578852	0.90598117673995	0.8327646231069203	0.8186304596323417	0.8996060682826311	0.8406409905475657	0.7655395039668034	0.523895747226298	0.8063313571573897	0.8381638282160747	0.8478758233830296	0.8927741781187961	0.6915896060059427	0.7970461071827507	0.8396146485246121	0.5637354995894065	0.8724672276127375	0.6700222553568423	0.46118573956982045	0.8260704475270598	0.7461648188543166	0.8489049990393983	0.5547353131363278	0.9158682904519588	0.7245991683852653	0.6714169697237604	0.797588464618403	0.8877201095596023	0.8949135713472056	0.8366688032262617	0.618500565876593	0.9149643613925381	0.8077991792664176	0.8670226843689414
CM_madagascar__V30_01_1FE__bin.2	0.8222570543708608	0.6178976416856464	0.8473792394655704	0.7128516856292425	0.721893985170801	0.5309004770340224	0.8885486011764888	1.0	0.8255451632950639	0.7350335094451359	0.4403191015027174	0.8882912334884425	0.738102124187226	0.8875001936713371	0.8261855698499349	0.8505769684324328	0.8980367751742612	0.8465090095906046	0.7474284750232836	0.4807748919313939	0.732448642665193	0.8101254818112488	0.8450061200142542	0.8960492768742652	0.6544739800406624	0.8103974824447693	0.8301726171109057	0.5064789517990776	0.8560049304418633	0.6541709919931965	0.4916833224016623	0.8503109931294017	0.7329014032133948	0.8415596309743304	0.392323901108833	0.9236762779295588	0.6814029035206867	0.7030209285550741	0.7873256312394449	0.8920553435213064	0.9061313763059904	0.8272735723840167	0.636218950180846	0.9284233775936895	0.7790494094315359	0.8844444903517243
CM_madagascar__A04_01_1FE__bin.22	0.8428543648297618	0.6503136598693023	0.8619506450853952	0.7315579280442893	0.4711128023162575	0.5359052322259408	0.8816291107088498	0.5756354823375763	1.0	0.7680513475490596	0.45427144002650444	0.8734911195724718	0.8018559109220376	0.8997446787056999	0.8318636653910605	0.8290493693191913	0.9000273687141986	0.8562296235121263	0.7688622057263033	0.5419857682686168	0.8196881887192882	0.8578429371912016	0.850470789899504	0.894090278344625	0.7069158820168342	0.7979216582559887	0.842173147930301	0.5764661468211478	0.8772861279031243	0.6809582170963234	0.4765943476402887	0.8343784661036074	0.7506908199570743	0.8445787138624938	0.5641724325025088	0.9148118761013506	0.7428445216957079	0.6902089625336707	0.7846052183015072	0.8796268731964257	0.9107533838774265	0.8386152150844829	0.6318487806517595	0.917876451862273	0.8239699520327273	0.8726562537511944
FengQ_2015__SID31275__bin.63	0.8599666195444147	0.6965735014992247	0.8862517539218087	0.7508529390859336	0.4610017295709243	0.5769349739248097	0.8717004551640987	0.5620013004688532	0.8421970552541311	1.0	0.467346780286577	0.9037435865035552	0.767106825355457	0.9156287924857119	0.8709133292792401	0.8526771493933339	0.9338202193948871	0.8839654033164588	0.7711056354527817	0.5522359376933262	0.8379685570850544	0.8491015181789224	0.8843642313149741	0.9196302351110796	0.7537704382895939	0.8361007784385424	0.87933215396077	0.6114375445884437	0.8912292063191203	0.6996594824976373	0.4693527666553468	0.8466690622671857	0.7991400847147524	0.8738571537633305	0.5574582151986374	0.9279990417597923	0.7877787518131537	0.7340422731353146	0.7981923746192706	0.8902301619267999	0.9103143764988957	0.8448578829735984	0.6319534937595923	0.9293857259064452	0.8307396350789626	0.8970602559343763
