	NielsenHB_2014__O2_UC58_2__bin.2	ZeeviD_2015__PNP_Main_111__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	SchirmerM_2016__G89089__bin.14	BackhedF_2015__SID566_12M__bin.26	ZeeviD_2015__PNP_Main_165__bin.56	SchirmerM_2016__G89059__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	SchirmerM_2016__G90575__bin.14	SchirmerM_2016__G89168__bin.7	ZeeviD_2015__PNP_Main_71__bin.27	ZeeviD_2015__PNP_Main_38__bin.4	ZeeviD_2015__PNP_Main_142__bin.16	ZeeviD_2015__PNP_Main_217__bin.35	ZeeviD_2015__PNP_Main_230__bin.30	NielsenHB_2014__O2_UC1_2__bin.64	ZeeviD_2015__PNP_Main_30__bin.24	ZeeviD_2015__PNP_Main_359__bin.43	BackhedF_2015__SID626_12M__bin.8	SchirmerM_2016__G88922__bin.7	ZeeviD_2015__PNP_Main_459__bin.26	ZeeviD_2015__PNP_Main_689__bin.9	ZeeviD_2015__PNP_Main_340__bin.40	ZeeviD_2015__PNP_Main_186__bin.45	FengQ_2015__SID530323__bin.64	ZeeviD_2015__PNP_DietIntervention_25__bin.10	FengQ_2015__SID530450__bin.39	CM_madagascar__A15_02_1FE__bin.10	ZellerG_2014__CCIS74726977ST-3-0__bin.79	BackhedF_2015__SID238_M__bin.26
NielsenHB_2014__O2_UC58_2__bin.2	0.0	40533.0	57786.0	58346.0	51944.0	46985.0	48005.0	40127.0	46776.0	37596.0	37622.0	42557.0	50181.0	35440.0	43607.0	45799.0	52785.0	48265.0	56638.0	31343.0	54597.0	41218.0	33763.0	54044.0	70897.0	36643.0	50088.0	87840.0	70593.0	64758.0
ZeeviD_2015__PNP_Main_111__bin.3	40533.0	0.0	41861.0	40277.0	35499.0	34106.0	33421.0	35166.0	37060.0	35567.0	32196.0	41106.0	39753.0	30226.0	29716.0	30799.0	37504.0	38304.0	40153.0	30935.0	41073.0	27468.0	34576.0	37744.0	57769.0	27035.0	35602.0	67114.0	55329.0	44231.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	57786.0	41861.0	0.0	41835.0	40987.0	39680.0	28716.0	28643.0	40655.0	33172.0	28512.0	26630.0	31074.0	34561.0	28221.0	40802.0	32358.0	37545.0	40387.0	33778.0	32427.0	28963.0	26466.0	37746.0	76105.0	22662.0	37222.0	91133.0	71440.0	48428.0
SchirmerM_2016__G89089__bin.14	58346.0	40277.0	41835.0	0.0	42892.0	37033.0	32102.0	22446.0	37601.0	31282.0	24925.0	30068.0	34232.0	31363.0	34507.0	37393.0	37988.0	39805.0	41302.0	32398.0	38056.0	29857.0	29391.0	38757.0	71292.0	24638.0	32818.0	84489.0	70894.0	46434.0
BackhedF_2015__SID566_12M__bin.26	51944.0	35499.0	40987.0	42892.0	0.0	36282.0	36629.0	29026.0	36367.0	34738.0	25464.0	28272.0	34540.0	30874.0	34706.0	38366.0	35364.0	38695.0	39017.0	30544.0	38058.0	25128.0	24222.0	34906.0	67493.0	22249.0	32488.0	81531.0	65379.0	44454.0
ZeeviD_2015__PNP_Main_165__bin.56	46985.0	34106.0	39680.0	37033.0	36282.0	0.0	31669.0	26565.0	35522.0	32816.0	26026.0	29224.0	32404.0	29101.0	30530.0	32302.0	34519.0	34998.0	38351.0	27902.0	35500.0	24272.0	28254.0	38015.0	66189.0	22612.0	31474.0	72690.0	65316.0	42756.0
SchirmerM_2016__G89059__bin.2	48005.0	33421.0	28716.0	32102.0	36629.0	31669.0	0.0	20858.0	28935.0	33024.0	20278.0	18966.0	23690.0	25096.0	12582.0	34476.0	16285.0	29986.0	28116.0	26165.0	19210.0	24024.0	18370.0	30041.0	62345.0	14531.0	33198.0	69519.0	56988.0	38470.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	40127.0	35166.0	28643.0	22446.0	29026.0	26565.0	20858.0	0.0	27992.0	26715.0	19771.0	22151.0	21856.0	26962.0	22905.0	26608.0	22678.0	27692.0	23604.0	24980.0	25509.0	17290.0	20032.0	27175.0	60279.0	15157.0	25634.0	56780.0	53207.0	28063.0
SchirmerM_2016__G90575__bin.14	46776.0	37060.0	40655.0	37601.0	36367.0	35522.0	28935.0	27992.0	0.0	30868.0	31937.0	38078.0	38052.0	30686.0	31188.0	27223.0	35444.0	35213.0	38220.0	28029.0	36747.0	22522.0	30062.0	38659.0	66521.0	25395.0	30694.0	74607.0	64160.0	44409.0
SchirmerM_2016__G89168__bin.7	37596.0	35567.0	33172.0	31282.0	34738.0	32816.0	33024.0	26715.0	30868.0	0.0	26611.0	31101.0	30715.0	25962.0	31939.0	29901.0	32487.0	31526.0	31254.0	25057.0	34830.0	22473.0	25914.0	37085.0	57792.0	21584.0	30091.0	55653.0	53713.0	36605.0
ZeeviD_2015__PNP_Main_71__bin.27	37622.0	32196.0	28512.0	24925.0	25464.0	26026.0	20278.0	19771.0	31937.0	26611.0	0.0	27106.0	23564.0	27112.0	19834.0	26425.0	22393.0	26199.0	24242.0	27321.0	23826.0	15634.0	23713.0	28517.0	56989.0	17022.0	21305.0	60823.0	54296.0	24540.0
ZeeviD_2015__PNP_Main_38__bin.4	42557.0	41106.0	26630.0	30068.0	28272.0	29224.0	18966.0	22151.0	38078.0	31101.0	27106.0	0.0	22671.0	30214.0	18052.0	27618.0	20985.0	28141.0	28896.0	32115.0	23524.0	15755.0	18792.0	33222.0	57240.0	17006.0	24950.0	62625.0	55433.0	39678.0
ZeeviD_2015__PNP_Main_142__bin.16	50181.0	39753.0	31074.0	34232.0	34540.0	32404.0	23690.0	21856.0	38052.0	30715.0	23564.0	22671.0	0.0	32859.0	22845.0	31866.0	24578.0	27358.0	29294.0	31131.0	27505.0	22431.0	14891.0	30555.0	61331.0	9868.0	29005.0	72126.0	60316.0	42026.0
ZeeviD_2015__PNP_Main_217__bin.35	35440.0	30226.0	34561.0	31363.0	30874.0	29101.0	25096.0	26962.0	30686.0	25962.0	27112.0	30214.0	32859.0	0.0	22676.0	25776.0	30739.0	25360.0	33353.0	23422.0	33149.0	20609.0	31755.0	34559.0	51429.0	22771.0	26955.0	54325.0	49812.0	34895.0
ZeeviD_2015__PNP_Main_230__bin.30	43607.0	29716.0	28221.0	34507.0	34706.0	30530.0	12582.0	22905.0	31188.0	31939.0	19834.0	18052.0	22845.0	22676.0	0.0	32846.0	19085.0	29774.0	28631.0	24190.0	18658.0	23600.0	19016.0	31454.0	57054.0	15293.0	32790.0	62727.0	49796.0	35342.0
NielsenHB_2014__O2_UC1_2__bin.64	45799.0	30799.0	40802.0	37393.0	38366.0	32302.0	34476.0	26608.0	27223.0	29901.0	26425.0	27618.0	31866.0	25776.0	32846.0	0.0	35530.0	35951.0	35234.0	25997.0	37918.0	25398.0	24293.0	37700.0	68717.0	22705.0	35071.0	67490.0	66740.0	42868.0
ZeeviD_2015__PNP_Main_30__bin.24	52785.0	37504.0	32358.0	37988.0	35364.0	34519.0	16285.0	22678.0	35444.0	32487.0	22393.0	20985.0	24578.0	30739.0	19085.0	35530.0	0.0	32465.0	34333.0	30548.0	20172.0	23992.0	19235.0	32636.0	72155.0	16048.0	29842.0	81920.0	67375.0	42763.0
ZeeviD_2015__PNP_Main_359__bin.43	48265.0	38304.0	37545.0	39805.0	38695.0	34998.0	29986.0	27692.0	35213.0	31526.0	26199.0	28141.0	27358.0	25360.0	29774.0	35951.0	32465.0	0.0	35551.0	28229.0	35623.0	26801.0	21763.0	37784.0	69405.0	19192.0	33478.0	77393.0	64353.0	40987.0
BackhedF_2015__SID626_12M__bin.8	56638.0	40153.0	40387.0	41302.0	39017.0	38351.0	28116.0	23604.0	38220.0	31254.0	24242.0	28896.0	29294.0	33353.0	28631.0	35234.0	34333.0	35551.0	0.0	32754.0	34251.0	22773.0	27326.0	36266.0	71891.0	22141.0	31239.0	87333.0	72264.0	42281.0
SchirmerM_2016__G88922__bin.7	31343.0	30935.0	33778.0	32398.0	30544.0	27902.0	26165.0	24980.0	28029.0	25057.0	27321.0	32115.0	31131.0	23422.0	24190.0	25997.0	30548.0	28229.0	32754.0	0.0	33142.0	19443.0	31633.0	34067.0	51680.0	23012.0	26562.0	50256.0	49846.0	36208.0
ZeeviD_2015__PNP_Main_459__bin.26	54597.0	41073.0	32427.0	38056.0	38058.0	35500.0	19210.0	25509.0	36747.0	34830.0	23826.0	23524.0	27505.0	33149.0	18658.0	37918.0	20172.0	35623.0	34251.0	33142.0	0.0	26083.0	24727.0	33997.0	69649.0	18290.0	34015.0	81974.0	63455.0	37718.0
ZeeviD_2015__PNP_Main_689__bin.9	41218.0	27468.0	28963.0	29857.0	25128.0	24272.0	24024.0	17290.0	22522.0	22473.0	15634.0	15755.0	22431.0	20609.0	23600.0	25398.0	23992.0	26801.0	22773.0	19443.0	26083.0	0.0	16283.0	24232.0	55199.0	13834.0	24212.0	62672.0	53059.0	30416.0
ZeeviD_2015__PNP_Main_340__bin.40	33763.0	34576.0	26466.0	29391.0	24222.0	28254.0	18370.0	20032.0	30062.0	25914.0	23713.0	18792.0	14891.0	31755.0	19016.0	24293.0	19235.0	21763.0	27326.0	31633.0	24727.0	16283.0	0.0	27400.0	49113.0	11039.0	22778.0	52592.0	48108.0	35613.0
ZeeviD_2015__PNP_Main_186__bin.45	54044.0	37744.0	37746.0	38757.0	34906.0	38015.0	30041.0	27175.0	38659.0	37085.0	28517.0	33222.0	30555.0	34559.0	31454.0	37700.0	32636.0	37784.0	36266.0	34067.0	33997.0	24232.0	27400.0	0.0	66925.0	20247.0	29992.0	80809.0	65168.0	43801.0
FengQ_2015__SID530323__bin.64	70897.0	57769.0	76105.0	71292.0	67493.0	66189.0	62345.0	60279.0	66521.0	57792.0	56989.0	57240.0	61331.0	51429.0	57054.0	68717.0	72155.0	69405.0	71891.0	51680.0	69649.0	55199.0	49113.0	66925.0	0.0	51997.0	70553.0	87797.0	25009.0	78468.0
ZeeviD_2015__PNP_DietIntervention_25__bin.10	36643.0	27035.0	22662.0	24638.0	22249.0	22612.0	14531.0	15157.0	25395.0	21584.0	17022.0	17006.0	9868.0	22771.0	15293.0	22705.0	16048.0	19192.0	22141.0	23012.0	18290.0	13834.0	11039.0	20247.0	51997.0	0.0	17980.0	59665.0	51827.0	28392.0
