	ZeeviD_2015__PNP_Main_455__bin.62	CosteaPI_2017__SID713B007-11-0-0__bin.9	ZellerG_2014__CCIS31434951ST-20-0__bin.2	LeChatelierE_2013__MH0257__bin.45	ZeeviD_2015__PNP_Main_73__bin.33	CosteaPI_2017__SID713B072-11-90-0__bin.48	LeChatelierE_2013__MH0130__bin.21	CosteaPI_2017__SID713B076-11-0-0__bin.63	CM_madagascar__V40_01_1FE__bin.47	CosteaPI_2017__SID713A057-11-0-0__bin.68	CosteaPI_2017__SID713A052-11-0-0__bin.70	NielsenHB_2014__MH0130__bin.16	CosteaPI_2017__SID713A038-11-90-0__bin.23	XieH_2016__YSZC12003_36049__bin.31	CosteaPI_2017__SID713B014-11-0-0__bin.95	CosteaPI_2017__SID713B051-11-90-0__bin.49	NielsenHB_2014__MH0077__bin.4	CosteaPI_2017__SID713A056-11-90-0__bin.25	FengQ_2015__SID530743__bin.36	CosteaPI_2017__SID713A056-11-0-0__bin.78	CosteaPI_2017__SID713B040-11-90-0__bin.57	FengQ_2015__SID31276__bin.76	BritoIL_2016__W2.17.ST__bin.65	NielsenHB_2014__MH0031__bin.2	BritoIL_2016__M1.64.ST__bin.39	LeChatelierE_2013__MH0077__bin.16	CosteaPI_2017__SID713A053-11-0-0__bin.44	BritoIL_2016__W3.22.ST__bin.95	CosteaPI_2017__SID713A058-11-90-0__bin.58	NielsenHB_2014__V1_CD34_0__bin.26	CosteaPI_2017__SID713B040-11-0-0__bin.80	LeChatelierE_2013__MH0031__bin.15	XieH_2016__YSZC12003_37331__bin.23	CosteaPI_2017__SID713B042-11-0-0__bin.52	ZeeviD_2015__PNP_Main_287__bin.26	LeChatelierE_2013__MH0421__bin.46	ZellerG_2014__CCIS48725289ST-4-0__bin.22	ZeeviD_2015__PNP_Main_415__bin.31	FengQ_2015__SID31160__bin.2	CosteaPI_2017__SID713B046-11-0-0__bin.75	KarlssonFH_2013__S187__bin.51
ZeeviD_2015__PNP_Main_455__bin.62	2784418.0	1562016.0	2290590.0	1957836.0	2345298.0	2281465.0	2322140.0	2341588.0	2036570.0	2088290.0	2060144.0	2304995.0	1967125.0	2307278.0	2032966.0	2051829.0	2071337.0	2333315.0	1693130.0	1907120.0	2367610.0	2485896.0	1709996.0	1513870.0	2419070.0	2391309.0	2237676.0	2061873.0	2420687.0	2362608.0	1961589.0	2176725.0	2295876.0	2414808.0	2448726.0	2300455.0	1644402.0	2243909.0	2313700.0	2330176.0	1210678.0
CosteaPI_2017__SID713B007-11-0-0__bin.9	1562016.0	1874582.0	1518768.0	1394459.0	1555224.0	1507324.0	1562497.0	1613874.0	1446186.0	1433778.0	1461864.0	1530955.0	1454207.0	1541046.0	1485410.0	1453855.0	1419301.0	1559824.0	1254992.0	1360667.0	1550729.0	1592130.0	1278964.0	1031670.0	1576455.0	1566382.0	1530643.0	1460735.0	1582226.0	1506010.0	1403013.0	1490223.0	1515490.0	1626074.0	1554451.0	1495930.0	1178432.0	1521917.0	1551672.0	1570492.0	922789.0
ZellerG_2014__CCIS31434951ST-20-0__bin.2	2290590.0	1518768.0	2484083.0	1891235.0	2250819.0	2192028.0	2242157.0	2244480.0	2023177.0	2067197.0	2054612.0	2230335.0	1920853.0	2220230.0	1943372.0	2045420.0	2015046.0	2218754.0	1656017.0	1845647.0	2350208.0	2298205.0	1683635.0	1436815.0	2285392.0	2302855.0	2185011.0	2000312.0	2326879.0	2235486.0	1899662.0	2077504.0	2185802.0	2342565.0	2330871.0	2223739.0	1607333.0	2125571.0	2221654.0	2250170.0	1183037.0
LeChatelierE_2013__MH0257__bin.45	1957836.0	1394459.0	1891235.0	2105989.0	1939141.0	1869748.0	1918347.0	1970029.0	1766099.0	1805694.0	1801210.0	1900391.0	1747882.0	1939831.0	1764605.0	1798335.0	1759849.0	1905471.0	1529206.0	1638994.0	1926052.0	1963260.0	1517670.0	1267247.0	1949807.0	1963703.0	1898454.0	1785635.0	1986727.0	1899842.0	1707218.0	1842814.0	1891020.0	1993004.0	1955788.0	1880687.0	1456944.0	1849952.0	1905496.0	1927448.0	1098093.0
ZeeviD_2015__PNP_Main_73__bin.33	2345298.0	1555224.0	2250819.0	1939141.0	2637304.0	2290355.0	2371772.0	2306958.0	2056246.0	2057989.0	2043262.0	2351670.0	1952246.0	2271343.0	1996607.0	2041787.0	2040160.0	2316614.0	1676860.0	1899158.0	2296740.0	2397834.0	1761368.0	1478379.0	2360575.0	2342142.0	2195902.0	2084965.0	2339126.0	2283773.0	1961662.0	2138142.0	2231842.0	2337682.0	2380999.0	2270109.0	1621072.0	2169637.0	2316649.0	2369874.0	1213409.0
CosteaPI_2017__SID713B072-11-90-0__bin.48	2281465.0	1507324.0	2192028.0	1869748.0	2290355.0	2676662.0	2325504.0	2258738.0	2017351.0	1982441.0	2022364.0	2274480.0	1910738.0	2215170.0	1960803.0	2001434.0	1979645.0	2302106.0	1643615.0	1886186.0	2264664.0	2312241.0	1678188.0	1451025.0	2322751.0	2258908.0	2161521.0	2031416.0	2300193.0	2214738.0	1894155.0	2074037.0	2158638.0	2304407.0	2320583.0	2177805.0	1566011.0	2150448.0	2302467.0	2387345.0	1170352.0
LeChatelierE_2013__MH0130__bin.21	2322140.0	1562497.0	2242157.0	1918347.0	2371772.0	2325504.0	2881682.0	2319254.0	2045901.0	2043469.0	2048985.0	2528386.0	1963799.0	2330571.0	1992510.0	2044352.0	2064013.0	2363481.0	1702608.0	1902276.0	2312160.0	2396061.0	1743494.0	1503173.0	2380680.0	2365377.0	2187055.0	2090411.0	2380929.0	2294871.0	1953112.0	2135293.0	2284667.0	2379711.0	2347011.0	2260157.0	1638239.0	2208396.0	2382310.0	2342140.0	1223216.0
CosteaPI_2017__SID713B076-11-0-0__bin.63	2341588.0	1613874.0	2244480.0	1970029.0	2306958.0	2258738.0	2319254.0	2636777.0	2047955.0	2084613.0	2084665.0	2276077.0	2012571.0	2325147.0	2070612.0	2065616.0	2071510.0	2334487.0	1745388.0	1928737.0	2321707.0	2389273.0	1770916.0	1511163.0	2375963.0	2363131.0	2247137.0	2133702.0	2405576.0	2273184.0	1982953.0	2197386.0	2234640.0	2430965.0	2355344.0	2254371.0	1656545.0	2235413.0	2302021.0	2293756.0	1222752.0
CM_madagascar__V40_01_1FE__bin.47	2036570.0	1446186.0	2023177.0	1766099.0	2056246.0	2017351.0	2045901.0	2047955.0	2630168.0	1884014.0	1858348.0	2031543.0	1813073.0	2020647.0	1849047.0	1841703.0	1829459.0	2046762.0	1571639.0	1722846.0	2036975.0	2096887.0	1566670.0	1325847.0	2064604.0	2051517.0	1948557.0	1839629.0	2065714.0	2011084.0	1737657.0	1906747.0	2010202.0	2076768.0	2069541.0	2008635.0	1490414.0	2061067.0	2080488.0	2057315.0	1136050.0
CosteaPI_2017__SID713A057-11-0-0__bin.68	2088290.0	1433778.0	2067197.0	1805694.0	2057989.0	1982441.0	2043469.0	2084613.0	1884014.0	2271422.0	1893171.0	2034430.0	1822656.0	2049629.0	1833620.0	1902581.0	1860113.0	2039271.0	1583987.0	1720835.0	2119931.0	2075415.0	1577212.0	1373376.0	2065511.0	2110564.0	2021184.0	1880422.0	2207126.0	2031698.0	1812541.0	1959642.0	2019283.0	2142840.0	2104958.0	2011910.0	1540860.0	1969411.0	2028545.0	2031636.0	1145369.0
CosteaPI_2017__SID713A052-11-0-0__bin.70	2060144.0	1461864.0	2054612.0	1801210.0	2043262.0	2022364.0	2048985.0	2084665.0	1858348.0	1893171.0	2354850.0	2017850.0	1798293.0	2043607.0	1818189.0	1898160.0	1887650.0	2041227.0	1575848.0	1731802.0	2102861.0	2078904.0	1596407.0	1356711.0	2077228.0	2105988.0	2007363.0	1902252.0	2129985.0	2023267.0	1782492.0	1923219.0	1975072.0	2144936.0	2090146.0	2008385.0	1514052.0	1965639.0	2029933.0	2050363.0	1125070.0
NielsenHB_2014__MH0130__bin.16	2304995.0	1530955.0	2230335.0	1900391.0	2351670.0	2274480.0	2528386.0	2276077.0	2031543.0	2034430.0	2017850.0	2569590.0	1941652.0	2293931.0	1971091.0	2015808.0	2023331.0	2312230.0	1676092.0	1874905.0	2277684.0	2380799.0	1709283.0	1474379.0	2331729.0	2320148.0	2167954.0	2057157.0	2332381.0	2289294.0	1923489.0	2113568.0	2255777.0	2329420.0	2330362.0	2227399.0	1629394.0	2165467.0	2330777.0	2324724.0	1202204.0
CosteaPI_2017__SID713A038-11-90-0__bin.23	1967125.0	1454207.0	1920853.0	1747882.0	1952246.0	1910738.0	1963799.0	2012571.0	1813073.0	1822656.0	1798293.0	1941652.0	2192762.0	2011664.0	1842707.0	1803581.0	1759288.0	1943140.0	1531879.0	1639569.0	1963613.0	2013543.0	1540519.0	1266871.0	1977079.0	1988424.0	1907626.0	1829248.0	2011560.0	1966209.0	1725444.0	1864007.0	1956244.0	2018353.0	2000801.0	1907630.0	1468547.0	1929272.0	1961335.0	1942106.0	1130735.0
XieH_2016__YSZC12003_36049__bin.31	2307278.0	1541046.0	2220230.0	1939831.0	2271343.0	2215170.0	2330571.0	2325147.0	2020647.0	2049629.0	2043607.0	2293931.0	2011664.0	2655586.0	1979153.0	2020904.0	2075848.0	2264932.0	1695821.0	1866992.0	2319598.0	2365293.0	1736108.0	1517074.0	2328484.0	2370235.0	2188909.0	2112310.0	2386588.0	2352151.0	1923658.0	2131027.0	2305041.0	2393434.0	2404693.0	2242845.0	1666880.0	2228948.0	2287037.0	2216035.0	1215034.0
CosteaPI_2017__SID713B014-11-0-0__bin.95	2032966.0	1485410.0	1943372.0	1764605.0	1996607.0	1960803.0	1992510.0	2070612.0	1849047.0	1833620.0	1818189.0	1971091.0	1842707.0	1979153.0	2263324.0	1827176.0	1793857.0	2016618.0	1546745.0	1720329.0	1992342.0	2062941.0	1582642.0	1301747.0	2020133.0	2017648.0	1958938.0	1869683.0	2030881.0	1972978.0	1733961.0	1913930.0	1962874.0	2065628.0	2003340.0	1936366.0	1465477.0	1970480.0	2017344.0	2015740.0	1128323.0
CosteaPI_2017__SID713B051-11-90-0__bin.49	2051829.0	1453855.0	2045420.0	1798335.0	2041787.0	2001434.0	2044352.0	2065616.0	1841703.0	1902581.0	1898160.0	2015808.0	1803581.0	2020904.0	1827176.0	2239043.0	1862442.0	2056320.0	1568183.0	1740433.0	2068369.0	2060784.0	1584490.0	1352191.0	2071905.0	2089416.0	1991381.0	1888577.0	2105862.0	1989089.0	1804856.0	1939116.0	1955011.0	2102302.0	2068568.0	1968544.0	1491595.0	1952978.0	2036084.0	2028159.0	1132068.0
