	LoombaR_2017__SID5639_uuc__bin.25	QinJ_2012__DLM023__bin.11	HeQ_2017__SZAXPI029486-84__bin.31	ZellerG_2014__CCIS12656533ST-4-0__bin.24	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	YuJ_2015__SZAXPI015254-45__bin.34	XieH_2016__YSZC12003_36694__bin.65	YuJ_2015__SZAXPI017589-133__bin.23	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	FengQ_2015__SID532749__bin.5	LiJ_2014__V1.CD46-0__bin.5	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.26	VincentC_2016__MM098.1__bin.15	VogtmannE_2016__MMRS41266697ST-27-0-0__bin.40	CosteaPI_2017__SID713A037-11-0-0__bin.65	HeQ_2017__RSZAXPI003105-143__bin.24	LiJ_2014__MH0382__bin.18	LoombaR_2017__SID5450_zsn__bin.39	XieH_2016__YSZC12003_37179__bin.9	LeChatelierE_2013__MH0203__bin.97	VogtmannE_2016__MMRS85438660ST-27-0-0__bin.15	XieH_2016__YSZC12003_37283__bin.52	FengQ_2015__SID531128__bin.57	NielsenHB_2014__V1_UC35_4__bin.19	GeversD_2014__SKBSTL068__bin.18	XieH_2016__YSZC12003_36697__bin.49	QinN_2014__LV-22__bin.2	ZellerG_2014__CCIS41288781ST-4-0__bin.26	LiSS_2016__FAT_024-22-84-0__bin.30	NielsenHB_2014__O2_UC48_0__bin.20	NielsenHB_2014__V1_UC55_4__bin.39	ZellerG_2014__CCMD26709089ST-21-0__bin.20	WenC_2017__N019__bin.26	ZellerG_2014__CCIS82146115ST-4-0__bin.24	LeChatelierE_2013__MH0166__bin.17	LeChatelierE_2013__MH0251__bin.60	GeversD_2014__SKBSTL059__bin.9	Obregon-TitoAJ_2015__NO21__bin.46	HeQ_2017__RSZAXPI003080-114__bin.32	XieH_2016__YSZC12003_37284__bin.11	NielsenHB_2014__V1_UC55_0__bin.53	HMP_2012__SRS015264__bin.41	HeQ_2017__RSZAXPI003101-139__bin.39	LiJ_2014__V1.FI10__bin.12
LoombaR_2017__SID5639_uuc__bin.25	1.0	0.9775467823916437	0.9786293721155448	0.9777539689528575	0.9707181964896269	0.9694266218756257	0.9782971928253841	0.9710457066680821	0.9782356144168879	0.9763652595903312	0.9765047661240169	0.9684425016362771	0.9791573358967917	0.9696019698644319	0.9776244172678501	0.9790214650225373	0.9772670399449467	0.9708821890356827	0.9798656968234282	0.9773589278277341	0.9764006893602957	0.9773639982352125	0.9776477771110579	0.9684277194278778	0.9770392336113003	0.9763509758880378	0.9655872883368335	0.9770923477133898	0.9768838342418833	0.9778238808602632	0.9775037553658494	0.9699139485225485	0.9766593205650509	0.9767964547289011	0.9761122488336633	0.9684078407692924	0.9765538437792656	0.9782415657283213	0.9714280430093606	0.9764438155206773	0.9775735589702109	0.9785449747730097	0.971779957400147	0.9780222563326859
QinJ_2012__DLM023__bin.11	0.9775467823916437	1.0	0.9794119338039718	0.9767985390460516	0.970218022195381	0.969408436956879	0.9783064841902674	0.9715162222812427	0.9777201123593027	0.9753885732903282	0.9749922752085693	0.9673816893830046	0.9790719497203046	0.9684826458394491	0.9770183060953662	0.979165626935056	0.9764748145309323	0.969047342146183	0.9792275665438376	0.9778998075653251	0.9749252098420634	0.9776796345473843	0.977130389740853	0.9682475947286364	0.9745210327048572	0.976188027204345	0.9652646424525256	0.9775316787067494	0.9772005172050288	0.9772083005467789	0.9771693272821194	0.9690955154147336	0.9755148435709952	0.9770406600328364	0.976456991985602	0.968034091568155	0.9741166678270502	0.9781512841694202	0.9701303145722832	0.9767234880427207	0.9770845931809256	0.9776938018504288	0.9703910604136177	0.9770633840018452
HeQ_2017__SZAXPI029486-84__bin.31	0.9786293721155448	0.9794119338039718	1.0	0.9775215505462295	0.9711039058397298	0.9704756211795369	0.9799607792482298	0.9720559773437186	0.9784717175274823	0.9768808303726737	0.975962517147769	0.9688329070318412	0.9812367788405055	0.9697578885222125	0.979566867935359	0.9807101751629291	0.9778379264983805	0.9706380720743112	0.979899753631807	0.9786360940259342	0.976650055730296	0.9790258546520301	0.9782783153664826	0.9687601659262962	0.9762160369871895	0.9775140900833761	0.9664177707314088	0.9787908111016611	0.9783062628909622	0.9783996940002185	0.9786705602756979	0.9701581106829177	0.9771734041547548	0.9782895133485071	0.9770120647221427	0.9686332864805943	0.9762559915029347	0.9790686272755577	0.9712920699255668	0.9775898238753828	0.9786273379668871	0.979531718085968	0.9717184998172328	0.9789754976126382
ZellerG_2014__CCIS12656533ST-4-0__bin.24	0.9777539689528575	0.9767985390460516	0.9775215505462295	1.0	0.970587968592214	0.96936350683999	0.9778970358814353	0.9718786692565062	0.9772234133840869	0.9759646305866267	0.9754530517389426	0.9679028156148519	0.978883464188574	0.9692504694669336	0.9776540559591406	0.9781162353001379	0.9771776967304742	0.9697742716885678	0.9792371413212061	0.9771284731359553	0.9765417787039702	0.9773378713714737	0.9773852548929046	0.9675474740143061	0.9749583981820499	0.9766272556430796	0.9648676552689339	0.9772941252019107	0.9768326158413492	0.9776357714705821	0.9775694049429801	0.9690899859708607	0.975750443972656	0.9768714372336239	0.9762056729255282	0.9681654946531034	0.9754310911635989	0.9780504430811179	0.9706889334833888	0.976487163404422	0.9775859615130125	0.9775841330143824	0.9710452153147713	0.9775801464338071
VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	0.9707181964896269	0.970218022195381	0.9711039058397298	0.970587968592214	1.0	0.9741377370713901	0.9714341192787794	0.9749812804837851	0.9704144483304002	0.9688933149681479	0.9695620663822025	0.9729767180870138	0.971757219774841	0.9746307600477847	0.971105038290148	0.9710040563644887	0.9704657104665001	0.9661635504471098	0.9719915667529007	0.9710628880167798	0.9693121219275892	0.9710672256695455	0.9704279985854892	0.9719386594380328	0.9689600224475658	0.969240163140906	0.9695834886378217	0.9716357427467434	0.9696746660650668	0.9701160241553675	0.9703724019041275	0.974146148170645	0.9688399115955169	0.9700415081133521	0.9692648346029518	0.9719948230085	0.9688204773142735	0.9704479064664868	0.9677261007577393	0.9693790081059506	0.9703795593147956	0.9712036662704785	0.9683398689027478	0.9708503633963644
YuJ_2015__SZAXPI015254-45__bin.34	0.9694266218756257	0.969408436956879	0.9704756211795369	0.96936350683999	0.9741377370713901	1.0	0.9700763959378537	0.9826702030400392	0.9691954496389447	0.9662163937515685	0.9680151967328987	0.971878655420135	0.9715194646021866	0.9778683038489311	0.9693731977950077	0.9723305170419329	0.9692245966663396	0.9654194199873514	0.9726026368459987	0.9697912909745425	0.9685847899599924	0.9697282455189913	0.9689755330348423	0.9697766370633623	0.9686044310339903	0.9669276143342702	0.9682902164364222	0.9699191647302605	0.9686482747630766	0.9691217050080979	0.9691632766718834	0.9775630188347006	0.9676679721527773	0.96970930259379	0.9683684710520799	0.9723691145122768	0.9687752504034309	0.9703589702884139	0.965748404320773	0.9676119033078963	0.9690420778889551	0.9703273849061171	0.9668411441024445	0.9691627129566422
XieH_2016__YSZC12003_36694__bin.65	0.9782971928253841	0.9783064841902674	0.9799607792482298	0.9778970358814353	0.9714341192787794	0.9700763959378537	1.0	0.9724329949095818	0.9782916150531206	0.9766230093116351	0.9762689431875519	0.9687465018384551	0.9804481587716404	0.9702251302093128	0.9793449301878162	0.980544318833116	0.9783860256098925	0.9708847987291781	0.9797238158281848	0.9781822953379264	0.9766227482993745	0.9806466747656762	0.9779393362199754	0.9687549022138646	0.9753448737441343	0.97811238405333	0.9657129412816984	0.9778930726888768	0.9785737842450892	0.9788240063915289	0.9794372552821795	0.9702296610784716	0.9762334616186258	0.9777256727972813	0.9778365601393247	0.9687834167474799	0.9757531209825494	0.9780236352681981	0.9714664922361218	0.9769216070949113	0.9788875378273608	0.9793370147950043	0.9720273288088692	0.9790883290381505
YuJ_2015__SZAXPI017589-133__bin.23	0.9710457066680821	0.9715162222812427	0.9720559773437186	0.9718786692565062	0.9749812804837851	0.9826702030400392	0.9724329949095818	1.0	0.9711000753692932	0.9702425194843807	0.9707357967114268	0.972302940177447	0.9726480025269738	0.9790187779121955	0.9718971382205162	0.9719136141624575	0.9716780920862553	0.966914061622874	0.9725997162549763	0.9718268357987019	0.9714553466204096	0.9721345595571869	0.9720338650664246	0.972712698827783	0.9692057652020574	0.9711121264544211	0.9695135373101474	0.9722562178876742	0.9709723742960545	0.9715357866234371	0.9719457926946756	0.9782804558560476	0.9706112963049909	0.9706915438781396	0.9704250449704842	0.9732283099227745	0.9706285662479247	0.9716663195288182	0.9683242303378616	0.969288567287931	0.9717748497419407	0.9730604904662215	0.9688802119909735	0.9712572921649606
VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	0.9782356144168879	0.9777201123593027	0.9784717175274823	0.9772234133840869	0.9704144483304002	0.9691954496389447	0.9782916150531206	0.9711000753692932	1.0	0.9813528743389918	0.974634325403232	0.9671671102188404	0.9842762781700996	0.968943430059139	0.979388444725181	0.9794707471392728	0.9770706729907386	0.9699644504038488	0.9797106311413002	0.9777072487302307	0.9761123193763943	0.9785588404842296	0.9781244236993889	0.9682711855931944	0.9749830031785509	0.9766531229628512	0.9651399506847681	0.977807261736153	0.9782423336119017	0.9780804869456902	0.9781774095776925	0.969729555644279	0.9765981428079539	0.9772511385527729	0.9766493691575616	0.9686932590491852	0.9754843494733044	0.9788363145237758	0.9710741182611289	0.9771579679575095	0.9781751562746563	0.9798044686366781	0.9715199234238576	0.9777882988703841
FengQ_2015__SID532749__bin.5	0.9763652595903312	0.9753885732903282	0.9768808303726737	0.9759646305866267	0.9688933149681479	0.9662163937515685	0.9766230093116351	0.9702425194843807	0.9813528743389918	1.0	0.9733436638815274	0.9645961734378927	0.9817041036160917	0.9664025953580424	0.9764387478513817	0.9782995669089041	0.976034126040991	0.9688047197640118	0.9792063536141734	0.9763009318616712	0.9745586474966903	0.9765333130816078	0.9770436735707525	0.9660051149086842	0.9740820496237065	0.9768156942727309	0.962255140615822	0.9762944669636585	0.9766736059636402	0.9768019439344242	0.9769244122928159	0.9665363183922744	0.9766252717081003	0.9761192027003314	0.9752085926032948	0.9657826161403208	0.9740223900731675	0.9775326294350504	0.9692966342312521	0.9752763824644661	0.976760535976029	0.9775085630337758	0.9694753568629124	0.9771400520682362
