	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	BritoIL_2016__W1.33.ST__bin.61	XieH_2016__YSZC12003_37102__bin.109	RaymondF_2016__P3E7__bin.10	YuJ_2015__SZAXPI015269-94__bin.24	RaymondF_2016__P18E0__bin.38	LiJ_2014__V1.FI09__bin.79	BritoIL_2016__W1.4.ST__bin.72	XieH_2016__YSZC12003_37330__bin.59	CM_madagascar__A04_01_1FE__bin.46	XieH_2016__YSZC12003_37133__bin.38	XieH_2016__YSZC12003_36440__bin.36	ZeeviD_2015__PNP_Main_257__bin.38	ZeeviD_2015__PNP_Main_589__bin.53	ZeeviD_2015__PNP_Main_208__bin.26	LiSS_2016__FAT_012-22-0-0__bin.21	BritoIL_2016__WL.7.ST__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	KarlssonFH_2013__S77__bin.2	XieH_2016__YSZC12003_36033__bin.76	ZeeviD_2015__PNP_Main_89__bin.37	KarlssonFH_2013__S143__bin.32	ZellerG_2014__CCIS51667829ST-4-0__bin.59	LeChatelierE_2013__MH0434__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	FengQ_2015__SID530743__bin.33	NielsenHB_2014__V1_CD22_0__bin.21	LiSS_2016__FAT_012-22-2-0__bin.22	CosteaPI_2017__SID713A053-11-90-0__bin.85	BritoIL_2016__W2.35.ST__bin.15	LiuW_2016__SRR3993044__bin.54
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	0.0	12643.0	12620.0	8833.0	22746.0	16848.0	9013.0	10363.0	16324.0	10287.0	8664.0	11453.0	14680.0	3681.0	16038.0	13767.0	11437.0	12900.0	14559.0	7832.0	7906.0	13064.0	13670.0	7606.0	16926.0	10002.0	14534.0	15678.0	13390.0	12015.0	12694.0
BritoIL_2016__W1.33.ST__bin.61	12643.0	0.0	12954.0	9787.0	13580.0	15212.0	10626.0	315.0	14990.0	7663.0	9543.0	10926.0	10526.0	9448.0	12552.0	13368.0	711.0	12916.0	13955.0	8760.0	8379.0	12261.0	13619.0	9482.0	13419.0	8701.0	14150.0	14266.0	12830.0	9558.0	12546.0
XieH_2016__YSZC12003_37102__bin.109	12620.0	12954.0	0.0	8888.0	16254.0	14376.0	2833.0	10436.0	14432.0	9581.0	3643.0	11654.0	11232.0	8154.0	4507.0	12238.0	11214.0	12181.0	13973.0	2882.0	1259.0	11901.0	12269.0	2430.0	14302.0	9330.0	4588.0	13702.0	12621.0	10493.0	12261.0
RaymondF_2016__P3E7__bin.10	8833.0	9787.0	8888.0	0.0	10240.0	10028.0	8536.0	9126.0	9999.0	6388.0	7400.0	9364.0	8032.0	6251.0	8501.0	9452.0	8068.0	9713.0	10049.0	6783.0	6234.0	9111.0	9679.0	7485.0	9970.0	7271.0	9533.0	9849.0	9182.0	8354.0	9494.0
YuJ_2015__SZAXPI015269-94__bin.24	22746.0	13580.0	16254.0	10240.0	0.0	21124.0	10959.0	10930.0	20273.0	9294.0	10061.0	11451.0	14898.0	11637.0	19331.0	20021.0	11946.0	14557.0	21557.0	9786.0	9735.0	17771.0	18305.0	9321.0	17798.0	11714.0	18341.0	21326.0	13822.0	10891.0	15550.0
RaymondF_2016__P18E0__bin.38	16848.0	15212.0	14376.0	10028.0	21124.0	0.0	10125.0	11931.0	6649.0	11380.0	9313.0	12283.0	11811.0	10934.0	18030.0	16542.0	12462.0	14169.0	17495.0	9049.0	8581.0	14765.0	15429.0	9021.0	18683.0	9862.0	16499.0	19396.0	13867.0	12523.0	13827.0
LiJ_2014__V1.FI09__bin.79	9013.0	10626.0	2833.0	8536.0	10959.0	10125.0	0.0	9653.0	10328.0	6787.0	2771.0	10409.0	7759.0	6194.0	2117.0	9504.0	8217.0	10253.0	10213.0	1926.0	1165.0	9102.0	9208.0	1712.0	10721.0	7421.0	2405.0	10067.0	9233.0	8835.0	9626.0
BritoIL_2016__W1.4.ST__bin.72	10363.0	315.0	10436.0	9126.0	10930.0	11931.0	9653.0	0.0	11618.0	6588.0	8624.0	9383.0	8569.0	7536.0	10293.0	10836.0	570.0	10650.0	11138.0	7830.0	7187.0	10131.0	10857.0	9348.0	10988.0	7760.0	11175.0	11571.0	10133.0	8404.0	10827.0
XieH_2016__YSZC12003_37330__bin.59	16324.0	14990.0	14432.0	9999.0	20273.0	6649.0	10328.0	11618.0	0.0	10956.0	9410.0	12529.0	10985.0	10483.0	15931.0	16298.0	12880.0	14503.0	18708.0	9336.0	9080.0	14774.0	15461.0	8713.0	16788.0	10129.0	16552.0	17609.0	12880.0	11976.0	14006.0
CM_madagascar__A04_01_1FE__bin.46	10287.0	7663.0	9581.0	6388.0	9294.0	11380.0	6787.0	6588.0	10956.0	0.0	6195.0	6641.0	7845.0	6699.0	9675.0	10445.0	7659.0	8520.0	10283.0	6445.0	6205.0	9185.0	10344.0	5681.0	9031.0	6413.0	10149.0	10826.0	8783.0	7034.0	9540.0
XieH_2016__YSZC12003_37133__bin.38	8664.0	9543.0	3643.0	7400.0	10061.0	9313.0	2771.0	8624.0	9410.0	6195.0	0.0	9241.0	7390.0	5703.0	3180.0	8461.0	7509.0	9267.0	9150.0	2550.0	1991.0	8029.0	8486.0	2638.0	10087.0	6961.0	3724.0	9012.0	8462.0	7774.0	8851.0
XieH_2016__YSZC12003_36440__bin.36	11453.0	10926.0	11654.0	9364.0	11451.0	12283.0	10409.0	9383.0	12529.0	6641.0	9241.0	0.0	9545.0	8365.0	11376.0	11656.0	8518.0	11563.0	12499.0	8256.0	8062.0	10765.0	11857.0	9117.0	11067.0	8587.0	12480.0	12685.0	11011.0	4613.0	11888.0
ZeeviD_2015__PNP_Main_257__bin.38	14680.0	10526.0	11232.0	8032.0	14898.0	11811.0	7759.0	8569.0	10985.0	7845.0	7390.0	9545.0	0.0	8603.0	12403.0	11589.0	9392.0	10386.0	12223.0	6984.0	6732.0	11161.0	12224.0	6678.0	12458.0	7114.0	13257.0	13846.0	10317.0	9326.0	10389.0
ZeeviD_2015__PNP_Main_589__bin.53	3681.0	9448.0	8154.0	6251.0	11637.0	10934.0	6194.0	7536.0	10483.0	6699.0	5703.0	8365.0	8603.0	0.0	8642.0	9397.0	7903.0	8880.0	10383.0	5681.0	5363.0	9346.0	8667.0	5318.0	10635.0	6342.0	8910.0	9483.0	8046.0	7491.0	8994.0
ZeeviD_2015__PNP_Main_208__bin.26	16038.0	12552.0	4507.0	8501.0	19331.0	18030.0	2117.0	10293.0	15931.0	9675.0	3180.0	11376.0	12403.0	8642.0	0.0	15003.0	10926.0	12396.0	14831.0	2434.0	1758.0	13325.0	13732.0	1550.0	15457.0	8898.0	2911.0	16479.0	12539.0	10348.0	12016.0
LiSS_2016__FAT_012-22-0-0__bin.21	13767.0	13368.0	12238.0	9452.0	20021.0	16542.0	9504.0	10836.0	16298.0	10445.0	8461.0	11656.0	11589.0	9397.0	15003.0	0.0	11187.0	13752.0	15979.0	7924.0	7283.0	13385.0	3127.0	7780.0	16156.0	9736.0	14322.0	1750.0	13225.0	12101.0	13230.0
BritoIL_2016__WL.7.ST__bin.32	11437.0	711.0	11214.0	8068.0	11946.0	12462.0	8217.0	570.0	12880.0	7659.0	7509.0	8518.0	9392.0	7903.0	10926.0	11187.0	0.0	10523.0	11635.0	7493.0	6977.0	11064.0	10888.0	7061.0	10529.0	7461.0	12077.0	11359.0	10090.0	7739.0	10950.0
Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	12900.0	12916.0	12181.0	9713.0	14557.0	14169.0	10253.0	10650.0	14503.0	8520.0	9267.0	11563.0	10386.0	8880.0	12396.0	13752.0	10523.0	0.0	13629.0	8184.0	8128.0	12141.0	13136.0	9015.0	13835.0	9209.0	13428.0	14393.0	11658.0	10582.0	12467.0
KarlssonFH_2013__S77__bin.2	14559.0	13955.0	13973.0	10049.0	21557.0	17495.0	10213.0	11138.0	18708.0	10283.0	9150.0	12499.0	12223.0	10383.0	14831.0	15979.0	11635.0	13629.0	0.0	9317.0	8722.0	14521.0	15916.0	8692.0	16634.0	9641.0	16025.0	16340.0	13019.0	11309.0	12862.0
XieH_2016__YSZC12003_36033__bin.76	7832.0	8760.0	2882.0	6783.0	9786.0	9049.0	1926.0	7830.0	9336.0	6445.0	2550.0	8256.0	6984.0	5681.0	2434.0	7924.0	7493.0	8184.0	9317.0	0.0	1543.0	8149.0	7658.0	1846.0	9463.0	6559.0	2700.0	8247.0	7786.0	7463.0	8108.0
ZeeviD_2015__PNP_Main_89__bin.37	7906.0	8379.0	1259.0	6234.0	9735.0	8581.0	1165.0	7187.0	9080.0	6205.0	1991.0	8062.0	6732.0	5363.0	1758.0	7283.0	6977.0	8128.0	8722.0	1543.0	0.0	7712.0	7413.0	1004.0	9322.0	6173.0	2065.0	7782.0	7688.0	7023.0	7825.0
KarlssonFH_2013__S143__bin.32	13064.0	12261.0	11901.0	9111.0	17771.0	14765.0	9102.0	10131.0	14774.0	9185.0	8029.0	10765.0	11161.0	9346.0	13325.0	13385.0	11064.0	12141.0	14521.0	8149.0	7712.0	0.0	13379.0	7646.0	14528.0	8247.0	13639.0	13722.0	11804.0	10075.0	12508.0
ZellerG_2014__CCIS51667829ST-4-0__bin.59	13670.0	13619.0	12269.0	9679.0	18305.0	15429.0	9208.0	10857.0	15461.0	10344.0	8486.0	11857.0	12224.0	8667.0	13732.0	3127.0	10888.0	13136.0	15916.0	7658.0	7413.0	13379.0	0.0	7916.0	16054.0	9479.0	13867.0	3527.0	12622.0	11440.0	13057.0
LeChatelierE_2013__MH0434__bin.5	7606.0	9482.0	2430.0	7485.0	9321.0	9021.0	1712.0	9348.0	8713.0	5681.0	2638.0	9117.0	6678.0	5318.0	1550.0	7780.0	7061.0	9015.0	8692.0	1846.0	1004.0	7646.0	7916.0	0.0	9371.0	6165.0	1569.0	8231.0	7733.0	7532.0	7850.0
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	16926.0	13419.0	14302.0	9970.0	17798.0	18683.0	10721.0	10988.0	16788.0	9031.0	10087.0	11067.0	12458.0	10635.0	15457.0	16156.0	10529.0	13835.0	16634.0	9463.0	9322.0	14528.0	16054.0	9371.0	0.0	9955.0	16386.0	16801.0	13634.0	10342.0	14306.0
FengQ_2015__SID530743__bin.33	10002.0	8701.0	9330.0	7271.0	11714.0	9862.0	7421.0	7760.0	10129.0	6413.0	6961.0	8587.0	7114.0	6342.0	8898.0	9736.0	7461.0	9209.0	9641.0	6559.0	6173.0	8247.0	9479.0	6165.0	9955.0	0.0	9785.0	10513.0	8678.0	7457.0	8723.0
NielsenHB_2014__V1_CD22_0__bin.21	14534.0	14150.0	4588.0	9533.0	18341.0	16499.0	2405.0	11175.0	16552.0	10149.0	3724.0	12480.0	13257.0	8910.0	2911.0	14322.0	12077.0	13428.0	16025.0	2700.0	2065.0	13639.0	13867.0	1569.0	16386.0	9785.0	0.0	15597.0	13061.0	12068.0	13319.0
LiSS_2016__FAT_012-22-2-0__bin.22	15678.0	14266.0	13702.0	9849.0	21326.0	19396.0	10067.0	11571.0	17609.0	10826.0	9012.0	12685.0	13846.0	9483.0	16479.0	1750.0	11359.0	14393.0	16340.0	8247.0	7782.0	13722.0	3527.0	8231.0	16801.0	10513.0	15597.0	0.0	13821.0	12380.0	13652.0
CosteaPI_2017__SID713A053-11-90-0__bin.85	13390.0	12830.0	12621.0	9182.0	13822.0	13867.0	9233.0	10133.0	12880.0	8783.0	8462.0	11011.0	10317.0	8046.0	12539.0	13225.0	10090.0	11658.0	13019.0	7786.0	7688.0	11804.0	12622.0	7733.0	13634.0	8678.0	13061.0	13821.0	0.0	10225.0	11828.0
