	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS012279__bin.39	1.0	0.961605167789955	0.7325644812637093	0.4397982459981608	0.9043566072312434	0.9452501423185786	0.6442553055968026	0.9458233975724233	0.48765709781565864	0.6437802468447739	0.9024497373243576	0.9304874925523261	0.5396057012358162	0.9508221303067579	0.5165772945802166	0.9745962995842572	0.8792939406123481	0.9643759015168706	0.9439961464507935	0.8580901311188696	0.9651946480252551	0.6541333428875875	0.9558991548465945	0.9532332525202662	0.8961983357019921	0.6451563248499518
HMP_2012__SRS019071__bin.34	0.4091754008146727	1.0	0.6068120143329995	0.41559882508252316	0.41154861215413957	0.7322912584739398	0.2763371123274862	0.7466502316746639	0.547273940750461	0.5773566389500276	0.5019237523277572	0.7201773217437655	0.42512667855436814	0.7580035888963297	0.5474964116683173	0.43561104404359524	0.6796910025759196	0.7338062063739612	0.4522500618288465	0.6900443699612313	0.7488292044462563	0.5635436793979508	0.7467501741935993	0.715716610446647	0.7165042930111383	0.32270592393753195
HMP_2012__SRS023958__bin.21	0.328802810274321	0.6400753551854635	1.0	0.40848323567495065	0.3364628090116511	0.6463559466390945	0.2247784669519983	0.6617027460687488	0.49461161584817465	0.5446633734012634	0.4245900194284394	0.6316107021993088	0.44687376040958154	0.6262235092454833	0.49044659204208263	0.3549472239726215	0.5985347073405194	0.6479384531817494	0.3720188781058999	0.6679255644193922	0.6619517064506946	0.5668786204974204	0.6536806231394976	0.6527598270856984	0.6422731154949844	0.2792043035601335
Castro-NallarE_2015__ES_104__bin.5	0.23095593323331198	0.5129053320947968	0.4779255024469923	1.0	0.23757113977646413	0.5039466156385908	0.1395994639822108	0.5344728705452929	0.4256212600877893	0.43649074198603927	0.31427701360322835	0.5058922236306356	0.331521288449625	0.5017013617165391	0.4290246803718676	0.24632010408166535	0.48188640353108336	0.5212320046939883	0.26140692823201234	0.5174954896319024	0.5310513321352142	0.45086259701036985	0.5207915948619782	0.5067660747846556	0.5148488495338415	0.20371184653668536
HMP_2012__SRS011115__bin.80	0.7866972026979138	0.8413492339250074	0.6521016415810246	0.39353733526184376	1.0	0.8404834820310308	0.575086661764587	0.8371324450334122	0.43713082896321015	0.5817933531032589	0.8602364772440001	0.8166002731158641	0.4900998385084134	0.8411149037457044	0.5179285673883959	0.8123557801636617	0.7852854499428027	0.8611945760066675	0.8397285463794832	0.7615142116059236	0.8633058562921117	0.622576038988848	0.8490036350036189	0.8567169072110207	0.9162344640822626	0.6161925616905941
HMP_2012__SRS044662__bin.37	0.4978077317116465	0.9063292749231623	0.7583976384721071	0.505386676431823	0.5088340654871141	1.0	0.3353932874799607	0.9206045265413316	0.6797646019603925	0.6817080823907116	0.6211883393969551	0.8889861056174342	0.5334549784826457	0.888573788661703	0.6786555392337055	0.5294541063274579	0.8356036390116134	0.9090491691463921	0.550541672665063	0.8451519213271295	0.9277425017715653	0.6883400957973022	0.9215095273170466	0.8781449650508967	0.8934775650657122	0.40072875274819736
HMP_2012__SRS016037__bin.33	0.948333450530905	0.9559376196391878	0.7371707724882607	0.39130120557235387	0.9731246435240528	0.9374379829516599	1.0	0.9388912328403222	0.2524142699763261	0.6193989327207807	0.9573400839134613	0.9224503668283993	0.5083249341740306	0.9411199399948433	0.32198860839603405	0.9347951777105845	0.8692172764846979	0.9446905593449437	0.9545156224363032	0.8125874098555345	0.9447354850807491	0.6250771550680136	0.9466575252560767	0.9354807835048324	0.9445069498159998	0.5038089210791552
HMP_2012__SRS015644__bin.37	0.4201802834237934	0.7795250803352416	0.6549360412985924	0.4521428331414484	0.4275155350170869	0.7765757703841648	0.2833595369766124	1.0	0.5904898165391266	0.5867664822095242	0.5216417334137423	0.7648734414137823	0.4599019411918325	0.7614342500776677	0.5834316338398978	0.4491587422015423	0.7186442016849326	0.7991975613221256	0.4926438208625803	0.7296603430112909	0.8140313583037253	0.6069807213105477	0.7937835172304429	0.7718844634501916	0.7769282963387409	0.34352475256863496
HMP_2012__SRS019126__bin.9	0.32531006760363396	0.8579757150963154	0.7351189237947618	0.5406679632070519	0.33521735935974395	0.8610465152305136	0.11439150975547792	0.88668579314545	1.0	0.6932616783794957	0.482153685181464	0.8428580660067116	0.5334366670709134	0.8361764864699784	0.8359171193787936	0.37806692733206865	0.7842012688627594	0.867942316050751	0.40075225308562745	0.8451029634239289	0.8929380449032596	0.7003061948015045	0.9961829662211985	0.8354886768117854	0.8322629645924086	0.4010054236934051
HMP_2012__SRS018145__bin.56	0.2665670685573091	0.5618239970637056	0.5024667839938989	0.3441662303067999	0.27692981410245493	0.5359847163239616	0.17423533542383135	0.5469007643486388	0.43031163512146553	1.0	0.3491217765460189	0.5332335887022996	0.3457244883325705	0.5290335448556881	0.42905612750902344	0.29068545221076486	0.5093580647270494	0.5353566877895978	0.30204436200158136	0.5716059673150434	0.5568113073707912	0.4961958394071147	0.5475392325524278	0.5489106754411173	0.5266346187130525	0.23001229133710738
