	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	BritoIL_2016__W1.33.ST__bin.61	XieH_2016__YSZC12003_37102__bin.109	RaymondF_2016__P3E7__bin.10	YuJ_2015__SZAXPI015269-94__bin.24	RaymondF_2016__P18E0__bin.38	LiJ_2014__V1.FI09__bin.79	BritoIL_2016__W1.4.ST__bin.72	XieH_2016__YSZC12003_37330__bin.59	CM_madagascar__A04_01_1FE__bin.46	XieH_2016__YSZC12003_37133__bin.38	XieH_2016__YSZC12003_36440__bin.36	ZeeviD_2015__PNP_Main_257__bin.38	ZeeviD_2015__PNP_Main_589__bin.53	ZeeviD_2015__PNP_Main_208__bin.26	LiSS_2016__FAT_012-22-0-0__bin.21	BritoIL_2016__WL.7.ST__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	KarlssonFH_2013__S77__bin.2	XieH_2016__YSZC12003_36033__bin.76	ZeeviD_2015__PNP_Main_89__bin.37	KarlssonFH_2013__S143__bin.32	ZellerG_2014__CCIS51667829ST-4-0__bin.59	LeChatelierE_2013__MH0434__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	FengQ_2015__SID530743__bin.33	NielsenHB_2014__V1_CD22_0__bin.21	LiSS_2016__FAT_012-22-2-0__bin.22	CosteaPI_2017__SID713A053-11-90-0__bin.85	BritoIL_2016__W2.35.ST__bin.15	LiuW_2016__SRR3993044__bin.54
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	1.0	0.7292122666398277	0.6848548382516118	0.48391135788727363	0.8662770043601588	0.8446715232454608	0.6065423806337402	0.6206193508141604	0.8361310728202819	0.5262429143060143	0.5182689706268494	0.6639219904765084	0.6635054560528779	0.5479884028047316	0.76666648397613	0.7807738472185615	0.6067361986849271	0.710374048908914	0.8385699914849601	0.45764079087729825	0.5032179277213126	0.7240314951841944	0.8090872265932317	0.5271447412279893	0.8221841450855166	0.5097898045726112	0.8229923015868666	0.8111280459702537	0.6765256445197573	0.6218076697141109	0.7423794379475814
BritoIL_2016__W1.33.ST__bin.61	0.8061133384483449	1.0	0.7663600046486753	0.5752350087107582	0.9634473121679075	0.949867011535214	0.7303201031521213	0.772961784474416	0.9548048520272685	0.5684178696399095	0.6171837950705316	0.8035692352433477	0.7178055829268037	0.5997859626530717	0.8426384867350272	0.8754782930549122	0.7039449297218341	0.8364101431450491	0.957551646286485	0.5202589157901288	0.5712098287535987	0.8152983276335655	0.921126741945096	0.6498660751906701	0.9530428719119219	0.5721313019430251	0.9250472716296967	0.9110428619976856	0.7749462841166773	0.7057135193280791	0.8449248197949846
XieH_2016__YSZC12003_37102__bin.109	0.7482897761111964	0.7574639581815826	1.0	0.5107012162922847	0.8652448099890359	0.8484762866011866	0.6474282130596539	0.6503848343998075	0.8520105133992489	0.5424896591746721	0.5450140291165413	0.6974419863094985	0.6628972602665151	0.5366711416118731	0.788104267312104	0.7866420163602255	0.6280128303538474	0.7487612241098289	0.8608047062051485	0.4970335795097594	0.5193310011356126	0.7434157877373436	0.8220588667609563	0.5645399244594408	0.8447226677206197	0.5293898286999685	0.8568257068725795	0.8170759989416918	0.7001661500336982	0.6446033358484485	0.7746712657344409
RaymondF_2016__P3E7__bin.10	0.8675900326498162	0.9329361162351323	0.8380006342371957	1.0	0.974431308091884	0.9774551009196439	0.8743853035628945	0.8786954366187117	0.978802184991804	0.630274553242426	0.7256004037679049	0.8983764421079901	0.7770406135128254	0.6231898557780349	0.8837380689710618	0.9161708152627841	0.768291713378385	0.9090057215341394	0.980772786757842	0.6191861218182062	0.6549428069909018	0.8581970691095221	0.9497317891295318	0.78845956291231	0.9639744339879673	0.6781907267375643	0.9525528047130076	0.9358098360362855	0.8594262386607769	0.8054267478371172	0.936652210227298
YuJ_2015__SZAXPI015269-94__bin.24	0.6565395477612554	0.6605260246287765	0.6001666035421	0.4119140413329341	1.0	0.768616303206363	0.532051734704628	0.5506326365463675	0.7749175573020648	0.47187054768837583	0.44531669211159414	0.5774311863554267	0.5784571651040347	0.4663358511413211	0.6844282707934399	0.7239494102227058	0.5440579895121334	0.6302300088021953	0.8167621590942991	0.39202508266926667	0.43244872088733377	0.6768650288516401	0.7324850096461638	0.4605088809279349	0.7620458099322446	0.4348322239647036	0.7521825177299475	0.7351347309855022	0.5892422144374884	0.5368931309268965	0.6564946116290934
RaymondF_2016__P18E0__bin.38	0.7064623065110629	0.718657240429473	0.6494856616597595	0.4559835978472174	0.8482163283931016	1.0	0.5767490316437366	0.5967791605981618	0.8571941734019257	0.5030035192118966	0.48759858064704326	0.6331360157687363	0.6383812875439902	0.5074357676111656	0.7365170845340118	0.7671590229550962	0.5808899918114252	0.6849511498384163	0.8347891494091932	0.42667933499605154	0.47009628347053883	0.7076453784559223	0.7857247930457539	0.508337552637117	0.8197496754782398	0.47335462779489806	0.8056369898549185	0.7937533467934333	0.641856326976249	0.5865390665858228	0.7156143410489293
LiJ_2014__V1.FI09__bin.79	0.843251888800609	0.9184748839912416	0.823789986568683	0.678032142340097	0.9759912609852449	0.9586981805033246	1.0	0.8593874792971383	0.961529216751256	0.5969087882652266	0.7058506927968934	0.8800158765233185	0.7446221048030639	0.6128469612597591	0.8713128818037171	0.9124817042464158	0.7299460184353312	0.8910546320033859	0.9671829769312453	0.5736024399417861	0.6203668363533593	0.8466841825633935	0.9359972458526739	0.7598855948258605	0.9485980240239783	0.6465076843896786	0.9525726963975115	0.9176838285972759	0.8258341235805855	0.7741952466021678	0.9049950784163099
BritoIL_2016__W1.4.ST__bin.72	0.8235672933752608	0.9278753970373936	0.7899014315826222	0.6503743589879216	0.9641211754158149	0.9468611235265648	0.8202885116354106	1.0	0.9486377088330737	0.6003826898308178	0.6854604311409552	0.8664684895785122	0.7284389851710996	0.600461370013726	0.8361554614625787	0.8915773855963693	0.7298353931232198	0.8625596051973881	0.9648451653341726	0.5674871004170711	0.6051273032135895	0.8285717497150322	0.9208761666485945	0.784664240584164	0.9607921441473846	0.6209525988262768	0.918585846030155	0.906287935088188	0.7968695866050625	0.7583830759587742	0.8849517207818827
XieH_2016__YSZC12003_37330__bin.59	0.707049232130443	0.730378141523942	0.6594000294929322	0.4616591881017085	0.8646228064631655	0.8666691946322863	0.5848461100929028	0.6045077840274705	1.0	0.5077423160378353	0.49255598390528554	0.6410255113863785	0.6484606796014241	0.5128083591396491	0.7440287345425436	0.7696875855821694	0.5893265078261603	0.6986723967220713	0.8530780088057469	0.4332499104678843	0.48037750953253705	0.7207411152541658	0.7985830752701764	0.5135347279277002	0.8236630221828983	0.4808552950346542	0.8203737175841075	0.791680465145674	0.6414472603172597	0.5928450146411343	0.7229294908255914
CM_madagascar__A04_01_1FE__bin.46	0.7999068457046782	0.7815895303660282	0.7546982330977968	0.5343603026378569	0.9463938684782527	0.9141617249449027	0.6526268753928763	0.6877134785934459	0.9126856459076484	1.0	0.5661933216701126	0.6990676996947871	0.7068313149902681	0.5892493884382645	0.8230681844000636	0.8480168738024372	0.6784813577806558	0.7711456463620597	0.9304781163141194	0.5197153871204719	0.5387234074780936	0.8051583244344473	0.8801853997682503	0.5591537348813608	0.899920478040579	0.558048758321405	0.9023318867910238	0.879445466869637	0.7285074864244655	0.6744984436416513	0.8227463098024068
XieH_2016__YSZC12003_37133__bin.38	0.8481163343430101	0.9136347144027754	0.8162752300310241	0.6622912190727008	0.9615349806150196	0.9540288552873503	0.8308390373960937	0.8452960337229354	0.953192304713139	0.6095534727856075	1.0	0.8732446502753849	0.7439380659048567	0.6096920825298724	0.8726151989661344	0.8982889850097638	0.7318896177224788	0.8835702608716922	0.9486100296380248	0.5869103480327609	0.6209284406811446	0.8346377597403921	0.9349259864733197	0.7500442328154493	0.9515289877819587	0.6545983782659921	0.9464469022760535	0.9237752402229171	0.8096227776577399	0.7710232252856788	0.8945970737036931
XieH_2016__YSZC12003_36440__bin.36	0.8432647528425433	0.9232685751749635	0.8107439182830892	0.6364385987228094	0.9677050880686906	0.9614855710115322	0.803972567803684	0.8293271619118496	0.9628240201950782	0.5841346625431041	0.6777704157799045	1.0	0.7451333291566125	0.6221358611354226	0.8662943056739487	0.8996403590207994	0.7324797634710323	0.8791048148098928	0.968698008526839	0.5740478816747638	0.6314803247970019	0.8290044153002145	0.9472657350047811	0.7232624999446268	0.969925078487546	0.6298507708264908	0.9405570353382227	0.9345450886509001	0.8210876307677509	0.7688665961686812	0.898868931335342
ZeeviD_2015__PNP_Main_257__bin.38	0.7578010521853189	0.7416096898927044	0.6929240679567176	0.4950005548300086	0.8717215948375202	0.8717454952071223	0.6117168716692416	0.6269459595571603	0.8758284750141553	0.5310963725498564	0.5192150435754953	0.6700354806677308	1.0	0.5543736253730877	0.78140665056237	0.790449526118267	0.6162215222828268	0.7226646635880715	0.8586691477526539	0.46208007192873135	0.5156129164426007	0.7461837653894196	0.8301008083446433	0.5391177918334713	0.8418023154905693	0.5102040351790679	0.8462625797034647	0.8170728306857984	0.6911856005963711	0.6274734748576648	0.7586039907926672
ZeeviD_2015__PNP_Main_589__bin.53	0.7990098038859568	0.7911063970446678	0.7161725977936716	0.5068184047163267	0.8971714390535381	0.8846279862985336	0.6427418915433765	0.659769196401004	0.884220429424008	0.5652319841336148	0.543239169048925	0.7141987439111657	0.7077381319946676	1.0	0.8076099077730031	0.8181446354690718	0.6601847445867948	0.7680674466670784	0.8913675676264716	0.49408969883653775	0.5404966963192747	0.7789094766054363	0.8454647492362849	0.5652908292438403	0.8783584393695582	0.5471331170836072	0.8770042753515269	0.8383597470386743	0.7154570121940145	0.660988234610369	0.7866574161184748
ZeeviD_2015__PNP_Main_208__bin.26	0.730173056454395	0.7259696670742882	0.6869604293929761	0.46945519651011436	0.8600885378630098	0.8386891195422491	0.596894104293218	0.6001123687745777	0.8379801712769658	0.515705766539635	0.5078575099402234	0.6495878467096307	0.6516069731278238	0.5275215709610235	1.0	0.7745027278374184	0.6035873541471812	0.7047776184937744	0.842197796566014	0.44335887729927725	0.5061957048364603	0.7360453688927358	0.8053234706956187	0.5246819816575059	0.8249144540505194	0.49364817469548206	0.8328808686941448	0.8022973909849683	0.6613191847379667	0.601905144240602	0.7269467249579685
LiSS_2016__FAT_012-22-0-0__bin.21	0.7238433713290877	0.7342138703519022	0.6674599321628664	0.47374763902663	0.8855711442285085	0.8503615193559398	0.6084814431765849	0.6228803205334588	0.8438369414441651	0.5172144925541285	0.5089032196078233	0.6566612360622313	0.6416272228024413	0.5201980145882633	0.7539160170188707	1.0	0.5978550421245227	0.7114482900062867	0.8670755248185705	0.4457046567240568	0.48531542696606894	0.7283036420771299	0.8267621787886781	0.5265696979663179	0.8408312473930558	0.4942683026535747	0.8323458317300964	0.8522179638605362	0.665128636961399	0.6121638456624375	0.7369858343907384
BritoIL_2016__WL.7.ST__bin.32	0.7936792022420648	0.8329935475461122	0.7518692563383954	0.560560516196311	0.9390445154141954	0.9085270155771361	0.6868148341263117	0.7194427426187838	0.9116450498598709	0.583888418171153	0.585046601055856	0.7543863651176432	0.705783093267288	0.592283777618458	0.8290217037085316	0.8435710095809164	1.0	0.7977794433943818	0.9246750961350453	0.5241178387538291	0.5579384735710096	0.8087277585869778	0.8743335723131069	0.6079893110864889	0.9007873297269113	0.5728332138434465	0.8959642833865606	0.865899107084664	0.7417506354689435	0.6825047252818875	0.8223496056833736
Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	0.8104132135573335	0.8631704716236833	0.7817924792131344	0.5784120130689531	0.9486683218854943	0.9342817873634957	0.7311855277487888	0.7415403084436623	0.9425789127849739	0.5787655659916193	0.6159710427651249	0.7896110008389777	0.7218476380163749	0.6009495908562802	0.8442133276946758	0.8754743406976929	0.6957563417844987	1.0	0.9456801744345995	0.5262612517365018	0.5723879714702117	0.822474370255172	0.9076135518767863	0.6461804916090864	0.9270743097760226	0.5835840034923299	0.9174510766880163	0.8992914162807142	0.7772713217422542	0.7158804377235284	0.8614186225760025
KarlssonFH_2013__S77__bin.2	0.7092206979522436	0.7325919636254075	0.6663086235849116	0.4626597867333029	0.9114515493545322	0.8441463327272306	0.588375469062423	0.6149303543699446	0.8532092192230788	0.5177201828000261	0.4902635177416738	0.6450354707058533	0.6358537515512508	0.517032891784323	0.7478885079969744	0.7910058004664814	0.5978416280917034	0.7010789752579448	1.0	0.43517825952294165	0.4803683812421384	0.7386709704877827	0.8152240648775749	0.5147561086096789	0.8392358470092728	0.4780776921180657	0.8354728128153859	0.8067178377512816	0.6532429306156332	0.5871037067783076	0.7303615336155258
XieH_2016__YSZC12003_36033__bin.76	0.8474758928925669	0.8715253333382542	0.8423975073098673	0.63955088027503	0.9578828003827242	0.9447199644955891	0.7640423727797057	0.7919264372227948	0.9487806430837906	0.6331623007374916	0.6641622278464194	0.8369583570536875	0.7492196503258416	0.6275201626854916	0.8620624113658403	0.8902878643746269	0.741970217999666	0.8542492265703643	0.9528570070925781	1.0	0.6138369399036177	0.847481428923362	0.9117861172955751	0.6887671167152146	0.9397338460928079	0.6413851518118044	0.9333544932732613	0.9136000900527677	0.8132355424249107	0.7572939512404862	0.8796577625762473
ZeeviD_2015__PNP_Main_89__bin.37	0.8314778332017483	0.8537841747229922	0.7853577535427113	0.6035999693745745	0.9428119574174862	0.9287102661859902	0.7373046497134629	0.7534727339037456	0.9386462409348328	0.5856083551429722	0.6269543261294978	0.8214998719824282	0.7459464532546513	0.6125011011157698	0.878200542201754	0.8649665713601229	0.7047511396033678	0.8290212130467606	0.9384840579018126	0.5477028049432071	1.0	0.8177474340915322	0.9110067943988401	0.6472354378983055	0.9262602321440185	0.6007481824386236	0.9353375424083934	0.8845322666025618	0.7819955428480164	0.7358894586791386	0.8612725852222443
KarlssonFH_2013__S143__bin.32	0.7273281479924322	0.740879105478643	0.6834919967566594	0.48085177733065054	0.8971620769392474	0.8499384365896874	0.6117841376617916	0.6272335505570737	0.8562033894911759	0.5321095728600459	0.5123547253671281	0.6556663363264162	0.6563084977526853	0.5366352342913201	0.7763511416759262	0.7891618366917925	0.6210551868424478	0.7242289558244992	0.877368189234912	0.4597275193449253	0.49716157642371644	1.0	0.8152126690491206	0.5279027398220166	0.8436149233710722	0.49694685526091875	0.83127321140775	0.8063145039390572	0.6805835010060363	0.6169524610348659	0.742829113987407
ZellerG_2014__CCIS51667829ST-4-0__bin.59	0.7803879862382962	0.8036972444394037	0.7256828589511867	0.5109371328117829	0.9322016467332773	0.9061175569371511	0.6493721066469568	0.6693336895985145	0.9108776378080656	0.5585167962853588	0.5510515669820991	0.7193498608979901	0.701027994850174	0.5592809082070906	0.8155794251091022	0.8601545428376041	0.6446845923799299	0.7673557930977145	0.9297156398332025	0.47490372910646483	0.5317925825397062	0.7827322239453454	1.0	0.5734006392589172	0.9087794537512849	0.5334130765020205	0.886094941146562	0.8968299927865913	0.7113007347488787	0.663310180902296	0.7993533402503884
LeChatelierE_2013__MH0434__bin.5	0.815542968671712	0.9094916032911584	0.7993561983636709	0.6803739167837052	0.9400498267933097	0.9403034316045553	0.845607857586638	0.9148018876214644	0.9395318254767231	0.5691084673173544	0.7090936981131494	0.8809799474906999	0.7302808769638957	0.5998023578309928	0.8523025621023453	0.8787260250953138	0.7190644526221505	0.8762971230885211	0.9416215599547982	0.5754223791985471	0.6060168319594479	0.8130138580768893	0.9197290668113781	1.0	0.9305654693539013	0.6230515210892827	0.9153507223497527	0.8889187801685663	0.7869788960713608	0.7723160671366707	0.8718563409682
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	0.742955190926167	0.7790472871609514	0.6986125593633333	0.4858590551932674	0.9085953244114994	0.8856734687996946	0.6165659943774796	0.6542582217203615	0.8801725116025263	0.5349885730648499	0.5254305586321535	0.6900567654839924	0.6660286852991444	0.5443579395137834	0.7826779729391445	0.8195642816879087	0.6222583009615195	0.7343255586951862	0.8966758334278825	0.4585595758436932	0.5065612579173623	0.7588655547691471	0.8514061703648875	0.5435299594609441	1.0	0.5090348426972969	0.8629798817505813	0.8473945867483571	0.6885349750660493	0.6296925623168674	0.7659522355911661
FengQ_2015__SID530743__bin.33	0.8346823666847226	0.847390636115045	0.7932944259171034	0.6193458072010808	0.9393938405111371	0.9266496766235716	0.7613907796928739	0.7661516899763097	0.9310418529371456	0.6011032650903562	0.6549449509551188	0.8119342544068604	0.7314140131961078	0.6143874774028076	0.8486493894679136	0.8729181214798959	0.7169901518661854	0.8375563706135342	0.925521448569769	0.5670826616718986	0.5952891788000809	0.809966585523439	0.9054792888981706	0.6593819953402468	0.9223252103088881	1.0	0.9104213030340605	0.8942467711304144	0.8066332956985388	0.7354643763827524	0.87649125154183
NielsenHB_2014__V1_CD22_0__bin.21	0.7744777778663432	0.7874717326507752	0.7379626690473053	0.4999810105304814	0.9339686912879596	0.9064658440397213	0.6447853275636605	0.6514171067456691	0.9129555538571833	0.558632683174533	0.5442635156963204	0.6968694570090131	0.6972806610773546	0.5660231033857052	0.8229562524821112	0.8448851043318966	0.6445532340473218	0.7567922519213358	0.9296156484481852	0.4743044344865646	0.5327052585826542	0.7787248547774458	0.8645263111994265	0.5567801549259387	0.8987115762150565	0.5232696021729579	1.0	0.8586752102087388	0.7027636945724345	0.6504437206044184	0.7923996172098046
LiSS_2016__FAT_012-22-2-0__bin.22	0.7526698873143192	0.7647364510645105	0.693915028718135	0.4843440739112283	0.900073465534308	0.8806423171649054	0.6125083741000009	0.6337347815613992	0.8687398834630423	0.5368721621105552	0.5238189687177375	0.6827606581661172	0.6638427051590928	0.5335373169314246	0.7816839188152677	0.852994957277642	0.6142389058489939	0.7314693707901221	0.8851048051267755	0.4577924554733672	0.4967458328305406	0.7448119878737947	0.862799762728054	0.533163285356502	0.8701763681395374	0.5068067736239776	0.8467025348614534	1.0	0.6818554000404083	0.6219969402460286	0.7531604281066466
CosteaPI_2017__SID713A053-11-90-0__bin.85	0.7667797230401209	0.79454008870577	0.7263002330022962	0.5433081582427809	0.8812032767147918	0.8698072846253497	0.6732603041114796	0.6806123566889052	0.8597496721816944	0.5432093327415097	0.5607494474242686	0.7327046902018186	0.6859150507285416	0.5561464379336322	0.7870061972060054	0.8131537306909088	0.6426865176039277	0.7722173844786362	0.8754250908347536	0.4977371783794651	0.5364090088197524	0.7678826156343073	0.835842371631321	0.5765440213960034	0.8636123374885222	0.5583832825652615	0.8464133119644364	0.8328437235641785	1.0	0.6576447454763332	0.8084914258995097
BritoIL_2016__W2.35.ST__bin.15	0.8020636578351195	0.823453461655875	0.7609813782355115	0.5794688217998362	0.9137691800960812	0.9045832998602162	0.7183020292742492	0.7371699416764408	0.9043127299603143	0.5723748774883916	0.6077430549976702	0.7808306688732145	0.7086592008226353	0.5847439708221533	0.8151949742123106	0.8517283375375568	0.6729973167949357	0.8094198171564453	0.8954173428236315	0.5274904802455053	0.5744745256189849	0.7921939619852504	0.887062452802905	0.6439184434197207	0.8988512026221501	0.5794077668343001	0.8915573836340558	0.8646212182072334	0.7484413309982487	1.0	0.8340011889651183
