	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	1.0	0.850511428119927	0.8153386235975233	0.7311783497823557	0.8030193653119568	0.8698682102888994	0.6032414091568619	0.7801370871582698	0.856358373198868	0.5556793123015702	0.7849362151445933	0.7053910054734301	0.8255371072706116	0.8592037308394029	0.7659493564050626	0.7406176823399273	0.8005663779109023	0.5541327270898878	0.6501687102242526	0.8229427049663118	0.8317292842879512	0.4828614115990748	0.4185598306253502	0.5662333534456752	0.5709112686577885	0.7196393426137425	0.6395949158873134
VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	0.841735789268369	1.0	0.8466484590869285	0.7399555073929971	0.8234628968357111	0.882011506586141	0.6025287120381071	0.816396241010063	0.8614335647713101	0.5782883719855637	0.8173781529481129	0.717884703989095	0.8411706345239349	0.8509080019602694	0.7789791759137445	0.7582377302105868	0.8070760750713886	0.5841709575329751	0.6811709721950086	0.8109699557162159	0.8653847606378606	0.5039985142472756	0.39498940557006207	0.574407376158023	0.5977142334133525	0.7456568168903072	0.6735400502330152
BackhedF_2015__SID590_12M__bin.7	0.8461709415726609	0.8878254168522552	1.0	0.7677573376619746	0.8635872310051977	0.9051191711968929	0.6097304041701067	0.8372692100540272	0.894191184555547	0.5942369372005345	0.8421468520130232	0.7678542475413778	0.8875631078998325	0.8917684375704693	0.8066666542423232	0.7824438435203632	0.8337748634409343	0.6003646234212542	0.6972824233433536	0.8493801495021255	0.8909898971450723	0.5074238558577363	0.40918845430606005	0.6114342475786507	0.6289087761214057	0.7635152008736799	0.6926787381588241
LouisS_2016__AS51_3__bin.10	0.8473330218746	0.8664445528885023	0.857303689953583	1.0	0.8874237957940585	0.8861902735391528	0.6201875203549381	0.8706071052130492	0.877500470829878	0.5769455679040735	0.8687862161821888	0.7529001559721519	0.8861163974699007	0.8945273440304494	0.807187101030207	0.787032980982635	0.8189604492497417	0.6193264999703455	0.6636771137139997	0.8752358051294964	0.866385764185506	0.5219609622201944	0.4070836745332541	0.6201833583228675	0.6057109323055889	0.7449714848777768	0.7083325963068209
LouisS_2016__AS51_6__bin.8	0.8911192271688548	0.9233326474926878	0.923412855974959	0.8497869493326505	1.0	0.9534078392083971	0.6479041922134003	0.9261225077455986	0.9142008370577137	0.6248116221592621	0.9180099926815988	0.8136717101693893	0.9391481659907068	0.9458134410485092	0.8435695464833064	0.8319946155697119	0.8805272238050804	0.6543751734321608	0.7366546287518015	0.8956791541143713	0.9214126258114882	0.5592763102503949	0.41047263720009625	0.6580303885528048	0.6706395605172999	0.7937999341393704	0.7536672962119177
Obregon-TitoAJ_2015__NO01__bin.16	0.829582853989263	0.8499334448508492	0.8317484116888738	0.7292937276320967	0.8193608907472287	1.0	0.5907404212176702	0.8031825734686214	0.8504497877899023	0.5651960026664874	0.7973709324614017	0.72906681075175	0.8356997624223077	0.864222357991777	0.7691673049595895	0.7461694932089772	0.8009968929513195	0.5709686824734967	0.665447452258615	0.8143550187377684	0.8602414652493924	0.48447524615129706	0.4073038121607753	0.5704193723650348	0.5871063259716645	0.7285042281465129	0.655051662123334
LeChatelierE_2013__MH0088__bin.22	0.9277633090664045	0.9363283105577711	0.9035741706344385	0.8230728228808785	0.8979394284199247	0.9526567039692447	1.0	0.8751878017255664	0.9282569790435369	0.6314149479126391	0.881642105146872	0.7607095314899305	0.9124250173992775	0.932086200992035	0.9000004142685123	0.8452389500778825	0.8722651373714386	0.6300381955568322	0.682262955557274	0.8992657781067377	0.9371810132455453	0.5869038676108307	0.4713864738568951	0.6102251135095723	0.5959473492338795	0.8217823764651296	0.7383894344958628
LouisS_2016__AS51_12__bin.20	0.8576425989875575	0.9068611072313589	0.8869118330027456	0.825898768574896	0.9174746284774027	0.925855880177022	0.6255911960828926	1.0	0.8864720912017586	0.601656607552405	0.8958522625480644	0.7758718461110983	0.8983850963557694	0.9020624433357401	0.8155162228202798	0.7998814523225622	0.8529105626375427	0.6457714458029334	0.7116330214012612	0.854378342790332	0.8976719348491182	0.5341066405947322	0.39492515258941785	0.6343514844863929	0.6448213863563567	0.7736864626152842	0.7238145108871877
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	0.8823876620192619	0.8968710969663888	0.8877980182997345	0.780226017448584	0.8488592733765693	0.9188534448463765	0.6219078722164143	0.8308708564238729	1.0	0.5844836199798314	0.8258823747097299	0.7477116080267188	0.8757139949486071	0.9099496711043678	0.8134282859495415	0.7848333317913941	0.8351335473544949	0.5860415953519784	0.6810799433799924	0.8762672427351534	0.8936987112472129	0.5037418238673685	0.4366503529498839	0.5944980525307848	0.6081733571408746	0.7606074623689737	0.6766447094523957
XieH_2016__YSZC12003_35704__bin.28	0.8859261051270911	0.9315841496993517	0.9128781724471369	0.7937382394264884	0.8976614486521461	0.9448569119784819	0.6545488771045567	0.8725424024816286	0.904360815290016	1.0	0.897018710271718	0.8153909359573474	0.9067220557321456	0.9115626344257262	0.8424195879173774	0.8179482903373804	0.8767445372605746	0.6428264169768821	0.7710548711051879	0.872260399227855	0.9266140212876669	0.570320088007919	0.3621365539918133	0.6807143414400918	0.7073507655243149	0.7991406773947194	0.7395728581172919
LouisS_2016__AS51_18__bin.30	0.866141233002254	0.9113427290515939	0.8954102989621777	0.8272493993510515	0.9128343199663141	0.922589354271419	0.632558392985411	0.8991979788472494	0.8844405914844079	0.6208441285017214	1.0	0.7691506700022293	0.8990894905010774	0.9054724692244817	0.816517969930399	0.8077705397171376	0.8515735764000694	0.6529428083124861	0.705085576994526	0.8482679018155698	0.9067614494835657	0.5331102469472172	0.4073167711094048	0.6379431798479182	0.6366066430535259	0.7737334357119857	0.7213028509152156
KarlssonFH_2013__S317__bin.12	0.8845569446375723	0.9096093987940188	0.9278004495829283	0.8147088942095227	0.9194652068638804	0.9586429869060239	0.6202527369894832	0.8850146342452034	0.9099680067645736	0.6413402367713348	0.8740835652275246	1.0	0.9235849762964072	0.9455968627150733	0.8316411578364848	0.8393042217221852	0.9040732123223779	0.6478070024821077	0.8249081102260694	0.9052695104973054	0.9279924202547637	0.5578510093660295	0.3821072074572443	0.6932286145516021	0.7360763559124996	0.7897831069186568	0.7485324939917684
LeChatelierE_2013__MH0212__bin.11	0.8776356526806471	0.9035789847460386	0.9091945196274065	0.8129009349202175	0.899708818814285	0.9315831598862002	0.6307086617931243	0.8687699229546323	0.9035164626425659	0.6046145130506538	0.8662160620715625	0.7829943696698117	1.0	0.9404837301736921	0.8405295001715778	0.8023819489619183	0.858582638232314	0.6219044996346513	0.7068123797583019	0.8826273983311849	0.9031828523347233	0.5260896146967988	0.40175080980442035	0.6213690049774276	0.6426274746940593	0.7780293510253387	0.7141374884918762
VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	0.8392452227860946	0.8398073898216194	0.8393145070229221	0.7539725520410128	0.832507988516357	0.8851398905747566	0.5919741666268356	0.8014822441602816	0.8625935720891521	0.5584778691676815	0.8015186403100075	0.7365510745415071	0.8641046700645176	1.0	0.7816182780586908	0.7532143720063619	0.8127830293962492	0.5670186861340756	0.6601003042805819	0.8354227500492225	0.8530042829059563	0.486392005826892	0.38478754953494054	0.5815486430156008	0.6060862255482554	0.7282834479519711	0.6663955226596727
BackhedF_2015__SID546_12M__bin.13	0.899537088295926	0.9243772044983629	0.9128365731880276	0.8180171772930738	0.8927505285523728	0.9471821963525932	0.6872514749379182	0.8711966636614312	0.9271167138541354	0.6205463201682931	0.869021294992856	0.7788594867901449	0.9285265383378412	0.9397687550416779	1.0	0.8309739598985602	0.8744818605043523	0.626472960789586	0.7207387606830847	0.9041250810622716	0.9299722147530698	0.5581913755015316	0.4311769450990937	0.6350194285834796	0.6371668538348386	0.8126678582161555	0.7351338384237803
LiJ_2017__H1M513747__bin.9	0.8942578256917186	0.9250781525692098	0.9103360872164784	0.8200319928186909	0.905272635515498	0.9447129183879566	0.6635935058155702	0.8785346183222038	0.9196916286903272	0.6194713867005929	0.8838983753697577	0.8081504172021841	0.9113226499073878	0.9310961849837569	0.85435244897926	1.0	0.8718552636642998	0.6396411730555636	0.718644788103138	0.9020164365680845	0.9269049197496299	0.572789625263377	0.4134434886591366	0.6840679340564151	0.6481120605120694	0.7858692782751848	0.7583479736707016
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	0.9207526282662608	0.9379171006018899	0.9240050125649741	0.8127888562853011	0.9125961090145105	0.9659844697229819	0.6523010657638404	0.8923057540714182	0.9321754728194336	0.6324779925782232	0.887592146155407	0.8291886388056589	0.9288595795083783	0.9570343459836745	0.8564014760940202	0.8304650150537013	1.0	0.6407062821772541	0.762923954928222	0.9062968411236861	0.9327692562681588	0.5551911388921447	0.43116371745614906	0.6588223570311447	0.6768614982034178	0.816127468267438	0.7482012234004377
LouisS_2016__AS51_24__bin.10	0.8710456861389073	0.9278365065699405	0.9093312915472881	0.8400709920539708	0.9269240540273525	0.9410942373646847	0.643943799133417	0.9233589262275416	0.89402918719038	0.6337932056511368	0.930139161362257	0.812039010345363	0.9195453968074746	0.9124977065191312	0.8385142478088436	0.8327120940538862	0.8756700492569122	1.0	0.7479224591760405	0.8693280453897506	0.9116374747717104	0.5742184522885411	0.3744746164594301	0.6785704204479698	0.688845214740378	0.7937772571380182	0.7564852582106615
VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	0.892425881923767	0.9447275599944788	0.922220387277424	0.7860897353735729	0.9111716916766904	0.9577530662749196	0.6089082187999132	0.8885190927375624	0.907277842959399	0.663831882357581	0.8770686263877112	0.9029335426813637	0.9125834352138505	0.9276054709837714	0.8423739968055528	0.8169428943268985	0.9105037169956421	0.6530937580107665	1.0	0.8967159554749276	0.9135478082542938	0.564405946207087	0.3243904422929032	0.689755338867746	0.8404551101295525	0.8136640259893912	0.7520131672352257
CosteaPI_2017__SID713B029-11-90-0__bin.52	0.8541230618981144	0.8504719099867112	0.8494403058095996	0.7838719357069238	0.8377096523484604	0.8862542237993972	0.6068660852904614	0.8066138221913248	0.882639881612471	0.5678370605897384	0.7978652223586926	0.7492605438893062	0.8616890910886918	0.887696326296308	0.7990249616526541	0.7753479217881885	0.8178538346413987	0.5739940694408463	0.6780467735111632	1.0	0.8569546150075577	0.5049688468584997	0.39238513968125577	0.5898986660901363	0.6271174910491797	0.7303473346963804	0.6722471451495966
VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	0.8185963916960937	0.8606001880503211	0.8449685051059904	0.735814484116464	0.8172072229704174	0.8877729292372297	0.599743109829164	0.8036557583341286	0.8536406471476089	0.5720229195165835	0.8087727949155717	0.7283437255879224	0.8361532044552373	0.8595008713233865	0.7793612121469197	0.7555345825247523	0.7982086616260697	0.5707985599304355	0.6550478432536947	0.8126336588866149	1.0	0.4889723686210468	0.40342007684612746	0.579901945189694	0.5741035796721845	0.7367074580333188	0.6645647978282309
FengQ_2015__SID31137__bin.30	0.8970669308905964	0.9460976510926343	0.90834982647794	0.8367766682263218	0.9363085214719474	0.9437731811043193	0.7089625123959222	0.9025991194203754	0.9082522437766006	0.6645807321705145	0.8975631847991172	0.8264654294514601	0.9193574888050956	0.9251157022243017	0.8830116857369954	0.8813102437649241	0.8968075443938738	0.6786601644894048	0.7639199221340086	0.9038910476628943	0.9229939040003069	1.0	0.397801303271189	0.7213730303098542	0.6904609990300112	0.8024559147210595	0.7875841442289007
XieH_2016__YSZC12003_37283__bin.60	0.9203839733382561	0.877609485610378	0.8669913829101459	0.7724393304158889	0.8133658181200746	0.9391255761426356	0.6739731112047834	0.789934125511976	0.9318401914338487	0.49947136537783804	0.8116886001498539	0.6700401880774383	0.8309800619356418	0.8662431008492705	0.8073242795810806	0.7529375993966358	0.8243432541582468	0.5238497631262791	0.5196769553804738	0.8313295234785837	0.9013244987349295	0.4708421727031048	1.0	0.5122661988752076	0.36203228669272164	0.7385721633150277	0.6124767642625226
LiJ_2017__H1M513606__bin.21	0.8761503451035311	0.8980645582563658	0.9116179298233915	0.828080368555011	0.9175280361886343	0.9254887577384326	0.6139418214353195	0.8928484100785792	0.8927497693752571	0.6606551409867405	0.894562813288431	0.8553892556655885	0.9043886777144254	0.9212479021484223	0.8366641937025552	0.8766247929934536	0.8863513220632857	0.6679608049081391	0.7775568781745634	0.8794471674835784	0.9116957309415047	0.6008149667122359	0.3604685572338368	1.0	0.7433792637791338	0.768103347670968	0.8012098073866605
CosteaPI_2017__SID713B029-11-0-0__bin.8	0.8738402718893312	0.92440311193996	0.9275364908080682	0.8000148423209542	0.9250023019340369	0.9422668072106194	0.5930963967517305	0.8977748887169501	0.903414283535056	0.679086345202151	0.8830397623029785	0.898442793159889	0.9252201267369294	0.9497408778133414	0.8304196116534208	0.8215705649289698	0.9007777101322203	0.6707457853992791	0.9371991166070455	0.9248291415229046	0.8928240126764415	0.5688532520487213	0.2519992468896405	0.7353442387744641	1.0	0.7852838387739144	0.7693015451130971
LoombaR_2017__SID5571_lgi__bin.7	0.8943613525880043	0.9363570375271923	0.9143147427896807	0.7989267583426461	0.8889951443012352	0.9493446229398989	0.6640624171816861	0.8746367152868868	0.9173917482691496	0.6229426884714675	0.8714352905468701	0.7827265895118469	0.9095287857628658	0.926628901980498	0.8599876027086575	0.8088719301779196	0.8818820449616616	0.6275807930137748	0.7367109907957644	0.8745340554485872	0.9302621675620576	0.5368055047990685	0.41742606120423337	0.6169281609884804	0.6376191398109832	1.0	0.729309439627925
LiJ_2014__V1.FI13__bin.43	0.8692869319880555	0.924966349750262	0.9071308021511754	0.8307389387388509	0.9230559430063005	0.9335280959755156	0.6525256297142383	0.894849528774472	0.8925138414490535	0.6304720553438306	0.8884263886295715	0.8112840300734997	0.9129822236377902	0.9272513939074438	0.8507570238413392	0.8536070749116185	0.8841601593246275	0.6540809241218902	0.7446248073424052	0.8803112785386457	0.9177146141539723	0.5761728164557348	0.3785613435205422	0.7037545502581581	0.6831110525358803	0.7975755956063696	1.0
