	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	2227488.0	1894504.0	1816157.0	1628691.0	1788716.0	1937621.0	1343713.0	1737746.0	1907528.0	1237769.0	1748436.0	1571250.0	1838874.0	1913866.0	1706143.0	1649717.0	1783252.0	1234324.0	1448243.0	1833095.0	1852667.0	1075568.0	932337.0	1261278.0	1271698.0	1602988.0	1424690.0
VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	1894504.0	2250711.0	1905561.0	1665426.0	1853377.0	1985153.0	1356118.0	1837472.0	1938838.0	1301560.0	1839682.0	1615751.0	1893232.0	1915148.0	1753257.0	1706574.0	1816495.0	1314800.0	1533119.0	1825259.0	1947731.0	1134355.0	889007.0	1292825.0	1345282.0	1678258.0	1515944.0
BackhedF_2015__SID590_12M__bin.7	1816157.0	1905561.0	2146324.0	1647856.0	1853538.0	1942679.0	1308679.0	1797051.0	1919224.0	1275425.0	1807520.0	1648064.0	1904998.0	1914024.0	1731368.0	1679378.0	1789551.0	1288577.0	1496594.0	1823045.0	1912353.0	1089096.0	878251.0	1312336.0	1349842.0	1638751.0	1486713.0
LouisS_2016__AS51_3__bin.10	1628691.0	1665426.0	1647856.0	1922138.0	1705751.0	1703380.0	1192086.0	1673427.0	1686677.0	1108969.0	1669927.0	1447178.0	1703238.0	1719405.0	1551525.0	1512786.0	1574155.0	1190431.0	1275679.0	1682324.0	1665313.0	1003281.0	782471.0	1192078.0	1164260.0	1431938.0	1361513.0
LouisS_2016__AS51_6__bin.8	1788716.0	1853377.0	1853538.0	1705751.0	2007269.0	1913746.0	1300518.0	1858977.0	1835047.0	1254165.0	1842693.0	1633258.0	1885123.0	1898502.0	1693271.0	1670037.0	1767455.0	1313507.0	1478664.0	1797869.0	1849523.0	1122618.0	823929.0	1320844.0	1346154.0	1593370.0	1512813.0
Obregon-TitoAJ_2015__NO01__bin.16	1937621.0	1985153.0	1942679.0	1703380.0	1913746.0	2335657.0	1379767.0	1875959.0	1986359.0	1320104.0	1862385.0	1702850.0	1951908.0	2018527.0	1796511.0	1742796.0	1870854.0	1333587.0	1554257.0	1902054.0	2009229.0	1131568.0	951322.0	1332304.0	1371279.0	1701536.0	1529976.0
LeChatelierE_2013__MH0088__bin.22	1343713.0	1356118.0	1308679.0	1192086.0	1300518.0	1379767.0	1448336.0	1267566.0	1344428.0	914501.0	1276914.0	1101763.0	1321498.0	1349974.0	1303503.0	1224190.0	1263333.0	912507.0	988146.0	1302439.0	1357353.0	850034.0	682726.0	883811.0	863132.0	1190217.0	1069436.0
LouisS_2016__AS51_12__bin.20	1737746.0	1837472.0	1797051.0	1673427.0	1858977.0	1875959.0	1267566.0	2026189.0	1796160.0	1219070.0	1815166.0	1572063.0	1820298.0	1827749.0	1652390.0	1620711.0	1728158.0	1308455.0	1441903.0	1731132.0	1818853.0	1082201.0	800193.0	1285316.0	1306530.0	1567635.0	1466585.0
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	1907528.0	1938838.0	1919224.0	1686677.0	1835047.0	1986359.0	1344428.0	1796160.0	2161780.0	1263525.0	1785376.0	1616388.0	1893101.0	1967111.0	1758453.0	1696637.0	1805375.0	1266893.0	1472345.0	1894297.0	1931980.0	1088979.0	943942.0	1285174.0	1314737.0	1644266.0	1462757.0
XieH_2016__YSZC12003_35704__bin.28	1237769.0	1301560.0	1275425.0	1108969.0	1254165.0	1320104.0	914501.0	1219070.0	1263525.0	1397147.0	1253267.0	1139221.0	1266824.0	1273587.0	1176984.0	1142794.0	1224941.0	898123.0	1077277.0	1218676.0	1294616.0	796821.0	505958.0	951058.0	988273.0	1116517.0	1033292.0
