	VincentC_2016__MM081__bin.1	LiJ_2014__O2.UC36-0__bin.56	XieH_2016__YSZC12003_37127__bin.43	BackhedF_2015__SID521_12M__bin.15	LiJ_2014__MH0301__bin.14	BackhedF_2015__SID521_4M__bin.14	XieH_2016__YSZC12003_37176__bin.70	XieH_2016__YSZC12003_36389__bin.16	LiJ_2014__V1.FI04__bin.68	VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	CosteaPI_2017__SID713B041-11-0-0__bin.68	LiuW_2016__SRR3993027__bin.4	LeChatelierE_2013__MH0199__bin.45	NielsenHB_2014__V1_CD41_0__bin.62	LeChatelierE_2013__MH0251__bin.15	XieH_2016__YSZC12003_36212__bin.11	LiJ_2014__O2.UC36-1__bin.41	KarlssonFH_2013__S356__bin.18	VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	LiJ_2014__V1.FI21__bin.37	CosteaPI_2017__SID713B003-11-90-0__bin.6	XieH_2016__YSZC12003_35506__bin.40	LeChatelierE_2013__MH0191__bin.37	RaymondF_2016__P12E90__bin.8	VatanenT_2016__G80376__bin.4	RaymondF_2016__P12E0__bin.13	NielsenHB_2014__O2_UC51_2__bin.35	QinN_2014__LD-62__bin.3	ZeeviD_2015__PNP_Main_240__bin.26	VatanenT_2016__G80540__bin.10	BackhedF_2015__SID507_M__bin.62
VincentC_2016__MM081__bin.1	1.0	0.5870133968845661	0.9741743011370573	0.41562200003487776	0.6127527520459842	0.5294374601511057	0.5346440278868889	0.33181033819084	0.5178912230989392	0.9632439541332048	0.6461209773086201	0.8522157367563437	0.9990850970345829	0.5179018565597181	0.949550608680562	1.0115781374345032	0.7888483919442603	0.45716820731335406	0.9043792419533412	0.9881330577707418	0.979137575290219	0.9300356561206838	0.8749568813165415	0.8380736592588307	0.3989312946578769	0.984934512768447	0.6739036582933126	0.9757335918256759	0.6943530793864409	0.9477518524552023	0.9328701114259088
LiJ_2014__O2.UC36-0__bin.56	0.977590161402972	1.0	0.9793886435661938	0.43064899776588705	0.643628528077997	0.5424297288605741	0.5380365873181152	0.3514853238472076	0.551721060304049	0.9832066108209268	0.7871770134287613	0.9054808726215622	0.9854945578028909	0.36793870852122124	0.9731665611236017	0.9861568582450384	0.8107634092818397	0.458229738210698	0.9543310198860135	0.9947072632045708	0.9945216774122257	0.9511257690831071	0.9045409018336159	0.7818488594973882	0.4085621634486657	0.9758433882582277	0.67035217383297	0.9966814143620737	0.7525744716117488	0.9337961644658458	0.9734095226761754
XieH_2016__YSZC12003_37127__bin.43	0.9589036679771071	0.5788746959401467	1.0	0.41624904228996323	0.6045438369527447	0.5230030437385651	0.5184818150227547	0.32757241962562433	0.5065111722370851	0.960155913100636	0.6283084433391529	0.8360840021603426	0.9791635789676408	0.4948042922156491	0.9376519252588434	0.9850869370444336	0.7862449811807362	0.45417603443150756	0.8868227472357244	0.9996056118668123	0.9825644439420391	0.9163972518431993	0.8741897668420898	0.8280484486144081	0.3956156767189587	0.9597929252965238	0.6705879397616087	0.9793657970868869	0.6819121544393785	0.9404725121519273	0.9199546997919206
BackhedF_2015__SID521_12M__bin.15	0.9538747782863647	0.5934818875700771	0.9705273392313797	1.0	0.7155359149244392	0.6266122742230382	0.5803289122389831	0.35213640672115676	0.5811118041950123	0.977463059116152	0.5379141298331621	0.9215389976835379	0.9632616723626449	0.5999754004023792	0.9671605133506507	0.9662350999163418	0.8626795795030686	0.5568431297326161	0.9300112162451056	0.9843236135637495	0.9689859596820405	0.9293854883849877	0.9137159351702986	0.8169262802772725	0.4493838874587932	0.9646644351317397	0.775889856277827	0.9726309952977674	0.7287943171024798	0.9336191572294995	0.9169929529962212
LiJ_2014__MH0301__bin.14	0.9574860925567764	0.6039120291906764	0.9597026432450037	0.4871759083870024	1.0	0.5835416957443557	0.5667318006898889	0.35447530556497114	0.567304714241089	0.9740327929867938	0.5637456051150147	0.8980286988481913	0.9641523604437089	0.5518785848636506	0.9462298699313434	0.9699359958526907	0.8310915265952851	0.5203696688134309	0.9346526296200294	0.9724695764294592	0.9697498986434842	0.9405665330754558	0.9193374939352249	0.8135153098186216	0.4302540891538559	0.964843578649333	0.7586585049747772	0.9731734226599937	0.732982407167401	0.9216836480370068	0.9380841292312191
BackhedF_2015__SID521_4M__bin.14	0.9568469368066718	0.5886572253726513	0.9602707703471725	0.49343944603695494	0.6749203040093599	1.0	0.5503101359770801	0.34695256522310647	0.553857731798681	0.9667602186518213	0.5805511803154939	0.872667830493335	0.9661590875721915	0.5222383907521133	0.948378060714239	0.966362026964803	0.8271279233073586	0.5220369887791427	0.9060375238011777	0.9766881059835604	0.9602730764766338	0.9350440201678709	0.9028566025639547	0.8383895221776626	0.4278308315672225	0.9618381696711691	0.7623256854393292	0.9646977702034237	0.7287599711272592	0.9388352970025697	0.9344505761864459
XieH_2016__YSZC12003_37176__bin.70	0.98216608884607	0.5935034055863023	0.9676436093198282	0.4645169708917502	0.6662705138032315	0.5593709686367263	1.0	0.37261732024075467	0.5775369605933386	0.979185175287875	0.5558368475295924	0.9129510731679492	0.9830615349634204	0.5723322777070641	0.96896724433099	0.9863174895628957	0.842896088400691	0.5141189036801584	0.9439017853445318	0.9811456240735922	0.9772825476301542	0.9577069703369799	0.9174994081148047	0.8183557077657682	0.4458845030781937	0.9775529004718673	0.7211669866362872	0.9820645111887789	0.762355945301213	0.9324117895717252	0.9469584914623979
XieH_2016__YSZC12003_36389__bin.16	0.9778007570629967	0.6219548269033115	0.9806848662605601	0.45214584743425834	0.6684966533804617	0.5657215913363917	0.5977275575944448	1.0	0.6129929056679452	0.9814218746083075	0.5368378832318066	0.9504562432628914	0.9792196234739666	0.6103644932440901	0.9761161665538592	0.9847434258354014	0.8268243463437869	0.5601326113659723	0.9506831114787797	0.9847033165375649	0.9863177157754881	0.9616116417236971	0.9271715424531849	0.7734351106765938	0.4936038204106189	0.9805219222380988	0.7319119600912487	0.9868140683362162	0.7920220099771879	0.9159396856433781	0.970626206412474
LiJ_2014__V1.FI04__bin.68	0.990311587543005	0.6334962708721361	0.9839749168367886	0.48417255654691704	0.6942285951313938	0.5860082471879041	0.6011638782929785	0.3977665899423347	1.0	0.9890598693788583	0.5741775178729738	0.938448650275313	0.9920244650307847	0.5685826060788444	0.9738074517490707	0.9927418239786582	0.8418223519938837	0.5302762889281096	0.9542663337427105	0.9960984457222797	0.9942839017169443	0.9598392855690479	0.9429057104049581	0.8042756870623256	0.4581987946417679	0.9887394165155223	0.7483403957674195	0.99624484550756	0.7849460354124814	0.938155037372612	0.9723288139177396
VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	0.9316645822705655	0.5710304596093403	0.9434670637989765	0.41193700735572414	0.6029060869851405	0.5173855090588951	0.5155465780249798	0.3221206536227353	0.5002793365038095	1.0	0.6104658625285918	0.8319562605933946	0.9453504253813622	0.4813177771561158	0.927825453767546	0.9575684148167651	0.7719470453685268	0.4486214188155145	0.8889729960999851	0.9636220770458621	0.957479142325857	0.8996910431305436	0.8564358472247364	0.8113450114367523	0.38920543369152033	0.9412290806167619	0.6660019911468018	0.9640968256841481	0.674045154601853	0.9113388405272425	0.9096344353206405
CosteaPI_2017__SID713B041-11-0-0__bin.68	0.9962558631255313	0.7288206067220013	0.9842187483604236	0.3613908592954806	0.5562794467937753	0.4953016296078657	0.4665349321608831	0.2808922444097	0.46298820029591076	0.9731843985771099	1.0	0.8179630688674593	0.9969326803009475	0.3001002109151198	0.9359168249404506	1.0245319992864563	0.7478567456111817	0.3952966452953337	0.9057361567277726	0.9939453719346478	1.0140492030346593	0.9375741088573857	0.863746602797511	0.7973450665799222	0.32411935067524317	1.0027243202971698	0.5960870523300349	1.0169368251503164	0.6732763460267159	0.9450381168742589	0.9627862044722401
