	HMP_2012__SRS016541__bin.12	CM_cf__CF_TNFC048IS_t3M15__bin.10	HMP_2012__SRS045197__bin.65	HMP_2012__SRS014476__bin.16	HMP_2012__SRS013950__bin.23	CM_periimplantitis__SP_133SPT_T016__bin.2	HMP_2012__SRS011255__bin.46	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	HMP_2012__SRS047113__bin.78	HMP_2012__SRS016746__bin.2	CM_periimplantitis__SP_162SPI_T016__bin.5	CM_periimplantitis__SP_143SPI_T016__bin.33	HMP_2012__SRS023938__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.8	HMP_2012__SRS049318__bin.2	CM_periimplantitis__SP_502SPI_T016__bin.1	HMP_2012__SRS013170__bin.41	ZellerG_2014__CCIS14449628ST-4-0__bin.17	CM_periimplantitis__SP_287SPT_T016__bin.36	HMP_2012__SRS023964__bin.23	CM_periimplantitis__SP_163SPI_T016__bin.16	CM_periimplantitis__SP_201SPI_T016__bin.3	GeversD_2014__SKSTL0001__bin.9	CM_periimplantitis__SP_163SPT_T016__bin.32	HMP_2012__SRS017691__bin.60	CM_periimplantitis__SP_403SPT_T016__bin.4	CM_periimplantitis__SP_503SPT_T016__bin.9	HMP_2012__SRS019980__bin.24	CM_periimplantitis__SP_281SPI_T016__bin.25	HMP_2012__SRS014691__bin.17	HMP_2012__SRS017227__bin.83	CM_periimplantitis__SP_387SPT_T016__bin.3	HMP_2012__SRS024649__bin.3	HMP_2012__SRS022536__bin.41
HMP_2012__SRS016541__bin.12	1.0	0.6203773619982618	0.39581335469208234	0.42437593050763694	0.6441298814372538	0.3712000817994643	0.660904658696383	0.6472385709261775	0.5181915501773097	0.5875640026584825	0.59296586576522	0.6385191818194493	0.634030126370877	0.5830904395326895	0.5876839132367955	0.6452536945316748	0.6439418046387112	0.4764639083102369	0.615392552220747	0.6355551906252856	0.571615585896409	0.6720145132079798	0.5437070959486027	0.4000381111140375	0.4985500735110716	0.6383320345602738	0.6081898615141267	0.5773613785688503	0.6655235398098472	0.602289145613891	0.678042885847918	0.3452340192817449	0.6427495154776051	0.5873598138442495
CM_cf__CF_TNFC048IS_t3M15__bin.10	0.7593962633411465	1.0	0.4953306935499776	0.5526439554271063	0.8506167080081015	0.5328159964802889	0.8320415083175933	0.8633130798231042	0.648351273240334	0.7898808304697752	0.8006205008002792	0.8392481927345273	0.8264680002123963	0.7761152705398661	0.7792037412102042	0.8703555363387419	0.8599477353237908	0.6341169241972555	0.8144778463008898	0.8589688156627145	0.7720471216500163	0.8410607681162718	0.7170630134492411	0.5385347685258934	0.6659998938018191	0.8481722534495445	0.8182763276669017	0.7692799004771333	0.8718775838396711	0.7939728739503449	0.8441556865333121	0.46877773479279977	0.8857133104248687	0.7805107373946552
HMP_2012__SRS045197__bin.65	0.8607167642520737	0.8799389557799983	1.0	0.614698450986073	0.9217582891447745	0.5140051341827419	0.9297728696847397	0.9066434438103452	0.7599385515136405	0.8413173693040554	0.8687879420821064	0.8998436836750507	0.8888698733972524	0.8346759468254984	0.8609768422754807	0.9168632973311683	0.9124318642743082	0.6843225506512057	0.8817770201526779	0.9074681471799053	0.8467641846958233	0.9384888523551884	0.77546574853285	0.5855643221463849	0.6991032024633296	0.9105136204073657	0.8680690217427923	0.8497469966378515	0.9351792584407447	0.8833415309566964	0.9405182694704785	0.5177971526172879	0.9240356562927428	0.8421528531098189
HMP_2012__SRS014476__bin.16	0.747903670406095	0.7956605595163208	0.49818106958132385	1.0	0.850121444048368	0.4854398196686936	0.8278607062976165	0.8305276700216677	0.6576970626266861	0.7916896012441462	0.8029035175089116	0.8288059385265953	0.8578591336408751	0.8104129534493605	0.791759497099322	0.8423537210805899	0.8431236676102607	0.6437992547354442	0.8034697831481094	0.8338193279513524	0.7815082870273293	0.8373130285874048	0.7475263420004193	0.5567559804641085	0.6554849680226462	0.8197287603970085	0.808573272698679	0.7798313325644789	0.8632340156916195	0.8354247483749213	0.8318518688404278	0.48531914010624166	0.8500062250996016	0.7836843415810443
HMP_2012__SRS013950__bin.23	0.7546961855472493	0.8141793873176851	0.49664485568740885	0.5651773630497035	1.0	0.48766053287329886	0.8482993389908284	0.8403783377187632	0.6498876778132098	0.7785034793013517	0.802006552006552	0.8422207265292371	0.8488108514704259	0.7867588333013864	0.7846837408007621	0.8576165624037965	0.8697443817124668	0.6363316895231789	0.8069216460173907	0.8551279761386145	0.7703167384018448	0.8487324364983939	0.7233871928020864	0.5289986553284426	0.6737113080198186	0.8430364600577367	0.8240887163759504	0.7759764116147094	0.9326114073454499	0.8094559743495914	0.8452139276607362	0.4641872288148884	0.8664248145631124	0.782827193731449
CM_periimplantitis__SP_133SPT_T016__bin.2	0.7359923378991394	0.8630381040846518	0.4686653740864702	0.5461421641625998	0.825247334974861	1.0	0.795750826907293	0.83540244459844	0.6314690444244578	0.7891582992986647	0.7586278499427431	0.7984514840098492	0.8021049889663783	0.7438528719362655	0.74249148518939	0.8520806609360639	0.824135986317326	0.6431004231602849	0.7791143859752592	0.8235210277732726	0.7487860558610894	0.811728076512884	0.7028711990524356	0.5359409787240317	0.6778225429918071	0.8064803483577351	0.7821400311595378	0.7301130639065411	0.8695913136644894	0.7556194063960604	0.8130354009701724	0.46947323670927754	0.8508341565545612	0.7505787122362619
HMP_2012__SRS011255__bin.46	0.814167382034862	0.8373506553586962	0.5267225805318828	0.5786783507381875	0.8919187759054577	0.49440944049364416	1.0	0.8766992777866629	0.6961341108294594	0.7989032250923044	0.8192096304272399	0.8719341431212243	0.8619053744413353	0.7996391414360217	0.8098534159992334	0.887041421631589	0.8851386503798099	0.6482587066575619	0.8416470632242984	0.8700050346144054	0.7904184302766977	0.9073917223915907	0.7386496927511095	0.5451811793212087	0.6796622571485608	0.8699031208883823	0.8384007102661475	0.7957835963178228	0.9008982530765922	0.8271898187042604	0.896467487040353	0.4752233227462657	0.8934963393123992	0.8014193871969642
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	0.7059428061221559	0.7692383600938554	0.4547490844106315	0.5140014119525262	0.7823142976583825	0.4595530349037503	0.7762129594802069	1.0	0.5948132204447212	0.7089782674889651	0.7410871764092405	0.781176422082559	0.7782656640384343	0.721240084987511	0.7273437888113745	0.8481853638853094	0.7920580542969757	0.583784580248278	0.7686787159140026	0.7844011351043909	0.7147271244596612	0.7907457968390241	0.6696798233741339	0.48878971200967347	0.6008300712769046	0.7908532647431264	0.7615398731270422	0.716124207212989	0.8110775076773651	0.735288640879101	0.7864126098377742	0.43121868265302427	0.7947484693427527	0.7187068164052797
HMP_2012__SRS047113__bin.78	0.7742876071963143	0.7914251282096392	0.5221804875045082	0.557625932954588	0.828803498617322	0.47588149480147357	0.8443645862221109	0.8148683828571085	1.0	0.7718745760875654	0.7739848208676264	0.8201754771778277	0.8130873140398872	0.7608057449770572	0.7687305058152105	0.8252283976538226	0.8348814480408937	0.6112260577729278	0.7884009687310614	0.8320670167074163	0.7551333625625539	0.8580983074059036	0.7065037484854896	0.520947582315982	0.6364003798255414	0.8173892873826529	0.7856985775987192	0.7607427802359233	0.849734645283964	0.792293208280419	0.8721135180206478	0.45599389612391833	0.8426325928648911	0.7581996528605669
HMP_2012__SRS016746__bin.2	0.7230615478943098	0.7940889374241213	0.4761130904809258	0.5528153654682667	0.8176772891716948	0.48980022938998125	0.7980670386119465	0.7999224436133804	0.6357038489930634	1.0	0.7515038465527445	0.807634614094062	0.803881861109247	0.7459647038367915	0.7429417587378672	0.821703052839006	0.8277988933153563	0.6085640705740241	0.7623114091011696	0.8241376522911545	0.7341878771055377	0.8059092323366664	0.693723194621537	0.5109974498666976	0.6408513967775589	0.7911182304027137	0.7620746219030827	0.7295241988127847	0.8316191363711237	0.7712307748622745	0.8009630108655201	0.4602529238071416	0.8586189777503921	0.7520818971039515
