	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
CosteaPI_2017__SID713B044-11-0-0__bin.24	1.0	0.45272220647011774	0.9571521589784567	0.6198612494868114	0.8285066519331569	0.8010415814465363	0.5430206160803709	0.5876869846400171	0.7989746313914163	0.8027386994838416	0.657210547609148	0.42943959989405617	0.6757794770126987	0.4911705407504452	0.5258962729524661	0.7851044364525862	0.8273519541886465	0.8453736069193704	0.456550528206042	0.8242584401083197	0.5949166402367523	0.7569213688566325	0.8556773510763046	0.5244561694891574	0.824306630340944	0.7106333429340231	0.7460314969866162	0.708307136898738	0.5135121303034005	0.7158132325895974	0.46181932697296973
LiSS_2016__FAT_012-22-42-0__bin.61	0.9341516394643086	1.0	0.9319810007446154	0.7297770624536543	0.9216195924810802	0.9246489284783791	0.6606897019534207	0.7399750561544853	0.9312386978017657	0.913818088758774	0.687776436545046	0.5622516985093817	0.7704295182199529	0.6185079325437018	0.6546202384310968	0.9123990028628381	0.94975541773233	0.9228313268799997	0.5256144618804699	0.9332212556096674	0.7032684454187652	0.9170455263721813	0.9544235242971246	0.6246621866410137	0.9208348942507365	0.8815637540333334	0.8468820963930089	0.8477037941469837	0.6017710438644769	0.7755578063599098	0.567361486887523
CosteaPI_2017__SID713B044-11-90-0__bin.37	1.0109543411948017	0.4770589351684344	1.0	0.6438132612908075	0.866812603548965	0.8371467498201765	0.5694619971599126	0.6155098446237792	0.8353005746067458	0.8408177936726576	0.6826922356080996	0.45445147605239683	0.7110358980267351	0.5145269407823222	0.5531095958892516	0.8200284955704026	0.8686493091737824	0.8891217706236789	0.4772155779467485	0.8605271641067871	0.626707633159185	0.7937298697260803	0.8874448643067137	0.5491730089894016	0.8601365435764822	0.7440981775382147	0.7797038307247905	0.73978162339525	0.5409691887206152	0.7487426161869202	0.48187579924314317
ZellerG_2014__CCIS87116798ST-4-0__bin.33	0.9360335173470435	0.534074126724635	0.9204628661235384	1.0	0.9024603231014489	0.8765122463324183	0.638625165990295	0.6866029895740606	0.8648012572953934	0.880330728258797	0.7249829919884649	0.508387798458166	0.7735446726846258	0.569238120059074	0.6047434018505168	0.8451819659794639	0.8871734207934363	0.908794749686071	0.5469054444816759	0.894391248574204	0.6971992910225905	0.8187194180157433	0.9020276483138093	0.6185844821497676	0.8954608071105334	0.7742024286199424	0.7990341254610215	0.8054926569390994	0.5984947204650097	0.7479356279199907	0.5502472507945534
HeQ_2017__SZAXPI029579-97__bin.42	0.9072123030806789	0.4890790360688784	0.898643817371442	0.6544012736352272	1.0	0.855198441007651	0.5881330543029367	0.6420228449319659	0.8513328664646477	0.9315674679791349	0.6644562670576146	0.4610791866013051	0.7179676813424875	0.5238487541805472	0.5575999240792978	0.8537450667905833	0.8802800884868873	0.8872978447683436	0.4927441734133555	0.8780425548625247	0.6427358286810086	0.8152288092885053	0.8996496848636373	0.5554376566682592	0.9579994076876256	0.7653387634088396	0.7866260120033248	0.7513797442257724	0.5529002853571218	0.7678475008344732	0.4929789712744861
XieH_2016__YSZC12003_35980__bin.62	0.9267459188277618	0.5184380991236911	0.9169732335953559	0.6715319760255442	0.9035653964308004	1.0	0.5919890949763937	0.6755656073396272	0.8940835752157926	0.8769264879012669	0.6643373054495728	0.48149664015323734	0.7320870119924142	0.5435591556040377	0.5671939099211858	0.8496189811029149	0.9282291956594272	0.9069269719543124	0.4872404481639695	0.9092396218162708	0.6516806148856684	0.8523988285916303	0.9472749542310558	0.5613260633175958	0.8944388355758243	0.798429507182137	0.8020076100053765	0.7891382818537157	0.5625487294471941	0.8056086189102236	0.5162598604198468
LiJ_2014__MH0369__bin.54	0.9602276367984198	0.566199964989117	0.9533932481842234	0.7478370870945261	0.949774576153625	0.9048278686629476	1.0	0.7148185214177425	0.9028183760895486	0.9253858628696373	0.8231758834467884	0.5450857601490274	0.8736239236630632	0.5904928937816047	0.6374068165528813	0.8795982336018602	0.9402701122660299	0.9581765275149209	0.6448020398793776	0.9407325201560297	0.7921304782949039	0.853957055518673	0.9480775391973258	0.6981665527161509	0.9483457357735259	0.7905648972959047	0.8516232168395741	0.8491242324854755	0.7184920218124408	0.7943322004340028	0.6445463943744777
VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	0.9261286570088352	0.5651409114028972	0.9183530979786372	0.7165294209068817	0.923980488103536	0.9202104487312321	0.637034808695816	1.0	0.9127704491080006	0.8993857496750371	0.6872168349565775	0.5312176214607314	0.7633293615658497	0.5839157545730271	0.6238938313584388	0.8835938530226249	0.9492222086166946	0.9233959082945576	0.526867711885161	0.9212135947478478	0.6846771800764839	0.9070341493510163	0.9612440658968032	0.6077799154154815	0.910486290337773	0.8611160823615845	0.8336920483017162	0.8411944502006292	0.5920215747037658	0.8016225769078613	0.5564051815082041
XieH_2016__YSZC12003_37282__bin.25	0.926131386355596	0.5231365267474886	0.9167097161677471	0.6638332661429134	0.9012101636949159	0.8958021648450197	0.5918097548365194	0.6713916471121615	1.0	0.8762006047570816	0.6486710370029407	0.4882263764329205	0.7314287050464696	0.5529980856143073	0.5863484944077507	0.8769120582049463	0.9395927091393839	0.9157237274271584	0.48691042571590276	0.9082173089738832	0.6394082855097761	0.8830999278154048	0.951651043991899	0.5557165912416313	0.896466419007542	0.8344915922484051	0.811143101737843	0.7948675756931475	0.5543655658263317	0.8022029508646779	0.5156807717472873
HeQ_2017__SZAXPI029580-98__bin.5	0.915228133659415	0.5049278540026356	0.9076250980672761	0.664666988659547	0.9699660714909378	0.8641969472008341	0.5966506777609398	0.6506926680176738	0.861825018165339	1.0	0.6659259978584917	0.46622652454684615	0.7270045547511412	0.533349262610749	0.5666022680905908	0.8624063941993579	0.8889435481741386	0.8963417179257185	0.49738274305564434	0.8880248462654363	0.6551204960394024	0.8202726036020611	0.90508706159349	0.5637848303872688	0.9550129947126724	0.7765641996730664	0.7969183236948428	0.7640490689891042	0.5537651445262488	0.7676063236675841	0.4966769994011614
