	BritoIL_2016__M2.39.ST__bin.9	CosteaPI_2017__SID713B016-11-0-0__bin.25	LiuW_2016__SRR3992998__bin.92	VatanenT_2016__G80433__bin.12	Obregon-TitoAJ_2015__HCO12__bin.12	CM_madagascar__A39_01_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.6	BritoIL_2016__M1.48.ST__bin.83	LiJ_2014__MH0283__bin.10	Obregon-TitoAJ_2015__HCO53__bin.12	BritoIL_2016__W1.9.ST__bin.93	CM_madagascar__A40_02_1FE__bin.5	CosteaPI_2017__SID713A087-11-0-0__bin.38	BritoIL_2016__M1.44.ST__bin.58	RampelliS_2015__H17__bin.51	BritoIL_2016__W3.22.ST__bin.79	BritoIL_2016__M1.15.ST__bin.46	CosteaPI_2017__SID713A084-11-0-0__bin.43	ZeeviD_2015__PNP_Main_623__bin.11	Obregon-TitoAJ_2015__SM33__bin.19	LiuW_2016__SRR3992978__bin.12	BritoIL_2016__W3.18.ST__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.47	CM_madagascar__A68_01_1FE__bin.1	BritoIL_2016__M1.61.ST__bin.83	BritoIL_2016__M1.3.ST__bin.24	Obregon-TitoAJ_2015__HCO61__bin.16	ZeeviD_2015__PNP_Main_683__bin.41	BritoIL_2016__W1.41.ST__bin.57	BritoIL_2016__W2.61.ST__bin.57	BritoIL_2016__M1.16.ST__bin.55	CosteaPI_2017__SID713B016-11-90-0__bin.6	XieH_2016__YSZC12003_36244__bin.125
BritoIL_2016__M2.39.ST__bin.9	2815227.0	2398055.0	2321178.0	2181426.0	1607133.0	2145607.0	2268453.0	1351017.0	1462965.0	1748594.0	2397395.0	1235348.0	2282839.0	2064113.0	1502452.0	2380569.0	1180730.0	2323258.0	2275292.0	1950559.0	2247537.0	2409578.0	2286299.0	2304366.0	2380902.0	2325839.0	1960065.0	2316848.0	2300382.0	2415951.0	2365648.0	2328670.0	2321914.0
CosteaPI_2017__SID713B016-11-0-0__bin.25	2398055.0	3595436.0	2991536.0	2754158.0	2074808.0	2680047.0	2846156.0	1645200.0	1773172.0	2182799.0	2987475.0	1478180.0	2877655.0	2530559.0	1789934.0	3018521.0	1447863.0	3044759.0	2899625.0	2404059.0	2863879.0	3114293.0	2993201.0	2912011.0	3042872.0	2904801.0	2408724.0	2940090.0	2982689.0	3055622.0	2998516.0	3455631.0	2998957.0
LiuW_2016__SRR3992998__bin.92	2321178.0	2991536.0	3447476.0	2773546.0	2027855.0	2629853.0	2819491.0	1602755.0	1730339.0	2104436.0	2942439.0	1447835.0	2796844.0	2475494.0	1771975.0	2974227.0	1425489.0	2871376.0	2866790.0	2387447.0	3098925.0	3029447.0	2796849.0	2875707.0	2984079.0	2841064.0	2385784.0	2922785.0	2892695.0	3000939.0	2920385.0	2918894.0	2964326.0
VatanenT_2016__G80433__bin.12	2181426.0	2754158.0	2773546.0	3179720.0	1863442.0	2506676.0	2591473.0	1497397.0	1643257.0	1985106.0	2727465.0	1377307.0	2619803.0	2313422.0	1642451.0	2765907.0	1330681.0	2696834.0	2642409.0	2213880.0	2662191.0	2776797.0	2647376.0	2654830.0	2794586.0	2675486.0	2240173.0	2684061.0	2659652.0	2796358.0	2716691.0	2686754.0	2731402.0
Obregon-TitoAJ_2015__HCO12__bin.12	1607133.0	2074808.0	2027855.0	1863442.0	2349689.0	1848877.0	2004063.0	1087645.0	1110516.0	1476328.0	2026504.0	971537.0	1972726.0	1706528.0	1138356.0	2057220.0	939461.0	2018207.0	1973232.0	1665150.0	1990208.0	2087759.0	1961592.0	1961042.0	2068635.0	1964668.0	1637649.0	2010329.0	2006627.0	2068036.0	1989997.0	2020445.0	2034420.0
CM_madagascar__A39_01_1FE__bin.15	2145607.0	2680047.0	2629853.0	2506676.0	1848877.0	3179925.0	2596135.0	1478000.0	1642272.0	2000738.0	2659872.0	1389826.0	2569866.0	2297462.0	1643585.0	2664050.0	1304760.0	2647211.0	2549178.0	2376174.0	2544149.0	2716769.0	2586484.0	2637620.0	2733390.0	2613237.0	2198382.0	2634355.0	2569006.0	2690266.0	2600898.0	2588826.0	2617263.0
Obregon-TitoAJ_2015__SM23__bin.6	2268453.0	2846156.0	2819491.0	2591473.0	2004063.0	2596135.0	3463342.0	1540127.0	1666169.0	2076347.0	2801114.0	1418955.0	2680497.0	2384353.0	1720990.0	2856718.0	1358955.0	2806324.0	2715470.0	2380583.0	2714865.0	2890382.0	2713174.0	2755433.0	2874133.0	2722391.0	2286542.0	2781690.0	2743324.0	2855339.0	2789176.0	2772008.0	2786498.0
BritoIL_2016__M1.48.ST__bin.83	1351017.0	1645200.0	1602755.0	1497397.0	1087645.0	1478000.0	1540127.0	1851713.0	1020601.0	1243449.0	1595088.0	897827.0	1563893.0	1580923.0	1071747.0	1623050.0	839546.0	1583436.0	1542450.0	1341126.0	1553787.0	1623079.0	1542016.0	1577600.0	1632956.0	1715182.0	1351575.0	1594967.0	1570152.0	1619130.0	1588276.0	1583669.0	1583175.0
LiJ_2014__MH0283__bin.10	1462965.0	1773172.0	1730339.0	1643257.0	1110516.0	1642272.0	1666169.0	1020601.0	1997929.0	1345632.0	1752608.0	994432.0	1680070.0	1527179.0	1249013.0	1752644.0	919875.0	1736573.0	1693840.0	1473797.0	1636733.0	1766496.0	1706713.0	1741858.0	1797678.0	1733383.0	1521082.0	1739478.0	1709016.0	1756524.0	1751848.0	1702344.0	1769149.0
Obregon-TitoAJ_2015__HCO53__bin.12	1748594.0	2182799.0	2104436.0	1985106.0	1476328.0	2000738.0	2076347.0	1243449.0	1345632.0	2497905.0	2105990.0	1166319.0	2055075.0	1882954.0	1362354.0	2185032.0	1078855.0	2130698.0	2035779.0	1772805.0	2028865.0	2178236.0	2078348.0	2105868.0	2184656.0	2097113.0	1850707.0	2076487.0	2066326.0	2151289.0	2095369.0	2118449.0	2099651.0
