	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
XieH_2016__YSZC12003_35980__bin.22	1938496.0	1545218.0	1667091.0	1326956.0	1386591.0	1193984.0	1636377.0	1436290.0	1657248.0	835254.0	1655458.0	1573912.0	1652839.0	1691181.0	1772440.0	1678837.0	1694877.0	1135579.0	990237.0	1380142.0	1575275.0	1650475.0	1608868.0	1049850.0	1310354.0	975215.0	1104863.0	1623874.0
NielsenHB_2014__MH0143__bin.55	1545218.0	1928435.0	1783491.0	1485521.0	1525043.0	1291120.0	1809799.0	1560636.0	1808184.0	866606.0	1796809.0	1802984.0	1823979.0	1681576.0	1699300.0	1810933.0	1845552.0	1242087.0	1059190.0	1504232.0	1746503.0	1798684.0	1782787.0	1128391.0	1398522.0	1035412.0	1030985.0	1769416.0
ZeeviD_2015__PNP_Validation_18__bin.33	1667091.0	1783491.0	2121160.0	1586501.0	1651454.0	1415142.0	1900566.0	1667248.0	1974736.0	984502.0	1947412.0	1820140.0	1939723.0	1791977.0	1811006.0	2061898.0	1954980.0	1433090.0	1144924.0	1642181.0	1854870.0	1988936.0	1884728.0	1214066.0	1510877.0	1178127.0	1105687.0	1923406.0
ZeeviD_2015__PNP_Main_650__bin.10	1326956.0	1485521.0	1586501.0	1649979.0	1565811.0	1022366.0	1584789.0	1327189.0	1602255.0	589571.0	1600700.0	1512829.0	1574247.0	1449003.0	1488718.0	1595345.0	1614016.0	1345127.0	795266.0	1585831.0	1547493.0	1572968.0	1529816.0	900657.0	1181813.0	786869.0	813473.0	1548982.0
ZeeviD_2015__PNP_Main_677__bin.43	1386591.0	1525043.0	1651454.0	1565811.0	1695011.0	1089248.0	1636696.0	1375901.0	1666355.0	648402.0	1651092.0	1553458.0	1616903.0	1502290.0	1536125.0	1645653.0	1658867.0	1341403.0	846694.0	1587043.0	1593301.0	1640281.0	1581129.0	949220.0	1229154.0	847128.0	866666.0	1624643.0
ZeeviD_2015__PNP_Main_505__bin.26	1193984.0	1291120.0	1415142.0	1022366.0	1089248.0	1553260.0	1361548.0	1234222.0	1424892.0	971404.0	1382030.0	1288842.0	1404799.0	1342782.0	1320194.0	1441933.0	1399265.0	795079.0	1143498.0	1085316.0	1302280.0	1404903.0	1381004.0	1012348.0	1162445.0	1141921.0	855912.0	1384728.0
LiJ_2014__MH0222__bin.37	1636377.0	1809799.0	1900566.0	1584789.0	1636696.0	1361548.0	2058154.0	1649724.0	1940823.0	904534.0	1918391.0	1833195.0	1899803.0	1776408.0	1825347.0	1942631.0	1939610.0	1350425.0	1121026.0	1612592.0	1899698.0	1888557.0	1872261.0	1200152.0	1490453.0	1094212.0	1074527.0	1908072.0
ZeeviD_2015__PNP_Main_379__bin.25	1436290.0	1560636.0	1667248.0	1327189.0	1375901.0	1234222.0	1649724.0	1765920.0	1652257.0	876259.0	1696707.0	1567700.0	1682196.0	1535120.0	1554343.0	1680197.0	1696964.0	1098253.0	1066099.0	1380055.0	1580383.0	1661745.0	1630085.0	1100810.0	1343977.0	1016279.0	974369.0	1635761.0
ZeeviD_2015__PNP_Main_93__bin.14	1657248.0	1808184.0	1974736.0	1602255.0	1666355.0	1424892.0	1940823.0	1652257.0	2099671.0	943497.0	1962961.0	1838119.0	1921988.0	1822060.0	1845789.0	1994462.0	1964956.0	1369159.0	1157139.0	1657265.0	1858918.0	1947972.0	1908827.0	1213785.0	1509011.0	1111415.0	1099329.0	1938606.0
ZeeviD_2015__PNP_Main_742__bin.11	835254.0	866606.0	984502.0	589571.0	648402.0	971404.0	904534.0	876259.0	943497.0	1079193.0	960386.0	868066.0	949479.0	901887.0	903458.0	982202.0	974376.0	364743.0	968250.0	651225.0	849363.0	979943.0	913509.0	744415.0	843555.0	952981.0	652966.0	936497.0
