	HMP_2012__SRS048411__bin.28	HMP_2012__SRS054687__bin.29	HMP_2012__SRS062544__bin.10	HMP_2012__SRS019607__bin.55	HMP_2012__SRS019894__bin.29	HMP_2012__SRS018739__bin.26	HMP_2012__SRS019974__bin.57	HMP_2012__SRS013234__bin.16	HMP_2012__SRS044486__bin.8	HMP_2012__SRS016740__bin.1	HMP_2012__SRS013836__bin.51	HMP_2012__SRS065278__bin.7	HMP_2012__SRS019071__bin.74	HMP_2012__SRS012279__bin.10	HMP_2012__SRS042643__bin.57	Castro-NallarE_2015__ES_209__bin.9	HMP_2012__SRS050244__bin.71	HMP_2012__SRS016086__bin.25	HMP_2012__SRS020220__bin.40	HMP_2012__SRS023926__bin.28	HMP_2012__SRS065335__bin.10	CM_periimplantitis__SP_287SPT_T016__bin.29	HMP_2012__SRS063288__bin.19	HMP_2012__SRS024580__bin.10	HMP_2012__SRS024138__bin.7	BritoIL_2016__W2.8.SA__bin.3	HMP_2012__SRS064329__bin.12	HMP_2012__SRS024081__bin.87	HMP_2012__SRS014271__bin.1	QinN_2014__LD-53__bin.2	HMP_2012__SRS056622__bin.31	HMP_2012__SRS047824__bin.22	HMP_2012__SRS015941__bin.59	HMP_2012__SRS064423__bin.22	BritoIL_2016__WL.34.SA__bin.7	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.33	HMP_2012__SRS047210__bin.59	HMP_2012__SRS016319__bin.15	HMP_2012__SRS015038__bin.1	HMP_2012__SRS017076__bin.2	HMP_2012__SRS018791__bin.48	HMP_2012__SRS023617__bin.38	HMP_2012__SRS022530__bin.14	HMP_2012__SRS057791__bin.18
HMP_2012__SRS048411__bin.28	1070726.0	925009.0	919564.0	851941.0	903913.0	669717.0	650529.0	808866.0	844096.0	762439.0	638535.0	841287.0	925808.0	665824.0	900551.0	772586.0	525307.0	755595.0	712941.0	852327.0	963544.0	787461.0	958980.0	604501.0	932875.0	470962.0	590327.0	927932.0	430314.0	923606.0	583621.0	435265.0	919188.0	663506.0	936577.0	671222.0	948007.0	517280.0	865764.0	864170.0	961533.0	708527.0	815264.0	922315.0
HMP_2012__SRS054687__bin.29	925009.0	1969479.0	1472945.0	1204065.0	1374950.0	900238.0	1017221.0	1283224.0	1332968.0	1318900.0	995872.0	1325893.0	1452953.0	1163330.0	1522040.0	1200936.0	731933.0	1365610.0	1245937.0	1497213.0	1654476.0	1262296.0	1583722.0	943548.0	1566719.0	787496.0	833184.0	1450968.0	763432.0	1560769.0	879268.0	786358.0	1524499.0	920301.0	1556103.0	1092135.0	1645676.0	757279.0	1347835.0	1355765.0	1689148.0	1180850.0	1252657.0	1312574.0
HMP_2012__SRS062544__bin.10	919564.0	1472945.0	1852891.0	1230843.0	1298788.0	927372.0	967148.0	1230670.0	1264901.0	1203713.0	944387.0	1265393.0	1389235.0	1025579.0	1429090.0	1132339.0	775317.0	1269343.0	1093640.0	1395756.0	1526001.0	1187711.0	1528184.0	911263.0	1477411.0	765608.0	870272.0	1380208.0	688451.0	1456551.0	935159.0	679727.0	1385841.0	940018.0	1445107.0	1040780.0	1562960.0	823012.0	1372066.0	1417472.0	1626372.0	1114250.0	1182519.0	1234532.0
HMP_2012__SRS019607__bin.55	851941.0	1204065.0	1230843.0	1461044.0	1136964.0	885486.0	898204.0	1075980.0	1101442.0	1004730.0	775947.0	1086749.0	1151730.0	856219.0	1181604.0	991261.0	718443.0	985712.0	881597.0	1146229.0	1261579.0	1029204.0	1250492.0	836415.0	1281702.0	714097.0	854009.0	1146043.0	452435.0	1190748.0	851526.0	470808.0	1172883.0	882754.0	1230776.0	869788.0	1262325.0	742560.0	1169833.0	1258131.0	1299775.0	950215.0	1067940.0	1043321.0
HMP_2012__SRS019894__bin.29	903913.0	1374950.0	1298788.0	1136964.0	1660454.0	853726.0	902787.0	1167496.0	1223585.0	1186842.0	914730.0	1190648.0	1335163.0	1026184.0	1347345.0	1081019.0	673004.0	1169999.0	1090515.0	1308102.0	1449674.0	1138118.0	1401322.0	866646.0	1407463.0	723004.0	792127.0	1340977.0	645244.0	1373779.0	776490.0	683127.0	1384336.0	863732.0	1388831.0	1007665.0	1425773.0	694724.0	1209043.0	1209848.0	1454487.0	1106386.0	1167383.0	1187142.0
HMP_2012__SRS018739__bin.26	669717.0	900238.0	927372.0	885486.0	853726.0	1017931.0	686018.0	814123.0	816554.0	750844.0	614837.0	811639.0	877644.0	534189.0	872620.0	723941.0	653422.0	661552.0	553197.0	853673.0	927318.0	776263.0	903073.0	671707.0	904456.0	555214.0	744639.0	875096.0	242724.0	904109.0	748281.0	243459.0	863459.0	701228.0	881122.0	685460.0	920278.0	662039.0	892454.0	946396.0	923690.0	689639.0	796864.0	801258.0
HMP_2012__SRS019974__bin.57	650529.0	1017221.0	967148.0	898204.0	902787.0	686018.0	1494220.0	957443.0	915506.0	884578.0	690043.0	884483.0	958104.0	645688.0	999534.0	804124.0	576075.0	837562.0	747691.0	993933.0	1042632.0	813183.0	1086855.0	787786.0	1122669.0	570382.0	651941.0	933638.0	388215.0	996363.0	739738.0	399883.0	992647.0	671092.0	1017612.0	736005.0	1043227.0	591816.0	902738.0	953326.0	1063965.0	840437.0	916901.0	871387.0
HMP_2012__SRS013234__bin.16	808866.0	1283224.0	1230670.0	1075980.0	1167496.0	814123.0	957443.0	1635130.0	1132060.0	1121341.0	870374.0	1106728.0	1227954.0	899670.0	1267009.0	1007948.0	692532.0	1097151.0	992673.0	1240545.0	1360297.0	1059355.0	1357715.0	967261.0	1381699.0	688725.0	808719.0	1215841.0	571722.0	1273923.0	890573.0	563485.0	1260548.0	817573.0	1261878.0	909449.0	1335525.0	700211.0	1149882.0	1195906.0	1355815.0	1014146.0	1109696.0	1115243.0
HMP_2012__SRS044486__bin.8	844096.0	1332968.0	1264901.0	1101442.0	1223585.0	816554.0	915506.0	1132060.0	1872119.0	1149933.0	855465.0	1131301.0	1245099.0	961923.0	1333015.0	1057678.0	685739.0	1140631.0	1046402.0	1272705.0	1442063.0	1096012.0	1380812.0	855039.0	1383330.0	728635.0	768809.0	1256743.0	592628.0	1311575.0	784658.0	622931.0	1341590.0	816572.0	1341294.0	957486.0	1428224.0	716450.0	1159738.0	1180799.0	1457857.0	1050540.0	1115987.0	1108674.0
HMP_2012__SRS016740__bin.1	762439.0	1318900.0	1203713.0	1004730.0	1186842.0	750844.0	884578.0	1121341.0	1149933.0	1692614.0	891041.0	1110417.0	1247864.0	969811.0	1344598.0	1008069.0	614132.0	1215873.0	1039452.0	1315640.0	1394022.0	1110695.0	1392104.0	817376.0	1368569.0	644964.0	691955.0	1248093.0	634274.0	1310448.0	754475.0	645288.0	1268631.0	779696.0	1300216.0	1016855.0	1390617.0	625521.0	1100820.0	1103442.0	1410714.0	1169723.0	1146564.0	1117605.0
HMP_2012__SRS013836__bin.51	638535.0	995872.0	944387.0	775947.0	914730.0	614837.0	690043.0	870374.0	855465.0	891041.0	1282898.0	892514.0	962075.0	716489.0	998112.0	805283.0	465695.0	865408.0	753734.0	949106.0	1046092.0	844684.0	1052913.0	644689.0	1043529.0	514674.0	532068.0	955173.0	495475.0	1016675.0	583915.0	503626.0	976618.0	632035.0	971747.0	721343.0	1031153.0	467961.0	862995.0	854433.0	1041939.0	810106.0	833246.0	920308.0
HMP_2012__SRS065278__bin.7	841287.0	1325893.0	1265393.0	1086749.0	1190648.0	811639.0	884483.0	1106728.0	1131301.0	1110417.0	892514.0	1599637.0	1259494.0	963464.0	1297250.0	1044312.0	644867.0	1102465.0	989071.0	1238853.0	1367170.0	1082559.0	1328693.0	822657.0	1321929.0	689243.0	750597.0	1274370.0	619559.0	1299292.0	755060.0	633228.0	1273185.0	912223.0	1301152.0	946179.0	1343136.0	656892.0	1184478.0	1162564.0	1390046.0	1022090.0	1068283.0	1142494.0
HMP_2012__SRS019071__bin.74	925808.0	1452953.0	1389235.0	1151730.0	1335163.0	877644.0	958104.0	1227954.0	1245099.0	1247864.0	962075.0	1259494.0	2430978.0	1098974.0	1421300.0	1149075.0	704865.0	1294376.0	1128361.0	1434335.0	1510493.0	1189725.0	1527344.0	946385.0	1475968.0	741678.0	810260.0	1418729.0	701991.0	1467862.0	831894.0	720840.0	1427426.0	901332.0	1445815.0	1034911.0	1613142.0	740889.0	1294895.0	1262300.0	1573995.0	1169611.0	1215875.0	1275689.0
HMP_2012__SRS012279__bin.10	665824.0	1163330.0	1025579.0	856219.0	1026184.0	534189.0	645688.0	899670.0	961923.0	969811.0	716489.0	963464.0	1098974.0	1461978.0	1164291.0	914805.0	328864.0	1223819.0	1236991.0	1107294.0	1240310.0	925108.0	1219387.0	577737.0	1178919.0	479088.0	453978.0	1122812.0	798103.0	1158321.0	473753.0	782016.0	1177515.0	586651.0	1188911.0	779063.0	1269404.0	369548.0	947317.0	917545.0	1270964.0	860372.0	869168.0	1007770.0
HMP_2012__SRS042643__bin.57	900551.0	1522040.0	1429090.0	1181604.0	1347345.0	872620.0	999534.0	1267009.0	1333015.0	1344598.0	998112.0	1297250.0	1421300.0	1164291.0	1931716.0	1215000.0	704199.0	1365974.0	1259675.0	1474365.0	1686460.0	1250577.0	1572764.0	911781.0	1545988.0	761317.0	819509.0	1482172.0	766572.0	1538717.0	829793.0	785466.0	1535428.0	914569.0	1531926.0	1063106.0	1632205.0	731639.0	1301971.0	1292087.0	1702788.0	1174297.0	1227865.0	1296905.0
Castro-NallarE_2015__ES_209__bin.9	772586.0	1200936.0	1132339.0	991261.0	1081019.0	723941.0	804124.0	1007948.0	1057678.0	1008069.0	805283.0	1044312.0	1149075.0	914805.0	1215000.0	1515789.0	580769.0	1075189.0	992240.0	1201704.0	1286429.0	1016877.0	1271434.0	725354.0	1236013.0	609145.0	672299.0	1177870.0	620573.0	1224522.0	685626.0	618779.0	1233219.0	732646.0	1217247.0	848964.0	1291061.0	589623.0	1047164.0	1042513.0	1314308.0	937048.0	1003400.0	1068819.0
HMP_2012__SRS050244__bin.71	525307.0	731933.0	775317.0	718443.0	673004.0	653422.0	576075.0	692532.0	685739.0	614132.0	465695.0	644867.0	704865.0	328864.0	704199.0	580769.0	887066.0	450661.0	361344.0	706492.0	758951.0	641278.0	739698.0	595306.0	740013.0	491324.0	618264.0	709952.0	117595.0	728055.0	644364.0	141495.0	705032.0	560811.0	711218.0	553714.0	765200.0	636092.0	706056.0	758258.0	781416.0	606916.0	669688.0	635970.0
HMP_2012__SRS016086__bin.25	755595.0	1365610.0	1269343.0	985712.0	1169999.0	661552.0	837562.0	1097151.0	1140631.0	1215873.0	865408.0	1102465.0	1294376.0	1223819.0	1365974.0	1075189.0	450661.0	2042319.0	1329158.0	1337291.0	1459336.0	1064379.0	1512533.0	742756.0	1406672.0	595683.0	597006.0	1270063.0	860816.0	1344310.0	688820.0	833012.0	1342403.0	714075.0	1351733.0	901620.0	1538123.0	503940.0	1152155.0	1112543.0	1567663.0	1058291.0	1096909.0	1163420.0
HMP_2012__SRS020220__bin.40	712941.0	1245937.0	1093640.0	881597.0	1090515.0	553197.0	747691.0	992673.0	1046402.0	1039452.0	753734.0	989071.0	1128361.0	1236991.0	1259675.0	992240.0	361344.0	1329158.0	1701753.0	1200422.0	1358178.0	956885.0	1290951.0	656715.0	1274015.0	514388.0	513923.0	1169389.0	818344.0	1229918.0	541718.0	826773.0	1297766.0	626218.0	1281109.0	811793.0	1387718.0	388518.0	1012078.0	996168.0	1394521.0	904090.0	944420.0	1049231.0
HMP_2012__SRS023926__bin.28	852327.0	1497213.0	1395756.0	1146229.0	1308102.0	853673.0	993933.0	1240545.0	1272705.0	1315640.0	949106.0	1238853.0	1434335.0	1107294.0	1474365.0	1201704.0	706492.0	1337291.0	1200422.0	2286179.0	1571297.0	1216551.0	1541469.0	913160.0	1496645.0	737353.0	805811.0	1391553.0	729106.0	1491653.0	842674.0	725718.0	1457514.0	847488.0	1461309.0	1096536.0	1639643.0	754190.0	1276201.0	1277529.0	1649904.0	1221056.0	1212078.0	1228771.0
