	HMP_2012__SRS017139__bin.61	HMP_2012__SRS019387__bin.29	HMP_2012__SRS023358__bin.10	HMP_2012__SRS014690__bin.13	HMP_2012__SRS013723__bin.11	ZeeviD_2015__PNP_Main_136__bin.7	HMP_2012__SRS065099__bin.18	CM_periimplantitis__SP_344SPT_T016__bin.14	HMP_2012__SRS022536__bin.42	CM_periimplantitis__SP_283SPT_T016__bin.10	HMP_2012__SRS019980__bin.27	HMP_2012__SRS024355__bin.50	HMP_2012__SRS011126__bin.8	HMP_2012__SRS024447__bin.9	HMP_2012__SRS011152__bin.29	CM_cf__CF_TNFC045IS_t2M15__bin.6	HMP_2012__SRS075410__bin.20	HMP_2012__SRS015044__bin.3	HMP_2012__SRS015985__bin.25	HMP_2012__SRS016092__bin.15	HMP_2012__SRS023938__bin.43	CM_periimplantitis__SP_164SPT_T016__bin.12	HMP_2012__SRS015470__bin.18	HMP_2012__SRS019591__bin.20	HMP_2012__SRS015989__bin.36	HMP_2012__SRS020226__bin.23	HMP_2012__SRS013949__bin.8	HMP_2012__SRS020340__bin.12	HMP_2012__SRS024021__bin.5	CM_periimplantitis__SP_161SPI_T016__bin.1	HMP_2012__SRS018665__bin.9
HMP_2012__SRS017139__bin.61	1.0	0.6901047268920517	0.8594305586576103	0.8138600416824814	0.8140683170663864	0.9175948851950458	0.8347882921829589	0.4845622722844384	0.8045164242953236	0.7498496169514238	0.9206600959436999	0.8273595751182168	0.8383234927781881	0.9119878926230778	0.8255926599369967	0.7509711524890964	0.8866516032408746	0.8760028391223385	0.9033074679057225	0.8928190210234817	0.9222516213279474	0.7981400460124171	0.7563520566509044	0.897144160821482	0.8820140503670169	0.850186283147644	0.8667270482582285	0.8670284994717753	0.9054368096595931	0.88428315586535	0.6536531091267095
HMP_2012__SRS019387__bin.29	0.735493391533306	1.0	0.8181099953195656	0.7637892095907285	0.7831388993750416	0.8689719327273351	0.7924201788787548	0.4625598106213003	0.7723592967227467	0.7384133692483047	0.8665762220789452	0.7571869494009263	0.8000877672721538	0.8533651301065839	0.7810746890723905	0.7384360047344675	0.8420984994133028	0.8324156225744433	0.8605588336445105	0.8303163637770886	0.8698561770416295	0.7635694263218576	0.7389566209162115	0.8966010992084151	0.8493024254288511	0.8398641578759444	0.8121919109534578	0.8146328925741732	0.8568714399308961	0.842393490910392	0.6124607621149137
HMP_2012__SRS023358__bin.10	0.7532494514692937	0.6727844703661315	1.0	0.7920417111515963	0.8029720936879637	0.8970509644172604	0.8128324360287698	0.45955584324811843	0.7809089697230265	0.741300669285523	0.932152726320707	0.7705412289729896	0.8124343234307578	0.8829554966559743	0.8048167421059016	0.7471846894181311	0.8672039285246775	0.855967905999791	0.903267045283957	0.869103820319715	0.9063973031624432	0.7864200970602117	0.7373675810246205	0.8954044715910934	0.8724052125729123	0.8429719015370869	0.8506801540569655	0.8444178368855225	0.8930986610686711	0.8720089013893709	0.6197706439095978
HMP_2012__SRS014690__bin.13	0.7266099568590343	0.6398252341313362	0.8068106819306454	1.0	0.7546286469958217	0.8690381454706267	0.7804899830139711	0.4372064374419297	0.739968792682979	0.7000990290988963	0.8598741308957943	0.7330165707061038	0.7895542956547695	0.8506305994410575	0.7744846235762656	0.7245094878929433	0.8421865184635137	0.8262886474973897	0.8665615004957572	0.8165937048321185	0.8611127592173826	0.763737611423028	0.701218382100628	0.8505779959666592	0.8405796658211372	0.811259345527145	0.8063286873047631	0.8122172180958399	0.8450277177493297	0.8401594496942576	0.6025648475447328
HMP_2012__SRS013723__bin.11	0.7409696931903218	0.6688282614118234	0.833896233474682	0.7693452232476927	1.0	0.8684222998253929	0.7837054128211524	0.45558929907707657	0.7703142928411075	0.7194761785981542	0.8871526565228236	0.7730032427039162	0.7998684210526316	0.8721196058867549	0.7806959341481666	0.7189529807932152	0.8395616113744075	0.8317934647044151	0.8781223497131454	0.8429895235719631	0.9362253679221751	0.7541525318034422	0.7351421800947867	0.8714186829633325	0.8478623098029434	0.8168514592167623	0.8259254178099277	0.8200779496133699	0.8713214018458468	0.8429015964080818	0.611242205038663
ZeeviD_2015__PNP_Main_136__bin.7	0.7242330087427487	0.6435307553544468	0.8078233757132413	0.7682711982453939	0.7530411441277367	1.0	0.7874703131556521	0.44245889264285376	0.7621910729658293	0.7139258877934618	0.8779962623776296	0.7395960858787954	0.8006839329823544	0.8766011429164702	0.7681192491878025	0.7410998948793708	0.8621335378066559	0.8323666633501036	0.8716874023957121	0.837725436164092	0.8791718397840484	0.7483020639116121	0.703166704879241	0.864061290085351	0.844303586646652	0.8095818751270748	0.8242792964271964	0.8216983254240514	0.8504805050981342	0.8440099626670358	0.5832199573461151
HMP_2012__SRS065099__bin.18	0.7473324276334553	0.6656243962426744	0.8302530337368094	0.7826240558385442	0.7708160192343667	0.8931909973841016	1.0	0.4495493478654208	0.8043044255603634	0.7126142730531797	0.879159600469819	0.7603879993743924	0.8497094298077483	0.882792417881337	0.7834103587123524	0.7345669660791885	0.8633433818997004	0.8410024441629892	0.8704372813056799	0.8418200274163327	0.8807634865969707	0.7618630839387518	0.7280103531922854	0.8707390449670789	0.8476486048030716	0.8229279048585789	0.8269379268468458	0.8447309427354385	0.8649399079375496	0.8461330397475489	0.6104642069657111
CM_periimplantitis__SP_344SPT_T016__bin.14	0.7988258241876152	0.7154950321158996	0.8643960211749212	0.8073046023942073	0.8251566828968575	0.9241619766271698	0.8278323490180001	1.0	0.8405476927038685	0.8230378354324154	0.9119210017766243	0.8172787718816743	0.8361970528141931	0.9002560462261135	0.8225318420080711	0.7821359473315059	0.8780793031747699	0.8793883352703394	0.9011460525171479	0.8704035636394029	0.9060840062029373	0.7840040569829916	0.7730969621193896	0.883264606324692	0.8939898598014202	0.8795611410603499	0.8759604557103278	0.8453478535374926	0.9037358804680891	0.8877790164075144	0.6508905145433579
HMP_2012__SRS022536__bin.42	0.7080372819711352	0.637788695299838	0.7841399677780351	0.7294289524967199	0.7448169908157752	0.8498802529520723	0.7906862603226056	0.4487258335262792	1.0	0.6935747810064058	0.8412814984178436	0.725667110442232	0.8175196081268812	0.8377240584240179	0.7335579947132824	0.7061862072624836	0.815804801458671	0.8153465549509917	0.8272259927066451	0.8045391728409355	0.8394925281701011	0.7005473633943042	0.6995470595045149	0.8335057787296442	0.8095099415373929	0.7957209423477657	0.7858475389750714	0.7893754341282704	0.8239151616886625	0.7975756347920043	0.5669522265956626
CM_periimplantitis__SP_283SPT_T016__bin.10	0.7411589596139013	0.6848145316549301	0.8359947478230485	0.775077350427061	0.7812931488073915	0.8940524310279329	0.7867816601781921	0.4934628816140625	0.7789494427180219	1.0	0.8965187059708638	0.7614579869860318	0.7995633569238875	0.8690490620773998	0.7946274211580928	0.7397240236984508	0.8584505807122672	0.8482699169308218	0.8824970999938377	0.840825044134945	0.876214261190841	0.7746906829387542	0.7241902837435101	0.8778794369417108	0.8580178652568765	0.8402392869065991	0.8340593788535546	0.8218221316010269	0.8744217763545044	0.8660410463452474	0.6030516258656848
