	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__O2_UC40_2__bin.23	0.0	17492.0	18240.0	17330.0	17993.0	23569.0	13170.0	13732.0	167.0	18801.0	18052.0	20925.0	308.0	21462.0	18466.0	18113.0	16741.0	19541.0	22945.0	15282.0	16216.0	15720.0	21906.0	20698.0	20956.0	19580.0	21306.0	20639.0	20286.0
XieH_2016__YSZC12003_36525__bin.8	17492.0	0.0	17199.0	13417.0	16263.0	20792.0	9448.0	17046.0	17188.0	18899.0	16033.0	18042.0	17128.0	12253.0	16858.0	18136.0	15252.0	15363.0	15194.0	13262.0	15156.0	15232.0	12673.0	13446.0	14049.0	17340.0	15679.0	16233.0	15994.0
HMP_2012__SRS011134__bin.15	18240.0	17199.0	0.0	15540.0	17462.0	21349.0	9885.0	17897.0	17069.0	18391.0	15715.0	18549.0	18033.0	16182.0	322.0	18098.0	15014.0	15931.0	16405.0	11778.0	13098.0	14792.0	18568.0	19641.0	21029.0	15880.0	17271.0	16342.0	17859.0
BritoIL_2016__W1.27.ST__bin.1	17330.0	13417.0	15540.0	0.0	12247.0	20283.0	8784.0	16153.0	16855.0	17755.0	15128.0	17430.0	16684.0	14573.0	15682.0	17335.0	13842.0	14642.0	14716.0	11234.0	13334.0	13815.0	15519.0	14514.0	14970.0	14778.0	15456.0	13944.0	15635.0
ZeeviD_2015__PNP_Main_396__bin.77	17993.0	16263.0	17462.0	12247.0	0.0	21085.0	10059.0	17800.0	16695.0	18486.0	15663.0	17989.0	16661.0	17318.0	16839.0	17584.0	13461.0	15046.0	17761.0	11480.0	11954.0	11793.0	18483.0	19744.0	19004.0	15025.0	13888.0	14695.0	18180.0
LiJ_2014__MH0378__bin.31	23569.0	20792.0	21349.0	20283.0	21085.0	0.0	13968.0	21370.0	20909.0	20675.0	22001.0	21961.0	23147.0	25233.0	20824.0	21941.0	19781.0	22548.0	18583.0	19684.0	21437.0	19509.0	25984.0	26337.0	26399.0	22957.0	18480.0	22332.0	16530.0
ZeeviD_2015__PNP_Main_100__bin.9	13170.0	9448.0	9885.0	8784.0	10059.0	13968.0	0.0	13288.0	11646.0	12651.0	9809.0	12092.0	12434.0	11386.0	9867.0	11400.0	8841.0	7252.0	10416.0	6643.0	8071.0	7415.0	10976.0	10743.0	11126.0	10948.0	6650.0	9181.0	11156.0
ZellerG_2014__CCIS25399172ST-4-0__bin.32	13732.0	17046.0	17897.0	16153.0	17800.0	21370.0	13288.0	0.0	12295.0	18459.0	17685.0	21440.0	11937.0	19129.0	18746.0	18458.0	16412.0	20174.0	22315.0	14502.0	15757.0	14721.0	21879.0	20672.0	19955.0	19118.0	19434.0	17668.0	21034.0
LiJ_2014__O2.UC40-1__bin.93	167.0	17188.0	17069.0	16855.0	16695.0	20909.0	11646.0	12295.0	0.0	16654.0	16133.0	18692.0	278.0	20241.0	17431.0	16223.0	16572.0	18363.0	20865.0	14003.0	15053.0	15576.0	19996.0	18884.0	19246.0	18276.0	20597.0	19282.0	18775.0
ZellerG_2014__CCIS38765456ST-20-0__bin.8	18801.0	18899.0	18391.0	17755.0	18486.0	20675.0	12651.0	18459.0	16654.0	0.0	17521.0	11022.0	18128.0	21236.0	17968.0	10730.0	17248.0	19152.0	18205.0	15340.0	16707.0	15940.0	21127.0	22121.0	22323.0	18972.0	19661.0	17293.0	17686.0
