	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
QinJ_2012__T2D-016__bin.5	2926083.0	925057.0	1456193.0	2142892.0	733572.0	2327655.0	1547579.0	832046.0	1290830.0	2225176.0	2316883.0	1733780.0	1750418.0	1125577.0	1703518.0	2231717.0	1501934.0	893165.0	2309051.0	1524314.0	955505.0	2150248.0	2036439.0	2290545.0	1588913.0	1072236.0	1793435.0	2261125.0	2331725.0	960518.0	1113419.0	2369905.0	1837156.0	1114695.0	1679654.0
QinN_2014__LD-71__bin.17	925057.0	1774610.0	1398554.0	1208707.0	1134004.0	1306923.0	1491894.0	1197969.0	1367577.0	1299788.0	1487983.0	539769.0	1514598.0	838315.0	793469.0	1269678.0	1434660.0	1009462.0	1375232.0	1691565.0	1488376.0	1358921.0	1298319.0	1345605.0	713716.0	1361988.0	936783.0	1257272.0	1561250.0	1269870.0	962486.0	1280196.0	1414722.0	1525367.0	566587.0
QinJ_2012__T2D-028__bin.33	1456193.0	1398554.0	3115356.0	1729816.0	1252090.0	1965966.0	1982911.0	1230264.0	1857218.0	1918218.0	2038821.0	1135686.0	2067864.0	1391385.0	1287503.0	1880627.0	1838689.0	1250555.0	2046194.0	1969342.0	1397678.0	1837777.0	1950888.0	2002307.0	1148481.0	1645427.0	1614416.0	1906108.0	2100853.0	1445809.0	1460245.0	2015251.0	2031058.0	1632506.0	1124370.0
HeQ_2017__SZAXPI029601-32__bin.70	2142892.0	1208707.0	1729816.0	3050558.0	958710.0	2583558.0	1909081.0	1069364.0	1617129.0	2552502.0	2735425.0	1884864.0	2161137.0	1236669.0	1906221.0	2485472.0	1892320.0	1175549.0	2645633.0	1893026.0	1247367.0	2541777.0	2365189.0	2616979.0	1749058.0	1304225.0	2021367.0	2537185.0	2726082.0	1175466.0	1318915.0	2687685.0	2138233.0	1452929.0	1852403.0
HeQ_2017__SZAXPI029590-113__bin.62	733572.0	1134004.0	1252090.0	958710.0	2101479.0	1000369.0	1113503.0	993968.0	1074443.0	1014540.0	1142014.0	376293.0	1133428.0	577813.0	657122.0	977706.0	1126722.0	832208.0	1053985.0	1230522.0	1135682.0	1057448.0	1033731.0	1041087.0	563498.0	1057339.0	737390.0	980188.0	1148817.0	993675.0	703511.0	1051092.0	1098328.0	1126178.0	493584.0
ChengpingW_2017__AS94raw__bin.16	2327655.0	1306923.0	1965966.0	2583558.0	1000369.0	3667642.0	2044374.0	1145902.0	1804393.0	2731125.0	2936236.0	2012339.0	2338806.0	1338908.0	1986035.0	2805522.0	1986877.0	1273489.0	2874175.0	2019762.0	1314322.0	2679065.0	2557840.0	2904185.0	1915167.0	1488290.0	2276801.0	2743283.0	2971557.0	1339787.0	1400736.0	2814275.0	2367785.0	1537659.0	1944247.0
HeQ_2017__RSZAXPI003095-129__bin.28	1547579.0	1491894.0	1982911.0	1909081.0	1113503.0	2044374.0	2652633.0	1213104.0	1825949.0	2028076.0	2393246.0	1256132.0	2207259.0	1331055.0	1395185.0	1985225.0	2094462.0	1193307.0	2108183.0	2271035.0	1467311.0	2050862.0	2072337.0	2079042.0	1265332.0	1518301.0	1731083.0	1992378.0	2251390.0	1432031.0	1405387.0	2049302.0	2102254.0	1697985.0	1235000.0
NielsenHB_2014__V1_CD17_0__bin.10	832046.0	1197969.0	1230264.0	1069364.0	993968.0	1145902.0	1213104.0	1499623.0	1179180.0	1185662.0	1230387.0	436028.0	1197379.0	689802.0	733452.0	1090009.0	1204244.0	912513.0	1190235.0	1257738.0	1249208.0	1131509.0	1142368.0	1209748.0	644451.0	1154153.0	831792.0	1097211.0	1233475.0	1033481.0	816777.0	1174003.0	1257098.0	1219936.0	537664.0
YuJ_2015__SZAXPI015239-25__bin.25	1290830.0	1367577.0	1857218.0	1617129.0	1074443.0	1804393.0	1825949.0	1179180.0	2396587.0	1744381.0	1892617.0	972796.0	1864522.0	1245337.0	1245861.0	1717660.0	1691342.0	1185601.0	1899691.0	1824610.0	1406791.0	1711837.0	1934109.0	1810402.0	1042263.0	1491790.0	1538455.0	1665988.0	1908592.0	1410744.0	1335244.0	1753224.0	1895522.0	1578409.0	982124.0
QinJ_2012__T2D-041__bin.54	2225176.0	1299788.0	1918218.0	2552502.0	1014540.0	2731125.0	2028076.0	1185662.0	1744381.0	4102118.0	2907611.0	2028259.0	2265272.0	1378910.0	1936598.0	2687874.0	1961907.0	1308760.0	2839076.0	2033792.0	1357252.0	2593326.0	2571661.0	2878464.0	1993440.0	1397383.0	2242955.0	2667713.0	2862477.0	1307516.0	1435170.0	2814130.0	2379068.0	1530234.0	1946212.0
QinJ_2012__NLM007__bin.18	2316883.0	1487983.0	2038821.0	2735425.0	1142014.0	2936236.0	2393246.0	1230387.0	1892617.0	2907611.0	4308583.0	2071290.0	2601889.0	1413981.0	2037833.0	2831367.0	2214740.0	1319077.0	3020614.0	2361887.0	1518761.0	2928106.0	2676234.0	2903340.0	1949314.0	1553479.0	2281466.0	2835183.0	3165736.0	1524511.0	1473631.0	2993143.0	2519802.0	1706720.0	1939227.0
ZeeviD_2015__PNP_Main_45__bin.54	1733780.0	539769.0	1135686.0	1884864.0	376293.0	2012339.0	1256132.0	436028.0	972796.0	2028259.0	2071290.0	3141162.0	1487672.0	947235.0	1518599.0	1961185.0	1244391.0	703009.0	2109412.0	1228426.0	550046.0	1878167.0	1753694.0	1978650.0	1450838.0	692305.0	1692342.0	2063475.0	2081518.0	600841.0	969904.0	2026536.0	1525798.0	766551.0	1623249.0
QinN_2014__LD-89__bin.1	1750418.0	1514598.0	2067864.0	2161137.0	1133428.0	2338806.0	2207259.0	1197379.0	1864522.0	2265272.0	2601889.0	1487672.0	3285410.0	1408331.0	1535192.0	2228458.0	2210081.0	1294100.0	2396710.0	2222646.0	1487359.0	2284713.0	2210776.0	2316167.0	1449939.0	1506584.0	1911391.0	2256991.0	2763306.0	1502572.0	1484027.0	2392718.0	2294981.0	1703436.0	1402208.0
HeQ_2017__SZAXPI029469-27__bin.4	1125577.0	838315.0	1391385.0	1236669.0	577813.0	1338908.0	1331055.0	689802.0	1245337.0	1378910.0	1413981.0	947235.0	1408331.0	1596355.0	930489.0	1290789.0	1235010.0	772895.0	1332041.0	1378931.0	831229.0	1253964.0	1394773.0	1359045.0	829957.0	943266.0	1330679.0	1300034.0	1414373.0	915688.0	1251580.0	1513289.0	1404016.0	1041245.0	954231.0
QinJ_2012__NOM029__bin.6	1703518.0	793469.0	1287503.0	1906221.0	657122.0	1986035.0	1395185.0	733452.0	1245861.0	1936598.0	2037833.0	1518599.0	1535192.0	930489.0	2575119.0	1900775.0	1362536.0	802207.0	1995123.0	1395045.0	806694.0	1895108.0	1809810.0	1959626.0	1402737.0	911317.0	1617378.0	1922208.0	2011366.0	822166.0	923001.0	2005769.0	1580728.0	1020918.0	1496660.0
