	BritoIL_2016__W1.44.ST__bin.70	BritoIL_2016__W2.69.ST__bin.3	BritoIL_2016__W2.13.ST__bin.34	BritoIL_2016__M2.36.ST__bin.3	BritoIL_2016__W1.38.ST__bin.17	BritoIL_2016__M1.57.ST__bin.54	BritoIL_2016__WL.7.ST__bin.78	BritoIL_2016__M2.41.ST__bin.40	BritoIL_2016__W2.11.ST__bin.63	BritoIL_2016__M1.59.ST__bin.21	BritoIL_2016__W1.18.ST__bin.19	BritoIL_2016__W1.26.ST__bin.53	BritoIL_2016__M2.39.ST__bin.25	BritoIL_2016__M2.37.ST__bin.25	LiuW_2016__SRR3993030__bin.56	BritoIL_2016__M1.27.ST__bin.96	BritoIL_2016__W2.21.ST__bin.22	BritoIL_2016__W2.15.ST__bin.65	BritoIL_2016__M1.22.ST__bin.51	Obregon-TitoAJ_2015__HCO74__bin.1	BritoIL_2016__W3.23.ST__bin.8	BritoIL_2016__M2.50.ST__bin.62	BritoIL_2016__W1.31.ST__bin.47	BritoIL_2016__W1.33.ST__bin.46	BritoIL_2016__M2.63.ST__bin.18	BritoIL_2016__M2.60.ST__bin.4	BritoIL_2016__M1.61.ST__bin.36	BritoIL_2016__W2.33.ST__bin.50	BritoIL_2016__W2.62.ST__bin.9	BritoIL_2016__W1.37.ST__bin.46	BritoIL_2016__M2.51.ST__bin.30	BritoIL_2016__W1.20.ST__bin.10	BritoIL_2016__W3.20.ST__bin.25	LiJ_2014__MH0245__bin.7	BritoIL_2016__W1.40.ST__bin.31	BritoIL_2016__W1.21.ST__bin.57	BritoIL_2016__W1.8.ST__bin.57	CM_madagascar__A13_03_1FE__bin.36	BritoIL_2016__W1.39.ST__bin.79	BritoIL_2016__M2.45.ST__bin.43	BritoIL_2016__M1.25.ST__bin.73
BritoIL_2016__W1.44.ST__bin.70	1.0	0.465095984864184	0.26355333733438474	0.9236400237910052	0.3682552904036666	0.8821039968350427	0.8567890486020093	0.6502648229534757	0.3021491297713211	0.9302020620665341	0.9497192984344766	0.7893675198953627	0.9167819435959405	0.6303909906370014	0.840205318527649	0.8953047751561621	0.7423237675909454	0.9309287104144855	0.9373810786152774	0.7271570017950906	0.8813982059859676	0.8733505755324045	0.663080073956654	0.8524042640801573	0.9351486534129596	0.21982794581894616	0.6055241422185381	0.71643961148535	0.6687250551041664	0.7511680199370776	0.9662101789977097	0.24579889603276914	0.6796469834674045	0.7018501274325899	0.33560455796904476	0.6525322349281022	0.9296193977430841	0.21241949678256258	0.8127635782317685	0.35643581676619956	0.3918673247768248
BritoIL_2016__W2.69.ST__bin.3	0.5508701019163201	1.0	0.6782906045568684	0.5768062075796926	0.824225626427956	0.790416088577706	0.7355443227214662	0.5554252171369873	0.7257312211071735	0.894190793662684	0.9472376445687264	0.5830372163113926	0.8841378233147628	0.9099775033410288	0.7809337029915058	0.8145328576335236	0.9088307554749441	0.8605286834394148	0.9013151341232798	0.5415359408631928	0.8761711531151457	0.9498769975447323	0.9175903472358914	0.7064389215310478	0.8968277559204146	0.6271475623041105	0.32385785426659536	0.9539962051331909	0.9133468222971137	0.5978413407785613	0.9493478518997843	0.6627891872593842	0.9331682675181874	0.4904622294404205	0.7652617477903786	0.938054895673039	0.8585236677124731	0.5886330908879367	0.43608613917327366	0.7201146269722429	0.7958956148648487
BritoIL_2016__W2.13.ST__bin.34	0.42917010875162426	0.932545725861763	1.0	0.4487949233172861	0.9320888507124842	0.7621411557955216	0.7142273331857893	0.44329489154419416	0.9312474115886327	0.8857965514143409	0.950199513104757	0.5221392713224837	0.8779716058120655	0.9187835945665822	0.7623756193013864	0.7914775802489695	0.9252291497301478	0.8418204009545075	0.8986000118327376	0.48299263083392313	0.8946163234807532	0.9434603307469306	0.9504821840604258	0.6665337309717526	0.8674711467456685	0.7744822629453437	0.25270235624867154	0.9463012834137886	0.9395007461198481	0.5074765372150556	0.9506607707494724	0.9199690595822168	0.9500373607735981	0.4268605336564693	0.9264836390489108	0.9371988403917074	0.8249412197799549	0.840189017028186	0.23872767392480954	0.8532050284752641	0.8790628471758104
BritoIL_2016__M2.36.ST__bin.3	0.8562251060002569	0.45144882610718656	0.25548899830224947	1.0	0.3864247320211215	0.8480656746281727	0.8116282812053655	0.5891824227311454	0.29011450148381646	0.9139592265442856	0.9128209478213033	0.747538511243699	0.8708917493815872	0.6072408248497784	0.8144243927205048	0.8548760118206347	0.737622076494825	0.8883158339871939	0.8866704754824118	0.6861456822125394	0.8467066010186504	0.8316370381551028	0.638825720483653	0.8114336823223132	0.8899424810609132	0.24226874854206767	0.5798136091980406	0.7122818091209494	0.660401247927709	0.68767128755852	0.9466362460378545	0.2395668178966106	0.6499721199677165	0.6598405287101962	0.3286425854706985	0.6257514198857604	0.8824423157766055	0.20763513707370682	0.7299597454746404	0.34356308060011304	0.38482739952273376
BritoIL_2016__W1.38.ST__bin.17	0.45081975989951195	0.8519094784094887	0.7007293618598521	0.5103094948829355	1.0	0.7090393921298107	0.6599534625126124	0.4628099581986286	0.7688651854292362	0.8312105924263328	0.882368057986533	0.5090616312830756	0.7959920103782715	0.8413088153532525	0.7286880958754608	0.7259098490620431	0.9372658196569404	0.7666182072771451	0.8022107365689929	0.4822939274756502	0.8029083870436341	0.861976401787369	0.8745637625352635	0.6335201696765027	0.8024051232419743	0.6734806334040319	0.264048761402714	0.8722813664724173	0.8698910693326195	0.5090657496447913	0.8760406070465169	0.6943804954389144	0.8495628359038775	0.421610691267014	0.7764734468628379	0.886872722031176	0.764666927496242	0.6435261413009905	0.32356650124580444	0.74306200193563	0.7731342791837407
BritoIL_2016__M1.57.ST__bin.54	0.7527333628444083	0.5694695872296277	0.3993887647777856	0.7806666861876113	0.49423988599768387	1.0	0.8429855791892952	0.5181030924046875	0.4290611746211645	0.9343108733383514	0.9643805918176238	0.7385600088188737	0.9585392362373035	0.7142409309423621	0.849909773046054	0.9034534273324227	0.7964487957012584	0.9466825590121024	0.9592695492212004	0.683771033100058	0.9015426713493968	0.8999350641521393	0.7070044019729933	0.8378205669226781	0.9278345129151143	0.37509322686380525	0.5494640639506143	0.7692710477407665	0.7283218475540544	0.633107866423918	0.9759398617113323	0.3907467278016718	0.7455818073983231	0.6591775137091574	0.470237736397203	0.7233537671691014	0.9197344692226472	0.348750286355032	0.670815441526446	0.44065202251339053	0.48534235430629163
BritoIL_2016__WL.7.ST__bin.78	0.7480966032592732	0.5422330838552009	0.38296518663862483	0.7644617029526148	0.47069885208727424	0.8625465568492909	1.0	0.5103447262985983	0.41255243153058946	0.9308878993314613	0.9414588008600533	0.7291777796054564	0.9309813067641081	0.686701483944496	0.8411157194722186	0.8829017400806006	0.7665959746683743	0.9216951980355066	0.9487116823912303	0.6828177321380315	0.8879633654874223	0.8705014627956433	0.6961391594505998	0.8207382124519745	0.9066125412696361	0.3624190762651126	0.5425714654979967	0.7433480983656636	0.7068187425832149	0.6144693400383029	0.9570754661559611	0.3716029655391195	0.7161741725511391	0.6459253210513329	0.4427529931501216	0.6907538391042286	0.8975514328347687	0.33327184500240864	0.672836061143683	0.42049852545499405	0.4683384051415211
BritoIL_2016__M2.41.ST__bin.40	0.9337759029812099	0.6733973194617281	0.3909166621578797	0.9126767122440619	0.5428766318588312	0.8718609180920874	0.8393290538503753	1.0	0.4431892840303918	0.932081243188511	0.9670410892198767	0.7462077880921648	0.9279141578487675	0.9078023914606151	0.826821034650672	0.8938750705303107	0.9506964143549471	0.9222688344914475	0.9291798387657776	0.6889497360427278	0.8994730516243227	0.9670304613648485	0.8567104276648864	0.832516598777217	0.950381443378653	0.31161064176785674	0.5132500367144083	0.9720120268672175	0.949229770361038	0.9130477210014145	0.9755240498697605	0.368056145991946	0.9656275845011092	0.6371292810932392	0.4750999018372663	0.9505369965295223	0.9470191765151457	0.29927749909180146	0.7446773769680856	0.5139128284007204	0.5767543690145853
BritoIL_2016__W2.11.ST__bin.63	0.431087296048596	0.8742045691258108	0.8159208087308528	0.44650682373856593	0.8960662589478474	0.7173675353810148	0.6741231661532584	0.44033248506572237	1.0	0.8403954571765648	0.8835198338150636	0.4948081606479984	0.822260257206515	0.8523150410230664	0.7223736262048456	0.7425698188879855	0.8971077946226041	0.7910717834066568	0.8314977666979287	0.46576515434406773	0.8289760024420891	0.931163611335364	0.8801408425015671	0.6317494631531556	0.8214999841609782	0.7263314617689212	0.24585809580400314	0.8820146467754152	0.8758844653754184	0.4870777580776611	0.8861750298301577	0.7918003784086295	0.885898566904508	0.41099861672543103	0.8601145593248161	0.8770824713865671	0.7876985517374447	0.7311897217227864	0.2678426580374396	0.835903894575471	0.825883073461383
BritoIL_2016__M1.59.ST__bin.21	0.6941297026342584	0.5633611747623705	0.4059161865208389	0.7357070846027325	0.5066644709492528	0.817021261640482	0.7955673285281932	0.484356015495874	0.43954480368077214	1.0	0.9318480777765952	0.6773947210401274	0.8854021275698429	0.6765868911653837	0.802510448066932	0.8413681193881178	0.7768692550693961	0.8751081959838454	0.8931224507419584	0.6386198911914913	0.867667525540277	0.8580182512315766	0.720409528074724	0.76867548032992	0.903099576454144	0.3994671034002157	0.4935971072761925	0.7555784945545538	0.7198783385113438	0.5875313040352332	0.9449902498097157	0.40059475156595487	0.718678894402728	0.5964420340644135	0.46218211467669734	0.6948813007215743	0.8582989080991849	0.36629536951313313	0.6124053347900044	0.42940350123207865	0.5111198359638429
