	WenC_2017__RA017__bin.25	WenC_2017__RA007__bin.39	BritoIL_2016__WL.8.ST__bin.39	WenC_2017__N035__bin.74	ChengpingW_2017__AS18raw__bin.2	QinJ_2012__T2D-003__bin.38	ChengpingW_2017__AS101raw__bin.22	WenC_2017__RA047__bin.66	BritoIL_2016__W3.21.ST__bin.63	CosteaPI_2017__SID713A029-11-0-0__bin.63	BritoIL_2016__W2.53.ST__bin.27	HeQ_2017__SZAXPI029588-107__bin.7	QinJ_2012__CON-010__bin.9	QinJ_2012__CON-077__bin.4	QinN_2014__HD-30__bin.8	BritoIL_2016__WL.2.ST__bin.81	BritoIL_2016__W1.27.ST__bin.48	BritoIL_2016__WL.30.ST__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.1	BritoIL_2016__WL.13.ST__bin.14	BritoIL_2016__WL.36.ST__bin.40	QinJ_2012__CON-029__bin.31	BritoIL_2016__M2.33.ST__bin.49	HeQ_2017__SZAXPI029593-133__bin.43	QinJ_2012__CON-017__bin.41	QinN_2014__HD-77__bin.19
WenC_2017__RA017__bin.25	2540144.0	1577529.0	1926670.0	1606286.0	1701330.0	1953954.0	2155177.0	1610518.0	1426346.0	1322591.0	1621915.0	1417507.0	1132706.0	2290491.0	1941097.0	1770077.0	1774749.0	1391989.0	1718206.0	1598627.0	719099.0	1547153.0	1762631.0	1916549.0	1444894.0	2217074.0
WenC_2017__RA007__bin.39	1577529.0	1816742.0	1482144.0	1239403.0	1385757.0	1506351.0	1643140.0	1343808.0	1043881.0	897052.0	1109010.0	903652.0	677517.0	1692111.0	1492802.0	1275218.0	1264112.0	863021.0	1309978.0	1283384.0	418830.0	1029720.0	1370451.0	1473160.0	1206818.0	1691952.0
BritoIL_2016__WL.8.ST__bin.39	1926670.0	1482144.0	2257726.0	1542588.0	1600882.0	1826212.0	2011265.0	1518197.0	1365724.0	1121699.0	1463507.0	1145901.0	853853.0	2051932.0	1800930.0	1647304.0	1655379.0	1111523.0	1696134.0	1542727.0	481103.0	1310977.0	1723642.0	1781569.0	1405845.0	2008209.0
WenC_2017__N035__bin.74	1606286.0	1239403.0	1542588.0	1833252.0	1389322.0	1576158.0	1699544.0	1278613.0	1282068.0	960278.0	1244349.0	978133.0	672034.0	1716253.0	1510111.0	1442475.0	1452044.0	941167.0	1411063.0	1290216.0	269476.0	1166201.0	1432136.0	1587420.0	1218547.0	1690702.0
ChengpingW_2017__AS18raw__bin.2	1701330.0	1385757.0	1600882.0	1389322.0	2198055.0	1665215.0	1776550.0	1412483.0	1127100.0	899579.0	1165463.0	923059.0	666931.0	1862446.0	1603425.0	1346616.0	1336745.0	898530.0	1462687.0	1336030.0	367318.0	1089156.0	1496169.0	1537262.0	1316951.0	1835231.0
QinJ_2012__T2D-003__bin.38	1953954.0	1506351.0	1826212.0	1576158.0	1665215.0	2307308.0	2015254.0	1565695.0	1322991.0	1149786.0	1430557.0	1180081.0	880002.0	2103825.0	1817418.0	1613996.0	1606763.0	1129940.0	1672250.0	1524583.0	513588.0	1351583.0	1708251.0	1775381.0	1450999.0	2065084.0
ChengpingW_2017__AS101raw__bin.22	2155177.0	1643140.0	2011265.0	1699544.0	1776550.0	2015254.0	2515247.0	1677379.0	1556714.0	1333375.0	1637854.0	1340992.0	1043500.0	2307552.0	2014718.0	1812180.0	1788996.0	1314840.0	1807940.0	1641667.0	629158.0	1533845.0	1832442.0	1963042.0	1499071.0	2264693.0
WenC_2017__RA047__bin.66	1610518.0	1343808.0	1518197.0	1278613.0	1412483.0	1565695.0	1677379.0	1893354.0	1049104.0	858045.0	1087565.0	887976.0	666461.0	1714822.0	1519503.0	1265829.0	1254842.0	846420.0	1383812.0	1291966.0	380811.0	1038090.0	1396285.0	1466145.0	1247055.0	1701095.0
BritoIL_2016__W3.21.ST__bin.63	1426346.0	1043881.0	1365724.0	1282068.0	1127100.0	1322991.0	1556714.0	1049104.0	1878303.0	1263892.0	1694779.0	1285134.0	978752.0	1552176.0	1319326.0	1675750.0	1619653.0	1273343.0	1184850.0	1082801.0	533957.0	1429451.0	1235050.0	1454376.0	874709.0	1523642.0
CosteaPI_2017__SID713A029-11-0-0__bin.63	1322591.0	897052.0	1121699.0	960278.0	899579.0	1149786.0	1333375.0	858045.0	1263892.0	1626578.0	1504946.0	1422738.0	1225186.0	1440167.0	1129799.0	1489486.0	1451812.0	1364478.0	929698.0	860638.0	776324.0	1474272.0	1020996.0	1302060.0	668410.0	1385532.0
