	ZeeviD_2015__PNP_Main_268__bin.39	XieH_2016__YSZC12003_37296R1__bin.33	VatanenT_2016__G80495__bin.7	LiuW_2016__SRR3993004__bin.12	CosteaPI_2017__SID713B032-11-90-0__bin.76	ZeeviD_2015__PNP_Main_381__bin.1	NielsenHB_2014__MH0101__bin.14	LeChatelierE_2013__MH0101__bin.15	QinJ_2012__CON-094__bin.7	QinJ_2012__T2D-083__bin.12	HeQ_2017__SZAXPI029573-88__bin.21	HMP_2012__SRS019601__bin.18	XieH_2016__YSZC12003_36058__bin.40	CosteaPI_2017__SID713A089-11-0-0__bin.48	HeQ_2017__SZAXPI029578-96__bin.47	BritoIL_2016__M1.44.ST__bin.56	ZeeviD_2015__PNP_Main_391__bin.26	HeQ_2017__SZAXPI029557-42__bin.38	ZeeviD_2015__PNP_Main_154__bin.30	ZeeviD_2015__PNP_Main_178__bin.19	KarlssonFH_2013__S248__bin.9	SchirmerM_2016__G89058__bin.16	FengQ_2015__SID31873__bin.66	QinN_2014__LD-74__bin.66	XieH_2016__YSZC12003_37880__bin.50	ZeeviD_2015__PNP_Main_384__bin.41	XieH_2016__YSZC12003_36052__bin.58	ZeeviD_2015__PNP_Main_137__bin.19	BackhedF_2015__SID560_4M__bin.10	VatanenT_2016__G78589__bin.6	LiuW_2016__SRR3993060__bin.98
ZeeviD_2015__PNP_Main_268__bin.39	3103143.0	2622425.0	1399567.0	1219213.0	2160670.0	2067192.0	2297797.0	2283388.0	2397930.0	2222648.0	2500953.0	2347361.0	1991375.0	2448624.0	2523333.0	1339066.0	2712951.0	2408715.0	2509117.0	2487121.0	2431268.0	2491729.0	2360050.0	2314411.0	2663417.0	2560413.0	2464948.0	2775717.0	1355481.0	1656350.0	1297213.0
XieH_2016__YSZC12003_37296R1__bin.33	2622425.0	3023389.0	1341424.0	1152541.0	2075380.0	1995001.0	2216113.0	2203563.0	2294126.0	2094323.0	2478137.0	2244221.0	1954201.0	2333073.0	2428420.0	1263100.0	2628445.0	2258183.0	2298341.0	2424382.0	2347002.0	2334610.0	2279554.0	2280522.0	2601466.0	2364205.0	2394250.0	2583050.0	1282547.0	1592197.0	1229810.0
VatanenT_2016__G80495__bin.7	1399567.0	1341424.0	1881803.0	885652.0	1351551.0	1116877.0	1495070.0	1511185.0	1422620.0	1346707.0	1419908.0	1405893.0	1246640.0	1415828.0	1446921.0	923369.0	1396103.0	1386467.0	1349135.0	1321756.0	1410863.0	1346227.0	1354929.0	1376854.0	1383908.0	1395543.0	1395448.0	1434739.0	1143231.0	1342153.0	892309.0
LiuW_2016__SRR3993004__bin.12	1219213.0	1152541.0	885652.0	1515077.0	1161806.0	955142.0	1200598.0	1205352.0	1231473.0	1170481.0	1208907.0	1205741.0	1081741.0	1237040.0	1248057.0	772178.0	1203373.0	1198228.0	1152568.0	1140073.0	1204001.0	1181859.0	1161038.0	1183104.0	1204934.0	1195368.0	1241494.0	1243709.0	824519.0	967781.0	868661.0
CosteaPI_2017__SID713B032-11-90-0__bin.76	2160670.0	2075380.0	1351551.0	1161806.0	4278734.0	1692654.0	2096737.0	2096743.0	2107038.0	1959815.0	2184275.0	2076701.0	1814401.0	2134035.0	2153035.0	1258696.0	2178024.0	2042267.0	2051669.0	2034803.0	2164862.0	2026520.0	2094529.0	2035760.0	2145811.0	2095924.0	2107948.0	2210431.0	1277550.0	1563124.0	1241470.0
ZeeviD_2015__PNP_Main_381__bin.1	2067192.0	1995001.0	1116877.0	955142.0	1692654.0	2285902.0	1813722.0	1824160.0	1867168.0	1671567.0	1978863.0	1880144.0	1627964.0	1864531.0	1970532.0	1012716.0	2101518.0	1840879.0	1928609.0	2057514.0	1927208.0	1941580.0	1832706.0	1833671.0	2154099.0	1973018.0	1951614.0	1986618.0	1053866.0	1335540.0	1031189.0
NielsenHB_2014__MH0101__bin.14	2297797.0	2216113.0	1495070.0	1200598.0	2096737.0	1813722.0	3904716.0	3352634.0	2263424.0	2039150.0	2315254.0	2208191.0	1885211.0	2242588.0	2347144.0	1349978.0	2374413.0	2180364.0	2167446.0	2181250.0	2270674.0	2199112.0	2186686.0	2183990.0	2333948.0	2200064.0	2267830.0	2394318.0	1445236.0	1785833.0	1304520.0
LeChatelierE_2013__MH0101__bin.15	2283388.0	2203563.0	1511185.0	1205352.0	2096743.0	1824160.0	3352634.0	3622070.0	2262739.0	2055485.0	2325848.0	2209818.0	1888633.0	2243520.0	2336954.0	1352028.0	2357452.0	2166364.0	2160901.0	2170876.0	2258296.0	2196630.0	2189277.0	2191228.0	2314792.0	2194578.0	2256278.0	2375879.0	1452440.0	1804764.0	1309372.0
QinJ_2012__CON-094__bin.7	2397930.0	2294126.0	1422620.0	1231473.0	2107038.0	1867168.0	2263424.0	2262739.0	2920964.0	2247556.0	2502167.0	2279599.0	1998062.0	2346662.0	2590933.0	1327824.0	2428199.0	2423938.0	2236744.0	2253731.0	2302014.0	2278813.0	2264574.0	2275653.0	2378688.0	2365395.0	2381425.0	2452751.0	1382904.0	1674452.0	1299556.0
QinJ_2012__T2D-083__bin.12	2222648.0	2094323.0	1346707.0	1170481.0	1959815.0	1671567.0	2039150.0	2055485.0	2247556.0	2517275.0	2239112.0	2102837.0	1835142.0	2142462.0	2308611.0	1273164.0	2179326.0	2207240.0	2060913.0	2036611.0	2137440.0	2138451.0	2027806.0	2082418.0	2158426.0	2169616.0	2149331.0	2238145.0	1300360.0	1564128.0	1232667.0
