	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	XieH_2016__YSZC12003_35541__bin.76	XieH_2016__YSZC12003_36058__bin.56	XieH_2016__YSZC12003_37878__bin.38	KarlssonFH_2013__S263__bin.7	ZeeviD_2015__PNP_Main_25__bin.71	XieH_2016__YSZC12003_35999__bin.85	XieH_2016__YSZC12003_35989__bin.123	XieH_2016__YSZC12003_37405__bin.99	XieH_2016__YSZC12003_36587__bin.73	FengQ_2015__SID530177__bin.8	XieH_2016__YSZC12003_36049__bin.130	ZellerG_2014__CCIS23164343ST-4-0__bin.33	XieH_2016__YSZC12003_35636__bin.60	XieH_2016__YSZC12003_37830__bin.24	XieH_2016__YSZC12003_36534__bin.20	FengQ_2015__SID31188__bin.73	CosteaPI_2017__alien3-11-0-0__bin.61	FengQ_2015__SID530705__bin.5	ZellerG_2014__MMPU68403337ST__bin.48	XieH_2016__YSZC12003_35992__bin.44	XieH_2016__YSZC12003_37798__bin.88	XieH_2016__YSZC12003_36667__bin.29	FengQ_2015__SID31879__bin.21	FengQ_2015__SID31884__bin.15	XieH_2016__YSZC12003_36588__bin.103
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	0.0	22334.0	19597.0	26845.0	20314.0	13004.0	23408.0	17131.0	22193.0	21438.0	23993.0	24849.0	22425.0	21150.0	25740.0	23793.0	18220.0	18634.0	20361.0	13111.0	21832.0	17467.0	22029.0	18993.0	24229.0	20232.0
XieH_2016__YSZC12003_35541__bin.76	22334.0	0.0	20819.0	24472.0	24156.0	12805.0	20521.0	16271.0	19688.0	19344.0	20238.0	22748.0	21967.0	23858.0	24026.0	22261.0	20196.0	16471.0	25763.0	18405.0	24350.0	16944.0	22574.0	21002.0	21546.0	18168.0
XieH_2016__YSZC12003_36058__bin.56	19597.0	20819.0	0.0	23589.0	20239.0	10608.0	20261.0	15799.0	19631.0	18522.0	21541.0	21706.0	19229.0	19926.0	22825.0	21104.0	18051.0	15409.0	21196.0	14690.0	20499.0	15264.0	20130.0	17353.0	20372.0	17537.0
XieH_2016__YSZC12003_37878__bin.38	26845.0	24472.0	23589.0	0.0	28505.0	13242.0	22591.0	16809.0	26274.0	21919.0	25899.0	25972.0	25046.0	26759.0	2018.0	25725.0	23561.0	17649.0	29004.0	19685.0	27270.0	19435.0	21025.0	23046.0	24679.0	18889.0
KarlssonFH_2013__S263__bin.7	20314.0	24156.0	20239.0	28505.0	0.0	13116.0	23781.0	17215.0	23436.0	21982.0	25438.0	24763.0	22667.0	21164.0	25846.0	24740.0	17505.0	17905.0	21275.0	13961.0	22237.0	17603.0	22128.0	18270.0	24886.0	20210.0
ZeeviD_2015__PNP_Main_25__bin.71	13004.0	12805.0	10608.0	13242.0	13116.0	0.0	12337.0	10032.0	12824.0	10932.0	12681.0	12348.0	12382.0	12982.0	13444.0	12648.0	11358.0	9548.0	14392.0	9985.0	13526.0	10193.0	12273.0	11038.0	12036.0	10535.0
XieH_2016__YSZC12003_35999__bin.85	23408.0	20521.0	20261.0	22591.0	23781.0	12337.0	0.0	16036.0	21446.0	17733.0	21446.0	20856.0	21475.0	22102.0	22083.0	21422.0	19892.0	15224.0	24985.0	17839.0	23475.0	16757.0	19432.0	18841.0	19782.0	20384.0
XieH_2016__YSZC12003_35989__bin.123	17131.0	16271.0	15799.0	16809.0	17215.0	10032.0	16036.0	0.0	16535.0	14631.0	16406.0	17229.0	16702.0	16964.0	16817.0	16726.0	15658.0	12747.0	19060.0	12783.0	17246.0	13591.0	14876.0	15169.0	15928.0	13159.0
XieH_2016__YSZC12003_37405__bin.99	22193.0	19688.0	19631.0	26274.0	23436.0	12824.0	21446.0	16535.0	0.0	19309.0	20547.0	23461.0	21260.0	22612.0	25580.0	23240.0	19695.0	15751.0	24598.0	16426.0	22358.0	15659.0	20784.0	19109.0	21892.0	18581.0
XieH_2016__YSZC12003_36587__bin.73	21438.0	19344.0	18522.0	21919.0	21982.0	10932.0	17733.0	14631.0	19309.0	0.0	19407.0	19339.0	19552.0	20808.0	20868.0	21262.0	18362.0	14722.0	23719.0	15531.0	21013.0	15690.0	18699.0	18239.0	18135.0	15918.0
FengQ_2015__SID530177__bin.8	23993.0	20238.0	21541.0	25899.0	25438.0	12681.0	21446.0	16406.0	20547.0	19407.0	0.0	22551.0	21375.0	24957.0	23671.0	22644.0	20975.0	16412.0	26426.0	18261.0	23731.0	17137.0	22612.0	21565.0	22064.0	18392.0
XieH_2016__YSZC12003_36049__bin.130	24849.0	22748.0	21706.0	25972.0	24763.0	12348.0	20856.0	17229.0	23461.0	19339.0	22551.0	0.0	23215.0	23364.0	25283.0	22369.0	21454.0	17233.0	26454.0	18414.0	24136.0	18082.0	21437.0	20235.0	22576.0	19340.0
ZellerG_2014__CCIS23164343ST-4-0__bin.33	22425.0	21967.0	19229.0	25046.0	22667.0	12382.0	21475.0	16702.0	21260.0	19552.0	21375.0	23215.0	0.0	21080.0	24190.0	21735.0	18343.0	16164.0	25015.0	16030.0	21087.0	15893.0	20197.0	18113.0	20615.0	17995.0
XieH_2016__YSZC12003_35636__bin.60	21150.0	23858.0	19926.0	26759.0	21164.0	12982.0	22102.0	16964.0	22612.0	20808.0	24957.0	23364.0	21080.0	0.0	25177.0	22664.0	18285.0	16600.0	22932.0	15542.0	22973.0	15913.0	21375.0	18584.0	23004.0	19158.0
XieH_2016__YSZC12003_37830__bin.24	25740.0	24026.0	22825.0	2018.0	25846.0	13444.0	22083.0	16817.0	25580.0	20868.0	23671.0	25283.0	24190.0	25177.0	0.0	24570.0	22659.0	17394.0	28252.0	19185.0	26278.0	18960.0	20232.0	22427.0	23343.0	18513.0
XieH_2016__YSZC12003_36534__bin.20	23793.0	22261.0	21104.0	25725.0	24740.0	12648.0	21422.0	16726.0	23240.0	21262.0	22644.0	22369.0	21735.0	22664.0	24570.0	0.0	20915.0	16375.0	25882.0	18446.0	23404.0	16699.0	21128.0	20449.0	21872.0	18913.0
FengQ_2015__SID31188__bin.73	18220.0	20196.0	18051.0	23561.0	17505.0	11358.0	19892.0	15658.0	19695.0	18362.0	20975.0	21454.0	18343.0	18285.0	22659.0	20915.0	0.0	15639.0	19952.0	13330.0	18870.0	14949.0	19018.0	16637.0	20144.0	16921.0
CosteaPI_2017__alien3-11-0-0__bin.61	18634.0	16471.0	15409.0	17649.0	17905.0	9548.0	15224.0	12747.0	15751.0	14722.0	16412.0	17233.0	16164.0	16600.0	17394.0	16375.0	15639.0	0.0	19520.0	13773.0	17751.0	12932.0	16221.0	15068.0	16016.0	15024.0
FengQ_2015__SID530705__bin.5	20361.0	25763.0	21196.0	29004.0	21275.0	14392.0	24985.0	19060.0	24598.0	23719.0	26426.0	26454.0	25015.0	22932.0	28252.0	25882.0	19952.0	19520.0	0.0	5056.0	24874.0	18918.0	24492.0	20667.0	27175.0	21171.0
ZellerG_2014__MMPU68403337ST__bin.48	13111.0	18405.0	14690.0	19685.0	13961.0	9985.0	17839.0	12783.0	16426.0	15531.0	18261.0	18414.0	16030.0	15542.0	19185.0	18446.0	13330.0	13773.0	5056.0	0.0	16679.0	13153.0	17089.0	13836.0	18097.0	14804.0
XieH_2016__YSZC12003_35992__bin.44	21832.0	24350.0	20499.0	27270.0	22237.0	13526.0	23475.0	17246.0	22358.0	21013.0	23731.0	24136.0	21087.0	22973.0	26278.0	23404.0	18870.0	17751.0	24874.0	16679.0	0.0	16585.0	23077.0	19513.0	24555.0	19983.0
XieH_2016__YSZC12003_37798__bin.88	17467.0	16944.0	15264.0	19435.0	17603.0	10193.0	16757.0	13591.0	15659.0	15690.0	17137.0	18082.0	15893.0	15913.0	18960.0	16699.0	14949.0	12932.0	18918.0	13153.0	16585.0	0.0	16163.0	14259.0	16977.0	14574.0
XieH_2016__YSZC12003_36667__bin.29	22029.0	22574.0	20130.0	21025.0	22128.0	12273.0	19432.0	14876.0	20784.0	18699.0	22612.0	21437.0	20197.0	21375.0	20232.0	21128.0	19018.0	16221.0	24492.0	17089.0	23077.0	16163.0	0.0	19457.0	21294.0	16857.0
FengQ_2015__SID31879__bin.21	18993.0	21002.0	17353.0	23046.0	18270.0	11038.0	18841.0	15169.0	19109.0	18239.0	21565.0	20235.0	18113.0	18584.0	22427.0	20449.0	16637.0	15068.0	20667.0	13836.0	19513.0	14259.0	19457.0	0.0	19687.0	17089.0
