	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W1.39.ST__bin.103	0.0	12267.0	10381.0	11731.0	9585.0	11692.0	10539.0	10236.0	9690.0	11246.0	9055.0	8757.0	10617.0	10200.0	11096.0	10285.0	9591.0	11875.0	11519.0	11606.0	10220.0	10664.0	3871.0	12312.0	9425.0	9370.0	11498.0	7344.0
BritoIL_2016__M2.45.ST__bin.27	12267.0	0.0	12488.0	10387.0	11075.0	10937.0	11950.0	10939.0	12129.0	13699.0	10903.0	7775.0	10798.0	12430.0	13635.0	12433.0	12769.0	11287.0	13881.0	10940.0	12366.0	10147.0	12172.0	14752.0	12314.0	9373.0	10434.0	8826.0
BritoIL_2016__M2.49.ST__bin.71	10381.0	12488.0	0.0	13343.0	9689.0	12845.0	10389.0	10472.0	13140.0	10880.0	11683.0	9472.0	13244.0	12683.0	10994.0	13280.0	12071.0	12449.0	11275.0	12908.0	131.0	11021.0	11551.0	12786.0	11411.0	9179.0	13732.0	3009.0
BritoIL_2016__M1.26.ST__bin.32	11731.0	10387.0	13343.0	0.0	11066.0	11933.0	12048.0	10966.0	11676.0	13010.0	10969.0	8863.0	12288.0	12257.0	13168.0	12701.0	12518.0	5722.0	13320.0	6181.0	12377.0	10638.0	12225.0	14552.0	11727.0	9687.0	6239.0	8961.0
BritoIL_2016__M1.22.ST__bin.54	9585.0	11075.0	9689.0	11066.0	0.0	11337.0	10111.0	9563.0	11286.0	9742.0	9716.0	7594.0	11193.0	10729.0	9494.0	10731.0	11124.0	10896.0	9982.0	10746.0	9758.0	9758.0	9565.0	427.0	10757.0	8423.0	10297.0	7336.0
BritoIL_2016__M1.7.ST__bin.59	11692.0	10937.0	12845.0	11933.0	11337.0	0.0	12879.0	11828.0	12095.0	13439.0	11305.0	9003.0	12267.0	12469.0	13526.0	12888.0	12196.0	12015.0	14973.0	12061.0	12208.0	11785.0	11777.0	14875.0	11404.0	9195.0	11914.0	8211.0
BritoIL_2016__M2.44.ST__bin.90	10539.0	11950.0	10389.0	12048.0	10111.0	12879.0	0.0	11292.0	12607.0	10387.0	10461.0	8312.0	13115.0	12333.0	10125.0	12441.0	12160.0	11286.0	10690.0	12075.0	10228.0	11307.0	10981.0	12867.0	11355.0	10197.0	11535.0	7460.0
BritoIL_2016__W1.36.ST__bin.14	10236.0	10939.0	10472.0	10966.0	9563.0	11828.0	11292.0	0.0	10905.0	11499.0	9210.0	5449.0	11590.0	10622.0	11235.0	10615.0	10864.0	11211.0	11690.0	10802.0	10375.0	3107.0	9951.0	12148.0	10486.0	8004.0	10531.0	6688.0
BritoIL_2016__W1.18.ST__bin.8	9690.0	12129.0	13140.0	11676.0	11286.0	12095.0	12607.0	10905.0	0.0	12844.0	9312.0	8831.0	8308.0	10808.0	12759.0	10987.0	10243.0	11354.0	13285.0	12115.0	12870.0	11305.0	10472.0	15004.0	10027.0	9686.0	11976.0	9111.0
BritoIL_2016__W2.13.ST__bin.51	11246.0	13699.0	10880.0	13010.0	9742.0	13439.0	10387.0	11499.0	12844.0	0.0	10750.0	8568.0	12847.0	13045.0	304.0	13328.0	13567.0	14166.0	249.0	14428.0	11231.0	12092.0	11243.0	13400.0	13049.0	9104.0	13394.0	8470.0
