	XieH_2016__YSZC12003_36699__bin.108	LomanNJ_2013__OBK2764__bin.2	LiJ_2014__V1.FI15__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	WenC_2017__RA035__bin.15	FengQ_2015__SID31398__bin.76	WenC_2017__N010__bin.27	XieH_2016__YSZC12003_35390__bin.29	ZeeviD_2015__PNP_Main_39__bin.58	NielsenHB_2014__O2_UC57_0__bin.13	LiSS_2016__FAT_015-22-14-0__bin.10	ZeeviD_2015__PNP_Main_7__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	ZeeviD_2015__PNP_Main_118__bin.18	ZeeviD_2015__PNP_Main_234__bin.27	ZeeviD_2015__PNP_Main_352__bin.20	LiSS_2016__FAT_015-22-84-0__bin.18	FengQ_2015__SID31875__bin.41	LiSS_2016__FAT_015-22-0-0__bin.30	ZeeviD_2015__PNP_Main_292__bin.37	NielsenHB_2014__O2_UC57_2__bin.19	ZellerG_2014__CCIS12656533ST-4-0__bin.30	LeChatelierE_2013__MH0057__bin.11	HeQ_2017__SZAXPI029585-104__bin.39	NielsenHB_2014__MH0057__bin.12	LiSS_2016__FAT_015-22-42-0__bin.22	LiSS_2016__FAT_015-22-2-0__bin.47
XieH_2016__YSZC12003_36699__bin.108	1.0	0.5318141785273989	0.8755538381463176	0.7968804946499743	0.819375295399154	0.8430911921734291	0.8387945592836478	0.6201100295545866	0.8138042987094302	0.8673840060346069	0.9012049802660951	0.8265759248617408	0.8499780834706032	0.8022479000985454	0.8175447799160627	0.8484730431202637	0.6612562256711852	0.8347277001006219	0.7740945268264189	0.8348116645592791	0.8799222471055962	0.8184796745068104	0.8331016787023248	0.8518948205214554	0.8525791760016938	0.7083819552252753	0.8893226551006377
LomanNJ_2013__OBK2764__bin.2	0.902494162565652	1.0	0.9756589712632759	0.9183203510427711	0.9481065875676438	0.9100406935055861	0.9690041428930386	0.6325610862224292	0.9405271157252207	0.9667511383763047	0.9853688768224745	0.9316889949807258	0.9623577412652984	0.9163890948759277	0.9194503006048869	0.9557381520000491	0.7092988337388384	0.9033567545703587	0.8366996892830221	0.950849875284211	0.9802316281692213	0.9280302566019697	0.9402674188428091	0.9599967212311011	0.962129453150376	0.737405850304282	0.980811541266524
LiJ_2014__V1.FI15__bin.44	0.7920423621116044	0.5200907222826602	1.0	0.8183022486189109	0.817144943302657	0.7911778542236335	0.8374741505199298	0.5509536947196821	0.8212726928216034	0.8737593883024773	0.8721300134923669	0.8167010509671707	0.8560253382075733	0.7956184110369521	0.8088580001894812	0.824418325443729	0.6303985801979098	0.7850176740204966	0.7366354512755677	0.8052035452582335	0.8803924547286989	0.8098621687754616	0.8229898660237375	0.8489226524751796	0.8264813834739742	0.6570043515333275	0.8637883495209067
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	0.7553260587721332	0.5129216026398596	0.8574118114205077	1.0	0.8149890419469649	0.7710306046740096	0.8269064059896607	0.5326897420471748	0.809359828915739	0.8516131571943619	0.8343130400403236	0.8041405266540413	0.9760788397899272	0.7879794308658531	0.7994231297500229	0.8313153001120195	0.588878324962539	0.7586126189190507	0.6991866822643847	0.8048259933062171	0.8668320572471625	0.8158229835855982	0.8142834648499375	0.8549241066041845	0.8115497279955364	0.6257814191470262	0.8276218243682111
WenC_2017__RA035__bin.15	0.7642917927960059	0.5211335155462788	0.8425775313837306	0.8020230100337828	1.0	0.7761551440348279	0.8929822470805856	0.5437595294408931	0.79921444352697	0.8377330699653077	0.8396645384160948	0.8043818690399545	0.8405075294425775	0.7725873803148542	0.7888699077889086	0.8169429406238723	0.6105945697398223	0.7658245037532471	0.7154467368204753	0.8026605167341299	0.858254553814787	0.8027287307932158	0.8044509252479181	0.8393158887807664	0.8261278373574715	0.6350901541427199	0.8330953560963368
FengQ_2015__SID31398__bin.76	0.8102815671339711	0.5153920676673951	0.840562431423897	0.7817929551598515	0.7997120074831198	1.0	0.8154505078482083	0.5822373087841188	0.8286075748366213	0.8299946071904417	0.8600164604340018	0.8186900982723486	0.8300132629274496	0.7956255333696903	0.8067105119871787	0.8358030492151358	0.634288550453573	0.9698098112690197	0.7432137587361997	0.8183972465867594	0.8409663498228356	0.81046378596056	0.8012239898894582	0.8438471427003355	0.8214290207777186	0.6758730559528938	0.8420917680041963
WenC_2017__N010__bin.27	0.747073009123527	0.5085674792014783	0.8245429793229002	0.7770026970130219	0.8526561638085619	0.7556899416049238	1.0	0.5262379804406248	0.7843270092103718	0.8097857989478915	0.8121844840535285	0.783335129197699	0.8104885984055941	0.7646711397091343	0.7717606493416683	0.7921993280786878	0.5790520730975766	0.7481843007145396	0.6848245976593722	0.7777131355952647	0.8248823172761616	0.7738364809206834	0.7851858076323699	0.8113747368522626	0.7970618318781472	0.6145989298792697	0.8068672513143315
XieH_2016__YSZC12003_35390__bin.29	0.8585968629583447	0.5161055431069775	0.8432766740733102	0.7781325882937531	0.8071441295318814	0.8388014363263049	0.8180790854514146	1.0	0.8300978489482254	0.8392595856654885	0.8548860408209186	0.8026151389292556	0.8540159945997131	0.7963410556185797	0.8158802186366151	0.8403733948366007	0.7460927611779375	0.827785226090136	0.7772162896153858	0.8418553485653926	0.8467787351203032	0.8202304497426426	0.8090817324670373	0.8384026651415857	0.8157595872280715	0.7545500854732907	0.8332892684923887
ZeeviD_2015__PNP_Main_39__bin.58	0.7887167304331086	0.5371405071127474	0.8798788984483864	0.827563728160267	0.8304013895178032	0.835581018381798	0.8534749976484074	0.5810450696399547	1.0	0.8575608624985508	0.8631224337561825	0.8374229169811238	0.8696342671890483	0.8225057258546125	0.8401555769933302	0.8514773470535091	0.637489417833166	0.8278183564226916	0.7324902600314567	0.8372969153667281	0.8586660016581462	0.8368716599181427	0.8308327700448662	0.8655715901359986	0.8370926002489407	0.6630056197595031	0.8555496492298807
NielsenHB_2014__O2_UC57_0__bin.13	0.7685448617722479	0.5047635846859722	0.8558233167860813	0.7960840170024315	0.7957692312307484	0.7651942132215623	0.8056019867901971	0.5370733242857423	0.7840101627406442	1.0	0.8338315108157112	0.78291661216913	0.8268018285573492	0.7674489113092088	0.7704035777582853	0.7973487598360555	0.5986289419718229	0.757655753959921	0.7009927151292762	0.7673921138764528	0.9806872729352634	0.7779680358447798	0.7900058917336936	0.833608720885816	0.7965303968260634	0.6329549904344324	0.8250407081599912
