	HMP_2012__SRS011306__bin.5	CM_cf__CF_TNFC022IS_t3M16__bin.22	CM_cf__CF_TNFC022SA_t1M16__bin.10	HMP_2012__SRS015209__bin.36	HMP_2012__SRS057205__bin.52	HMP_2012__SRS013948__bin.18	CM_cf__CF_TNFC008IS_t1M15__bin.2	HMP_2012__SRS023926__bin.20	HMP_2012__SRS050244__bin.68	HMP_2012__SRS016225__bin.33	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	HMP_2012__SRS019327__bin.41	HMP_2012__SRS019126__bin.45	HMP_2012__SRS020334__bin.15	HMP_2012__SRS019127__bin.40	HMP_2012__SRS047824__bin.72	CM_cf__CF_TNFC022IS_t1M15__bin.9	HMP_2012__SRS019122__bin.33	HMP_2012__SRS016569__bin.28	HMP_2012__SRS058336__bin.54	HMP_2012__SRS053603__bin.58	CM_cf__CF_FIFC013SS_t5M16__bin.5	HMP_2012__SRS024441__bin.54	HMP_2012__SRS016002__bin.44	HMP_2012__SRS023617__bin.17	HMP_2012__SRS023835__bin.51	HMP_2012__SRS018739__bin.54	HMP_2012__SRS054687__bin.35	HMP_2012__SRS024580__bin.26	CM_cf__CF_TNFC022IS_t2M15__bin.18	CM_cf__CF_TNFC018IS_t3M15__bin.20	CM_cf__CF_TNFC004SA_t1M15__bin.22	HMP_2012__SRS018439__bin.19	HMP_2012__SRS049147__bin.40	Castro-NallarE_2015__ES_116__bin.9	HMP_2012__SRS016037__bin.25	HMP_2012__SRS075404__bin.9
HMP_2012__SRS011306__bin.5	1531669.0	1381571.0	1337740.0	1306391.0	1420985.0	1328566.0	1211446.0	1392976.0	1056367.0	1334689.0	898528.0	1118751.0	1386892.0	1350377.0	1381138.0	855011.0	1229089.0	1370496.0	1230287.0	1283734.0	1429326.0	1043585.0	1398012.0	1248984.0	745988.0	913232.0	1021763.0	1161470.0	939854.0	741551.0	1387363.0	1379421.0	994516.0	1375442.0	1056436.0	1218304.0	1429710.0	1422807.0
CM_cf__CF_TNFC022IS_t3M16__bin.22	1381571.0	1782888.0	1617221.0	1408161.0	1528172.0	1507120.0	1354459.0	1510541.0	1149374.0	1474276.0	996030.0	1254453.0	1543489.0	1524939.0	1503909.0	949569.0	1348945.0	1701822.0	1380395.0	1412919.0	1562302.0	1140472.0	1592682.0	1385393.0	837154.0	1002969.0	1109659.0	1310230.0	1042910.0	849227.0	1724077.0	1563942.0	1132825.0	1510200.0	1139992.0	1320162.0	1561779.0	1542620.0
CM_cf__CF_TNFC022SA_t1M16__bin.10	1337740.0	1617221.0	1678975.0	1385364.0	1487645.0	1461418.0	1337872.0	1463212.0	1117485.0	1438115.0	987838.0	1228743.0	1495130.0	1469298.0	1464375.0	937556.0	1324456.0	1627157.0	1349716.0	1373590.0	1535607.0	1121082.0	1539835.0	1355669.0	816163.0	980472.0	1083222.0	1270682.0	1025770.0	816744.0	1625406.0	1519038.0	1108323.0	1484829.0	1109370.0	1298067.0	1514331.0	1499980.0
HMP_2012__SRS015209__bin.36	1306391.0	1408161.0	1385364.0	1593271.0	1440573.0	1343245.0	1232342.0	1408066.0	1071606.0	1383112.0	897348.0	1152646.0	1409530.0	1365525.0	1408037.0	865491.0	1273464.0	1424184.0	1241261.0	1324367.0	1450575.0	1058937.0	1424268.0	1260454.0	776153.0	930044.0	1042299.0	1164159.0	957459.0	780697.0	1428153.0	1396839.0	1010928.0	1402621.0	1076499.0	1258419.0	1461068.0	1425910.0
HMP_2012__SRS057205__bin.52	1420985.0	1528172.0	1487645.0	1440573.0	1680564.0	1468941.0	1332289.0	1532768.0	1150160.0	1477159.0	981507.0	1238214.0	1530584.0	1480891.0	1534416.0	932426.0	1357370.0	1524226.0	1337523.0	1398020.0	1565664.0	1141246.0	1548627.0	1373627.0	840590.0	1030664.0	1135541.0	1269477.0	1035799.0	838783.0	1535200.0	1531826.0	1090937.0	1523957.0	1161360.0	1343039.0	1592549.0	1560611.0
HMP_2012__SRS013948__bin.18	1328566.0	1507120.0	1461418.0	1343245.0	1468941.0	1625303.0	1298824.0	1432249.0	1108992.0	1416405.0	979322.0	1205572.0	1468735.0	1534372.0	1436073.0	941012.0	1296221.0	1501129.0	1399552.0	1357489.0	1478671.0	1098558.0	1531290.0	1341135.0	769047.0	937681.0	1076215.0	1239439.0	1012834.0	775073.0	1515891.0	1480321.0	1082201.0	1452043.0	1105645.0	1277355.0	1486763.0	1501088.0
CM_cf__CF_TNFC008IS_t1M15__bin.2	1211446.0	1354459.0	1337872.0	1232342.0	1332289.0	1298824.0	1569675.0	1308547.0	1017058.0	1312093.0	897402.0	1105425.0	1340298.0	1305508.0	1312997.0	843707.0	1200799.0	1358786.0	1197979.0	1231118.0	1355343.0	998696.0	1370937.0	1232739.0	675382.0	846037.0	996167.0	1138419.0	932788.0	679246.0	1365989.0	1364996.0	1016725.0	1333479.0	1007622.0	1180544.0	1369181.0	1360937.0
HMP_2012__SRS023926__bin.20	1392976.0	1510541.0	1463212.0	1408066.0	1532768.0	1432249.0	1308547.0	1608754.0	1139567.0	1438408.0	961788.0	1213065.0	1485411.0	1451486.0	1499481.0	912302.0	1328541.0	1495865.0	1317771.0	1379854.0	1543391.0	1119923.0	1508145.0	1336771.0	836956.0	992362.0	1099707.0	1245612.0	1015370.0	810555.0	1517015.0	1494201.0	1086980.0	1478487.0	1146334.0	1305990.0	1547816.0	1511572.0
HMP_2012__SRS050244__bin.68	1056367.0	1149374.0	1117485.0	1071606.0	1150160.0	1108992.0	1017058.0	1139567.0	1240011.0	1094674.0	748012.0	932744.0	1170322.0	1116217.0	1144076.0	724402.0	1024765.0	1149267.0	1004385.0	1070456.0	1163496.0	888229.0	1160762.0	1034295.0	600108.0	750294.0	846226.0	996227.0	792450.0	589692.0	1154879.0	1152670.0	831616.0	1169814.0	885170.0	1012330.0	1167948.0	1141346.0
HMP_2012__SRS016225__bin.33	1334689.0	1474276.0	1438115.0	1383112.0	1477159.0	1416405.0	1312093.0	1438408.0	1094674.0	1725685.0	952331.0	1171891.0	1459754.0	1413569.0	1448707.0	890989.0	1291610.0	1476617.0	1301009.0	1361387.0	1500274.0	1092758.0	1498913.0	1347328.0	811622.0	983179.0	1068086.0	1225266.0	988201.0	815492.0	1483002.0	1478811.0	1058393.0	1446523.0	1104155.0	1314529.0	1506412.0	1492279.0
FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	898528.0	996030.0	987838.0	897348.0	981507.0	979322.0	897402.0	961788.0	748012.0	952331.0	1109220.0	828314.0	971426.0	951015.0	969577.0	624174.0	869683.0	988562.0	881931.0	913740.0	994133.0	715121.0	1013507.0	888517.0	505264.0	606700.0	737701.0	825354.0	697633.0	498855.0	1001940.0	970742.0	787319.0	984479.0	729628.0	856480.0	998562.0	1004693.0
FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	1118751.0	1254453.0	1228743.0	1152646.0	1238214.0	1205572.0	1105425.0	1213065.0	932744.0	1171891.0	828314.0	1530387.0	1238416.0	1201554.0	1217869.0	786142.0	1089584.0	1246800.0	1085493.0	1118970.0	1251099.0	917223.0	1262856.0	1102047.0	655144.0	790031.0	889657.0	1038143.0	873110.0	651121.0	1260069.0	1248605.0	922413.0	1236273.0	917214.0	1060876.0	1245191.0	1238835.0
HMP_2012__SRS019327__bin.41	1386892.0	1543489.0	1495130.0	1409530.0	1530584.0	1468735.0	1340298.0	1485411.0	1170322.0	1459754.0	971426.0	1238416.0	1680724.0	1487486.0	1499896.0	936366.0	1332911.0	1543121.0	1350660.0	1396572.0	1547702.0	1181976.0	1547825.0	1388118.0	849444.0	1074540.0	1091921.0	1262419.0	1043870.0	850631.0	1548204.0	1527373.0	1090025.0	1529314.0	1130673.0	1321545.0	1555031.0	1527754.0
HMP_2012__SRS019126__bin.45	1350377.0	1524939.0	1469298.0	1365525.0	1480891.0	1534372.0	1305508.0	1451486.0	1116217.0	1413569.0	951015.0	1201554.0	1487486.0	1612494.0	1458022.0	960474.0	1322317.0	1517025.0	1426495.0	1360305.0	1491154.0	1111846.0	1528169.0	1336818.0	780586.0	951260.0	1070889.0	1265647.0	1014051.0	794204.0	1531692.0	1495419.0	1071842.0	1465687.0	1103787.0	1269950.0	1508470.0	1495549.0
