	HMP_2012__SRS019071__bin.37	HMP_2012__SRS024649__bin.14	HMP_2012__SRS018443__bin.23	CM_periimplantitis__SP_189SPI_T016__bin.35	HMP_2012__SRS013705__bin.45	HMP_2012__SRS018157__bin.39	HMP_2012__SRS020226__bin.26	HMP_2012__SRS017691__bin.57	HMP_2012__SRS058808__bin.43	HMP_2012__SRS013170__bin.68	HMP_2012__SRS052876__bin.4	HMP_2012__SRS024355__bin.2	HMP_2012__SRS065099__bin.33	HMP_2012__SRS018300__bin.68	HMP_2012__SRS024561__bin.8	HMP_2012__SRS019028__bin.19	HMP_2012__SRS011098__bin.16	HMP_2012__SRS015989__bin.10	CM_periimplantitis__SP_105SPI_T016__bin.10	CM_periimplantitis__SP_191SPI_T016__bin.13	CM_periimplantitis__SP_122SPI_T016__bin.1	HMP_2012__SRS016575__bin.20	HMP_2012__SRS017139__bin.43	HMP_2012__SRS051941__bin.26	HMP_2012__SRS043772__bin.7	HMP_2012__SRS013533__bin.26	HMP_2012__SRS055450__bin.7	CM_periimplantitis__SP_124SPI_T016__bin.13	HMP_2012__SRS063932__bin.46	HMP_2012__SRS015044__bin.48	HMP_2012__SRS016746__bin.46
HMP_2012__SRS019071__bin.37	1.0	0.6137361758872776	0.7579588222020381	0.7321220615433113	0.8428102140533381	0.7336443723260343	0.8215199748719502	0.46282386665804875	0.7670144452268612	0.7641064631022483	0.8167818179962648	0.8398081151354545	0.5764381442889817	0.3952638842113977	0.8047853286660475	0.7832728377800683	0.49719407222953615	0.7825386133988295	0.8117272926227175	0.7407303463157812	0.6193888531698649	0.7947624571513454	0.8047944001641941	0.6693603346475666	0.8314430599070398	0.8364664020057082	0.7423671847626045	0.8065361278083374	0.65364566501452	0.7931471635126203	0.7790784038245436
HMP_2012__SRS024649__bin.14	0.6347222140783958	1.0	0.8107566917822275	0.7441449470814154	0.7893136708786537	0.7935676800844352	0.8103990149227476	0.4746055293324342	0.7647377524993403	0.7655328505672989	0.8236834852971356	0.836246152041983	0.5650848749596882	0.3855656864757102	0.7994200944032367	0.7735893752382068	0.4894532234894016	0.7603131138409217	0.8136257292796623	0.7239719722067489	0.639055967633176	0.7930270603066639	0.7937236506493888	0.6751086223577355	0.8158650209622094	0.8306241754375677	0.7478202234014483	0.8143029698906448	0.6475071095605265	0.7909888885631359	0.7824585886422938
HMP_2012__SRS018443__bin.23	0.6452622149113917	0.6673892225742489	1.0	0.7754101240846177	0.8347832718412674	0.8562388865398984	0.8507996864580377	0.4779058138479746	0.7719759321791745	0.7834422235222114	0.8718686830658381	0.8569368263143567	0.5913128218197404	0.38009771156842415	0.8309783899311327	0.8078083339608034	0.49298633273675413	0.801131569852863	0.8363992485804697	0.7564161226983915	0.6413342523356366	0.8436643865370024	0.82474712956581	0.680948367902107	0.8416540689985385	0.8532173768662408	0.7554160319565675	0.8878590335416534	0.6656771946489354	0.8213380364627679	0.8011619780173104
CM_periimplantitis__SP_189SPI_T016__bin.35	0.6246112782867754	0.613877746084002	0.7770825785436739	1.0	0.8191687631478514	0.7611699598472056	0.8445451744332003	0.4572629831480158	0.7583567005731484	0.7730348905097485	0.8484433959754333	0.8574278316281738	0.5711690262862704	0.3483343192962208	0.8147839290145418	0.8062846548218906	0.48545990936235855	0.7834593318122255	0.831540138524964	0.744255093348838	0.6685645847612866	0.8353788636967175	0.8019752794999209	0.6608082896341361	0.8429020104452409	0.8439419876528103	0.7265295283388952	0.8490349737079251	0.6695832787143754	0.8012690624194321	0.7906037333730621
HMP_2012__SRS013705__bin.45	0.6107779805687699	0.5530969088023981	0.7106188065316413	0.695825975197776	1.0	0.6964792708070543	0.7856931548589992	0.4416652217466084	0.6948501405612755	0.7093409767550026	0.7899391654415662	0.7849141306607653	0.514392225535723	0.37484869427162465	0.7320727878136949	0.7452106036040552	0.43471193772408245	0.7274454826868446	0.783996640663584	0.6909365300717311	0.602901454260679	0.7480974306171302	0.7411745515474888	0.6013286142655108	0.774486053576814	0.7969117607179513	0.6729976078697879	0.7762614562986325	0.6045700287696595	0.7505240745595185	0.7171521735021656
HMP_2012__SRS018157__bin.39	0.6140237157826356	0.6422166365422732	0.8417902288773749	0.7467149859089967	0.804366858643439	1.0	0.8215100032125304	0.49936057831242975	0.7513548859172059	0.7605421536671486	0.8551870029653033	0.835260298010841	0.5656820126289935	0.3910674569713098	0.7982042096961477	0.8034813960319318	0.4643810089623432	0.7887720873333767	0.8096900738502392	0.7217469332671529	0.61315628509998	0.8286520706111352	0.7866732657199271	0.6407138176298168	0.8274581671113751	0.8359260558050237	0.7223851686436146	0.8400249979476818	0.654781569280806	0.8045652098608077	0.7744547358251244
HMP_2012__SRS020226__bin.26	0.5708153103111385	0.544470576185186	0.6944071509048936	0.6878188006712836	0.7533154481921825	0.6820100692556788	1.0	0.4388623632023069	0.7182593896991042	0.7330882990206506	0.7947999149076985	0.8136671630384255	0.5082795597261289	0.3369911204607591	0.7412027954396829	0.7489607708732204	0.42616509482276377	0.7271334136982848	0.7966069444772732	0.6914671330985416	0.5919508985904618	0.7565162581448303	0.7624317488831636	0.630447286107106	0.7874654312525114	0.8144645094192451	0.6780733684733022	0.7705304874685828	0.603549452021336	0.774991530164433	0.722891798835496
HMP_2012__SRS017691__bin.57	0.6066481273948211	0.6015225785739129	0.7358220646070338	0.7025234614435661	0.7988417166315401	0.782052330092181	0.8278887227521753	1.0	0.7323099080567058	0.738885354767942	0.8182938321001894	0.8681663064835926	0.5349023344024875	0.6676003186654103	0.7772597152819685	0.8096256573217243	0.404300793988163	0.7499249412163387	0.8811849180893154	0.7306326043465725	0.553852076229998	0.8158399300838578	0.7997245862849024	0.6426533057077375	0.8666517539974377	0.8556166264866841	0.7226191502453903	0.8231615056940633	0.6940700588282507	0.8226137995202183	0.7678491273859033
HMP_2012__SRS058808__bin.43	0.6417024990572504	0.618643911023411	0.7586532555100453	0.7436650784201652	0.8021724745576192	0.7510619273833776	0.8648365070593564	0.46741643918138503	1.0	0.796007959415519	0.8304929098114738	0.8478285927060827	0.5746864023489288	0.3716031960990326	0.8105459883929144	0.7937496294223257	0.4985833853130285	0.7900289109878356	0.8305896750537782	0.7569883241351013	0.6350105184767064	0.8033094661546962	0.8091229701237315	0.6950756452794926	0.8239844985876543	0.8748882337734413	0.7515130241747087	0.8090091286621969	0.6634073223776737	0.8334148406575294	0.8054008286709722
HMP_2012__SRS013170__bin.68	0.6162075190115113	0.5969459045236241	0.7421462066594242	0.7307114091013838	0.7893590404810763	0.7328192269566586	0.850847882306035	0.45459961519750386	0.7672914220500608	1.0	0.8267766938442574	0.8257945696027974	0.5426154133151906	0.35132111256204573	0.7869485381528749	0.7823524893283148	0.46479166895280316	0.7761081360854759	0.8229240966102996	0.7229787809954387	0.6231825214805387	0.7931723161671916	0.7846582866047033	0.6547161167136696	0.813499727492529	0.9263781745291473	0.719757157436162	0.8056738250172832	0.6400171734574066	0.8127480458105176	0.7688551394177485
