	HMP_2012__SRS022536__bin.14	HMP_2012__SRS023538__bin.30	HMP_2012__SRS019077__bin.45	HMP_2012__SRS017511__bin.59	HMP_2012__SRS019129__bin.12	HMP_2012__SRS042984__bin.59	HMP_2012__SRS012285__bin.8	HMP_2012__SRS054430__bin.36	HMP_2012__SRS018975__bin.20	HMP_2012__SRS055378__bin.72	HMP_2012__SRS024381__bin.2	HMP_2012__SRS049268__bin.25	HMP_2012__SRS015803__bin.25	HMP_2012__SRS075410__bin.23	CM_periimplantitis__SP_101SPI_T016__bin.18	HMP_2012__SRS021477__bin.32	HMP_2012__SRS064449__bin.24	HMP_2012__SRS014894__bin.34	HMP_2012__SRS011098__bin.12	HMP_2012__SRS017304__bin.16	HMP_2012__SRS014578__bin.38	HMP_2012__SRS013252__bin.52	HMP_2012__SRS015063__bin.7	HMP_2012__SRS018394__bin.26	HMP_2012__SRS019980__bin.39	HMP_2012__SRS015158__bin.12	HMP_2012__SRS053917__bin.6	HMP_2012__SRS018665__bin.47	HMP_2012__SRS015989__bin.7	HMP_2012__SRS018157__bin.65	HMP_2012__SRS013949__bin.40	HMP_2012__SRS014476__bin.56	HMP_2012__SRS019225__bin.21	HMP_2012__SRS058808__bin.45	HMP_2012__SRS047113__bin.61	HMP_2012__SRS023964__bin.14	HMP_2012__SRS024649__bin.4	HMP_2012__SRS019906__bin.8	HMP_2012__SRS015899__bin.3	HMP_2012__SRS017445__bin.50	HMP_2012__SRS016043__bin.28	HMP_2012__SRS051244__bin.4
HMP_2012__SRS022536__bin.14	1766712.0	739526.0	1298860.0	1419687.0	1341738.0	1389622.0	1100333.0	1036283.0	1358241.0	1495626.0	1447475.0	1589186.0	1417876.0	1567195.0	1519818.0	1445407.0	1247217.0	1411083.0	1561556.0	1190854.0	1398810.0	1364568.0	1232035.0	1387163.0	1289138.0	1442585.0	1517309.0	1464989.0	1376497.0	1390446.0	914660.0	1514016.0	1460612.0	1457900.0	1384941.0	1426375.0	1158380.0	1494633.0	1374388.0	1186482.0	1530047.0	1154792.0
HMP_2012__SRS023538__bin.30	739526.0	1005440.0	786307.0	805355.0	821378.0	771402.0	666325.0	719659.0	774289.0	864310.0	866485.0	912363.0	785004.0	911338.0	875812.0	799215.0	719438.0	818617.0	904691.0	761974.0	824041.0	764083.0	741722.0	794138.0	771332.0	856487.0	852059.0	860422.0	830500.0	783232.0	604110.0	881229.0	849744.0	819766.0	814143.0	833435.0	673427.0	856839.0	772688.0	647063.0	906461.0	738173.0
HMP_2012__SRS019077__bin.45	1298860.0	786307.0	1779293.0	1426387.0	1393151.0	1369072.0	1102908.0	1112494.0	1306757.0	1533806.0	1449580.0	1566152.0	1384836.0	1583950.0	1530458.0	1440237.0	1263038.0	1468333.0	1611234.0	1266509.0	1407509.0	1313394.0	1248432.0	1372839.0	1307125.0	1549544.0	1595682.0	1513587.0	1399903.0	1381989.0	952282.0	1510089.0	1451278.0	1443592.0	1409392.0	1417538.0	1183081.0	1500739.0	1348693.0	1174515.0	1536135.0	1181922.0
HMP_2012__SRS017511__bin.59	1419687.0	805355.0	1426387.0	1980805.0	1444616.0	1485348.0	1158925.0	1107752.0	1503756.0	1635706.0	1563397.0	1705302.0	1553955.0	1695789.0	1632546.0	1551580.0	1351220.0	1532498.0	1699803.0	1298700.0	1600807.0	1449642.0	1318872.0	1520531.0	1435571.0	1575082.0	1659226.0	1593575.0	1483197.0	1490646.0	1004232.0	1624616.0	1530156.0	1597097.0	1562618.0	1548866.0	1368246.0	1695741.0	1488492.0	1279983.0	1703589.0	1242114.0
HMP_2012__SRS019129__bin.12	1341738.0	821378.0	1393151.0	1444616.0	1876573.0	1379892.0	1116688.0	1147103.0	1369401.0	1583173.0	1524872.0	1647077.0	1406083.0	1675949.0	1621192.0	1467284.0	1312965.0	1480753.0	1669475.0	1296433.0	1431411.0	1370352.0	1263807.0	1399678.0	1323195.0	1544052.0	1613522.0	1577711.0	1391014.0	1418999.0	994298.0	1567099.0	1503742.0	1484645.0	1419257.0	1475188.0	1196574.0	1530490.0	1374831.0	1162391.0	1569794.0	1216711.0
HMP_2012__SRS042984__bin.59	1389622.0	771402.0	1369072.0	1485348.0	1379892.0	1786907.0	1131428.0	1051921.0	1401301.0	1554855.0	1516910.0	1660973.0	1506861.0	1644936.0	1566037.0	1464677.0	1300153.0	1484426.0	1635085.0	1224776.0	1477834.0	1404235.0	1274245.0	1441285.0	1349477.0	1502187.0	1586336.0	1523287.0	1473010.0	1417525.0	958217.0	1572276.0	1492902.0	1537022.0	1444680.0	1521952.0	1237897.0	1569991.0	1439589.0	1246713.0	1611758.0	1195254.0
HMP_2012__SRS012285__bin.8	1100333.0	666325.0	1102908.0	1158925.0	1116688.0	1131428.0	1645662.0	885180.0	1100198.0	1237237.0	1222539.0	1331539.0	1178440.0	1324902.0	1248446.0	1178218.0	1048261.0	1161067.0	1319124.0	1055630.0	1181145.0	1153439.0	1114863.0	1147837.0	1081788.0	1229237.0	1281559.0	1239815.0	1179308.0	1173893.0	823415.0	1365414.0	1213667.0	1312281.0	1160479.0	1209439.0	1001363.0	1234551.0	1134063.0	966603.0	1269048.0	974645.0
HMP_2012__SRS054430__bin.36	1036283.0	719659.0	1112494.0	1107752.0	1147103.0	1051921.0	885180.0	1433700.0	1046488.0	1205503.0	1170095.0	1246720.0	1106219.0	1265649.0	1218340.0	1165709.0	980109.0	1147967.0	1395783.0	1092717.0	1114478.0	1028423.0	994433.0	1087047.0	1051073.0	1230250.0	1246552.0	1252699.0	1107453.0	1087202.0	771436.0	1194140.0	1151307.0	1129162.0	1122460.0	1152746.0	918270.0	1187953.0	1032286.0	910537.0	1249950.0	966887.0
HMP_2012__SRS018975__bin.20	1358241.0	774289.0	1306757.0	1503756.0	1369401.0	1401301.0	1100198.0	1046488.0	2018013.0	1523277.0	1480832.0	1630433.0	1477034.0	1613787.0	1555378.0	1472584.0	1254384.0	1424725.0	1607759.0	1233042.0	1474080.0	1400218.0	1257805.0	1437107.0	1333654.0	1468402.0	1577418.0	1521380.0	1412398.0	1403716.0	972879.0	1541413.0	1445139.0	1498689.0	1471377.0	1465028.0	1237777.0	1626477.0	1465023.0	1201476.0	1606883.0	1152971.0
HMP_2012__SRS055378__bin.72	1495626.0	864310.0	1533806.0	1635706.0	1583173.0	1554855.0	1237237.0	1205503.0	1523277.0	2063311.0	1659670.0	1831890.0	1604532.0	1841651.0	1753211.0	1648225.0	1444142.0	1701979.0	1830945.0	1395181.0	1619881.0	1540070.0	1386406.0	1612660.0	1465901.0	1703855.0	1777436.0	1703358.0	1593220.0	1605395.0	1049358.0	1723780.0	1617580.0	1671324.0	1572054.0	1639840.0	1350418.0	1720655.0	1534482.0	1339535.0	1771589.0	1337031.0
HMP_2012__SRS024381__bin.2	1447475.0	866485.0	1449580.0	1563397.0	1524872.0	1516910.0	1222539.0	1170095.0	1480832.0	1659670.0	2152630.0	1813787.0	1556468.0	1784984.0	1796485.0	1542934.0	1390199.0	1556885.0	1797471.0	1327937.0	1586220.0	1491252.0	1358851.0	1516894.0	1413329.0	1624559.0	1734513.0	1654019.0	1525527.0	1513712.0	1021512.0	1718246.0	1612616.0	1625263.0	1543119.0	1590126.0	1287521.0	1685413.0	1508086.0	1265905.0	1712665.0	1571385.0
HMP_2012__SRS049268__bin.25	1589186.0	912363.0	1566152.0	1705302.0	1647077.0	1660973.0	1331539.0	1246720.0	1630433.0	1831890.0	1813787.0	2320993.0	1736767.0	1941690.0	1913701.0	1694236.0	1504409.0	1706412.0	1986387.0	1439189.0	1712510.0	1789053.0	1471885.0	1689286.0	1554311.0	1780868.0	1890153.0	1799216.0	1670015.0	1648555.0	1094429.0	1911172.0	1764812.0	1800443.0	1683325.0	1759639.0	1420900.0	1878273.0	1645687.0	1406063.0	1916932.0	1414070.0
HMP_2012__SRS015803__bin.25	1417876.0	785004.0	1384836.0	1553955.0	1406083.0	1506861.0	1178440.0	1106219.0	1477034.0	1604532.0	1556468.0	1736767.0	1959643.0	1687521.0	1606271.0	1535382.0	1336167.0	1514963.0	1692745.0	1285975.0	1559472.0	1475963.0	1290032.0	1502285.0	1423825.0	1548269.0	1628600.0	1584793.0	1523105.0	1484974.0	1003480.0	1618010.0	1524326.0	1581051.0	1550797.0	1623272.0	1323277.0	1635587.0	1482916.0	1268295.0	1710398.0	1235510.0
HMP_2012__SRS075410__bin.23	1567195.0	911338.0	1583950.0	1695789.0	1675949.0	1644936.0	1324902.0	1265649.0	1613787.0	1841651.0	1784984.0	1941690.0	1687521.0	2299181.0	1909619.0	1727912.0	1546596.0	1724652.0	1991845.0	1475247.0	1684272.0	1623823.0	1452823.0	1652361.0	1533246.0	1771701.0	1902851.0	1824476.0	1637547.0	1743986.0	1095718.0	1833512.0	1732385.0	1768736.0	1662487.0	1710659.0	1419420.0	1831183.0	1636581.0	1388405.0	1859173.0	1405270.0
CM_periimplantitis__SP_101SPI_T016__bin.18	1519818.0	875812.0	1530458.0	1632546.0	1621192.0	1566037.0	1248446.0	1218340.0	1555378.0	1753211.0	1796485.0	1913701.0	1606271.0	1909619.0	2292489.0	1645964.0	1470818.0	1641435.0	1906231.0	1403249.0	1613521.0	1582163.0	1383672.0	1589471.0	1464673.0	1741826.0	1822194.0	1771866.0	1563677.0	1593394.0	1042984.0	1761285.0	1684961.0	1678633.0	1583724.0	1669382.0	1336165.0	1757957.0	1563362.0	1324271.0	1776261.0	1421800.0
HMP_2012__SRS021477__bin.32	1445407.0	799215.0	1440237.0	1551580.0	1467284.0	1464677.0	1178218.0	1165709.0	1472584.0	1648225.0	1542934.0	1694236.0	1535382.0	1727912.0	1645964.0	1978830.0	1354169.0	1555714.0	1737448.0	1374848.0	1530472.0	1427064.0	1315590.0	1483973.0	1388406.0	1592950.0	1689163.0	1635065.0	1468797.0	1521489.0	981042.0	1635066.0	1542955.0	1588150.0	1512355.0	1551688.0	1271358.0	1632184.0	1465897.0	1268005.0	1682004.0	1237996.0
HMP_2012__SRS064449__bin.24	1247217.0	719438.0	1263038.0	1351220.0	1312965.0	1300153.0	1048261.0	980109.0	1254384.0	1444142.0	1390199.0	1504409.0	1336167.0	1546596.0	1470818.0	1354169.0	1793715.0	1376673.0	1512197.0	1151195.0	1339231.0	1306361.0	1155318.0	1318308.0	1220461.0	1407631.0	1488693.0	1409997.0	1307607.0	1335926.0	868940.0	1440190.0	1350474.0	1390051.0	1334153.0	1370439.0	1140185.0	1443674.0	1296755.0	1128615.0	1472875.0	1108714.0
HMP_2012__SRS014894__bin.34	1411083.0	818617.0	1468333.0	1532498.0	1480753.0	1484426.0	1161067.0	1147967.0	1424725.0	1701979.0	1556885.0	1706412.0	1514963.0	1724652.0	1641435.0	1555714.0	1376673.0	1928815.0	1716497.0	1310529.0	1521646.0	1452129.0	1314510.0	1501357.0	1390065.0	1618206.0	1698494.0	1629273.0	1497128.0	1500201.0	1003049.0	1622758.0	1542879.0	1559766.0	1500094.0	1555061.0	1269394.0	1619585.0	1460831.0	1270535.0	1662990.0	1256812.0
