	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS016541__bin.7	1.0	0.560843164123464	0.8060764576835124	0.8487250042614233	0.5745948327197621	0.6311549896286917	0.6543603769533368	0.7183437120207559	0.7542619768134293	0.7899389454250023	0.655612792682306	0.7036318395845278	0.7672742607814013	0.8421773549068353	0.8344099422881519	0.44253332211711943	0.6846602040613026	0.7008563800702637	0.6865341234860879	0.7782095159244411	0.791011495881362	0.7168322902992295	0.7201418113152414	0.6221556382505362	0.7617504599016662	0.7977860521952418	0.7933541718781476	0.7220926577335426	0.8172629707765974	0.6935090220420741
HMP_2012__SRS017445__bin.7	0.7995430244961592	1.0	0.8186204894182398	0.8251208712831292	0.6165910826658588	0.6400229118933556	0.6936544154311286	0.7324397379333851	0.775358511168759	0.8104403754268366	0.6786480720556954	0.735231138714788	0.8020709069448916	0.8502190200273934	0.8267303844527341	0.49578528463135835	0.7111649719439764	0.7220354976551603	0.696347983059085	0.7938150511572715	0.8028811863690014	0.7268277442199541	0.7591182076966289	0.6552667373590098	0.782057715248717	0.7931317970372334	0.7975350779193728	0.759137932122727	0.8034950105091743	0.711572084098641
ZellerG_2014__CCIS76845094ST-20-0__bin.28	0.8005203773230247	0.5702671523081988	1.0	0.8384450457253816	0.578287162761913	0.6562404332300603	0.6624010895606307	0.7127454520571888	0.7612409031525479	0.7906305700242217	0.6733285736505942	0.7152280717953623	0.7881754311332717	0.8566027407198553	0.8297660445552472	0.4458421203342331	0.7010325653535768	0.7143019672439294	0.6891520454819013	0.8126894460905472	0.7962828306811567	0.725431710369458	0.7479846920688626	0.6397151005606642	0.801533321351684	0.8084826779975696	0.8021714266242143	0.7387632189745357	0.803099729643425	0.7049046167273718
CM_cf__CF_TNFC018SA_t5M17__bin.3	0.7884400837812188	0.5376737858766747	0.7842962655251801	1.0	0.5533503747430678	0.5948235175567307	0.63102845867441	0.7007998700301172	0.7204866055959027	0.7693774915606977	0.6231192154919165	0.678738921969743	0.7338645578093494	0.813220219776604	0.8388147240247888	0.42241959912928406	0.6536960699534103	0.6725216522215698	0.6694297262920641	0.7485057062331046	0.7493637748025003	0.6887010517895022	0.6908151188700024	0.6039692226382036	0.7327535415250691	0.772294102102448	0.7689219800253564	0.6853356132902431	0.7783869544786656	0.6671711911061117
HMP_2012__SRS015947__bin.20	0.6826434945897557	0.5138413753335994	0.6917985339050082	0.7076699425541665	1.0	0.5429673399692684	0.6130490212773791	0.6407764819900704	0.6803251472308373	0.732276247591082	0.554981849694032	0.6018195673514098	0.7137360437264245	0.7029385677399927	0.6931602177905215	0.4102593774389166	0.5851164203559577	0.6725988568693367	0.6180105213257053	0.6699813467060203	0.6764314282689783	0.634098247694967	0.6146204478763058	0.5638765187443578	0.6479524442916121	0.6585934351188203	0.7196962872909723	0.6233481117567037	0.6750611968747677	0.6382621994317879
HMP_2012__SRS024447__bin.10	0.799120884972991	0.5684229113660618	0.8366489923391005	0.8107050788407677	0.5786526262387737	1.0	0.6849319291971155	0.714585419415507	0.7527091331684789	0.7883039722741723	0.6647471791030447	0.7092775154384678	0.7742014144600617	0.828401595664546	0.8137987284854712	0.42320566568823714	0.7063064906381187	0.7764465001818351	0.6792764713755074	0.7976395768531942	0.7955367359508715	0.7138223425269267	0.724012116736049	0.6356549603150968	0.7926659131661945	0.7927366852192217	0.7896290213065923	0.7322980526474003	0.7882927608598315	0.7009453324429602
HMP_2012__SRS019128__bin.8	0.7816251141993222	0.5811981971381088	0.7967212399501291	0.8113883332253591	0.6163742326664929	0.6461784378458206	1.0	0.7285764715681698	0.7968289938692648	0.8394129460714772	0.6560904762723226	0.7113682367889067	0.8632391224732368	0.8372671226266042	0.7818055854871998	0.4786455530684746	0.7049611755357618	0.7704967125138659	0.7457080225767598	0.7724151289146735	0.7819371378179236	0.7490920244912099	0.729029302455335	0.6946776174616879	0.7666929330616788	0.7907260234308583	0.8578501043824774	0.7327028517107753	0.7869671965338935	0.7580917904734958
HMP_2012__SRS064493__bin.1	0.7569602875791379	0.5413925707167551	0.7562738813386147	0.7949377393965691	0.5683490326162517	0.5947281434723175	0.642738673422257	1.0	0.746240220023234	0.8048658446120901	0.607039133903453	0.677797878147438	0.7722583406814375	0.8016175160142016	0.782590008444488	0.44860700939157694	0.6507440247082918	0.6990309833396318	0.6964533150447184	0.7349381359609221	0.7336679636653743	0.7114819376600837	0.7030590274375877	0.6340719927592015	0.7201701960894089	0.7476754330716009	0.8157591174810231	0.6899298314368226	0.7620398103955847	0.7006213230319911
HMP_2012__SRS023538__bin.14	0.7993067773946091	0.5763594670044807	0.8123014755905882	0.8218934008961457	0.6068419077110752	0.6300021113378844	0.7069275341919441	0.7504627348863396	1.0	0.8382093508808971	0.666227391090154	0.7228112463931311	0.8369554507706383	0.836508550918432	0.8115724775377109	0.4749495624838717	0.7030297698641707	0.7454735261688601	0.7436653998639361	0.7981619630750463	0.7945615454993313	0.7578594552748258	0.7388011119712858	0.6797563750674455	0.7739073826448026	0.7945298754310648	0.8601074436390082	0.7493607338072114	0.7911963075046332	0.7568718183311047
HMP_2012__SRS053630__bin.9	0.7696738120543569	0.5539031633075094	0.7756943579423483	0.8069580578522424	0.6005592933448298	0.6066391549558556	0.6847110488475764	0.7442106506233813	0.7706805616444043	1.0	0.6204435414074974	0.683713466232907	0.8058876786683944	0.817750823275274	0.7945276392396156	0.45693166235549204	0.6561855784064885	0.7319145012383506	0.719163777721338	0.7512401030368033	0.7504113006158589	0.7554126945353502	0.7086460215596476	0.6536538755006113	0.7406339125244071	0.7680970922893335	0.8272149165023351	0.7010978261865976	0.7759289246652571	0.7264968187899269
