	NielsenHB_2014__V1_UC49_1__bin.38	LiJ_2014__MH0336__bin.23	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	LiJ_2014__MH0394__bin.50	LiJ_2014__MH0382__bin.29	ZeeviD_2015__PNP_Main_133__bin.19	ZeeviD_2015__PNP_Main_356__bin.21	ZeeviD_2015__PNP_DietIntervention_14__bin.9	NielsenHB_2014__O2_UC52_0__bin.19	KarlssonFH_2013__S263__bin.15	NielsenHB_2014__O2_UC51_2__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	LiJ_2014__O2.UC7-1__bin.35	ZeeviD_2015__PNP_Main_553__bin.45	HMP_2012__SRS053335__bin.32	ZeeviD_2015__PNP_Main_479__bin.14	FengQ_2015__SID530600__bin.13	BritoIL_2016__W2.43.ST__bin.65	ZeeviD_2015__PNP_Validation_38__bin.40	VincentC_2016__MM050.4__bin.57	HMP_2012__SRS019685__bin.31	BackhedF_2015__SID544_M__bin.47	HMP_2012__SRS024132__bin.20	LiJ_2014__V1.FI36__bin.98	ZeeviD_2015__PNP_Main_182__bin.5	HMP_2012__SRS014235__bin.69	LiJ_2014__MH0389__bin.71	HMP_2012__SRS013476__bin.46
NielsenHB_2014__V1_UC49_1__bin.38	0.0	24330.0	29022.0	24652.0	24795.0	24464.0	25099.0	18309.0	24557.0	20261.0	22754.0	27616.0	191.0	23730.0	29892.0	23567.0	16326.0	346.0	40463.0	33565.0	29036.0	23622.0	30075.0	24029.0	28136.0	30625.0	25003.0	30192.0
LiJ_2014__MH0336__bin.23	24330.0	0.0	28626.0	2467.0	2399.0	23467.0	2391.0	18531.0	760.0	18590.0	533.0	27102.0	22540.0	23174.0	27476.0	23356.0	15554.0	24351.0	40989.0	29210.0	26820.0	2085.0	27310.0	445.0	28254.0	28379.0	2475.0	27735.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	29022.0	28626.0	0.0	29343.0	29347.0	30483.0	29631.0	25280.0	28714.0	22019.0	28562.0	608.0	25946.0	30452.0	29024.0	30326.0	18948.0	29458.0	26946.0	30795.0	29185.0	27486.0	29717.0	28957.0	19323.0	29897.0	29864.0	29836.0
LiJ_2014__MH0394__bin.50	24652.0	2467.0	29343.0	0.0	583.0	24396.0	743.0	18863.0	2612.0	18972.0	2278.0	27792.0	22740.0	23414.0	28741.0	23891.0	16024.0	24586.0	41256.0	30776.0	27917.0	837.0	28000.0	2958.0	28385.0	29667.0	590.0	28333.0
LiJ_2014__MH0382__bin.29	24795.0	2399.0	29347.0	583.0	0.0	24931.0	503.0	18572.0	2358.0	18939.0	2211.0	27720.0	23420.0	23794.0	28532.0	24184.0	16180.0	25072.0	41845.0	31378.0	27698.0	720.0	28416.0	2245.0	28706.0	29282.0	459.0	28833.0
ZeeviD_2015__PNP_Main_133__bin.19	24464.0	23467.0	30483.0	24396.0	24931.0	0.0	24514.0	265.0	24240.0	20209.0	22361.0	28496.0	23115.0	111.0	29588.0	378.0	17207.0	24292.0	42213.0	31734.0	28561.0	23114.0	29595.0	23683.0	29209.0	30476.0	24852.0	29792.0
ZeeviD_2015__PNP_Main_356__bin.21	25099.0	2391.0	29631.0	743.0	503.0	24514.0	0.0	18734.0	5393.0	19048.0	2177.0	27951.0	23733.0	24202.0	28939.0	24174.0	16269.0	25502.0	42020.0	30633.0	27889.0	158.0	28789.0	1999.0	28999.0	29601.0	542.0	29095.0
ZeeviD_2015__PNP_DietIntervention_14__bin.9	18309.0	18531.0	25280.0	18863.0	18572.0	265.0	18734.0	0.0	18784.0	17622.0	18499.0	23957.0	17330.0	304.0	23910.0	308.0	15165.0	18505.0	34067.0	24458.0	23358.0	17464.0	23746.0	18280.0	24578.0	24183.0	18996.0	24119.0
NielsenHB_2014__O2_UC52_0__bin.19	24557.0	760.0	28714.0	2612.0	2358.0	24240.0	5393.0	18784.0	0.0	18701.0	526.0	27112.0	23598.0	23846.0	27991.0	24130.0	15952.0	25036.0	41267.0	29709.0	27216.0	2077.0	27902.0	927.0	28251.0	28859.0	2470.0	28274.0
KarlssonFH_2013__S263__bin.15	20261.0	18590.0	22019.0	18972.0	18939.0	20209.0	19048.0	17622.0	18701.0	0.0	18275.0	20511.0	18784.0	20135.0	9445.0	20001.0	9427.0	20341.0	28271.0	10218.0	9483.0	17740.0	9758.0	18471.0	19664.0	9838.0	19348.0	9922.0
NielsenHB_2014__O2_UC51_2__bin.9	22754.0	533.0	28562.0	2278.0	2211.0	22361.0	2177.0	18499.0	526.0	18275.0	0.0	26774.0	21646.0	22081.0	27318.0	22303.0	15639.0	23260.0	40023.0	27864.0	26698.0	1935.0	27144.0	381.0	27951.0	28170.0	2406.0	27525.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	27616.0	27102.0	608.0	27792.0	27720.0	28496.0	27951.0	23957.0	27112.0	20511.0	26774.0	0.0	25098.0	28487.0	28082.0	28428.0	17921.0	28171.0	25863.0	29293.0	27613.0	26194.0	28258.0	27309.0	18236.0	28404.0	28289.0	28368.0
LiJ_2014__O2.UC7-1__bin.35	191.0	22540.0	25946.0	22740.0	23420.0	23115.0	23733.0	17330.0	23598.0	18784.0	21646.0	25098.0	0.0	22761.0	27883.0	22649.0	15131.0	339.0	37135.0	30810.0	27018.0	21981.0	28112.0	22907.0	25821.0	28672.0	23852.0	28316.0
ZeeviD_2015__PNP_Main_553__bin.45	23730.0	23174.0	30452.0	23414.0	23794.0	111.0	24202.0	304.0	23846.0	20135.0	22081.0	28487.0	22761.0	0.0	28930.0	87.0	17188.0	24000.0	41776.0	30751.0	28321.0	22434.0	29151.0	23241.0	28993.0	29628.0	24280.0	29404.0
HMP_2012__SRS053335__bin.32	29892.0	27476.0	29024.0	28741.0	28532.0	29588.0	28939.0	23910.0	27991.0	9445.0	27318.0	28082.0	27883.0	28930.0	0.0	29071.0	11837.0	29674.0	39262.0	773.0	440.0	26917.0	219.0	27602.0	27513.0	218.0	29361.0	450.0
ZeeviD_2015__PNP_Main_479__bin.14	23567.0	23356.0	30326.0	23891.0	24184.0	378.0	24174.0	308.0	24130.0	20001.0	22303.0	28428.0	22649.0	87.0	29071.0	0.0	16978.0	23772.0	42039.0	31096.0	28312.0	22909.0	29136.0	23728.0	28842.0	30302.0	24676.0	29423.0
FengQ_2015__SID530600__bin.13	16326.0	15554.0	18948.0	16024.0	16180.0	17207.0	16269.0	15165.0	15952.0	9427.0	15639.0	17921.0	15131.0	17188.0	11837.0	16978.0	0.0	16500.0	24227.0	12261.0	11740.0	14912.0	11981.0	15625.0	17119.0	11982.0	16408.0	12050.0
BritoIL_2016__W2.43.ST__bin.65	346.0	24351.0	29458.0	24586.0	25072.0	24292.0	25502.0	18505.0	25036.0	20341.0	23260.0	28171.0	339.0	24000.0	29674.0	23772.0	16500.0	0.0	40690.0	32622.0	29138.0	23540.0	30021.0	24502.0	28214.0	30779.0	25403.0	29894.0
ZeeviD_2015__PNP_Validation_38__bin.40	40463.0	40989.0	26946.0	41256.0	41845.0	42213.0	42020.0	34067.0	41267.0	28271.0	40023.0	25863.0	37135.0	41776.0	39262.0	42039.0	24227.0	40690.0	0.0	41407.0	39544.0	39281.0	39974.0	41390.0	386.0	40935.0	42460.0	40375.0
VincentC_2016__MM050.4__bin.57	33565.0	29210.0	30795.0	30776.0	31378.0	31734.0	30633.0	24458.0	29709.0	10218.0	27864.0	29293.0	30810.0	30751.0	773.0	31096.0	12261.0	32622.0	41407.0	0.0	722.0	29106.0	674.0	29447.0	28626.0	671.0	31341.0	731.0
HMP_2012__SRS019685__bin.31	29036.0	26820.0	29185.0	27917.0	27698.0	28561.0	27889.0	23358.0	27216.0	9483.0	26698.0	27613.0	27018.0	28321.0	440.0	28312.0	11740.0	29138.0	39544.0	722.0	0.0	26006.0	302.0	26836.0	27330.0	269.0	28333.0	280.0
BackhedF_2015__SID544_M__bin.47	23622.0	2085.0	27486.0	837.0	720.0	23114.0	158.0	17464.0	2077.0	17740.0	1935.0	26194.0	21981.0	22434.0	26917.0	22909.0	14912.0	23540.0	39281.0	29106.0	26006.0	0.0	26776.0	1519.0	26612.0	27691.0	306.0	27168.0
HMP_2012__SRS024132__bin.20	30075.0	27310.0	29717.0	28000.0	28416.0	29595.0	28789.0	23746.0	27902.0	9758.0	27144.0	28258.0	28112.0	29151.0	219.0	29136.0	11981.0	30021.0	39974.0	674.0	302.0	26776.0	0.0	27266.0	27903.0	342.0	28941.0	210.0
LiJ_2014__V1.FI36__bin.98	24029.0	445.0	28957.0	2958.0	2245.0	23683.0	1999.0	18280.0	927.0	18471.0	381.0	27309.0	22907.0	23241.0	27602.0	23728.0	15625.0	24502.0	41390.0	29447.0	26836.0	1519.0	27266.0	0.0	28446.0	28676.0	1996.0	28130.0
ZeeviD_2015__PNP_Main_182__bin.5	28136.0	28254.0	19323.0	28385.0	28706.0	29209.0	28999.0	24578.0	28251.0	19664.0	27951.0	18236.0	25821.0	28993.0	27513.0	28842.0	17119.0	28214.0	386.0	28626.0	27330.0	26612.0	27903.0	28446.0	0.0	28084.0	29046.0	27918.0
HMP_2012__SRS014235__bin.69	30625.0	28379.0	29897.0	29667.0	29282.0	30476.0	29601.0	24183.0	28859.0	9838.0	28170.0	28404.0	28672.0	29628.0	218.0	30302.0	11982.0	30779.0	40935.0	671.0	269.0	27691.0	342.0	28676.0	28084.0	0.0	30434.0	403.0
LiJ_2014__MH0389__bin.71	25003.0	2475.0	29864.0	590.0	459.0	24852.0	542.0	18996.0	2470.0	19348.0	2406.0	28289.0	23852.0	24280.0	29361.0	24676.0	16408.0	25403.0	42460.0	31341.0	28333.0	306.0	28941.0	1996.0	29046.0	30434.0	0.0	29684.0
HMP_2012__SRS013476__bin.46	30192.0	27735.0	29836.0	28333.0	28833.0	29792.0	29095.0	24119.0	28274.0	9922.0	27525.0	28368.0	28316.0	29404.0	450.0	29423.0	12050.0	29894.0	40375.0	731.0	280.0	27168.0	210.0	28130.0	27918.0	403.0	29684.0	0.0
