	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
HeQ_2017__SZAXPI029577-94__bin.45	1.0	0.9965605439505143	0.9969224647497422	0.9970504567768783	0.9954120254656921	0.9962931122017262	0.994139040839682	0.9983492951462153	0.997203965837258	0.9958084996166335	0.9962959352416626	0.995906040774853	0.996788981914316	0.9971693411933772	0.9953210278378495	0.998268571542739	0.9968079868150943	0.9970289648329759	0.996537425649699	0.9973394450118842	0.9964722627905251	0.9944296803343436	0.9968171132644568	0.9983006546447648	0.983918872405231	0.9960615213122788	0.9957722250231209	0.9962667503174447	0.9953747715571417	0.9965280716383206	0.9969255534944444	0.9930980189283073	0.9960845394696938	0.9948430066354209	0.9954633935483141	0.9940708917320955	0.9963761559261926	0.9957280077036239
LiSS_2016__FAT_015-22-42-0__bin.64	0.9965605439505143	1.0	0.99544281680034	0.995802158400839	0.9961838727369209	0.9963415049195723	0.9946105194675577	0.9969012337144277	0.998557427968006	0.9964899764118152	0.9965892798058895	0.9955982918819336	0.9963454110490837	0.995614295476737	0.9957867399324867	0.9969041107207016	0.9987757783633033	0.9988545068461164	0.9964878964086387	0.9958812802615858	0.9971557290004979	0.9964376032247666	0.9990931307889485	0.9968524784848293	0.9840884374609122	0.9955462044452899	0.9972772203414304	0.9963141814085735	0.9950432878470673	0.9967046728813637	0.9965271719352121	0.9941861371857085	0.9972991462186038	0.9949463643602752	0.9958697776548695	0.9950526094015293	0.9960378425687977	0.9954224748377131
BackhedF_2015__SID341_M__bin.41	0.9969224647497422	0.99544281680034	1.0	0.9979290899105135	0.9948619995651046	0.9962763812561617	0.9936461124939794	0.9957787597150789	0.9967614582293481	0.9956693192169809	0.9965775242459379	0.9947180080569127	0.9953391794397786	0.9980701681835896	0.9948732351164467	0.9960508178799627	0.9965182235940161	0.9966223458223866	0.995732426283976	0.9989158801711416	0.9968480179604577	0.9941831801810438	0.9959626899986567	0.9956594574677988	0.9824104778774319	0.99524949467033	0.9958213652560517	0.994718767356565	0.9952213805893597	0.9964395465842115	0.9964405505381828	0.9924661298939673	0.9963425348762653	0.9941616614603193	0.995926748793625	0.9933549481117392	0.99624512309796	0.9953748693862992
HMP_2012__SRS017521__bin.41	0.9970504567768783	0.995802158400839	0.9979290899105135	1.0	0.9950416629271833	0.9961019993895932	0.9946574802512785	0.9959753948216038	0.9963867732937296	0.9954469779118104	0.9966602654056032	0.9946737296565572	0.9955664040416239	0.9989240589095648	0.9956390984591666	0.9960685948080665	0.9961884251890376	0.9961684221793332	0.9956770606472111	0.9983383111807638	0.9971178903158252	0.9951961630285974	0.9957926173771914	0.9959728872103456	0.9831351894054089	0.9943314699234099	0.996318440817531	0.9951448544272593	0.9957535927458769	0.9959095359667594	0.9966522939435337	0.9929341364917796	0.996216979155394	0.9951153031664343	0.9956980455488629	0.9937973176269556	0.9960792063523177	0.9956117506968502
QinJ_2012__CON-085__bin.12	0.9954120254656921	0.9961838727369209	0.9948619995651046	0.9950416629271833	1.0	0.9947783553717175	0.994096886132127	0.9958009124197661	0.996093353328928	0.9946753529051909	0.9953434903780342	0.9944339489822313	0.9958276188308137	0.99494361988344	0.9969010606384079	0.995691197559721	0.9964103032718481	0.9958503083550148	0.9961736318354578	0.9949429550251937	0.9954490030678981	0.998916031125392	0.9963724908971554	0.9957166162728162	0.9828493799951992	0.9944458645053257	0.9953741805283493	0.9953549181073943	0.9937741676408661	0.9957934904009689	0.9954084472484721	0.9965132117719012	0.9956996060279593	0.9943149035081964	0.99451242576436	0.9980782237727674	0.994545138475896	0.9941300138171062
LiJ_2014__MH0372__bin.30	0.9962931122017262	0.9963415049195723	0.9962763812561617	0.9961019993895932	0.9947783553717175	1.0	0.9950018338972396	0.9954036674554049	0.997028707943875	0.9965608824515948	0.9977155179909915	0.9942791041771452	0.9950069044547958	0.9962688231479	0.994158448302907	0.9953073926661724	0.9969288515461034	0.9972852091057826	0.9952012236681513	0.9963859283182193	0.9966342365687594	0.993916481839343	0.9964912980336248	0.9953915662750292	0.9843972298879892	0.9949198971495246	0.997636053855369	0.9947364801528003	0.9969308915538877	0.9963164010431165	0.997874225662541	0.9926528426625786	0.997250231234251	0.9954992770468496	0.998131484400328	0.9937676221224739	0.9973534371948304	0.9971188104649953
BackhedF_2015__SID383_4M__bin.9	0.994139040839682	0.9946105194675577	0.9936461124939794	0.9946574802512785	0.994096886132127	0.9950018338972396	1.0	0.9932597588584086	0.9953756085215346	0.9950624761293501	0.9956427550722194	0.9934761114977267	0.9938303513117996	0.9944692056528552	0.9936948950421968	0.9936206085831254	0.9960576494022072	0.9952654098290646	0.9939442173287376	0.9940938469808487	0.9952988796365362	0.9941800200704493	0.9944971813548729	0.993310532585658	0.9848998764505934	0.9938007183012508	0.9960731377204654	0.9938684359363168	0.9952184722269523	0.9939466561439652	0.9954830934018667	0.9919047733302256	0.9960440975409589	0.9985198181661945	0.9947783056470716	0.992483582846851	0.9952885204298428	0.9952251499659216
ZeeviD_2015__PNP_DietIntervention_45__bin.2	0.9983492951462153	0.9969012337144277	0.9957787597150789	0.9959753948216038	0.9958009124197661	0.9954036674554049	0.9932597588584086	1.0	0.9959959212721465	0.994641652369459	0.9956648282586644	0.9951192908352359	0.9961635054804803	0.9957899217634907	0.9948020396120539	0.999818034408981	0.996314313865664	0.9963619123731731	0.9959287200776433	0.9962944080112158	0.9953470021860339	0.9953862519950316	0.9965565671116557	0.9999172712384286	0.9826743424898139	0.9949124767397145	0.9955149567178297	0.9960354114692239	0.9953728795513012	0.9961730834788413	0.9961838947390182	0.9937965914377905	0.9951807593835031	0.9939523997194739	0.9947932581960193	0.9943133226701613	0.9951516160019364	0.9954060722851383
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	0.997203965837258	0.998557427968006	0.9967614582293481	0.9963867732937296	0.996093353328928	0.997028707943875	0.9953756085215346	0.9959959212721465	1.0	0.9973241919937444	0.9974512888025254	0.9952850463354305	0.9965024191871752	0.9964872972231257	0.995624804240083	0.9959158125289673	0.9990361455892124	0.9992394805275125	0.9967550514858835	0.9971630660316708	0.9980996217297201	0.99562317932204	0.9989981251018553	0.9959728788857253	0.9844783547659839	0.9955324583016181	0.9978109579549554	0.996024833844177	0.9953871681787493	0.9962612402697225	0.9970156858463443	0.9935491131148408	0.9982052653194055	0.995724820262689	0.9963875980189366	0.9945508104149428	0.9964596168929056	0.9958242738049411
ZeeviD_2015__PNP_Main_454__bin.96	0.9958084996166335	0.9964899764118152	0.9956693192169809	0.9954469779118104	0.9946753529051909	0.9965608824515948	0.9950624761293501	0.994641652369459	0.9973241919937444	1.0	0.9975457227043116	0.9940621077417837	0.9945889713561703	0.9953112116726842	0.9940989406655265	0.9947023201384417	0.9975348736465908	0.9972388459413524	0.994857475732811	0.9958010151277784	0.9976232998446639	0.993657791805422	0.9967880643453334	0.9945818611084207	0.9841003492904434	0.9939293028343138	0.9984478038244615	0.9946614439307694	0.9948890813153037	0.9946339638432299	0.996778119537076	0.9919979870516008	0.9988236841820592	0.9952762943861787	0.9960442077980071	0.993031473052558	0.9961560145558915	0.9953697408266005
