	XieH_2016__YSZC12003_37270__bin.2	XieH_2016__YSZC12003_36033__bin.55	LeChatelierE_2013__MH0305__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	CosteaPI_2017__SID713A052-11-90-0__bin.22	BackhedF_2015__SID532_M__bin.11	NielsenHB_2014__V1_UC35_4__bin.75	NielsenHB_2014__O2_UC49_2__bin.47	XieH_2016__YSZC12003_37264__bin.57	CosteaPI_2017__SID713B026-11-0-0__bin.2	NielsenHB_2014__O2_UC21_2__bin.29	XieH_2016__YSZC12003_37172__bin.8	CosteaPI_2017__halbarad-11-2-0__bin.19	CosteaPI_2017__halbarad-11-0-0__bin.24	BackhedF_2015__SID377_M__bin.5	RaymondF_2016__P12E0__bin.20	ZellerG_2014__CCMD25511638ST-21-0__bin.46	XieH_2016__YSZC12003_37138__bin.8	RaymondF_2016__P23C0__bin.13	XieH_2016__YSZC12003_37348__bin.40	LeChatelierE_2013__MH0440__bin.36	Obregon-TitoAJ_2015__NO21__bin.26	LiJ_2014__V1.FI15__bin.3	HeQ_2017__RSZAXPI003077-109__bin.50	XieH_2016__YSZC12003_37255__bin.85	CosteaPI_2017__SID713B032-11-0-0__bin.61	LeChatelierE_2013__MH0203__bin.118	RaymondF_2016__P22E0__bin.15	XieH_2016__YSZC12003_37308R1__bin.82	CosteaPI_2017__pluto2-11-30-0__bin.1	HeQ_2017__RSZAXPI003105-143__bin.51	KarlssonFH_2013__S312__bin.7	ZellerG_2014__CCMD13934959ST-21-0__bin.7	XieH_2016__YSZC12003_36052__bin.73	XieH_2016__YSZC12003_36694__bin.98	QinN_2014__LD-35__bin.32	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	ChengpingW_2017__AS38raw__bin.1	CosteaPI_2017__mickey2-11-7-0__bin.54	ZellerG_2014__MMPU68403337ST__bin.4	LoombaR_2017__SID5639_uuc__bin.14	NielsenHB_2014__V1_UC5_3__bin.31	FengQ_2015__SID530373__bin.60	RaymondF_2016__P22E90__bin.67	CosteaPI_2017__halbarad-11-7-0__bin.51	LiJ_2014__V1.FI17__bin.17	LeChatelierE_2013__MH0456__bin.69	ZellerG_2014__CCMD19497912ST-21-0__bin.24
XieH_2016__YSZC12003_37270__bin.2	1.0	0.7696153002628889	0.8300343750963509	0.8924976890324885	0.8536647087191975	0.658893050925056	0.8600993497876935	0.6535741897651918	0.6778432753899558	0.8650778922580115	0.6371469775337308	0.6517498488926845	0.7874107681487303	0.857844520316444	0.8287964295042924	0.8300017975807704	0.7690643912047689	0.8976990384397231	0.845207352977963	0.4674256839969354	0.6521791740087273	0.5356528912254207	0.7226809899143501	0.6827554993464136	0.6996725377942812	0.65057182265964	0.8341589212653804	0.8571441037314635	0.7728649074420425	0.8643768939316815	0.5800269578941428	0.8778604949339055	0.6593997476406026	0.6952862080179083	0.7939192903686321	0.9143345140743593	0.5511469903320406	0.89626853646093	0.5842835593495433	0.9014035673543044	0.9289845064826348	0.894453503450017	0.7074498378977729	0.8401671459245819	0.8318447541764666	0.8865243688542663	0.8219196650100612	0.5915861585117195
XieH_2016__YSZC12003_36033__bin.55	0.6924273487005909	1.0	0.7781083314709156	0.8523431656773608	0.8135459089008211	0.6287426089933053	0.8210079666115182	0.6299223437257111	0.6549799303778553	0.8381847787002924	0.5869086082427554	0.6336086222174303	0.7565517411031829	0.8207274263202273	0.7741163896767453	0.7896937033883091	0.7314460020129813	0.8653684001718832	0.8122190998739138	0.4577051490134769	0.6218070877248445	0.4952399744792078	0.6938169652553989	0.6475613145406232	0.6676743785587661	0.6237656358032219	0.7942776061329457	0.8315580611106778	0.7396115040361688	0.8254903305193817	0.5441099885428602	0.8402694652305377	0.6500657647156729	0.6491194646286321	0.7205902442113704	0.8648643697604782	0.5269106704232548	0.8477775817950287	0.5651468466172128	0.8565449892939335	0.8825719054600154	0.8537741305213705	0.6698553699651261	0.8092613887058457	0.7901155606173771	0.8345288571803922	0.7753856251364101	0.5483714793109387
LeChatelierE_2013__MH0305__bin.5	0.6837543351340782	0.7124322324556759	1.0	0.879895760302368	0.830037345529774	0.6752712019624972	0.8582719653582234	0.6535836709031215	0.6327865285813347	0.8796906546082409	0.6219849343158599	0.6944955478167025	0.7488691631735602	0.8156756339706784	0.8292964730925769	0.7941337854604024	0.7421025921430142	0.8936349664954097	0.8197734348830155	0.4396627448988345	0.6735369087217362	0.49112127161696606	0.6911314310578901	0.693493980291643	0.6566588186582925	0.6248137635505138	0.8120805336965173	0.8423221223263777	0.7296361913789476	0.853932158895573	0.5283254318121807	0.8569234433412293	0.6315755423919446	0.6445705216154086	0.7271523997605822	0.8979584795150688	0.5574168950544129	0.8776161159403065	0.5741253416231815	0.8596564287935807	0.916551694062813	0.8951957824902035	0.6684562298218888	0.8173011445185264	0.7974384790741874	0.8589409549586937	0.823260231683175	0.5725520659366885
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	0.6891110090993127	0.731469212449951	0.8247252643597827	1.0	0.835392634129295	0.6566682627221039	0.8432607682087317	0.6371526670445694	0.6517776853483009	0.882206617012274	0.5996899819522962	0.7025663852758047	0.7595258008500118	0.8321473713146615	0.8116476412666271	0.8060051510967416	0.7428911900434888	0.9014437264690374	0.8279494161221961	0.4398815625053339	0.6341755595102596	0.4880426101884633	0.6929662465716999	0.6798477488880764	0.6552174393461503	0.6194382483755719	0.8061682002872901	0.8553277558232816	0.7385508475413709	0.8668728063595473	0.535490822980683	0.8569968764626141	0.6279855294966316	0.6489371258964336	0.7266823936519515	0.899561249450888	0.5273374651106174	0.8837261636007729	0.5657052304203974	0.8713654179404416	0.9275028499920497	0.8899912052254795	0.6674825115145069	0.8287345675962418	0.8056642300619586	0.8699631050674611	0.8027832451909471	0.5709034901510205
CosteaPI_2017__SID713A052-11-90-0__bin.22	0.6557010057391657	0.6945444861293073	0.7739486388472337	0.8310498508460399	1.0	0.613128676345737	0.8022896786174526	0.6120866540718406	0.6169544888281986	0.8287258552000129	0.5608389977282842	0.6470609788574931	0.7303682467394355	0.7868452284137848	0.76113650134319	0.7624712013998488	0.699904287662492	0.8447056153025351	0.794679162593009	0.42085411866899974	0.606277782047547	0.47349501062576743	0.6644286125375118	0.6300923700019124	0.6306540432430306	0.5951359186686422	0.771846274010749	0.8115910232372754	0.6966700864538892	0.8052280741891261	0.513519479382079	0.8111423995824761	0.6009014475709085	0.6200376593641698	0.6953948156264019	0.844489793365017	0.4995960599761568	0.8309756760186527	0.5238682083115128	0.8324042117003194	0.8653834123637819	0.8338117460754367	0.6438428637560345	0.7918538166076545	0.7628148185219013	0.8149011866185036	0.7627236639147509	0.533077504651566
BackhedF_2015__SID532_M__bin.11	0.6671575317653532	0.7075967657094994	0.8300183249758641	0.8611472224202044	0.8082515993857511	1.0	0.8334312118340115	0.6869668836879441	0.6372650253315844	0.835134710072493	0.6477687530593167	0.6507080532702513	0.7296114763474689	0.8032883641999125	0.8128767266916144	0.7760052966307609	0.7446331264435115	0.8708846115558676	0.7950064882548745	0.44236173655505767	0.6740480996746743	0.4973890885400867	0.6825113993601868	0.6758929670615774	0.652691344614984	0.6359608949373942	0.8334636089305247	0.8380793116264933	0.7407442967856779	0.8446040868642732	0.5213016799956176	0.831973931529031	0.6357765260063275	0.6377745433040208	0.7110467619691073	0.8617050415183517	0.5438859904941028	0.855120773430611	0.5921464725746797	0.8450405641100253	0.8879160597119721	0.8601635287624368	0.6766298537477256	0.8050230814586704	0.7844061582757205	0.85135799793012	0.820561907022689	0.592124678164298
NielsenHB_2014__V1_UC35_4__bin.75	0.6845848246739116	0.7263158138436534	0.8292768869606286	0.8692775352018113	0.8313642235691233	0.6551412471234297	1.0	0.6501007088980363	0.6350147474869079	0.8765841393903755	0.6087003227315031	0.6729100009723618	0.7650181276016466	0.8342683440678987	0.811426639934435	0.8118614245563021	0.7376660539244059	0.88299339257023	0.8359361760252628	0.44870097097268585	0.6497978876598031	0.4954771286619839	0.6924345623677471	0.6737749399219333	0.6644995346554367	0.6247053975339053	0.8072816006000861	0.8460482754469392	0.7270612912038302	0.844872643759058	0.5400219475943308	0.8622751413397293	0.6298024253480823	0.6467136487181031	0.7369502104468696	0.8951465256587751	0.5294056091383486	0.8720483032287041	0.5699322587964013	0.8765341322134195	0.9205589691113077	0.893750954998171	0.6838472188138112	0.8282461834800365	0.8063157212377702	0.8628951377280999	0.8036773796239275	0.5580986160050747
NielsenHB_2014__O2_UC49_2__bin.47	0.7169205342386206	0.7680024759267178	0.8703086612766338	0.9051854073473764	0.8741189082949926	0.7442150737992075	0.8959383315572176	1.0	0.6692417155364401	0.8989713417863683	0.6803750901352188	0.686964373456534	0.7949919915256941	0.8648316306019438	0.8496078719154612	0.8204161854137286	0.7768634858240433	0.9009565500386066	0.8398981551793451	0.4701025467586418	0.7196095948541565	0.5404258849204577	0.7335086051215948	0.7070812780376367	0.7032435916252416	0.6769936634143541	0.8682743173653077	0.8715306714994033	0.7642247733059364	0.8709493392211041	0.5606563758303607	0.89278790624661	0.6858425489282682	0.6808958004964616	0.7710514392919361	0.9125902149844616	0.5884288713475295	0.9075317946001825	0.6224415955688569	0.9005577216369194	0.9261759056595346	0.9013413396805544	0.7087595479519364	0.852247796871909	0.8329470547320192	0.8854201098852013	0.85080371899508	0.6187883274094022
XieH_2016__YSZC12003_37264__bin.57	0.7030813288343736	0.7550987405809063	0.7967635970438166	0.8755756447945782	0.8331263667038361	0.6528041262991229	0.8275255962811174	0.6328243040369957	1.0	0.8600766802311268	0.6159954431137435	0.6141900665672262	0.7646548062116538	0.8310820432614561	0.7944821369093306	0.8053874077399485	0.7423512857273882	0.875734339323901	0.8347712385172742	0.4666475991870978	0.6323355490227314	0.5186909571874744	0.7329985663186247	0.6582419783837535	0.6839082540464088	0.6398629796436553	0.8106852707340738	0.856923305287243	0.7544337924010059	0.8512229736579149	0.570535192774632	0.853774757553377	0.6699515830835252	0.678067329925323	0.7388901761448935	0.8787730680298708	0.5433616207840354	0.8676016972470422	0.5782858818588621	0.864395826394219	0.8915555201560154	0.8619357594890881	0.6896876312397724	0.8435277974888854	0.8100716116606085	0.8475669654709668	0.7819531133091008	0.5714396912516473
CosteaPI_2017__SID713B026-11-0-0__bin.2	0.6442562140298522	0.6938133512176778	0.7952970412847613	0.8509256707928899	0.8035182941940001	0.6142518469224891	0.8201973516613204	0.6103418128001303	0.617538875053939	1.0	0.5551048365714047	0.6775905005016974	0.73731502614199	0.8022250585313695	0.7654949994887712	0.7785694604022937	0.7105530629539323	0.8699386178798387	0.8250258647132526	0.41904474725366136	0.6226247355040629	0.46001064049175017	0.6705377087589963	0.6466225970078382	0.627250056755066	0.5963332761450226	0.7627036033834684	0.8144620572888235	0.6948735011896902	0.8339463746943458	0.514109049443627	0.8270278888328559	0.6082080822679844	0.6114981431128811	0.689958772426916	0.8709996343414073	0.49529149575160164	0.8388970627737024	0.5363739318349996	0.8430124549208808	0.8936929958183214	0.8563702579192813	0.6304759973728037	0.791474522607579	0.7726643340767815	0.8205890049407235	0.765154902337962	0.5278329442795227
