	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
CM_madagascar__A92_01_1FE__bin.44	1.0	0.8942552333685919	0.89050205526223	0.7791664993000356	0.9200603412494031	0.919388791940218	0.5628315161036453	0.8591516817742946	0.7181879177657075	0.6849904117516665	0.8895338578975478	0.9166918832390872	0.9079608495976507	0.8996404220912052	0.8452345141235121	0.9167606151355967	0.9101311112995536	0.8898412174174362	0.5890493129041904	0.8836758770383397	0.8480894169244113	0.9119050488189867	0.6382235631388756	0.9088603150658234	0.8883672009009531	0.9333467226638221	0.7087651020490139	0.7017547461457324	0.8894380497993832	0.9000153233448928	0.7878829534482733	0.9096824199578385	0.9112093987149218	0.8880294922319568	0.9039000144307229	0.9241369460722398	0.9162384312465318	0.6486184442490593	0.9060274302750615	0.838029566617126	0.8275299511884517
BritoIL_2016__W3.18.ST__bin.6	0.8880526563523551	1.0	0.9119082815977856	0.7842436337279822	0.9185538531816513	0.843637450991458	0.5558718800221844	0.8630886971506273	0.7193710832686485	0.6924472256046122	0.9037959625441627	0.9237205627417185	0.9125905378241493	0.9229405036522426	0.8459870835215767	0.9087682482857168	0.9137266466116627	0.8987356246781149	0.5858447641045174	0.903995704947377	0.8501335112498408	0.9187790066006591	0.6513502261432667	0.909085885983136	0.9085002507121732	0.9363649069144261	0.719542459886791	0.7006833494909966	0.9014073270595703	0.9175480497193117	0.7960166164405136	0.9214412537204238	0.9223770291508672	0.9063024933229601	0.926581961310842	0.9309709755968559	0.91804297357343	0.6556854636284153	0.9603564515466593	0.8435556038824487	0.8440209800437838
BritoIL_2016__WL.1.ST__bin.16	0.8717069334614881	0.8988961218634861	1.0	0.7713877117101373	0.9519233401779602	0.8337306129581895	0.5509094616045553	0.8677609331993534	0.7195374779734078	0.6866896762637075	0.9328990635967787	0.9527863456973511	0.8993333042072611	0.9125416866908413	0.8672410328105203	0.9062437560982713	0.8977788457337585	0.9000032038679424	0.578952335182839	0.8883352993432071	0.846256862830763	0.9438350299270393	0.6430404706773268	0.941879505439294	0.929282187950544	0.9221235819243596	0.712704792695181	0.6931600332037223	0.9346096378172922	0.9502835423129015	0.7990204901917951	0.9499054858956997	0.9618299911165481	0.9117086810258203	0.9123279013208674	0.9153424497939331	0.9115307207246567	0.6574736044970656	0.9055761865233665	0.8438892044213379	0.8447996854384202
LiuW_2016__SRR3993004__bin.60	0.9168266956743678	0.9292461137021125	0.9272441902030387	1.0	0.9399349427379157	0.8836573650863561	0.6008718415350461	0.8961366517601906	0.7466491938914375	0.7683587553343489	0.9224035825957995	0.943021854156477	0.9391598013201211	0.9365847493201758	0.8629519163743549	0.9311093940207678	0.9522976431009438	0.9181487074149244	0.6149808857968814	0.9130679250052428	0.9104137483619272	0.9391272411792653	0.6684026239972439	0.9396366498345909	0.9269045844328216	0.9360189731091748	0.7405289377376584	0.7317982685707464	0.9242952217468131	0.9343927166115887	0.8217993994229503	0.9399615510250667	0.9386283357951835	0.9308947771783522	0.942071658217952	0.9511702919874394	0.9479615426224498	0.7325072393797049	0.9372678120600662	0.8960137634866379	0.8624449584823193
BritoIL_2016__W1.1.ST__bin.29	0.8879903993493888	0.8927284088742267	0.9385520454508905	0.7709616502367425	1.0	0.8453687026601084	0.552186163943917	0.8693002598309605	0.7176991750194701	0.6813145126274172	0.9248888079709063	0.9563195093766584	0.9058994378369933	0.9116161210063337	0.8664322980681534	0.9078903839571038	0.8904261710197734	0.903552688710563	0.5790092307762996	0.8945370023639793	0.8554138916520975	0.9430585963614476	0.6408376849084388	0.9428796897650494	0.9211102317342971	0.9235224555059582	0.7148007732900206	0.6974143832862758	0.938537974145556	0.9560352115749984	0.796244052719725	0.9467108180195413	0.9517672985161378	0.9013791027905983	0.9027394246961172	0.9196795533021046	0.9258410620217192	0.6505322399450473	0.9082189058612443	0.8328716605059238	0.8342733348189568
CM_madagascar__A79_02_1FE__bin.25	0.9427505056289646	0.8711164049559419	0.8733488304403129	0.7700598700085824	0.8981559988540398	1.0	0.5634972042051488	0.8449872330402632	0.6934639085111336	0.6748850760052856	0.8705202372100813	0.8894371218461308	0.8861020606229983	0.8791902980259036	0.815084874577473	0.8934302863588337	0.886010835364036	0.8684458541475916	0.5748070006080667	0.8658232042277263	0.8401763973101057	0.8876776032226009	0.616434093106513	0.8932652266093403	0.8817711490812944	0.8934183874120126	0.6883113594363682	0.684878055626661	0.8718925824101226	0.8861063320398059	0.7724930520829106	0.8853304596868258	0.890846079190237	0.8718913620053204	0.883464155643106	0.8941912087529873	0.8922175090866765	0.6429470823324742	0.8874143008865326	0.8237756822749323	0.8062393805713386
CM_madagascar__A28_02_1FE__bin.17	0.8753325395727297	0.8705468387396513	0.8752645161708285	0.7941810838487918	0.8897914458027016	0.8546511116736025	1.0	0.8461884451840126	0.7022560169475447	0.7086562324012585	0.8683714781115038	0.8865443695364368	0.8760470166648079	0.8775023472701098	0.8117570352162242	0.8825939220396285	0.8813472890823366	0.8609763625619558	0.5796047331330885	0.8680096121231585	0.8458955280860297	0.8795027905790828	0.6408498575441886	0.8786892862216517	0.8796897392482534	0.8840196370141706	0.7100213278815892	0.6895550760497006	0.8711192533529291	0.8833352382970827	0.7689138606242142	0.8857586298328429	0.8871019763343345	0.8747119995594675	0.871934145943052	0.8839807664987984	0.8794856690425498	0.6809387784755446	0.8825032241704269	0.8322547536557952	0.8062730533391392
BritoIL_2016__W2.39.ST__bin.64	0.9115889627242698	0.922162410968453	0.9405756549921596	0.8080653323681309	0.9556680432270043	0.8743429084306927	0.5773001085694748	1.0	0.7409423097990029	0.7141749935360279	0.9330357748889759	0.9487166292508707	0.9378012771356601	0.9337214768353024	0.8670211775194575	0.9364245063309042	0.9373930761151259	0.9173040927124595	0.6104265842729901	0.92958548180822	0.8787709266163167	0.9451129056241134	0.6692091097334633	0.9477916261648962	0.9356583007030339	0.9725122547123857	0.764108428040916	0.7232785392654338	0.9351708588038037	0.9433670806871035	0.8197503628190432	0.9542451801183057	0.954408713087089	0.9270819751625622	0.9359904178519912	0.943903771897396	0.9387221761123794	0.6772452713558115	0.929545703518516	0.870842418936739	0.8561462350953748
LeChatelierE_2013__MH0318__bin.90	0.8447502056100933	0.8520517262498469	0.8645857175354787	0.7463625387159432	0.8746628869406967	0.795456629394369	0.5311179939454389	0.8213823997760162	1.0	0.6536381612333105	0.8521217211752148	0.8666603671233836	0.8616585297565927	0.8576667191628606	0.8047540553309884	0.8669616952770924	0.869953278387317	0.8430304302938036	0.5808619875059058	0.8391324129000648	0.8190694174672337	0.8652433198593101	0.6297618422664357	0.8579561481792569	0.8430724272490245	0.8690209459814164	0.6889701996605246	0.6812683080476666	0.8447470558384517	0.8549992125570897	0.7591915586120006	0.8642983883668434	0.8712716328066215	0.8609169335223196	0.8619224106252296	0.8763273662659457	0.866927747738289	0.6157432586137506	0.8670628379442491	0.8030048821460445	0.7952081474093128
LiuW_2016__SRR3992977__bin.26	0.9244709691072542	0.9410620011316082	0.9467465458439899	0.8812839296764475	0.9527182090551954	0.8882619131087063	0.6149640539686402	0.9084148207758143	0.7499908644114011	1.0	0.9323685348644178	0.9498739288773346	0.9422164985919147	0.944333545760866	0.8779706223564517	0.9349955687375741	0.9505417303648092	0.91737653201813	0.6214276334890197	0.9306205253184305	0.92909498241349	0.9448800748194667	0.6811599266101024	0.9424751060230232	0.9330367379162264	0.9480134813178217	0.7457001495024016	0.7227330789824842	0.9262723867096662	0.9428019793909151	0.8304430740392272	0.9495916291505188	0.9483913533561341	0.928315947605492	0.9399255740663329	0.945912496722231	0.9342679341643306	0.7706043663696295	0.9325608841804133	0.9245255818566809	0.8660040052026675
