	WenC_2017__RA009__bin.40	LiJ_2017__H2MX14928__bin.10	LiuW_2016__SRR3993051__bin.63	FengQ_2015__SID31275__bin.9	ZeeviD_2015__PNP_Main_456__bin.28	FengQ_2015__SID31071__bin.55	NielsenHB_2014__MH0006__bin.64	NielsenHB_2014__MH0102__bin.35	LiuW_2016__SRR3993008__bin.46	LiJ_2014__MH0368__bin.53	LiuW_2016__SRR3993056__bin.53	LiJ_2014__MH0397__bin.67	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.52	FengQ_2015__SID530451__bin.74	CM_madagascar__A41_01_1FE__bin.16	XieH_2016__YSZC12003_37543__bin.35	ZeeviD_2015__PNP_Main_172__bin.22	SchirmerM_2016__G88798__bin.3	LeChatelierE_2013__MH0006__bin.72	LiuW_2016__SRR3993014__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.15	CosteaPI_2017__SID713A004-11-0-0__bin.50	LiuW_2016__SRR3993041__bin.8	CM_madagascar__A34_02_1FE__bin.7	LiuW_2016__SRR3993055__bin.42	ZeeviD_2015__PNP_Main_228__bin.15	QinJ_2012__T2D-040__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.34	QinJ_2012__DLM010__bin.5	LeChatelierE_2013__MH0102__bin.17	BackhedF_2015__SID587_M__bin.13	LiuW_2016__SRR3992993__bin.63	LiuW_2016__SRR3993000__bin.39	CosteaPI_2017__SID713B051-11-0-0__bin.11	FengQ_2015__SID31300__bin.38
WenC_2017__RA009__bin.40	2488146.0	1682061.0	1717597.0	1813832.0	1936784.0	1257626.0	1891181.0	1449246.0	1882825.0	1682221.0	1660076.0	1951548.0	1782786.0	1957620.0	1982104.0	2016807.0	1985454.0	1490308.0	1717386.0	1787283.0	1978572.0	1338241.0	1769838.0	1551165.0	1476618.0	1745256.0	1894030.0	1761370.0	1874748.0	1987345.0	1585320.0	1972572.0	1287966.0	1907912.0	1850528.0	1754825.0
LiJ_2017__H2MX14928__bin.10	1682061.0	1870130.0	1607936.0	1605015.0	1695299.0	1225137.0	1650627.0	1250858.0	1714852.0	1449569.0	1580654.0	1670598.0	1576740.0	1765290.0	1684281.0	1722571.0	1743041.0	1303407.0	1553346.0	1551806.0	1723260.0	1163228.0	1545482.0	1419733.0	1339173.0	1604355.0	1696449.0	1379934.0	1647251.0	1682625.0	1378089.0	1696338.0	1261018.0	1658090.0	1619572.0	1560668.0
LiuW_2016__SRR3993051__bin.63	1717597.0	1607936.0	1972272.0	1639904.0	1761536.0	1209158.0	1691652.0	1317162.0	1742980.0	1460736.0	1596880.0	1706806.0	1619101.0	1786756.0	1733254.0	1745521.0	1801387.0	1321451.0	1612692.0	1602354.0	1804258.0	1229479.0	1619321.0	1466712.0	1341155.0	1665333.0	1738267.0	1424245.0	1704399.0	1727914.0	1447325.0	1751837.0	1262479.0	1694433.0	1682882.0	1609612.0
FengQ_2015__SID31275__bin.9	1813832.0	1605015.0	1639904.0	2138475.0	1910712.0	1222866.0	1833587.0	1419615.0	1776541.0	1508115.0	1584326.0	1863123.0	1737140.0	1866405.0	1852361.0	1812523.0	1838410.0	1365003.0	1651604.0	1730509.0	1839786.0	1295259.0	1687539.0	1481767.0	1364410.0	1703486.0	1774813.0	1520338.0	1812401.0	1756304.0	1540366.0	1883190.0	1261363.0	1790143.0	1784948.0	1661985.0
ZeeviD_2015__PNP_Main_456__bin.28	1936784.0	1695299.0	1761536.0	1910712.0	2368373.0	1281577.0	1931143.0	1476971.0	1916777.0	1575521.0	1679190.0	2007457.0	1812954.0	2001233.0	1961864.0	1941514.0	1983127.0	1464956.0	1762535.0	1829077.0	1959667.0	1391523.0	1768945.0	1600670.0	1478759.0	1865140.0	1890524.0	1589976.0	1919173.0	1894851.0	1605203.0	2008800.0	1297167.0	1890144.0	1903191.0	1791294.0
FengQ_2015__SID31071__bin.55	1257626.0	1225137.0	1209158.0	1222866.0	1281577.0	1364165.0	1223211.0	930425.0	1277786.0	1112574.0	1196228.0	1274095.0	1192090.0	1303740.0	1300658.0	1277865.0	1295134.0	932211.0	1165267.0	1136729.0	1294413.0	817761.0	1158077.0	1071699.0	983011.0	1208823.0	1278210.0	991436.0	1249241.0	1252558.0	1023408.0	1282125.0	983041.0	1246051.0	1215459.0	1212374.0
NielsenHB_2014__MH0006__bin.64	1891181.0	1650627.0	1691652.0	1833587.0	1931143.0	1223211.0	2351116.0	1488692.0	1837627.0	1565196.0	1628938.0	1976907.0	1770110.0	1988711.0	1962602.0	1910198.0	1914583.0	1478545.0	1713420.0	2227923.0	1930877.0	1343576.0	1734413.0	1537779.0	1408622.0	1722838.0	1832302.0	1577984.0	1867029.0	1841545.0	1607598.0	1997230.0	1274969.0	1859081.0	1830363.0	1707814.0
NielsenHB_2014__MH0102__bin.35	1449246.0	1250858.0	1317162.0	1419615.0	1476971.0	930425.0	1488692.0	1784958.0	1420505.0	1210370.0	1238476.0	1510477.0	1422004.0	1500429.0	1513963.0	1455768.0	1473465.0	1157908.0	1333421.0	1423642.0	1485779.0	1114072.0	1363192.0	1210205.0	1089431.0	1343151.0	1407975.0	1252188.0	1453940.0	1421451.0	1677251.0	1531231.0	960311.0	1448629.0	1439796.0	1321455.0
LiuW_2016__SRR3993008__bin.46	1882825.0	1714852.0	1742980.0	1776541.0	1916777.0	1277786.0	1837627.0	1420505.0	2197010.0	1587638.0	1762098.0	1873868.0	1723940.0	1921108.0	1899316.0	1940848.0	1952631.0	1482546.0	1718716.0	1731752.0	1919564.0	1310499.0	1707423.0	1528992.0	1411937.0	1734181.0	1893057.0	1583420.0	1834956.0	1885294.0	1550299.0	1890286.0	1292513.0	1889169.0	1803305.0	1721533.0
LiJ_2014__MH0368__bin.53	1682221.0	1449569.0	1460736.0	1508115.0	1575521.0	1112574.0	1565196.0	1210370.0	1587638.0	1877977.0	1411376.0	1587070.0	1480816.0	1598436.0	1623707.0	1659482.0	1627521.0	1187512.0	1428165.0	1458997.0	1645539.0	1027416.0	1474378.0	1308033.0	1207879.0	1451137.0	1609994.0	1379226.0	1534577.0	1660842.0	1316711.0	1611682.0	1097451.0	1592891.0	1508569.0	1442403.0
LiuW_2016__SRR3993056__bin.53	1660076.0	1580654.0	1596880.0	1584326.0	1679190.0	1196228.0	1628938.0	1238476.0	1762098.0	1411376.0	1854556.0	1631304.0	1549968.0	1709283.0	1660294.0	1702075.0	1717428.0	1295899.0	1528950.0	1530993.0	1700393.0	1159051.0	1545438.0	1397748.0	1290150.0	1590515.0	1677461.0	1383027.0	1633382.0	1650629.0	1363796.0	1662857.0	1238432.0	1641419.0	1599725.0	1557510.0
LiJ_2014__MH0397__bin.67	1951548.0	1670598.0	1706806.0	1863123.0	2007457.0	1274095.0	1976907.0	1510477.0	1873868.0	1587070.0	1631304.0	2405868.0	1831343.0	2005731.0	1971151.0	1932359.0	1944757.0	1465106.0	1745758.0	1874411.0	1960565.0	1350984.0	1747304.0	1543838.0	1444550.0	1741535.0	1851006.0	1614999.0	1889551.0	1875573.0	1624304.0	2107317.0	1293994.0	1922836.0	1875175.0	1723878.0
VogtmannE_2016__MMRS20257302ST-27-0-0__bin.48	1782786.0	1576740.0	1619101.0	1737140.0	1812954.0	1192090.0	1770110.0	1422004.0	1723940.0	1480816.0	1549968.0	1831343.0	2065678.0	1804156.0	1799693.0	1766869.0	1793178.0	1367056.0	1602048.0	1680333.0	1799855.0	1276505.0	1648408.0	1465730.0	1336280.0	1633814.0	1719164.0	1467366.0	1809426.0	1708827.0	1524764.0	1813070.0	1226402.0	1742887.0	1790502.0	1605091.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.52	1957620.0	1765290.0	1786756.0	1866405.0	2001233.0	1303740.0	1988711.0	1500429.0	1921108.0	1598436.0	1709283.0	2005731.0	1804156.0	2555620.0	2014537.0	2010610.0	2036135.0	1520325.0	1799862.0	1887669.0	1999127.0	1670183.0	1777998.0	1588541.0	1494405.0	1817937.0	1967479.0	1614489.0	1915638.0	1935587.0	1621380.0	2044989.0	1337019.0	1962790.0	1881188.0	1761436.0
FengQ_2015__SID530451__bin.74	1982104.0	1684281.0	1733254.0	1852361.0	1961864.0	1300658.0	1962602.0	1513963.0	1899316.0	1623707.0	1660294.0	1971151.0	1799693.0	2014537.0	2441875.0	1969662.0	1982566.0	1499333.0	1752517.0	1862723.0	1966748.0	1380885.0	1766139.0	1565130.0	1430793.0	1764828.0	1914621.0	1653688.0	1919612.0	1904328.0	1647890.0	2009834.0	1308941.0	1935899.0	1870915.0	1780189.0
CM_madagascar__A41_01_1FE__bin.16	2016807.0	1722571.0	1745521.0	1812523.0	1941514.0	1277865.0	1910198.0	1455768.0	1940848.0	1659482.0	1702075.0	1932359.0	1766869.0	2010610.0	1969662.0	2471478.0	2040492.0	1525254.0	1734276.0	1797098.0	1990595.0	1338712.0	1780491.0	1546794.0	1466197.0	1771428.0	1936130.0	1666660.0	1877368.0	2011201.0	1588592.0	1955510.0	1304616.0	1911779.0	1838294.0	1738467.0
XieH_2016__YSZC12003_37543__bin.35	1985454.0	1743041.0	1801387.0	1838410.0	1983127.0	1295134.0	1914583.0	1473465.0	1952631.0	1627521.0	1717428.0	1944757.0	1793178.0	2036135.0	1982566.0	2040492.0	2498689.0	1513539.0	1760455.0	1808423.0	2051249.0	1366908.0	1792120.0	1570608.0	1481282.0	1797962.0	1943242.0	1642692.0	1899443.0	1966517.0	1606897.0	1986728.0	1315369.0	1932499.0	1881859.0	1742026.0
ZeeviD_2015__PNP_Main_172__bin.22	1490308.0	1303407.0	1321451.0	1365003.0	1464956.0	932211.0	1478545.0	1157908.0	1482546.0	1187512.0	1295899.0	1465106.0	1367056.0	1520325.0	1499333.0	1525254.0	1513539.0	1860667.0	1344021.0	1423901.0	1473475.0	1174696.0	1357458.0	1187649.0	1096372.0	1351646.0	1483307.0	1403304.0	1457388.0	1474990.0	1251401.0	1486439.0	956554.0	1478147.0	1436333.0	1311673.0
SchirmerM_2016__G88798__bin.3	1717386.0	1553346.0	1612692.0	1651604.0	1762535.0	1165267.0	1713420.0	1333421.0	1718716.0	1428165.0	1528950.0	1745758.0	1602048.0	1799862.0	1752517.0	1734276.0	1760455.0	1344021.0	1989111.0	1629845.0	1752636.0	1268565.0	1616552.0	1414796.0	1326972.0	1639796.0	1693049.0	1426656.0	1706249.0	1715261.0	1453008.0	1773918.0	1208391.0	1707148.0	1673978.0	1621275.0
LeChatelierE_2013__MH0006__bin.72	1787283.0	1551806.0	1602354.0	1730509.0	1829077.0	1136729.0	2227923.0	1423642.0	1731752.0	1458997.0	1530993.0	1874411.0	1680333.0	1887669.0	1862723.0	1797098.0	1808423.0	1423901.0	1629845.0	2236534.0	1802213.0	1335929.0	1644203.0	1455443.0	1321587.0	1622006.0	1726795.0	1538292.0	1765542.0	1747243.0	1546942.0	1894998.0	1191563.0	1743189.0	1741222.0	1614506.0
LiuW_2016__SRR3993014__bin.71	1978572.0	1723260.0	1804258.0	1839786.0	1959667.0	1294413.0	1930877.0	1485779.0	1919564.0	1645539.0	1700393.0	1960565.0	1799855.0	1999127.0	1966748.0	1990595.0	2051249.0	1473475.0	1752636.0	1802213.0	2377065.0	1354904.0	1780874.0	1568590.0	1454611.0	1769948.0	1894097.0	1633205.0	1849230.0	1927847.0	1606501.0	1966619.0	1309346.0	1900326.0	1826878.0	1739418.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.15	1338241.0	1163228.0	1229479.0	1295259.0	1391523.0	817761.0	1343576.0	1114072.0	1310499.0	1027416.0	1159051.0	1350984.0	1276505.0	1670183.0	1380885.0	1338712.0	1366908.0	1174696.0	1268565.0	1335929.0	1354904.0	1698500.0	1267712.0	1098254.0	1009898.0	1269356.0	1330278.0	1251051.0	1339055.0	1314885.0	1202133.0	1391773.0	890011.0	1319811.0	1329287.0	1228547.0
CosteaPI_2017__SID713A004-11-0-0__bin.50	1769838.0	1545482.0	1619321.0	1687539.0	1768945.0	1158077.0	1734413.0	1363192.0	1707423.0	1474378.0	1545438.0	1747304.0	1648408.0	1777998.0	1766139.0	1780491.0	1792120.0	1357458.0	1616552.0	1644203.0	1780874.0	1267712.0	2032345.0	1432185.0	1338043.0	1637362.0	1704038.0	1469848.0	1718156.0	1725411.0	1488924.0	1770811.0	1202020.0	1729193.0	1686488.0	1594084.0
LiuW_2016__SRR3993041__bin.8	1551165.0	1419733.0	1466712.0	1481767.0	1600670.0	1071699.0	1537779.0	1210205.0	1528992.0	1308033.0	1397748.0	1543838.0	1465730.0	1588541.0	1565130.0	1546794.0	1570608.0	1187649.0	1414796.0	1455443.0	1568590.0	1098254.0	1432185.0	1742493.0	1218130.0	1501165.0	1534097.0	1281870.0	1514573.0	1517638.0	1330872.0	1567420.0	1112286.0	1547421.0	1496574.0	1442873.0
CM_madagascar__A34_02_1FE__bin.7	1476618.0	1339173.0	1341155.0	1364410.0	1478759.0	983011.0	1408622.0	1089431.0	1411937.0	1207879.0	1290150.0	1444550.0	1336280.0	1494405.0	1430793.0	1466197.0	1481282.0	1096372.0	1326972.0	1321587.0	1454611.0	1009898.0	1338043.0	1218130.0	1765616.0	1353501.0	1387839.0	1235555.0	1391081.0	1448394.0	1194454.0	1444885.0	1019519.0	1395617.0	1358905.0	1329044.0
LiuW_2016__SRR3993055__bin.42	1745256.0	1604355.0	1665333.0	1703486.0	1865140.0	1208823.0	1722838.0	1343151.0	1734181.0	1451137.0	1590515.0	1741535.0	1633814.0	1817937.0	1764828.0	1771428.0	1797962.0	1351646.0	1639796.0	1622006.0	1769948.0	1269356.0	1637362.0	1501165.0	1353501.0	1991289.0	1733400.0	1452238.0	1737254.0	1739859.0	1476588.0	1755985.0	1246531.0	1710241.0	1708237.0	1641735.0
ZeeviD_2015__PNP_Main_228__bin.15	1894030.0	1696449.0	1738267.0	1774813.0	1890524.0	1278210.0	1832302.0	1407975.0	1893057.0	1609994.0	1677461.0	1851006.0	1719164.0	1967479.0	1914621.0	1936130.0	1943242.0	1483307.0	1693049.0	1726795.0	1894097.0	1330278.0	1704038.0	1534097.0	1387839.0	1733400.0	2255422.0	1557033.0	1841109.0	1850132.0	1539836.0	1867317.0	1272171.0	1860503.0	1817710.0	1685667.0
QinJ_2012__T2D-040__bin.3	1761370.0	1379934.0	1424245.0	1520338.0	1589976.0	991436.0	1577984.0	1252188.0	1583420.0	1379226.0	1383027.0	1614999.0	1467366.0	1614489.0	1653688.0	1666660.0	1642692.0	1403304.0	1426656.0	1538292.0	1633205.0	1251051.0	1469848.0	1281870.0	1235555.0	1452238.0	1557033.0	2143022.0	1541406.0	1669847.0	1364460.0	1638334.0	1039512.0	1578967.0	1523960.0	1429015.0
CosteaPI_2017__SID713B051-11-90-0__bin.34	1874748.0	1647251.0	1704399.0	1812401.0	1919173.0	1249241.0	1867029.0	1453940.0	1834956.0	1534577.0	1633382.0	1889551.0	1809426.0	1915638.0	1919612.0	1877368.0	1899443.0	1457388.0	1706249.0	1765542.0	1849230.0	1339055.0	1718156.0	1514573.0	1391081.0	1737254.0	1841109.0	1541406.0	2195690.0	1808182.0	1568329.0	1896600.0	1264291.0	1819261.0	2034175.0	1701871.0
QinJ_2012__DLM010__bin.5	1987345.0	1682625.0	1727914.0	1756304.0	1894851.0	1252558.0	1841545.0	1421451.0	1885294.0	1660842.0	1650629.0	1875573.0	1708827.0	1935587.0	1904328.0	2011201.0	1966517.0	1474990.0	1715261.0	1747243.0	1927847.0	1314885.0	1725411.0	1517638.0	1448394.0	1739859.0	1850132.0	1669847.0	1808182.0	2308958.0	1554779.0	1912464.0	1278316.0	1849601.0	1774976.0	1718147.0
LeChatelierE_2013__MH0102__bin.17	1585320.0	1378089.0	1447325.0	1540366.0	1605203.0	1023408.0	1607598.0	1677251.0	1550299.0	1316711.0	1363796.0	1624304.0	1524764.0	1621380.0	1647890.0	1588592.0	1606897.0	1251401.0	1453008.0	1546942.0	1606501.0	1202133.0	1488924.0	1330872.0	1194454.0	1476588.0	1539836.0	1364460.0	1568329.0	1554779.0	1884945.0	1666636.0	1061433.0	1572527.0	1554910.0	1441966.0
BackhedF_2015__SID587_M__bin.13	1972572.0	1696338.0	1751837.0	1883190.0	2008800.0	1282125.0	1997230.0	1531231.0	1890286.0	1611682.0	1662857.0	2107317.0	1813070.0	2044989.0	2009834.0	1955510.0	1986728.0	1486439.0	1773918.0	1894998.0	1966619.0	1391773.0	1770811.0	1567420.0	1444885.0	1755985.0	1867317.0	1638334.0	1896600.0	1912464.0	1666636.0	2472004.0	1314980.0	1983351.0	1866028.0	1754089.0
LiuW_2016__SRR3992993__bin.63	1287966.0	1261018.0	1262479.0	1261363.0	1297167.0	983041.0	1274969.0	960311.0	1292513.0	1097451.0	1238432.0	1293994.0	1226402.0	1337019.0	1308941.0	1304616.0	1315369.0	956554.0	1208391.0	1191563.0	1309346.0	890011.0	1202020.0	1112286.0	1019519.0	1246531.0	1272171.0	1039512.0	1264291.0	1278316.0	1061433.0	1314980.0	1415873.0	1291881.0	1245059.0	1216289.0
LiuW_2016__SRR3993000__bin.39	1907912.0	1658090.0	1694433.0	1790143.0	1890144.0	1246051.0	1859081.0	1448629.0	1889169.0	1592891.0	1641419.0	1922836.0	1742887.0	1962790.0	1935899.0	1911779.0	1932499.0	1478147.0	1707148.0	1743189.0	1900326.0	1319811.0	1729193.0	1547421.0	1395617.0	1710241.0	1860503.0	1578967.0	1819261.0	1849601.0	1572527.0	1983351.0	1291881.0	2291061.0	1782031.0	1696194.0
CosteaPI_2017__SID713B051-11-0-0__bin.11	1850528.0	1619572.0	1682882.0	1784948.0	1903191.0	1215459.0	1830363.0	1439796.0	1803305.0	1508569.0	1599725.0	1875175.0	1790502.0	1881188.0	1870915.0	1838294.0	1881859.0	1436333.0	1673978.0	1741222.0	1826878.0	1329287.0	1686488.0	1496574.0	1358905.0	1708237.0	1817710.0	1523960.0	2034175.0	1774976.0	1554910.0	1866028.0	1245059.0	1782031.0	2146768.0	1675944.0
FengQ_2015__SID31300__bin.38	1754825.0	1560668.0	1609612.0	1661985.0	1791294.0	1212374.0	1707814.0	1321455.0	1721533.0	1442403.0	1557510.0	1723878.0	1605091.0	1761436.0	1780189.0	1738467.0	1742026.0	1311673.0	1621275.0	1614506.0	1739418.0	1228547.0	1594084.0	1442873.0	1329044.0	1641735.0	1685667.0	1429015.0	1701871.0	1718147.0	1441966.0	1754089.0	1216289.0	1696194.0	1675944.0	2002206.0
