	XieH_2016__YSZC12003_37583__bin.55	XieH_2016__YSZC12003_37331__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	XieH_2016__YSZC12003_37296R1__bin.77	XieH_2016__YSZC12003_37232__bin.78	RaymondF_2016__P13E7__bin.10	XieH_2016__YSZC12003_37100__bin.102	XieH_2016__YSZC12003_37830__bin.16	ChengpingW_2017__AS98raw__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	ZeeviD_2015__PNP_Main_589__bin.11	ZellerG_2014__CCIS41548810ST-4-0__bin.30	ZeeviD_2015__PNP_Main_610__bin.28	XieH_2016__YSZC12003_35739__bin.18	ZeeviD_2015__PNP_Main_474__bin.36	ZeeviD_2015__PNP_Main_553__bin.11	ZellerG_2014__CCIS53043478ST-4-0__bin.27	HeQ_2017__RSZAXPI003103-141__bin.15	ZeeviD_2015__PNP_Main_414__bin.81	XieH_2016__YSZC12003_37197R1__bin.105	LiJ_2014__O2.UC13-1__bin.18	QinN_2014__HD-33__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.7	XieH_2016__YSZC12003_37101__bin.43	AsnicarF_2017__MV_FEM3_t1Q14__bin.16	ZeeviD_2015__PNP_Main_74__bin.20	XieH_2016__YSZC12003_35740__bin.98	LiJ_2014__MH0329__bin.16	ChengpingW_2017__AS9raw__bin.56	RaymondF_2016__P13E90__bin.1	XieH_2016__YSZC12003_35733__bin.9	RaymondF_2016__P13E0__bin.60	LiJ_2017__H3M514143__bin.39	LeChatelierE_2013__MH0257__bin.1	BritoIL_2016__W2.6.ST__bin.27	LiJ_2014__V1.CD40-0__bin.15	ChengpingW_2017__AS128raw__bin.44	LeChatelierE_2013__MH0422__bin.22	XieH_2016__YSZC12003_35563__bin.34	XieH_2016__YSZC12003_37314__bin.63	CosteaPI_2017__SID713A063-11-90-0__bin.50	ZeeviD_2015__PNP_Main_475__bin.20
XieH_2016__YSZC12003_37583__bin.55	1.0	0.9312916434037875	0.9677634205794616	0.9203024445046738	0.7530743337696637	0.877294688881612	0.950225418368455	0.9495628003690141	0.8841474414822807	0.9696016511585555	0.887318175483476	0.8992260621766531	0.7232159117238927	0.5473156276103943	0.854220620159148	0.8633091741385752	0.9187613232866195	0.8654560564567635	0.7175883611789642	0.8775383613072127	0.8509130876032295	0.9364138942872069	0.9257235147310668	0.8322640246305798	0.8691239677052812	0.8800721270379779	0.7847714138900123	0.5914960033447246	0.8937036755206681	0.8400735121233445	0.9387950441303587	0.9600308822737288	0.929974957314576	0.8513012535022567	0.4895554303468784	0.9201083615551602	0.9063626717783727	0.9199848153604258	0.9439031876628223	0.9343007841122158	0.9481798524798586	0.9444713291604074
XieH_2016__YSZC12003_37331__bin.46	0.8596181505734449	1.0	0.9276486685383615	0.8550771531560681	0.7310745409382281	0.8474216186674927	0.9317031305181622	0.9136279246876289	0.8569499002661543	0.9295174697000488	0.8521157188827442	0.8755617550789289	0.6932147444307871	0.5269624681118045	0.8299138402167114	0.8300322186686765	0.8840790846978094	0.8340697130703622	0.6979834230707765	0.8473340186130386	0.8218747595437694	0.90081148428822	0.9016255334428992	0.8005027138260113	0.846724369585419	0.8529842221253273	0.7607011161115046	0.5928282387851214	0.8717361581062605	0.8065932851796097	0.9081284564041756	0.9196999500837527	0.8959788812841695	0.8134856732478509	0.46898188612387515	0.8814258289944342	0.8775000049324355	0.8805521960189326	0.9088020297958563	0.9139751681467262	0.9234048010354169	0.886436788866112
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	0.8599207009434902	0.8930028724825892	1.0	0.845124870563549	0.7148702064829524	0.8196804942402204	0.9075069722848355	0.90183266060566	0.8341086225378584	1.0103154108956813	0.8396564416618615	0.8580153356079202	0.6777615451996265	0.5147893728020494	0.8069317160519432	0.8188968481701884	0.8533108001850666	0.8166021288735021	0.6769710616941798	0.8261194591132758	0.8104955393331069	0.8874265640443583	0.8759294163944987	0.7854089887964822	0.8297398811653725	0.8340398683261883	0.74243722664503	0.5711385773424104	0.854881890900361	0.787501244033388	0.8817207241907705	0.900662699434696	0.8695614848782519	0.7879350413246999	0.45677297359306474	0.8618708894667788	0.8590375322024215	0.8635810080355061	0.8880119244873633	0.8831907728049363	0.9163960181815005	0.8783532872490186
XieH_2016__YSZC12003_37296R1__bin.77	0.8978018050479788	0.9037229896518979	0.9278581351229507	1.0	0.7386254494165769	0.8614898214261139	0.9209206153394464	0.9196903368085574	0.8765701169098239	0.9285395843159923	0.8569786611316644	0.8755771361701471	0.6948091837998591	0.5151372219309868	0.8194672602030751	0.8426219362415449	0.9065296928766039	0.8413190921295121	0.6881068765897179	0.8500173698646819	0.8251603219743177	0.9096908831356338	0.8973413889469275	0.7988115092348043	0.8426974211276774	0.8525846900803268	0.7647373814084479	0.5862110382257966	0.8725844315133134	0.8486148523394684	0.9021928567943279	0.9461947067996035	0.8953754455589239	0.7974477767615816	0.47304459738822296	0.8995779936117266	0.8768436974916081	0.8785673385655619	0.915785140821017	0.8994795713292555	0.9201399097767942	0.9200635908035221
XieH_2016__YSZC12003_37232__bin.78	0.9045515229938177	0.9513432743853596	0.9663477930453714	0.9094311623225912	1.0	0.8941421734754658	0.9615025571507795	0.9494860024236449	0.9013432743853595	0.9660540801445971	0.9019070799186641	0.9185398566352414	0.740037895126009	0.560770842319305	0.861075851870109	0.8718810976235957	0.9136073284449647	0.8781697373015384	0.7354956148458521	0.895174276500914	0.858559266333929	0.9443578367942161	0.9392491835602933	0.8339448928872184	0.8920178897857745	0.896497011522583	0.8265147780721753	0.6292459999589213	0.9220454125331198	0.8505417257173373	0.9401169716762174	0.9566624560971101	0.9373030788506173	0.8391793497237455	0.5070670815618132	0.9262220921395855	0.9044169901616448	0.9148684453755622	0.9512416045350915	0.9421483147452092	0.9569926263684351	0.9225054942797872
RaymondF_2016__P13E7__bin.10	0.9130735594052887	0.9555203368654852	0.9600982227711671	0.9190952435191481	0.7747674795243163	1.0	0.957733864164617	0.9499702786686267	0.900698718245338	0.9608946476687442	0.8962173821736081	0.9218426869507338	0.7309618855070246	0.559811064877929	0.8674900246669254	0.8845962526206383	0.9272000904097984	0.8836516659963053	0.7390346974297277	0.9015779001434455	0.852034932352826	0.9388795058072278	0.9400145225188028	0.830248484568044	0.8891834820586382	0.8963290596313132	0.8128299156768455	0.619645711051708	0.9183588841864719	0.8821655994276419	0.9404550033280772	1.0005419248744407	0.9438996522426257	0.8423465791993394	0.5023794862303029	0.9384123291913307	0.9082033544170882	0.9100618274881381	0.9639673350110165	0.9357009250986855	0.9515488907002488	0.9378294707467351
XieH_2016__YSZC12003_37100__bin.102	0.8589464369210794	0.9124248876454426	0.9232093794318704	0.8533196279450805	0.7235931045409404	0.8318097681805711	1.0	0.9072080810266675	0.8513333771287469	0.9208540878510234	0.8493034597088636	0.8598421819390291	0.6840002473152768	0.5208397899365869	0.8143979998376993	0.8245093303552452	0.8740187573180204	0.8235757151855444	0.683027989133585	0.8341310539108661	0.8118734518643321	0.8901726956205874	0.8852700566892986	0.7996827408715544	0.8396264766460957	0.845907125384981	0.7489680383647823	0.5836482094760393	0.8588080949381519	0.8041193450782328	0.9003667221837939	0.9166848932873224	0.8787807356856623	0.8004393710463369	0.460327924599755	0.8694078731272631	0.8717272267069585	0.875924630669413	0.89399487593661	0.892040312390109	0.9119356671136375	0.8906027923440465
XieH_2016__YSZC12003_37830__bin.16	0.895266005555654	0.9332068022100088	0.9568969269784561	0.888832909592451	0.745283497966205	0.8605540499363986	0.9462281687461408	1.0	0.87537826330189	0.9593567468308105	0.878082332020462	0.8975843545300507	0.7104780345301797	0.5381830302659008	0.8467938910375982	0.8541596468628934	0.9013488502569047	0.8508566444558732	0.7135327575616386	0.8617281373081679	0.8480284360495205	0.9264440105825054	0.9141271770796219	0.8296344005584674	0.8655148008364113	0.8718265784683742	0.7727884998283003	0.5973690447209195	0.8924635924090999	0.8264583591957683	0.9304047921143891	0.9460685605761371	0.9087428196476045	0.8336415329478016	0.4800912990976496	0.9029646814527246	0.8991473860534703	0.9032552811763929	0.9264238580357878	0.9198130166105352	0.9465751956006184	0.9190859127249629
ChengpingW_2017__AS98raw__bin.2	0.8988970468393266	0.9438887737127106	0.9543741522055369	0.9135283331225392	0.7629217892901801	0.879841691429545	0.9575147675418753	0.9439578794196686	1.0	0.9553342434424552	0.8982924805602169	0.9194996746816247	0.7352316975273631	0.5519720552167637	0.8645197827038412	0.8674474307671646	0.9229393134543596	0.8682949535883464	0.7351213022470655	0.8803719364766434	0.8533842020876877	0.9621265955703676	0.927605904495913	0.8185192863597069	0.8733683555840671	0.8926631905192186	0.7854619846898262	0.6265410246681297	0.9299611486846229	0.8618403067076433	0.933479020333159	0.9525400258950819	0.9290540819524145	0.8552391904983565	0.4931439750037269	0.9174882205193533	0.9344069491655812	0.9064634698105851	0.9430677631438837	0.9350280312740268	0.944712826671152	0.9299007355194207
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	0.8562973836110706	0.8893423142513366	1.0041510506745315	0.8405853075836053	0.7102925292036514	0.8153550743432599	0.8996687842876975	0.898634325092771	0.8298533597460214	1.0	0.8362432217438792	0.8537486120691185	0.6740891001601902	0.5115566836446338	0.8036256662162616	0.8142768205254827	0.8502306957266642	0.8124283854092929	0.6737613955685128	0.8211348319400225	0.806311862264401	0.8836418400235283	0.8728204152409818	0.7825128826036054	0.8257966940345306	0.8304336384987958	0.7383494033171406	0.567685911005551	0.8513074393850328	0.7834186007089443	0.8777688300832815	0.8969908941163057	0.8645783427284126	0.784777744176731	0.45428162283240214	0.8575787538693116	0.8553388099264289	0.8593101516313308	0.8854789489441531	0.8796806918946347	0.916071758244621	0.8759857093615159
