	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
ChengpingW_2017__AS15raw__bin.20	0.0	36535.0	35356.0	30028.0	37702.0	32298.0	31955.0	30552.0	35053.0	23744.0	28489.0	32883.0	35632.0	35241.0	39375.0	29088.0	35041.0	32309.0	31115.0	37321.0	39148.0	35333.0	33674.0	28952.0	14456.0	36485.0	31282.0	24828.0	40309.0	31082.0	30182.0	25436.0	35481.0	32195.0	34822.0	38032.0
LiJ_2017__H3M515128__bin.7	36535.0	0.0	31725.0	25028.0	25907.0	30419.0	46287.0	42444.0	48032.0	20737.0	41219.0	21256.0	51792.0	32529.0	32541.0	39502.0	25085.0	22524.0	45205.0	34702.0	36367.0	23148.0	50503.0	27490.0	15107.0	23279.0	43905.0	35635.0	37800.0	39662.0	29324.0	38545.0	32843.0	42714.0	25733.0	40261.0
ZellerG_2014__CCMD40701343ST-21-0__bin.43	35356.0	31725.0	0.0	22712.0	30658.0	23965.0	47831.0	41045.0	45746.0	17285.0	39916.0	26131.0	49950.0	25165.0	34380.0	38833.0	26812.0	26055.0	44437.0	25036.0	30871.0	29478.0	47368.0	24135.0	11599.0	28604.0	41618.0	33428.0	23575.0	39194.0	21742.0	36920.0	25939.0	42912.0	27054.0	34867.0
BackhedF_2015__SID172_12M__bin.11	30028.0	25028.0	22712.0	0.0	21865.0	21384.0	39120.0	35069.0	37184.0	17101.0	33522.0	18831.0	42284.0	23933.0	27766.0	30583.0	20013.0	20855.0	36848.0	24677.0	27749.0	22205.0	41289.0	22545.0	10039.0	20652.0	35729.0	28376.0	27435.0	32547.0	22252.0	30788.0	24639.0	36337.0	19804.0	30503.0
LiJ_2017__nHM511615__bin.25	37702.0	25907.0	30658.0	21865.0	0.0	29969.0	49431.0	42894.0	49918.0	20350.0	42659.0	9341.0	53435.0	31661.0	31683.0	39719.0	23196.0	22031.0	46199.0	31956.0	35960.0	23444.0	50779.0	27487.0	14890.0	24007.0	44226.0	35925.0	37186.0	40628.0	27940.0	39108.0	32537.0	44634.0	24152.0	39715.0
GeversD_2014__SKBSTL036__bin.19	32298.0	30419.0	23965.0	21384.0	29969.0	0.0	42850.0	35370.0	39501.0	16920.0	35731.0	25918.0	44721.0	23638.0	33090.0	33670.0	26371.0	24683.0	39478.0	25750.0	27170.0	27493.0	42050.0	23633.0	12756.0	27791.0	38733.0	29520.0	26717.0	35114.0	21698.0	33339.0	25136.0	38077.0	26293.0	32600.0
QinJ_2012__T2D-048__bin.10	31955.0	46287.0	47831.0	39120.0	49431.0	42850.0	0.0	33755.0	41316.0	31021.0	34390.0	41518.0	32890.0	47937.0	52880.0	33696.0	44772.0	41006.0	33472.0	52756.0	54454.0	44642.0	40709.0	34436.0	21871.0	45779.0	33900.0	28619.0	55544.0	36697.0	39921.0	27743.0	48748.0	37479.0	43038.0	50626.0
LiJ_2017__H1M513912__bin.21	30552.0	42444.0	41045.0	35069.0	42894.0	35370.0	33755.0	0.0	35301.0	28518.0	29000.0	37430.0	35178.0	40524.0	45461.0	31762.0	39426.0	36481.0	33158.0	44114.0	47339.0	41527.0	34324.0	30684.0	17090.0	41277.0	30403.0	16491.0	45940.0	32533.0	35566.0	27394.0	43123.0	33027.0	38742.0	42832.0
ZeeviD_2015__PNP_Main_481__bin.1	35053.0	48032.0	45746.0	37184.0	49918.0	39501.0	41316.0	35301.0	0.0	31344.0	35764.0	41355.0	43349.0	48238.0	53981.0	41410.0	45803.0	40902.0	42532.0	49078.0	52417.0	44855.0	36141.0	34661.0	24150.0	45370.0	38052.0	29355.0	55667.0	36477.0	39762.0	35568.0	47364.0	37798.0	42819.0	50810.0
CosteaPI_2017__SID713A009-11-90-0__bin.91	23744.0	20737.0	17285.0	17101.0	20350.0	16920.0	31021.0	28518.0	31344.0	0.0	27833.0	17886.0	32652.0	17543.0	21966.0	24794.0	17948.0	19527.0	29835.0	17931.0	19631.0	20613.0	33060.0	17277.0	4644.0	19737.0	29230.0	23510.0	19095.0	28005.0	16118.0	25718.0	18247.0	30507.0	17084.0	22787.0
