	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
ZeeviD_2015__PNP_Main_479__bin.30	1.0	0.7752268245361456	0.8139049796191459	0.8201831854136673	0.8428410797836927	0.4636592876093301	0.6605955550422452	0.9868392318664827	0.7994634800715006	0.7007744790951047	0.8556709618794062	0.84211359513488	0.8488235789987926	0.8010916916075751	0.8368197504116993	0.8038380125331799	0.8449206504084468	0.8141774544807677	0.7117285659193355	0.8530849398066191	0.4960160922790382	0.8681427436393216	0.5289039076413102	0.8418318275861383	0.8134045020414042	0.8597743470061949	0.5330969008224692	0.8262420174158233	0.824221521730617	0.8159261390677178	0.84880698491465	0.8142474815158497	0.8187872910555895	0.6369589415894876	0.39825138178938657	0.8386069332738602	0.6354634827265541	0.8038957599459963
LiuW_2016__SRR3992994__bin.26	0.8106364556021939	1.0	0.8189768888133111	0.8284039069861062	0.8602084674501693	0.47299969980964807	0.682709903331766	0.8127405643925657	0.8149456620758944	0.704252465291575	0.8080575949026637	0.842821719899844	0.8151105064887967	0.7855582412662827	0.8455081632688474	0.7897154438392437	0.8095495235996467	0.804860307374098	0.7292508602275547	0.817140348533145	0.507206477170784	0.818837031342996	0.547492369438887	0.8316227110485667	0.7785153938653585	0.8181707128740017	0.5197127889765938	0.7857664657878435	0.8138247200681589	0.8153811983668257	0.862661005273286	0.8091195399626238	0.781953180716327	0.6238253967978539	0.40843829873625065	0.8432194287360251	0.6036529521899148	0.769510030348724
RampelliS_2015__H20__bin.28	0.76411833326894	0.7352943375861988	1.0	0.7747435381330847	0.8085612336591634	0.44359054091612127	0.6334421164538157	0.7658560174285639	0.7575642385410059	0.6479574032137654	0.7450119086047302	0.786745305417387	0.7770373933927497	0.739186288964693	0.769003603116303	0.7258634205800132	0.7445900286778645	0.7583167053234143	0.679718356201261	0.7558137795830057	0.4821479982202525	0.7575667311845915	0.5012506839190838	0.7962799787128239	0.743931347610365	0.7815796131666419	0.4842309135164845	0.7362892139573085	0.7691749723628143	0.7705587011332804	0.8118459147441115	0.9252808274579647	0.7302436185208404	0.5774342845676697	0.3773899778279353	0.8072435599437161	0.5720031257750564	0.7225693920816191
XieH_2016__YSZC12003_36034__bin.76	0.775911659591409	0.7494561297916543	0.7806789421681278	1.0	0.8401883428261407	0.46493814997160166	0.6423291616471112	0.7785182178074205	0.9288612430036266	0.653522417122783	0.7869381983225973	0.8044585269335454	0.777753392968321	0.7536554451541156	0.7973782457568076	0.7655099161926542	0.7748730550890522	0.7782833701146264	0.6880412603534708	0.7981258023832017	0.49378328644228664	0.8018230837071901	0.5125629387107176	0.7894901261929588	0.7834839278465	0.8065850288363454	0.5037178461954831	0.7508548550207956	0.7610258323043048	0.7826836246794784	0.843657997709921	0.7716508065982155	0.754462027671212	0.6127078975071921	0.3947817972944165	0.8051354408715989	0.5979529946691458	0.7465560119596502
CosteaPI_2017__SID713A028-11-90-0__bin.62	0.7565724619007684	0.7384331909810096	0.7730913890001921	0.7972234593849008	1.0	0.4513269748964383	0.6365415982089525	0.7592310293309342	0.7738162090985329	0.6476042655052068	0.7674954084300183	0.7854729130886186	0.7650921516551251	0.7558059341107846	0.7696248840004827	0.7396540346978203	0.7551871707140506	0.7717195038572168	0.6723449702758219	0.7708347049702162	0.4784560408377884	0.7807617314054448	0.5056101313941244	0.7747599945780002	0.7458416686651603	0.7775883718955698	0.47928513016523694	0.7357832630012557	0.757754874958851	0.7663296784485931	0.999704173301417	0.7639323799153632	0.726247693043306	0.5808511050303945	0.3887785455634188	0.7956078821578964	0.5890779472069998	0.7370857346288537
XieH_2016__YSZC12003_37315__bin.25	0.7937856782873173	0.774404417275237	0.8089089823346489	0.8413913871541973	0.8607771936234054	1.0	0.6668776516350294	0.7974606803753866	0.8009510232676269	0.6968628959448273	0.7950567017367624	0.8427959334067804	0.8227158083612548	0.7804919207340458	0.8004913639155476	0.7976623850354461	0.7840328318368363	0.8139351215540463	0.7275788224879673	0.8055476167884186	0.5794849883437434	0.8133953485200843	0.4599638977067601	0.8514021882966979	0.7886538571896916	0.828413538871329	0.5607031594904316	0.7747850993097155	0.809131141551785	0.8381805898753351	0.8638817408418982	0.8068356857020942	0.7746606674208337	0.678245271730268	0.5667679356635998	0.835235133656326	0.638725362912138	0.7771430551949178
RampelliS_2015__H16__bin.35	0.7714260135150847	0.7624256461056931	0.7879137037502112	0.7928934962336662	0.8280958116879593	0.4548838319714382	1.0	0.7708291670348512	0.7787172296401713	0.687600863179533	0.7661032280868202	0.8056036133240938	0.7922470417342963	0.8109694182064531	0.8033766783400538	0.7611245982913137	0.7598890485647005	0.7834195272665827	0.7429711637886265	0.7759147641216202	0.5304442088063535	0.7792404392169995	0.542700490034214	0.7912106992095271	0.7634150935498724	0.811643777216587	0.5212535481360562	0.7521653125227692	0.7636251525059027	0.8028247891271624	0.8253216382428219	0.7829881700376865	0.7635573290422396	0.6052329484061099	0.40963666776734464	0.7886062782048718	0.5920372153158558	0.742299517717039
ZeeviD_2015__PNP_Main_443__bin.23	0.9919939015134456	0.7812988642069215	0.8200169142925773	0.8272370152779098	0.8502207698838853	0.4682389952843486	0.6635323515036874	1.0	0.8068858185166465	0.7078164382236324	0.8611123065657146	0.8476706150030109	0.8557831367505543	0.8068748092137856	0.8419324329058054	0.808428788993366	0.8523722545550991	0.8164785910761261	0.7192360878275476	0.860601875251254	0.49975629406848787	0.8747254763608583	0.5321796918396045	0.8455548271622855	0.8192699497742258	0.866013114415014	0.5374234561537833	0.8299386314769313	0.8308440632334322	0.8211929080072661	0.8544420034929515	0.8203508631460251	0.8230995190936341	0.6414553631151657	0.4047623575254423	0.8440972621865477	0.6371203667098698	0.8100181319881967
XieH_2016__YSZC12003_36033__bin.88	0.8103076630164578	0.7899191266947839	0.817869226230642	0.9951779434727822	0.873744196544804	0.47419064463848537	0.6758844697823396	0.8135810102132739	1.0	0.6874331858404104	0.822500889734183	0.8362334070461566	0.8147015034321201	0.7876872226098107	0.8323037757694939	0.7970645836010385	0.8133522694781146	0.8148508576768418	0.7183643153688881	0.8347149722248198	0.5173213921699356	0.8382735725737167	0.5425161749974267	0.8247331302025902	0.8043032187185272	0.8301219928161954	0.5352566841070265	0.7881201480894431	0.795040228094879	0.815783648939484	0.8822392237884983	0.8077824325769863	0.7926848712896066	0.6451666073510544	0.4185400420748399	0.838846097178483	0.6209631465037314	0.779218769657407
VincentC_2016__MM100.1__bin.9	0.8635977695124714	0.8299735871929379	0.8505361497178353	0.851318963479325	0.8890743902109834	0.5016216596469731	0.7256229586106651	0.8677433287007992	0.8358193328005511	1.0	0.8369207525809542	0.8627683304799213	0.8726111705969588	0.8270713685662238	0.8570591887366433	0.8251216960474039	0.8296602980908997	0.835025476211705	0.7831188707195752	0.8448143291727778	0.5603919958315372	0.844946843101055	0.5828821452205417	0.8652468317310327	0.8363436626031788	0.8731056438663638	0.547701742230962	0.8125529135477496	0.8317244888193418	0.864835384163604	0.8946960073226216	0.8386610203736075	0.8396978191642952	0.6663912776387654	0.44568728512498434	0.8422703889447393	0.6376668387166434	0.8070478596137628
