	ZeeviD_2015__PNP_Main_107__bin.35	BritoIL_2016__M1.52.ST__bin.86	RampelliS_2015__H11__bin.13	BritoIL_2016__W1.2.ST__bin.60	LeChatelierE_2013__MH0454__bin.26	ZeeviD_2015__PNP_Main_133__bin.40	ZeeviD_2015__PNP_Main_93__bin.29	ZellerG_2014__CCIS90164298ST-4-0__bin.73	ZeeviD_2015__PNP_Main_310__bin.41	HMP_2012__SRS011529__bin.49	CM_madagascar__A07_01_1FE__bin.9	LiJ_2014__MH0340__bin.28	ZeeviD_2015__PNP_Validation_93__bin.6	BritoIL_2016__W2.61.ST__bin.7	KarlssonFH_2013__S60__bin.4	NielsenHB_2014__MH0115__bin.39	RampelliS_2015__H10__bin.44	ZeeviD_2015__PNP_Main_137__bin.17	ZeeviD_2015__PNP_Main_325__bin.40	ZeeviD_2015__PNP_Main_25__bin.85	FengQ_2015__SID530867__bin.63	ZeeviD_2015__PNP_Main_438__bin.40	XieH_2016__YSZC12003_37255__bin.30	BritoIL_2016__M1.1.ST__bin.103	BritoIL_2016__W2.39.ST__bin.75	ZeeviD_2015__PNP_Validation_18__bin.12	XieH_2016__YSZC12003_37315__bin.109	WenC_2017__N277__bin.7	BritoIL_2016__M2.36.ST__bin.40	LiJ_2014__O2.UC28-0__bin.26	BritoIL_2016__M2.46.ST__bin.6	LiJ_2014__V1.FI26__bin.8	QinN_2014__HD-60__bin.82	NielsenHB_2014__V1_CD22_0__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.44	BritoIL_2016__M1.44.ST__bin.14	CosteaPI_2017__SID713B040-11-90-0__bin.4	RaymondF_2016__P19E0__bin.81	LeChatelierE_2013__MH0177__bin.3	CosteaPI_2017__SID713A063-11-90-0__bin.85	CosteaPI_2017__SID713A084-11-0-0__bin.26	XieH_2016__YSZC12003_37797__bin.39	KarlssonFH_2013__S378__bin.20
ZeeviD_2015__PNP_Main_107__bin.35	1160290.0	949975.0	604027.0	958948.0	891014.0	759374.0	899865.0	997939.0	1004372.0	970934.0	786417.0	903164.0	613175.0	720869.0	961783.0	874579.0	797659.0	1014409.0	936753.0	929128.0	986064.0	912813.0	873544.0	1005776.0	997044.0	825555.0	697686.0	830131.0	919086.0	930312.0	966721.0	998485.0	971066.0	1000409.0	988761.0	1001919.0	938377.0	992909.0	939912.0	1025686.0	903089.0	702862.0	937070.0
BritoIL_2016__M1.52.ST__bin.86	949975.0	1524251.0	642674.0	1027136.0	941095.0	763686.0	905696.0	998116.0	1052153.0	1037720.0	831624.0	936289.0	654132.0	685616.0	975074.0	937008.0	856195.0	1048752.0	949926.0	940814.0	1032003.0	969900.0	869854.0	1064797.0	1051988.0	878625.0	681002.0	834467.0	1016274.0	967361.0	1062500.0	1016323.0	1030848.0	1017959.0	1026912.0	1057570.0	947134.0	1038644.0	984284.0	1037791.0	945353.0	669357.0	949303.0
RampelliS_2015__H11__bin.13	604027.0	642674.0	841240.0	656866.0	607261.0	581438.0	568286.0	637359.0	659355.0	639296.0	559309.0	612286.0	404684.0	426614.0	623555.0	602589.0	774730.0	651372.0	598447.0	595991.0	648243.0	708398.0	564110.0	654825.0	660328.0	655480.0	496398.0	550158.0	627162.0	612918.0	648168.0	649644.0	649849.0	644545.0	652583.0	665228.0	599590.0	654153.0	637668.0	662713.0	623252.0	411369.0	603986.0
BritoIL_2016__W1.2.ST__bin.60	958948.0	1027136.0	656866.0	1226893.0	952515.0	805175.0	927678.0	1009050.0	1072811.0	1030335.0	852110.0	932319.0	669904.0	704365.0	983778.0	951501.0	874092.0	1076429.0	971565.0	955956.0	1042621.0	992907.0	893293.0	1075376.0	1072328.0	905821.0	713320.0	824839.0	1000138.0	987447.0	1048406.0	1037509.0	1049237.0	1036016.0	1045558.0	1078542.0	967619.0	1053194.0	998428.0	1062334.0	961138.0	684344.0	965016.0
LeChatelierE_2013__MH0454__bin.26	891014.0	941095.0	607261.0	952515.0	1044058.0	720495.0	879660.0	970973.0	986830.0	966524.0	772649.0	888914.0	617992.0	643029.0	923225.0	856876.0	819768.0	991203.0	911859.0	890316.0	988949.0	910561.0	837099.0	985038.0	990027.0	832916.0	640011.0	796125.0	906784.0	929729.0	958361.0	988309.0	964913.0	966170.0	972211.0	978930.0	911747.0	982672.0	961720.0	991462.0	894773.0	634890.0	913868.0
ZeeviD_2015__PNP_Main_133__bin.40	759374.0	763686.0	581438.0	805175.0	720495.0	1011239.0	720356.0	777328.0	793869.0	774479.0	646911.0	729926.0	514954.0	535589.0	763148.0	729895.0	788618.0	810017.0	741544.0	734136.0	790767.0	870962.0	695551.0	802134.0	800731.0	822557.0	675435.0	685380.0	740778.0	761527.0	783945.0	807381.0	795813.0	801784.0	793675.0	805657.0	755689.0	806240.0	763706.0	795713.0	734075.0	525053.0	767573.0
ZeeviD_2015__PNP_Main_93__bin.29	899865.0	905696.0	568286.0	927678.0	879660.0	720356.0	1058613.0	940186.0	979738.0	936448.0	749929.0	886642.0	599234.0	649535.0	910461.0	840078.0	772620.0	971702.0	885074.0	891644.0	959001.0	879935.0	806283.0	958815.0	958654.0	804856.0	645414.0	791593.0	883619.0	896161.0	943572.0	960694.0	938984.0	948375.0	941793.0	968120.0	896415.0	962817.0	887455.0	953675.0	867665.0	617996.0	886757.0
ZellerG_2014__CCIS90164298ST-4-0__bin.73	997939.0	998116.0	637359.0	1009050.0	970973.0	777328.0	940186.0	1233868.0	1074654.0	1045602.0	822888.0	942836.0	645976.0	723378.0	1025165.0	931241.0	842368.0	1062632.0	960705.0	980563.0	1067245.0	977974.0	930151.0	1061917.0	1066485.0	890213.0	709954.0	854252.0	961655.0	1004108.0	1014274.0	1082176.0	1033775.0	1058103.0	1060870.0	1076038.0	1001192.0	1058768.0	1003978.0	1071374.0	972668.0	717997.0	1002680.0
ZeeviD_2015__PNP_Main_310__bin.41	1004372.0	1052153.0	659355.0	1072811.0	986830.0	793869.0	979738.0	1074654.0	1397446.0	1088908.0	857035.0	963243.0	690479.0	724315.0	1039991.0	952696.0	887638.0	1152908.0	1016512.0	1002121.0	1105152.0	1041504.0	937493.0	1132353.0	1123461.0	930648.0	715493.0	877640.0	1022992.0	1037267.0	1104145.0	1089536.0	1083261.0	1112750.0	1102663.0	1133066.0	1008886.0	1092235.0	1033254.0	1174278.0	999701.0	718560.0	1004261.0
HMP_2012__SRS011529__bin.49	970934.0	1037720.0	639296.0	1030335.0	966524.0	774479.0	936448.0	1045602.0	1088908.0	1184465.0	831213.0	938420.0	668259.0	725123.0	995600.0	940528.0	855171.0	1080075.0	981230.0	963345.0	1067492.0	981323.0	898145.0	1136693.0	1080553.0	893664.0	693628.0	848755.0	1003038.0	1014782.0	1058143.0	1060006.0	1049230.0	1052413.0	1065315.0	1085720.0	965533.0	1064754.0	996742.0	1079256.0	966025.0	687616.0	971602.0
