	HMP_2012__SRS024561__bin.10	HMP_2012__SRS055450__bin.3	HMP_2012__SRS022725__bin.69	HMP_2012__SRS011126__bin.17	HMP_2012__SRS018665__bin.22	HMP_2012__SRS013170__bin.26	HMP_2012__SRS015989__bin.4	HMP_2012__SRS065310__bin.4	HMP_2012__SRS013949__bin.36	HMP_2012__SRS015574__bin.2	HMP_2012__SRS017227__bin.77	HMP_2012__SRS017511__bin.29	HMP_2012__SRS011343__bin.4	HMP_2012__SRS014690__bin.45	HMP_2012__SRS047113__bin.20	HMP_2012__SRS063603__bin.83	HMP_2012__SRS018975__bin.44	HMP_2012__SRS015803__bin.9	HMP_2012__SRS014691__bin.4	HMP_2012__SRS019129__bin.15	HMP_2012__SRS054430__bin.1	HMP_2012__SRS014578__bin.23	HMP_2012__SRS016746__bin.27	HMP_2012__SRS055378__bin.12	HMP_2012__SRS015044__bin.36	HMP_2012__SRS064449__bin.5	HMP_2012__SRS049318__bin.21	HMP_2012__SRS063999__bin.42	HMP_2012__SRS021477__bin.5	HMP_2012__SRS018573__bin.17	HMP_2012__SRS015899__bin.12	HMP_2012__SRS022602__bin.26	HMP_2012__SRS023964__bin.27	HMP_2012__SRS024649__bin.51	HMP_2012__SRS016043__bin.36	HMP_2012__SRS047634__bin.69	HMP_2012__SRS017445__bin.35	HMP_2012__SRS020226__bin.29	HMP_2012__SRS045197__bin.68	HMP_2012__SRS024289__bin.20	HMP_2012__SRS018157__bin.38	HMP_2012__SRS011255__bin.52	HMP_2012__SRS024381__bin.23	HMP_2012__SRS075410__bin.10	HMP_2012__SRS012285__bin.18
HMP_2012__SRS024561__bin.10	0.0	41972.0	40690.0	38709.0	40811.0	39967.0	40328.0	35407.0	37500.0	38169.0	8917.0	38313.0	41306.0	40284.0	8611.0	35926.0	40057.0	37633.0	26971.0	40043.0	38402.0	34722.0	33185.0	38725.0	40293.0	40995.0	39978.0	35899.0	40301.0	34228.0	40537.0	41225.0	35932.0	37382.0	33048.0	40887.0	25078.0	40080.0	36933.0	41237.0	41082.0	35370.0	41420.0	38691.0	38754.0
HMP_2012__SRS055450__bin.3	41972.0	0.0	61616.0	56858.0	60062.0	59614.0	60406.0	56037.0	54846.0	62841.0	51954.0	53656.0	59181.0	58427.0	54998.0	48171.0	61000.0	54664.0	34791.0	62039.0	57748.0	42627.0	45846.0	54543.0	58713.0	60704.0	33622.0	47114.0	63055.0	49395.0	61857.0	57421.0	46703.0	54692.0	61495.0	57746.0	33981.0	61581.0	49874.0	62325.0	59359.0	62060.0	62344.0	59027.0	62399.0
HMP_2012__SRS022725__bin.69	40690.0	61616.0	0.0	55210.0	59299.0	58393.0	59936.0	54213.0	53117.0	60422.0	50899.0	51440.0	57281.0	58327.0	54115.0	48355.0	58855.0	52512.0	33873.0	60637.0	56591.0	41749.0	44273.0	52851.0	56541.0	59804.0	55257.0	46901.0	61652.0	47756.0	58988.0	54356.0	46344.0	53160.0	62157.0	56365.0	34255.0	59896.0	48067.0	60454.0	58007.0	61611.0	60280.0	59064.0	60319.0
HMP_2012__SRS011126__bin.17	38709.0	56858.0	55210.0	0.0	56164.0	54528.0	55071.0	49067.0	49730.0	55003.0	49945.0	50420.0	54153.0	54605.0	52102.0	47057.0	55220.0	50503.0	33068.0	56247.0	50977.0	41746.0	42520.0	47463.0	53255.0	55604.0	53160.0	44883.0	142.0	44042.0	55812.0	50255.0	44964.0	50225.0	56839.0	54345.0	32600.0	56065.0	45651.0	55656.0	55616.0	55192.0	57205.0	56079.0	55503.0
HMP_2012__SRS018665__bin.22	40811.0	60062.0	59299.0	56164.0	0.0	57470.0	59881.0	51186.0	51362.0	60937.0	51786.0	52147.0	57065.0	8642.0	54964.0	47393.0	58112.0	52402.0	5100.0	60930.0	55195.0	43472.0	44562.0	52967.0	55513.0	57834.0	54119.0	48939.0	60580.0	48264.0	58698.0	53306.0	47368.0	51401.0	61328.0	55904.0	33564.0	57715.0	47863.0	58322.0	56940.0	61414.0	58614.0	60609.0	59711.0
HMP_2012__SRS013170__bin.26	39967.0	59614.0	58393.0	54528.0	57470.0	0.0	57532.0	51313.0	50331.0	58142.0	52097.0	52379.0	55328.0	55511.0	54175.0	45775.0	57963.0	51137.0	33915.0	57800.0	53103.0	43427.0	43553.0	49676.0	6653.0	58208.0	55546.0	47313.0	58957.0	46284.0	58944.0	52568.0	41401.0	52691.0	58749.0	55857.0	33033.0	58073.0	48156.0	55395.0	56353.0	58299.0	59609.0	58473.0	57506.0
HMP_2012__SRS015989__bin.4	40328.0	60406.0	59936.0	55071.0	59881.0	57532.0	0.0	54376.0	52268.0	61206.0	50706.0	51266.0	55911.0	58380.0	53407.0	47600.0	58585.0	52563.0	34944.0	59657.0	55738.0	41822.0	44864.0	51640.0	56556.0	52692.0	53988.0	46111.0	60189.0	49088.0	59229.0	56036.0	46697.0	52953.0	59499.0	56094.0	33683.0	53567.0	48555.0	58978.0	57586.0	60897.0	52806.0	58646.0	60824.0
HMP_2012__SRS065310__bin.4	35407.0	56037.0	54213.0	49067.0	51186.0	51313.0	54376.0	0.0	45032.0	36053.0	46420.0	47105.0	45972.0	49316.0	49092.0	42916.0	53516.0	47651.0	30035.0	41773.0	39125.0	39410.0	41750.0	45752.0	50623.0	53255.0	49794.0	42911.0	53934.0	43850.0	54172.0	47646.0	41708.0	32938.0	55106.0	50777.0	31490.0	53513.0	44712.0	48513.0	52241.0	54195.0	55395.0	54918.0	35371.0
HMP_2012__SRS013949__bin.36	37500.0	54846.0	53117.0	49730.0	51362.0	50331.0	52268.0	45032.0	0.0	50213.0	47076.0	46391.0	13438.0	50653.0	50453.0	44234.0	53395.0	46813.0	30420.0	47895.0	48243.0	39373.0	41590.0	46370.0	49301.0	52460.0	49481.0	42562.0	53308.0	43502.0	53854.0	48713.0	41670.0	44694.0	53309.0	52760.0	32083.0	52671.0	44730.0	13720.0	53571.0	53135.0	53078.0	53885.0	49458.0
HMP_2012__SRS015574__bin.2	38169.0	62841.0	60422.0	55003.0	60937.0	58142.0	61206.0	36053.0	50213.0	0.0	53367.0	53589.0	52478.0	57895.0	56048.0	49398.0	60485.0	53408.0	33944.0	44774.0	41109.0	44072.0	45941.0	51023.0	56950.0	60312.0	56143.0	48211.0	60432.0	47643.0	61003.0	55082.0	47263.0	15218.0	62520.0	57649.0	35171.0	61531.0	48239.0	54908.0	58938.0	60982.0	62820.0	61939.0	14222.0
